topic,review
little disappointed,"Eel congee was cold, rest of the dishes was just Ok... However, we quite enjoy the decoration and the new year atmosphere."
What a memorable experience!,"Absolutely Fabulous , beyond expectations and a real experience, if your a foodie it’s a must do .. it was faultless , everything was cooked perfectly and the choice was mind blowing ."
Review,"We were abit disappointed as the lunch we were looking forward to, have changed to a breakfast buffet and we were only informed the day before, 31 Dec 2022. It was hard for us to look for another place so last minute so we proceeded anyway."
It's Kempinski so that means quality!,"Sunday Brunch. The Kempinski is a pretty well known 5 star hotel so I had high hopes before today's Sunday brunch. The decor and food set up was great and there was even someone playing a harp and singing while she plays. Perfect to start off the festive mood in December and also a rainy Sunday. Now to get the bad part out of the way, its really not that fantastic as the ang moh beside my table commented to his partner that there were no lobster offered (which I silently whispered ""and no foie gras!""). The seafood bar while beautiful layout only has 3 types of sashimi, salmon, hamachi and tuna, while the sushi was a meh. Points were awarded for their table spread of charcuterie and cheese board section. Special mention to their carvings station which has hits in their 3 different beef cuts, Wagyu Rump, Wagyu Skirt and USDA Angus Stripling. The Barramundi is worth more than just a second helping and the Hokkaido pork ribs are yum. Those that do not like the gamey smell should skip the lamb. Their desserts section consist of a myriad of western and local sweets and while I usually cater only 30 minutes for desserts, let's just say I ran out of inspiration with the savouries and started at the dessert section with 50 minutes to spare (given the limited spread). Of course if you are looking for a beautiful brunch restaurant in a. conserved building and food is not your top priority (The entry level Champagne served here is the Louis Roederer Brut!). This should definitely be checked off your list."
Excellent venue for team dinner,Excellent food and wine. Great setting for team dinner. 4 stars as drinks arrived after the third course and food was bit cold.
Disappointing Seafood Quality,The recommended seafood platter is not worth the price. The prawns and clams’ quality is disappointing.
"Spotty service, not value for money.","Service was spotty. Was rather difficult to get the attention of the wait staff to order, have drinks topped up, make payment. The food was not too bad but the serving size was rather paltry. Ordered the toothfish and venison plus sides and starters. For the mains, got a piece of fish and two rather small pieces of venison, and one baby carrot each. No potatoes, no parsnips, no salad etc. To me, this is not acceptable."
Buffet breakfast at the KEMPINSKI hotel Singapore,"During our stay at the KEMPINSKI Hotel Singapore, we had our buffet breakfast at the 15 Stamford by Alvin Leung restaurant every morning. The buffet selection was huge- there was a lot of different food including Nasi Lemak, bread, scrambled eggs, tomatoes, and even a daily choice of noodles like Laksa or Ban Meen. Unfortunately the type of breakfast does not change very often throughout our five night stay.

The service- however, was problematic. On our first four days of breakfast, we had some erratic service. The staff members were ignorant, walked around customers without any purpose, gave us one pot of tea even though we said it was for two people, and even took away our dishes OR cleared up the table when we were fetching food outside!! This clearly indicates a lack of communication and organisation in the restaurant- and must be improved. However, on our final day of breakfast, there was a change of staff members- and instead we experienced excellent service in the restaurant. One staff member even chatted to me casually!!

Really enjoyed the ambience around the restaurant and made our days when we had breakfast."
Sunday Brunch for Family with Roasts,"Great Sunday brunch with the family. Excellent Roasts - Wagyu, Lamb, Barrumadi, Iberica+Cheese counter, Pasta with Seafood, Oysters counter with Sashimi, . Live sax music with DJ."
Birthday Celebration with Best Friend,Gery was very warm and friendly. She made us feel welcome. Took lovely photos of us and the food (some people just don't have the eye for it!) Recommended all the items with explanation on why the recommendations. Exceptional experience from a Intern. Wish you all the best and never settle for less when it comes to hospitality!
This is not a M Star restaurant... Definitely not fit to be in the Kempinski...,"2 star M... You must be joking...
This is supposed to be Chef A L who is a 2M star chef at the Kempinski... Its a joke... See my images...
Nothing about this place is better than a cafe... I was do so disappointed... Do not visit... This is a place that needs a M inspector to visit... It cannot be on the list... Bhagwan"
Good lunch,"Third visit, ordered the lunch set and added SGD8 for the foie gras kaya toast, I missed this dish, it was as usual good. My third time eating this.
The red snapper was good too, although I still prefer the barramundi which was on the menu during my previous two visits. Probably here they are pretty good at preparing fish dishes.
The mango sago, pomelo, coconut snow, yuzu was okay.
Staff pretty attentive, topped up my drink and removed plate promptly. First time seated in the main dining hall, a good place for business lunch.
Nice ambience and excellent service."
AMAZED BY THE 4-hand dinner by Chef Alvin & Chef Jay,"The FOUR HAND DINNER by Chef Alvin & Chef Jay, is legendary superb amazinggggg !!

Is my pleasure to get this chance to try these 8 course at a very affordable price $220+ .

The food is amazing, the service staff is friendly and catch up all kinds of requests by us.

Each of the dishes w beef tuned up by chef with their superb skill. Memorable dinner, love it so much"
Pretty Dishes,"The dishes are still pretty and well plated. Tastewise, most were good though a few needed some oomph. Eg the braised Angus beef was nice but could have used a boost of chilli.

The kueh koh sui was quite hard while the mango sago was okay. We had it the previous time so there was nothing special about it.

Quality of ingredients is still good. The portions were still smallish.

Service this time was a tad hit and miss."
Worth coming back again.,We had our wedding there 2 years ago. Good to be back and eat my favorite Laksa there again.. it was worth it.
Very good mains and dessert in a lovely location,"What a hidden gem! Loved the restaurant, setting and my main and desert. The ice plant starter left something to be desired. The tomato puree with the ice plan was awkward to eat and the flavors just didn't go. My main - chicken rice - was DELICIOUS. The chocolate 'soup' at the end was heavenly!"
Quality food in a great setting,"We were really looking forward to dining in this restaurant. Whilst a limited menu, there were some exciting dishes, especially the entrees. All of our steaks were cooked very well and service was efficient although not all staff were as well trained as one would expect in this quality of the restaurant."
Great Ambiance,"It was for a business meeting for 4 people. We had the 3 course set lunch. The service was lacklustre as the wait staff were not attentive most times.

However food arrival was timely and unified so very minimal interruptions on business conversations which is great.

Food was alright. Nothing mind blowing. However it wasn’t bad either.

I would certainly come again just for the atmosphere."
breakfast and service review,"breakfast is excellent, lot of choices and very friendly staff…….the ambience is nice and cozy… Reminds one of being in a Crazy Rich Asian (movie and book) setting :)"
