topic,review
Wedding,The whole experience was the most absolute perfect. Nan fulfilled all our requests and was prompt in responses. One example was when we wanted to take pictures with our bridesmaid and groomsman right outside (open area) and she unlocked the door right away and waited for us by the door. All our guests love the food. Carrie and M Nanda provided great service on our bride and groom table itself. We are so grateful we picked this place to celebrate our special day! - Afiqah (bride)
A huge shoutout to Nan and Azlan from 21 on Rajah,"My school had our year-end lunch at 21 on Rajah. This was our 2nd time having our lunch here, for obvious reasons. I liased with Nan and it was such a pleasure to communicate with her. She was always ready to attend to my queries and got back to me immediately. Then on the day itself, she ensured everything was ready even before the event started.
Another staff whom I would like to praise is Azlan. He was so helpful and attended to our every needs. He even got the chef to cook for my 4 vegetarian colleagues...amazing! Then he was always there to remind me to play music during the intervals so as to hype up the event. I was so appreciative of this.
I don't think words can describe the excellent service we received at this restaurant. My principals and colleagues were praising the quality of the food, how fresh the seafood was and how they ensured the trays were not empty and constantly topped up.
I would definitely recommend this place. It is not as expensive as some other places and worth every cent.
Thank you 21 on Rajah, especially to Nan and Azlan."
Buffet lunch,Staff was friendly and accommodating. Prompt to attend to requests and clear the used plates. Place is bright and clean. Buffet is value for money.
Weekday Dinner,Visited for a birthday celebration. Food was great! Variety of food and there were Christmas treats too!
Celebrate my daughter's graduation day,"We were at 21 on Rajah today for dinner. We were received by Mr. Azlan, who brought to our table and was very attentive to our request and made us feel comfortable and severed us well. Even though the restaurant was was a bit crowded but Mr. Azlan and his crew were very accommodating. Thank you very much Mr. Azlan and crew
. We wish you all the best✌️✌️"
Wonderful brunch buffet,I had a great time with my family at the brunch buffet. The festive food was delicious. Azlan was very helpful too and offered to take photos for us as it was my birthday. Thank you for the wonderful time!
Weekend splendour Event 12/11/22,"We were held our annual organization event today at 21 On Rajah . We would like to thank to 21 on rajah for their support today , specially Nan, Nada, Natasha and Azlan . They really very helpfull with our preparation for the event, since beginning untill end of the event . We ordered buffet lunch package for our event , and They have so many options in their buffet , frôm mediteranian, western and local cuisine as well . And all are very very good , our event were success and our guests really enjoy the food and the event as well. Once again , thank you Nan, Nada, Natasha and Azlan , and 21 on Rajah . You guys Rock ! . Looking forward to have another event there, very recomended."
Wedding,Good food and a nice place to celebrate with family and friends! All staff especially Ms Nan were very accomodating and welcoming. They attended to all our needs.
Family Lunch @ 21 on Rajah,"Place is cosy. Though spread is limited but taste was good. Despite a PH, there was no crowd. Enjoy the servings and service from the crews, especially Chandra & Natasha. Also reservation follow-up. Prompt & efficient."
Wedding at 21 on Rajah,"Nan and her team were so easy to work with from the moment we reached out to have our wedding at the venue. Guests at our wedding raved about the food. As someone that prioritised food for the event, I have no regrets choosing 21 on Rajah. Thank you, Nan and Nada. All the best to you and your team, we'll be back soon to have buffet dinners there"
Thank you 21 on Rajah!,"Speak all thanks to Concierge Manager Henry Neng and Restaurant Manager Nan for their effort and time to make this special outing for the seniors end with a bang at 21 on Rajah possible. All the crews on shift at both Days and Ramada were very friendly and helpful. The seniors and volunteers enjoyed the food and experience at 21 on Rajah.

Thank you all for having us, see you guys soon!"
Can be better.,"Went there for buffet breakfast. $20++ per person. Price seems reasonable but of course the spread is not extensive but adequate.
Egg station is reasonably good. Porridge plus the teriyaki chicken taste ok. A few types of fruits n juices."
Birthday celebration,"we went there to celebrate my brother’s birthday & was served with excellent services. the malay lady manager was very outstanding in her service provided. despite the last minute request for a birthday cake, they still accepted it. i would like to thank Natasha for helping with the cake personally, she did an amazing job and was also kind. 10/10 would recommend anyone coming here for the buffet & the services rendered. thank you!"
Lunch Gathering with Elderly,"The food is excellent, the staffs are very friendly and helpful. Very satisfied about the service and the atmosphere. Clean environment to dine at."
Buffet lunch,The food is delicious and the service is excellent! I love the laksa! I have a wonderful experience :)
Thank you dayz!,Restaurant provided us with a nice and relaxed ambience for a fantastic meal with friends and family! Highly recommended
Outing for beneficiaries,"Thank you for providing an excellent and attentive services to us and our beneficiaries. It is wheelchair ♿️ friendly and good food from the restaurant staffs, reception crews and managers. Thank you 😊"
Lunch buffet,First time dinning your hotel restaurant for birthday celebration. Many choice of food and desserts. But not much choice for seafood. Reccomended. Will visit again next time.
"Nan - Detail Oriented, Excellent Service","Organised dinner at 21 on Rajah and the restaurant manager, Nan was amazing. Not only was she extremely prompt responsive in getting back with the queries, she's also extremely attentive and helpful. One of such instance includes helping us with our photo taking and assisting us with the logistics. She also ensured that there are sufficient seats and food for everyone.

Additionally, the crew and her were very friendly and welcoming. Excellent and memorable service. Thanks once again Nan and team!"
21 on Rajah,21 on Rajah service was excellent and top class. The staff was very friendly. The food is nice and the spread is awesome!
Nada - attentive and professional,"I am a regular at 21 on Rajah because of my work that takes me either at Days Hotel or Ramada. Nada has shown to be an excellent restaurant manager. From the way he leads his team to serve the guests, you can tell that he is someone who goes all out to provide excellent service to the guests at the restaurant. I always enjoy my meals at the restaurant and I always rely on Nada to suggest food that he knows that I would like."
Excellent service Azlan,"For work reasons, I frequently stay at Days Hotel. I was initially unsure but when I finally tried, I was very impressed with the food and the service at 21 on Rajah. Azlan played a big role in initiating me to 21 on Rajah. He was attentive and attuned to my needs as a customer each time I was there. It made me feel like I was with family although i was away from my own family."
Weekend brunch,"Outstanding service…!!
Entertained by Nan, Azlan and Masitah..
Thanks guys! Keep up the good work…!!"
Mummy's Bday Weekend Brunch,Good Excellent. Prompt and attentive. Food served promptly. Actively moving around to check on tables and guests.
Thank you Azlan!,"Thank you Azlan for making our Dinner night awesome. It was my partner's birthday. We did not expect the surprise cake from him! Definitely a 101/100!

On top of that when we ordered beverage, Azlan recommended us watermelon mint. Which I swear was the best we've ever tasted! So refreshing. Just what we needed after a tiring day! Also, he was always there to check with us if everything is fine, if the food is great. Omg Im so happy. And looking forward to bring my family along the next time :)

Thank you Azlan and staffs! We will see you again!"
Everything was better with the Manager Mr M. Nadarajan,"I have to give a shout out to Mr M. Nadarajan who was the manager on duty for 27 August 2022. I think people generally forgets that good service is as important as good food. My family and I are no strangers to the buffet at 21 on Rajah. We've been there a few times but not the recent years and Mr M. Nadarajan was courteous and patient to explain that there is an upgrade in their ordering system. I find the way he explains to us stubborn or ""know-it-all"" customers was a rarefind. He commanded a great crew and was kind enough to help us to find a birthday cake suitable for my sister who is lactose intolerant. The food at 21 on Rajah have always been a healthy spread for the amount of money spent. Not too overwhelming yet providing the balance of good food like how a buffet does.

Thank you 21 on Rajah and thank you Mr M. Nadarajan for making our night better. We will definitely come again! I hope the management understands and appreciate the quality and ability that Mr M. Nadarajan possesses."
Great customer service at 21 on Rajah Restaurant! 💕,"We were served by Nan from the start till the end. Friendly and approchable. Detailed oriented and warm personality. Love that she is patient and her genuine service for us. Other servers as well were great as well. Thumbs up for thier service, will recommend others"
Lovely buffet spread/ Birthday dinner with family,"First time here.
Celebrated both sons' birthdays.

Pleasantly surprised with the buffet spread. Delicious food and good service especially by Ms Carrie. She is really helpful and even surprised us with small slice of red velvet cake.
Thank you for the sweet gesture.

Pls continue to Maintain the good service and food quality.
Will definitely return to this restaurant."
Wedding on 29 Apr,"Good morning

I would like to record my heartfelt appreciation to these gems in the picture and all others that were involved in making my daughter's wedding a success.

Up till today, my relatives are still talking about your great food and excellent service from your staff. They were really amazed with the service given. Will definitely make a comeback for the food and hope to see these friendly gems.

Please continue to provide great food and wonderful service.

Thank you once again from my family."
Superb service,"Despite a very busy Sunday, the staff took time to acknowledge and render good service at the restaurant.. we noticed that the hôtel is understaffed but the staff do not show it on their faces.. special mention to Nan , who is ever so efficient doing dual roles at the entrance as well as in the restaurant. Hope thé hôtel recognises the work and appreciate your staff. Food was good too, always being replenished and served warm."
"Something Old, Something New","Finally after two years we are back again, enjoying one of our favourite buffet. Some items have been replaced, and equally good if not better. Service is excellent, esp. from long term service staff, Vimel. He’s always warm, courteous and helpful, and introduced us to the new menu. We will be back again soon. Thank you."
Worst brunch buffet ever...,"Over priced and food served is of poor quality. Lamb shank is rubbery, squid is tasteless and definitely frozen squid rings used here. Roast beef at carving station is pre sliced and left under the heat lamp. Cold seafood station is pathetic comprising of cold prawns, mussels and clams. Rest of the hot food is nothing to gloat about. Dessert station is also poor with soggy pancakes/waffles, ""air dried"" kueh lapis and more.. Served English breakfast tea but label it as Moroccan mint tea. Overall, I would have given a ""0"" star rating if not for the not too shabby service staff.

At $58++/pax for the weekend brunch, you still have to pay $2++ per pax for filtered water. With such high pricing, it's definitely NOT WORTH YOUR MONEY..!

There are better restaurants in town for that price. Avoid this place at all cost..!"
Funtastic experience dining at 21 on Rajah. A secret gem with outstanding service.,5 out of 5. Fantastic service with Nan and Vimeo. always so patience serving our VIP guests. Thanks Nan and Vimel for the outstanding service. The food is the best halal food in town. perfectly cooked. Great experience
Awesome staff,"My stay in days hotel was wonderful , specially the staff are friendly and will always greet you with smile , this morning I had breakfast at their restaurant 21 on Rajah , the front of house staff Vimel specially made sure I was ok because this was my first time attending breakfast there , very helpful and prompt service , thank you"
12 May 2022,"The ambience and service is good. Friendly staff., especially Nan. The food are tasty. If more food choices would be better. Missing the salmon for cold dish. The lobster in black pepper and grilled prawns are delicious. More choices of desserts please. Hope the usual buffet spread and servings starts soon just like before Covid 19."
Ms,We had a pleasant stay at Days Hotel Singapore. Breakfast for a vegetarian family with kids and people with gluten allergy was very well managed by Mr.Vimal (in 21 on Rajah).
Fabulous staff with fantastic ala carte buffet at 21 on rajah,"Had an awesome birthday celebration at 21 on rajah, super convenient to order via the app and delicious food was served to your table quickly and pipping hot by friendly and efficient staff, good especially for families with elderly n young children without the need to walk to and fro for food and drinks.

Seafood on ice was fresh with sweet prawns n mussels! The sautéed squid was surprisingly delicious n soft (not overly chewy)! Even simple dish like sweet and sour chicken was very well executed with its crispy chicken. The lamb shank was soft and well marinated which have us ordering a second helping. All the ice cream, cakes and kuehs are fabulous too, not too overly sweet, the kueh lapis were super soft and buttery, my kid love them!

Special shout-out to Ms Nan, the restaurant manager and Vimel, the tall Indian gentleman (I hope I spell your name right) for your excellent service, bringing plates after plates of yummy hot food to us with your warm smiles, the restaurant is so welcoming as if we were dining at a friend's place! Even the chef waved hello when he passed our table!

Overall, it's an affordable ala carte buffet with good quality food served by a passionate friendly team! Will definitely be back with more friends and families now that life post covid is almost back to normal! Totally forgot to take photos of e food cos we truly enjoyed ourselves and the genuinely great food too much!"
Good food better service,"We had a family dinner during Ramadan. As there were many people, it took awhile before our food was served. However, all their service crew tried their best to attend to us and ensure we got our orders as soon as possible. Especially the manager, Mr Nada.

The food was nice. The rib eye steak was super tender and delicious. The portion of each serving was just nice for one person. We thoroughly enjoyed the dinner."
Dining at 21 On Rajah,I was there to celebrate my wife’s birthday with the family. The foods and the place was great. We were attended to by attentive and friendly staffs. Especially to Mr Nada who took great initiative to bring us a cake for us to celebrate the occasion even though we did not asked for one. Thank you for a fantastic and memorable evening for me and my family at your restaurant.
Great Dining Experience,My friends and I enjoyed the quality food and the service by the attentive and friendly staff! Love the ambience!
Weekend Staycation Dinner,"We came for dinner during our stay in Days Hotel. The restaurant gave a chill vibes. We would like to especially compliment Mr Nada, for providing an excellent service to us."
