topic,review
Poor experience with upset stomach after,"Service was terrible. Slow unattentive unwelcoming Food was above average, until we all came home with an upset and unsettled stomach. Won’t go back."
Great Ambiance,Our Maître D' was very attentive and knowledgeable about the menu. They made good recommendations and helped make our family dinner go smoothly. Ask to be seated in the Cellar area for the cozy lighting and skyline views. The Cedar Plank Salmon was particularly good!
Anniversary Meal!,"Food that we ordered: Steak Oscar, Lobster Mac and Cheese, Truffle Fries.

Steak Oscar was really well marinated, with really juicy lobster meat topped on top of the tenderloin, rating 9/10.

Lobster Mac and Cheese was quite watery in my opinion, but it gets better after every bite, rating 7/10.

Truffle fries, I would say a solid 10/10, the sauce was really good to go with the fries as well.

Overall, an excellent place to have celebrations or anniversaries, but a possible downside is the waiting time, we reached the restaurant at 620pm, got seated, and placed our orders by 630pm, and we only got our food 45minutes later, so do have a heads up for the waiting time, but regardless the food was worth the wait so the whole experience was really worth it!"
Birthday dinner!,"Came here for my birthday dinner, our first visit to this steakhouse.

We ordered A4 Kagoshima Wagyu 200g, US Prime Ribeye 300g, Crabcake, Grilled Octopus, Mash potatoes & Lobster Bisque.

The A4 Wagyu was delicious, great marbling on the meat and cooking was on point for medium rare cook.

The US Prime ribeye was tasty too.

Crabcake was delicious- filled with generous fillings of crab meat along side with sauce which lifts the overall flavour.

Grilled Octopus was tasty, nicely cooked and not rubbery texture. Seasoning taste interesting.

Mash potatoes is smooth, seasoning can be a little stronger. Taste slightly lack of salt.

However I didnt like the lobster bisque, it smelled every nice full of lobster flavour however there is a bitter after taste. A little underwhelming for the soup.

Service was very good, staffs are attentive and friendly.

Overall it was a nice dining experience. Place is small and cosy. Won't really enjoy the view unless you are seated right next to the windows. Worth a visit nevertheless."
"Food was decent, view was great but..","The steak was generally okay, the restaurant was really small with very limited seats. Was seated far from the window panes even though requested for window seats (i know it's subject to avail.) hence there is no view. However, I saw the seats avail and requested to swap for it during dessert, and was gladly changed. View was pretty nice if you got to sit there, while I was expecting more though. It's 4 stars since I got the view during dessert time."
(Very) late dinner in a freezer,"We were guests at the hotel and decided to try this restaurant for our Christmas Eve dinner given the good reviews we had read.
Our table was at 20:30 but when we arrived we had to wait in a queue for half an hour, standing and without anyone telling us a word on when we would be able to eat.
Overall, the food was really good, we also had some special request due to allergies and food preferences and the chef was so kind not only to remove truffle form a couple of dishes but also to serve us an alternative starter.

The food is worth 5 stars for me but the waiting time for the table was absurd and the bill was 188$ per person wine excluded (we had 4 glasses of water - no bottle was given to us - a coke $8 and a Heineken, which was $16). Also, after waiting ages between courses, at 10pm my dad asked for a coffee and we were told the service was done for the night… luckily when we asked to another waiter we were able to get an espresso and the bill (which also took ages). Bear in mind that when you get the receipt, you will have the total, +10% service and +7% GTS.

Our opinion is NOT worth it. Food 5 stars, service 2 only for the chef’s kindness and it was also freezing cold."
Expensive drink list,"Ice water chargeable at $3 per person. Soft drinks $8, coffee and tea also about $8. Food wise is not too bad."
-,Place was good however the portion was quite small for the lunch tasting menu and is costly for the small portion of food that was served.
Memorable Lunch,"Just celebrated a wonderful birthday for my wife at 665F. The staffs were professional, attentive, friendly and served from the heart. They made a difference and made our dining experience a very memorable one. Of course, the food was really delicious; and the high floor dining was nice as well.

2 incidents stood out. First was when they checked on our meals. My wife ordered the Lobster Thermidor and made a comment that the lobster did not taste as fresh to those she had previously. The staffs took such pride on their dishes that they immediately offered to cook another fresh lobster for my wife; though we said that it was all fine and food was still good and edible. In the end, they insisted and took away my wife’s Lobster Thermidor and returned with another freshly cooked lobster; and it was good! What impressed us was the pride the staffs took in ensuring they deliver a quality food and that patrons have a wonderful experience.

Second was somehow they discovered that it was my wife’s birthday though I did not mentioned it to any one; and surprised us with a simple cake. Their attention to details and keen observations was really impressive. Special mention to Colin and another Indian server (sorry I didn’t catch your name) for making a difference and gave us such a memorable dining experience that we still talk about it. Will definitely be sharing our experiences to our friends and looking forward to our next visit. Thank YOU!"
Dinner,I truly enjoy the dinner here. One of the best steaks I’ve ever taste! The staff and service is very attentive and professional. One of the few restaurants that provides halal top quality steaks. Very suitable for a special occasion. Highly recommended 💯💯💯
