topic,review
worth the visit,"have been to the restaurant a few times before and i can confirm that everything you try is delicious. the chef and staff are very welcoming and it is a lovely place in general. although it is on the pricier side, it is justified by the taste of the food"
"Fantastic food, wonderful service!","The food was lovely! My family and I totally enjoyed our starter of mozzarella salad. The main dishes were amazing and we found all them flavourful! We had the seafood ravioli, beef ragu and clam and cockles pasta and all the dishes fit our palate! My nephew loved the bread so much that we bought a loaf home. The wait staff were patient with us too esp when my nephew was cranky. Props to the female wait staff for making the orange sword balloon to keep him occupied and calm for the rest of our meal. We hope yo be back again!"
Best italian restaurant and classic,"If you want true original and traditional Italian cuisine you are in the right place.
Here there are no little finedining dishes with fake Italian recipes but the real cuisine of Italian homes.
Here you will smell the real Italian scents and in the dining room excellent service."
Amazing,The food was so delicious and definitely worth the price tag. Our third visit and it didn’t disappoint.
Excellent authentic Italian food,"Second visit, and enjoyed it as much as the first. Pastas are very good - still working through the menu! Portions are a good size - not to small, but not too big."
Reminds me of authentic Italian restaurant when I travelled in Italy.. simply love the food it’s was exceptional good,"The breads, pasta n risotto is freshly made n impressively flavourful & tasty. The pistachio gelato is exceptional gd! I will be back to try the pizza!"
Amazing service and food,"I was really impressed with the service of Wong, he carried himself with confidence and poise and made his guests feel comfortable and welcome. His sense of humour was also immaculate. After knowing that I was celebrating my mother’s birthday in advance, he swiftly provided a complimentary dessert and surprised my mother! His service was outstanding and I strongly recommend this restaurant for the experience and the quality food."
"Great service, excellent food!",Most authentic and affordable Italian food in town! The service staff was also attentive and friendly!
A perfect place for authentic Italian Food,"Went to celebrate my hubby's birthday. It was our first time there. The location is fantastic. Their authentic Italian Food really transported us to Italy. Mama Mia! Everything is so yummy there! Even our 7 year old also enjoyed herself. Their services were also quite good, claps to the Italian owner, Wong and the Indian waiter. They even thrown a birthday surprise for my hubby. We will definitely be back again!"
Fantastic !,Wong who served us was very helpful. We ordered all he had recommended. Food & wine was so good. Will visit again.
"Good food, good service","Came for dinner for my wedding anniversary. Food was excellent, waiter (Wong) was helpful and friendly. He was attentive to my pregnant wife's dietary needs and helped us to portion the dishes we were sharing. He also arranged for a beautiful extra dessert plate with the words ""Happy Anniversary"" written, two Italian doughnuts, and a lavender cheese cake."
Great service by Wong!,Thanks Wong and team for the wonderful lunch service and attention to detail! Really great place for any gathering and celebrations as the food is delicious too. Special shout out for Wong for being extremely knowledgeable about the food and recommendations!
"Excellent service, great food","We had Sunday lunch there. The staff were alert and attentive. We didn't need much help, but they were quick to act when other diners did. Our waiter in particular was very conscientious, taking the time to get our order right, asking how the food was, and explaining the dishes where needed. Alas we didn't get his name...

The food was very good too. The chef's preference is for subtler flavours, less salt. Recommend the squid ink pasta with crabmeat in tomato sauce, and the ravioli stuffed with ricotta and spinach, in a butter sauce.

We used to frequent the place often, so perhaps we're biased. But it did feel good to dine there again and the service is better now. We'll be going back :)"
Christmas Eve Dinner,"Made booking for dinner for two. Delicious food, good ambience and great service. Will definitely return for another meal!"
First visit,"The price is definitely on the high side. No ""Wow"" factor on the food but the price.

I had ordered the seafood pasta, chicken pizza and sausage pasta with ham. A bit disappointed if you ask me, but I have not tried all the food in the menu, I give the benefit of doubt."
Overpriced fare,"Home cooked Italian fare. Disappointed with portions particularly the calamari. And my family of 5 aren’t exactly big eaters. Overpriced for the portions given . I think there are better value Italian restaurants out there. Food was good but not exceptional . For the price, I don’t think I will recommend or visit again"
Hidden gem in Bukit Timah,"Our favorite Italian restaurant in Singapore. Wide selection in the menu, great food, as good as it gets."
Excellent Taste,"We enjoyed the ambience, food taste and prompt attention given by the restaurant. The reservation was ease. The desert was very tasty. The waiting time was appropriate."
Delicious Italian Dishes,The dinner was great. The ambiance was nice too. The food came very timely and the service of the staff was excellent
La Famiglia,"Love this local go to. Friendly and attentive wait staff, great food and wine. We always feel like we are with friends we dine at Acqua e Farina."
Great Italian food,"Comforting Italian food, nice place for family dining, serves good dessert platter & offers good variety of antipasti"
Antonio and Robert drive you over the stars,"Great Italian experience in this restaurant and one of the best real italian pizza in Singapore. Antonio is a perfect host with a real western attitude to customers that is missing in Asia. Pizza and Sicilian barchetta are outstanding bring you close to italian experience. Roberto the chef it great even if not so easy to have him at your table ... but good to have him to cook that delicious dishes. Love this place, food and atmosphere. Thanks guys"
Great Italian food and service!,"The food was, as always, excellent while service was prompt and top-notch, despite having a full-house."
