topic,review
Great ambience and excellent service,Excellent food and service. We had a beautiful table and celebrated my birthday here. We did a la carte and had the most delicious short ribs and tuna pizza. I definitely will return.
Great dinner,One of the best jap restaurants I’ve eaten at in Singapore. I dont usually like raw fish but Akira Back has changed my perspective on raw fish with the Tuna pizza!!
Average,"We stayed at the JW and ate here 1 evening. Similar menu to the one in bangkok. The $85 8 piece sushi platter is average, the cod had a few bones, the seabass bland. The tuna truffle pizza and tender beef cheek were better

No bonvoy discount here, so more expensive than it should be

7/10"
Excellent dining!,Second visit and is still a very pleasant experience. Impressed with the quality and creativity of dishes. Alisa also has good recommendations and is cheerful in her disposition. Makes our dining experience even more enjoyable. Good job and kudos to Alisa and the team!
Amazing restaurant with my brothers on January 7,"It is a great restaurant
The service is amazing we had Jenny serving us
perfect host to have
the food was great
the service was amazing
the ambience was outstanding
The atmosphere was out of this world
Could not ask for anything more from singapore
best restaurant in town
Five diamond restaurant in my heart"
birthday dinner,FOOD WAS REALLY GOOD. the quality was top notch!! was served by Jenny and she was really attentive and friendly! always checked in and introduced the food to us. :) it was a great experience here and we enjoyed our time
Good food with Good service,"Back for another dining experience, and once again Akira Back exceeded my expectations. I tried their Rock Shrimp appetiser and it was just phenomenal. As a fan of Ebi tempura, this is one of the best I have ever had, the shrimp was just so tender with a crispy outer layer. It was also drenched in the Kochujang aioli which complemented the dish perfectly. I went back for their signature rolls and it was as delicious as I remembered them to be.

Service was just as amazing as the food, a special thanks to Julia and Hyun for taking care of me throughout my solo dinner. Will definitely be back to try other dishes! :D"
Great Experience!,"Great food , awesome service and nice ambience! Will definitely come again to try new items in the menu."
Great meal,We had a great dining experience with some excellent service and food suggestions by Jenny. We will be back again.
Amazing food & ambience,"We stepped inside with great ambience, sat down on some nice cosy seats. We had an amazing lunch, and Lucy was serving us with the utmost care. Mathan even surprised us with a pleasant dessert to celebrate with us our friends' birthdays."
Best service,Akira back food was very nice always fresh and delicious especially our server by rock very attentive. Akiraback sake also nice must try. I will come back
Birthday dinner,Wonderful dining experience. Great service and good food. Attentive and good service by 2 pretty Korean ladies Evelyn and Lucy!
Dinner Meeting,Served by Lucy and she was amazing. She is very meticulous. We had a great time. Food here is great. Ambience is lively and staffs were all really friendly.
A place we keep coming back to..,"It was an amazing experience as always. They have made some tweaks to the menu and some of our favourites were not available. Nevertheless, the experience here is always awesome."
Birthday dinner celebration,It's our first time eating at akira back and it was a wonderful experience eating here...all the food that suggested by our server Mathan was very delicious ..especially the tuna pizza ..he was very friendly and very good in explaining about the menus that he served to us..really good place to celebrate for all occassions ..surely we will come back..!!!thank u Mathan..total we give 5 stars..!!
Innovative japanese/Korean food.,"Food was good and quite innovative. Evelyn who served us was excellent , friendly and professional! Ambience was very pleasant. Would come back again to try out those dishes we didn’t order."
Good sharing plates!,"We skipped mains and went for cold and hot shared plates instead. Jenny, our server, was outstanding in her service! Her recommendations for the cold tuna pizza and hot wagyu tacos were great choices. We enjoyed all of our orders except for the “Holy Cow”. We were expecting as much flavours as we have experienced but this last course that we ordered was rather underwhelming. Still, we would certainly make another visit again."
"Good food, attentive service, great ambience",First visit for our anniversary. Food was good and Evelyn was great in looking after us. We even got a surprise dessert for our anniversary.
Excellent food and service!,"We had our Christmas dinner here with amazing food and staff (thank you Jenny and Hyun!). Everything was so prompt and all the dishes were explained with a lot of skill. Service was definitely a highlight which is saying something when the food was so exceptional. Personal favourite was definitely the tuna tacos and the lobster tempura!

Cant wait to visit again!"
Christmas dinner,"Great ambience, food and service. Server by Evelyn and Rock. We had our family Christmas dinner for 11pax"
Good visit,"Food was good, especially the AB Wagyu Taco and Jidori Chicken. Our server Evelyn was friendly and made good recommendations. Thank you!"
