topic,review
Authentic Italian cuisine,Very authentic Italian food. Genuine and kind service. The place is quiet and very cosy. The chef was very kind. I wish the entire crew a wonderful new year!
Great overall experience!,"We moved into the area 6 weeks ago and kept saying that we must try out Al Borgo. We finally went last Friday and thoroughly enjoyed our evening. Firstly, the staff are extremely friendly and attentive. The food is super tasty! My son loved his lasagne and asked if he could go back the next day to have it again! A small, authentic Italian experience. We'll definitely be back to our new favourite local!"
“Wonderful place with wonderful pizza!”,"“Friendly staff and probably the best cheese pizza I’ve had!”,We had a big party for my birthday thanks for your Service"
GREAT FOOD - ATROCIOUS SERVICE,"Table booked for 8 pm. The Server was in a great hurry to take our Order. Hardly had we sat down and she asked us three times if we were ready to order. After ordering the Appetizers, she was in a rush to take the order for Wine, when we told her that we had yet to decide. Finally, the Italian Manager/Owner came and served the Wine. Pleasant host. We were told that last order was at 9,15 pm. At 8,50 pm another Server asked if we wanted anything more. After ordering another Pizza again, we assumed that Desserts would be served even after the last order time. Quite normal in Singapore to keep Desserts options open after Last order timings. At 9,10 pm we asked for the Dessert Menu and the same Server said that the kitchen was closed. They could offer only Tirramisu and another item. But, nothing else - KITCHEN IS CLOSED. Pathetic behavior exhibited by uncaring staff of another nice and cosy ristotante. Unfortunate!"
I guess you figured only take out? Very strange,Used to eat there allot in the restaurant but have not been in 2 years. Tried ordering in and food came ice cold and the pizza was so greasy it was not funny and the salami was also packed with oil. One piece of salami came on the pizza I kid you not 3 inches round and 1.5 inches thick if not 2 inches. Just sloppy housekeeping. And order pork chop it came sliced which was nice idea it was okay but would never never go back. Maybe if he reopened the restaurant but even then? I think this place is history
Family style restaurant with decent food for a reasonable price,"Friendly staff in a not particularly welcoming or stylish interior. Functional and practical, sure, but not more than that. Food was good, portions on the modest side of adequate. As a dessert fan I was a bit disappointed by the panna cotta: very very small. My wife had a nice tiramisu, though."
Divine,The restaurant in a quiet apartment building along Bukit Timah road but totally worth seeking out! Everything was divine - the best pasta we have had :)
The Italian Fix,"The local place to have superlative home style Italian with rotating specials and pricing that won’t nuke your wallet. The service is personal , the ambience is cosy and the food is outstanding. Been our Italian fix for 5 years and we never get bored of the angel hair pastas ! The special carbonara made in the cheese wheel was outstanding as well"
Great service an good food recommendations,"Another great dinner at Al Borgo! The service was personalised and friendly, we were made to feel genuinely welcome, almost like guests! Make sure you save room for the limoncello cake for dessert!"
Excellent wine and food,"Dinner was delicious. Wine was good, a bit costly. The beef and lamb were perfectly cooked and tasted good without any sauces added. Desserts were delicious and of course the limoncello went nicely with them. The service was excellent. We enjoyed ourselves."
