topic,review
Our Favourite Italian Restaurant,"We must have been here more than 20 times. Excellent menu and food, and the staff is first class. Prices for food and wine are very reasonable. Both the pastas and pizas are very good. Highly Recommended!"
Worst Italian i had,"Had dined in various Italian restaurants around Singapore, and this has to be the worst of the lot. On why it won many awards beats me. The chef does not take pride in his dishes and it shows. I get that Italian synced with tomato but throwing tomato sauce sparingly does not make the food any better. We had the parmigiana, burrata pizza and lamb rank. Also ordered bottle of wine. It was our wedding anniversary and unfortunately we could only enjoy the wine tonight."
Always the best,It’s our all time favourite Italian restaurant! Pizza is amazing and good value for money! Pasta is authentic and delicious. We also love the calamari…must order every time!
"Awful food, arrogant management","Absolutely awful food, arrogant management, no respect for the customer. Hard to believe that anyone can make a simple pizza as bad as this. There’s many better restaurants nearby with better food and who treat customers with more respect."
"Good taste, but sand in clams for vongole and sand in mushroom for pizza. Service staff questioned our feedback on food.","Overall, vongole pasta and funghi pizza tasted good. However, the clams and mushrooms were sandy. Service staff did not appreciate and questioned our feedback. Vongole could use a dash more white wine. Needs to improve on service standards and ability to accept customer feedback!"
Fave Italian Restaurant,"Love the food there especially the Spaghetti Cartoccio & Calzone.
Been to Alforno at least 3-4 times a year! one of my top fave italian restaurant."
Good Service despite missing my reservation,"The restaurant owner/in-charged offered us complimentary drink while we were waiting outside until our table were ready.
Although we were a bit disappointed initially for waiting as we came all the way here from the West for my boyfriend birthday celebration and $30 of my credit card balance was reserved by Chope as “deposit” or confirmation of my booking (I supposed), in the end we were happy about the good service provided, enjoyed the food & the drink, so we decided to order dessert to complete our meal. After our dessert, we were surprised to receive “birthday cake”- a mini chocolate puff with a lit candle on top, a nice gesture from the restaurant. I will visit the restaurant again. It seems that my name and correct booking time appeared on restaurant reservation list, just my contact number was undefined and no confirmation call received from the restaurant.
I hope Chope/Restaurant could fix the booking and communication channel issue in near future.
P/S: To Chope Team, I went there for dinner on 11 Sep. I used a different credit card for payment. I didn’t aware until I checked today that my credit card linked to Chope is still holding $30 balance. Please help to fix."
Date night with the Mrs,"Been meaning to write this for a while now. AlForno is a place i personally just love visiting. Ive brought my family, friends and clients for dinner here, and every visit simply reminds me why i love eating there. There is a connect at the restaurant that cannot be described. Its reflects in the warm ambiance, in the friendly staff, and ofcourse in the food. When you visit a place it has a soul that resonates well with you at a very different level. One is not sure what it us, but you don't feel it everywhere you visit.

I personally have a strong relationship with food and can be very fussy from the cutlery, to the temprature of the food served, to the distinct flavor that jumps out at you when you put decent food in your mouth. Alforno gets it right pretty consistently.

Dont miss the Burrata, and the crab meat Pasta.
Even the tomatoes sliced up on the side of the Burrata, are pretty fresh and full of flavor. They are sufficiently and well balanced with the right amount if salt, so as to not rush the flavor change when enjoying the burrata; rather additionally complimenting it.

The Farfalle Al Granchio (Crab meat pasta) is another sensation you must not miss. The balance of that dish is near perfect ( if there is anything like perfect ever), with a slight tilt towards the spicy side. Im originally from India, so spice in my taste buds is not uncommon, but the extent of that in the pasta is subtle and inviting into the next bite you're coming back for.

Everyone has a different expectation around what to pair their wine with, i personally gravitate to reds more often that not. The pricing on Alforno's wine is good too.
Allows you to experiment with light to fulk bodied wines without burning a hole in your wallet. I won't specifically describe the wine that ive enjoyed at alforno, but if i may add one suggestion to the folks there is to try serving the wine at a better temperature, especially if its ordered by the bottle. Bringing it really chilled to the table is abit of a turn off.

A must visit to Alforno in order to experience the magic good italian food, staff and ambience can bestow upon you. Feel the soul there. Ive enjoyed it, and i hope you do too."
Excellent,My sister & I enjoyed ourselves as we dined over lunch with great quality of food. She knows that Al Forno for many decades.
Decent Italian food,"We had 3 pasta dishes - crab, mushroom and lasagna. The crab pasta was good. The other were average. The restaurant was very crowded so it’s noisy. Service was good!"
Real Italian in Singapore:,"Real Italian in Singapore: feels like being back at home.... nice atmosphere, welcoming staff and very good pizza!"
My Favourite Place for Pizza in Singapore,"It is a place where food cooked with love is served by people with great hearts. It is my place of comfort, place for special occasions, place for celebration and also a place where I order delivery when my emotions are in sixes and sevens and I don't feel like leaving the solace of my home. I can eat the same pizza and the same calzone all the time. Its consistency in food preparation and service makes me feel so homely."
Fantastic Italian Food,Food and service were excellent! It was pretty warm in the restaurant though. Stifling at times. Air con could be colder.
Amazing food & service combined!,Food and service are both amazing in this place. My girlfriends brought me here to celebrate my birthday in advance and it was indeed a great one. All the staff were very accommodating despite a busy restaurant. The owner even managed to greet a few tables including ours to check if the food is to our expectations. Kudos to all the Chefs in preparing flavourful dishes served. We’ll definitely recommend this place to more friends and family.
Do not order delivery,"For some reason the orders will arrive either very late (over 1 hour) or a mess. I tried all delivery companies including their own and if never fail, just look at the photo. There are other pizza places not worth the trouble."
My favorite pizza in Singapore,"I had trouble finding a good pizza dough in Singapore. It is for me the best pizzeria that I have eaten in SG, I have never been disappointed (4 times). I recommend the pizza with burrata and ham."
Typical Italian Meal,"Peering through the door of the restaurant, I felt it was too crowded, so I chose to sit outside, where there were a few tables set up. The menu is available via a QR code, the norm nowadays given the present situation.

Like a typical Italian meal, dinner started with the Focaccia Bianca (flat pizza bread with garlic, oregano and extra-virgin olive oil), followed by a pasta dish, Farfalle Al Salmone (bow-tie pasta with salmon in tomato-cream sauce) and ended with a Tiramisu. The menu is comprehensive and descriptive, with photos of each dish. All three dishes I ordered were tasty and filling; and excellent choices in my opinion.

Service was good, and as we were outside, we were pretty much left alone, which is fine. Turn on the wall fan if it gets too warm. However, if you prefer more attention, it would make better sense to find yourself an indoor table."
Sadly disappointing,"Had high hopes, having heard from someone that this is where the best pizza in Singapore is served.

We had the pizza with the burrata and parma ham, and the pear pizza. Unfortunately, both were underwhelming - the pizzas came barely warm and lacked flavour. The pear pizza tasted like oily chewy cheese. To be brutally honest, the pizzas at Pizza express tasted better than the pizzas here (sorry!).

I write this with some sadness given how cosy the restaurant felt, and the good reviews here. Quality control may be the issue here."
The worst pizza / lasagna,The worst pizza / lasagna in the world. Never again. Low quality mozzarella (so bad it cannot be described) and frozen lasagna. Good luck.
Yummy Italian Food,"Cosy, nice dining place that serve very nice Italian food. Love it. High recommend for anyone who like to try out delicious, authentic italian fopd!"
Cosy and relaxed and a little bit of Italy on the East Coast,We were recommended this place by family friends who swore that they did the best pizza. We went hungry for great Italian pizza and we got it!! My kids adored the pizza and I had the pasta which was wonderful. The restaurant had a great energy (Sun night) and you can tell it is a popular local haunt. We will def visit again.
Disappointed,"Liked the food there before, so I ordered the delivery for Mother’s Day. We waited for more than 3 hours, called them many time but never picked up.
Right before the closing time, finally connected, and found out they missed my order even I got order confirmation by email.

The owner offered a half price for the food, even he put disclaimer at the web that it will be free if the delivery took more than 150 mins. He rejected the free dog saying it is not their fault, it is internet fault... un believable

What is the worse, when we got finally the food, no taste pasta, less source even we asked extra source as additional. Grilled seafood messy...

Obviously they rush to cook them.
In the end I was so disappointed at the restaurant unprofessional behaviors and mind-set."
Amazing food and excellent service! Probably the best Italian restaurant on the East Coast.,Amazing food and excellent service! Probably the best Italian restaurant on the East Coast. Would definitely visit again.
Valentine’s Day dinner,"Made reservations but still had to queue outside when I reached. They should not have accepted reservations if they could not ensure there were sufficient tables available. Service was slow inside. Had to wait till 10.45pm for my mains and had forgotten to give bread when I had ordered sides. I was told that there was a minimum spending of $55 per person but there were tables which did not hit the minimum and because of that I had to order more than I could eat and had to takeaway 3/4 of my pizza.

However, food was good and value for money. Would probably only come again during off peak timings"
Amazing food,Amongst all telhe restauramts alforno is one of the best rrstaurants ive ever been to. I tried their steak and it was off the charts. I give it a 10/10.
Service is bad; food standards has dropped,Service is bad. Food standard has dropped. Used to be one of the best Italian restaurant in the east but not so now.
Authentic Italian food,We had dinner at this Italian restaurant at east coast area. This restaurant is famous for its pizza. The buffalo cheese pizza was something special. Service was good.
Happy Meal.,"I gave a try on new year's eve and was able to reserve a table when I booked on that day. The restaurant was packed and we had a table without much waiting. After ordering it took more than 20 minutes before the waitress discovered the mushroom soup has not been served. This was rectified quickly and we enjoyed the mushroom soup which is thick with lots of mushroom. The maun course like Tuna steak and Lamb shank were enjoyable and on the whole it is a good dinner.
We plan to bring our kids to try again next time."
Excellent!,"The atmosphere, meal and service all contributed to an amazing experience. The food tasted authentic and genuine. I would definitely recommend my friends and family to go because they do not disappoint. The Burrata is fresh and creamy. The pizza crust is well baked, crispy yet the inside is still flavourful. i would also recommend the gnocchi pesto pasta as the pesto was really enjoyable too!"
Best Italian food,One of the best italian restaurants in Singapore. Authentic food that was top notch and service was great as well A must to try!
Al Forno,All my guests were please with the food and wine. The waitresses were attentive and helpful. Will return very soon.
Wonderful place to bring your kids and friends,The environment is cozy for kids and a great place to enjoy with friends and they serves wonderful food.
"As always, Excellent.","We’ve been loyal customers to Al Forno for many, many years now. The food and service is always top notch. Will recommend again and again."
