topic,review
First experience on Mt Faber Arbora,"The service staff were professional, able to meet the needs of diners without compromising on standards. Flexible and make sensible decisions."
Lunch at Arbora cafe,"This cafe is always amazing, very good value for money snd staff service is excellent! Best place to bring foreigners as they can get very good views of Singapore as well as enjoy the walks around here. I'm so glad that they hv stayed in business all these years esp after the Covid19 crisis that have made alot restaurants closed down.
Food is local delights and authentic.
For senior citizens (above 60yo) there's weekday lunch package that's so economical. A set is only $16++ , a choice of main course and coffee/soft drink."
Nice ambience and food,"Nice ambience, food. Attentive and helpful staff. Love their kids pasta, chempedak butter pudding and wild mushrooms salad."
Lunch @ Arbora with UK friends,Great service and set lunch option for local seniors. Would be good if this is extended to all seniors (60+) regardless of nationalities. Nice view of cable cars and part of Singapore.
Birthday celebration,"staff was very friendly and accommodating :) food was great and tastes fairly good, suitable for all ages (children-elderly)"
Having a dinner at Arbora,We enjoyed watching the sunset at the top of Mount Faber and it was a wonderful experience. After dinner you can walk around park for the night view of harbor front and the west part of Singapore.
Nice food nice environment,"The location is abit far, but the the ambient is nice, food worth the price and scenary. Jenny is my service attendant, very nice Service. Would recommend to my friend."
Excellent view of the Singapore skyline,"Situated on top of Mount Faber, this restaurant’s unique proposition is that it offers a great view of the Singapore skyline.

Was a bit concern about parking but this was unfounded as it offered a Valet service which is free is you dine at the restaurant.

Food was just above average but service was a bit lacking. We had a server trying to take our order without a pen and paper to take it down and had to call her colleague to take our order.

Food as served quickly.

Ambience was excellent and we all has a good time."
Overpriced NYE meal,"A very lazy restaurant that produced subpar food, I guess because they relied on the hilltop ""view"". My family came here for the Jolly Good Times NYE dinner. Indeed it was very easy to have some sort of outing with young kids (we have a 3 yo and an infant). But I feel strongly that just because we have young kids (and just because you have a good view), does not mean to you shouldn't have good food. Anyway, the meal was $108++ and I would've only paid maybe half that for what I experienced. To be fair, the staff were genuine in their efforts to five you a good time but even the big dessert spread and handful of items that were somewhat memorable (like the chili crab) could not make up for a disappointing experience.

Come here for the view and maybe a beer but wouldn't recommend getting anything else."
"Pleasant ambiance, family style","The staff (Andrea, Dikines and Jenny) were very helpful and friendly. They made our experience more pleasant and enjoyable. We did not wait long for our food and the food was good."
Dinner,Food was really yummy & a bonus that the environment & view were such a steal. Staff service was good & we had enjoyed the meal so much.
Too expensive for whatever it was,"For Xmas Dinner buffet, there was no mint sauce with the lamb roast, no proper gravy for the turkey (only some kind of pumpkin sauce thing), pasta vongole broth was overly salted while arabiatta was not seasoned enough. Angry wings weren't spicy whatsoever , and chili crab was mediocre."
Friday night dinner Singapore,We arrived late but were given seats promptly without a booking. I liked the healthy mains and had the grilled salmon. And a prawn salad. The beer was cold. My colleague had the healthy roast chicken & beer. Good view and great night out in Singapore pleasant weather.
Meal,"The food is superb and the staff here are friendly and helpful. The manager, Krishnan is very nice and the atmosphere is very romantic"
Excellent Service,We were very pleased with the service and food. The staff were very attentive and were always available to attend to us.
Dining at Arbora,"Server Daswini was very patience with me, as I need to explain the food to my friend. Presentation and food portion was good. The laksa lobster was super!!!"
"Great view, patience staff and awesome food","Business dinner we had, staff was patience in listening to us, making table arrangement and changes, food was great and service was good"
Great experience,"Wonderful ambience, good night view, great service. The service staffs were helpful and friendly. My colleagues were happy with this dinner."
Excellent services by Mr Dexter,"We enjoy our dining at Arbora, Mr Dexter was very helpful and friendly. He help us took pics and Video and was acvomodating n efficient in his work. Highly recommneded for his excellent services rendered."
Great Food,My son loves the lobster Crews were friendly Overlooking of SG bay is great Cars were clean and safe
Very good dining at the hilltop,"The food is great, we ordered fish and chips (huge serving good for 1-2) and Lobster Laksa (super delicious, fresh ingredients!). The staff are very kind and accommodating, Dexter was our waiter and he knows what to recommend to us, super kind person. The lovation is very nicely located at the hilltop with good views and fresh air. Overall very nice experience and will definitely visit again!!"
BIRTHDAY DINNER @ ARBORA,"Our family enjoyed the good food, also the excellent service and staff. Highly recommended restaurant!"
Arbora,"Ordered the Striploin steak, pineapple pork ribs, caesar salad as well as the truffle steak fries. Steak was bad that I couldn’t finish it, would rather eat at Astons and the pork ribs just tasted like ribs with ketchup… caesar salad was decent but the truffle steak fries was just super disappointing… fries came with melted cheese that was dry and barely covered half of the fries. Would also be nice if the waiter gave us a head ups that our main course came with fries as well so we wouldn’t get the truffle steak fries but something else. The cocktail that I ordered was super good tho but the vanilla milkshake was average.. mcdonald’s milkshake taste so much better."
