topic,review
Great Indian food,"If you are looking for North and South Indian dishes at one place , this is it. Loved the ambience and food. Special mention to the polite staff. All the dishes are reasonably priced and the portions are Just right. Don’t forget to try their naans and biryani.
I am going back to try their desserts and street food."
Great Indian food!,Great tasting Indian food and reasonable prices on beer too!! The vindaloo is a must try!! Been to a few Indians in Singapore and ordered a few in and this is the best I have had for a curry!
Poor experience,The meal was sub-standard. The tandoori chicken was extremely dry and naan bread was not right. There was absolutely no ambiance - we were in and out within 30 minutes. The place was not well maintained as there were little bugs everywhere.
Zero service,"We were the only guests and were totally ignored. The only cold drink available was Coke Zero, and they did not manage to bring this within 15 minutes. The 2 staff were busy on calls. We got up and left."
Good Food but Service is Kind of Slow,"Food is reasonably priced but the service is slow. Only one service crew. If they could serve faster, that will be good. If u have time to spare, will be a good place for a meal."
Payment,During payment- paid twice via paylah and again at leaving. Not helpful at chope discount. Though at first a waiter assisted and payment went through. Paid prior to visit on 28/2 and on 2/3 using paylah on spot and the when checking out.
Aromas Of India Best Of Authentic North Indian Cuisine & Kolkata Street Food With Elegant Interiors!,Aromas Of India Best Of Authentic North Indian Cuisine & Kolkata Street Food With Elegant Interiors! Dex Ng Mong Meiyan Dexperience
Excellent food and service!,"We actually had the food delivered for a gathering at our place, and Sam from Aromas of India did a great job helping me place the order. He took a photo of the bill once finalized and I settled it through PayNow.

We tried the butter chicken, lamb roganjosh, malai kofta, palak paneer, and methi fish. All the dishes were delicious and suitable for a foreign palette. The fish was a bit dry and a bit tough in my opinion.

The roganjosh was a little spicy on certain bites, but the other dishes weren't spicy yet had lots of flavor.

The delivery fee was a flat S$10 which I felt was very fair considering food panda and other food delivery places in Singapore would not allow deliveries as far away as our place in Sengkang.

I've also eaten at the restaurant once in person before and had vegetarian food with naan that time. The paneer butter masala and the daal we had were delicious and went very well with the naan.

The restaurant itself was relatively quiet, but we did see a lot of outbound deliveries."
Great Northern Indian Food,The food served at Aromas is excellent. I keep visiting them occasionally with family and friends. Great taste too. 😊 Their Gobi Manchurian is superb. Others don't come close.
Great food and service !,"Surprising, we have never dined in at aromas but, have been getting takeouts from here for years. The food is fabulous. Not too heavy, reasonably priced and finger lickin' good. We usually get our staple of paneer, bhindi and channa and they have never let us down. It has been consistently great. The service is equally amazing. The manager, Sam is super helpful, polite and always willing to go the extra mile. We have been getting home deliveries from from a while now and are glad they deliver island wide (at the time of writing this review). Highly recommended!"
Delicious Authentic North Indian Cuisine,"If you love authentic North Indian Cuisine, this is the place to go. The expertly prepared food is very authentic, and taste fantastic! You’ll definitely return for more! The service is excellent as well! Highly recommended!"
Drinks and food,Look the ambience and the service of the staff. Special shoutout to Sam.. He knows his stuff and recommends the right combos. Always feel welcomed here and good vibes.
