topic,review
I wad denied water twice by the waiter,"The waiter who served us, denied us water twice.
I was asking if we can have water. His reply was just “we do not serve water” period.
We can pay for water, but he did not say anything. So we were confused, no still or sparkling water in the entire restaurant?
He only mentioned, your whisky chocolate will come with water. Which was only a small glass.

I asked the second time if i can have more water, he replied again “we do not serve water” period.
I asked “then where did this small glass of water come from” he only smiled and said once again we do not serve water.

To us this was preposterous."
Superb Experience!,"Lovely place with a classy ambience, delicious food that fills our belly leaving you very happy and world class service! Special thanks to Suet Lee who has provided unparalleled service of the highest standard and never fails to make my day! A must try place that will not disappoint!"
1st visit,Food portion is just right and quality is good. They have wide varieties of tea to choose and pot of tea is generous. Cost is reasonable and a good place to catch up with friends.
Do not recommend.,Food was soso only for the price paid. Oyster wasnt fresh and cold when served. There is worm in the fresh oyster. They compensate with another baked oyster.
Nice ambience,"Nice ambience and nice food. I have requested to have a cosy corner and true enough, I was given a cosy corner. I had a great catch-up with my friend. I will go again !"
A happy experience,Food was good. I loved the truffle pasta. Service was excellent. The indochine decor was top notch. Will definitely come back!
Good high tea,A quiet and cozy place to enjoy high tea with my best friend! The staff provide good service and the food is good!
Locals high tea set,service of the restaurant is very good my friend n I very happy with the atmosphere and value of the meal the food taste is good too just disappointed the satay items a bit cold n the rice cube too hard
Liscious Seafood Afternoon TeaSet NOT recommended,"Read the highly raved reviews therefore made a reservation to celebrate my friend's birthday. The grilled lobster was stale and the kitchen offer to replace with a new one. Didn't want to risk having another stale experience so we opted for baked oyster instead. The service was below average - trainee staff unfriendly and no apologies from manager or trained staff to handle our food complaints. Had requested for a birthday dessert via online booking, it was overlooked. And waitress offered to light a candle with the tea set pastries. Total damage for 2pax is $150.65 incl gst & svc charge. Ambience is nice but do look elsewhere for an enjoyable experience."
The food was great,"The restaurant was clean,the veiw is nice and the food was very nice and the service also good. We were seating at the window side. But every seat looks great also."
Nice place but service is poor,"Arteastiq has a flare for its presentation and a cute cozy ambience. Some dishes actually taste good such as the Lobster pasta and Squid ink pasta. They have nice lychee tea, but don't expect a matching biscotti. The strawberry shortcake looks beautiful but the cake is too heavy in texture. Their meats, steak and lamb are not fulfilling and not recommended. The salmon isn't worth it. Yet, the worst of Arteastiq is in its service. You are greeted with no smile and permitted entry should you agree to leave within 1 hour (sometimes 45 minutes). My humble advise: Go to Arteastiq when you are in a pleasant mood, be mentally prepared for meagre service and make a beeline for the more recommendable items."
Comfortable place,"Really appreciated from staff name Suet Lee with friendly services, we enjoying delicious Foods in the night dinner."
"Food is good,service need to be improved","The food creativity,quality,portion and taste are superb. But the service staffs do not understand diners do not go there to fill up our stomach only,it is a holistic dinning experience from food,service and atmosphere. The service crews are task orientated but not service orientated,which can be replaced by AI in future. The few tables near the counter where behind is the kitchen is very noisy,no different from dine in coffee shop. If customers just want pcs of cakes and coffee,there are plenty of nice cafe in Singapore to enjoy the holistic experience that you want to visit them again and again. But Arteastiq is certainly not the one. The staff is helpful but very impatient,and also lack ot knowledge to use the new apps but obviously she does not aware of it,which more traning is required."
Food and service sure very bad,"Why I need to spend 10% fee for service? Food bad especially service. Will do my resource and time to provide my bad experience and rating to Google, Facebook and any platform."
Nice Place But Staff Need To Be Trained,"1)The seat was stained.
2)No one ever picked up the phone, I have called during weekdays, weekends, 10am, 11am, 12pm, 2pm, 3pm, 5pm, 8pm, 9pm and 10pm. Never once answered.
3) You should send your whole team of service staff for training. We dont feel welcomed. The waiter asked me to clear the last 2 portion on the tray while I just placed a piece of food into my mouth. A waitress just blocked my friend's path while we were exiting, the waitress waited for my friend to move to the other side instead of her and No, it's not that the waitress is holding any cup or tray. It's a shame that service is not even up to a basic standard level."
"Great food, atmosphere and server","We were served by Suat Lee, who wowed me with her great personality and service. Our great experience is further enhanced by her wonderful service. Great job Suat!"
Disappointing COLD Chinese manager and being customer-selective,"I and my bf went here for a tea. The place was completely empty when we arrived and has asked for the sofa seat. We were declined and told that “it was reserved”.

For a weekday and an unusual hour of 3pm to 6pm I doubt that’s the case. And clearly enough, the sofas were left empty even after several hours that we stayed there.

One sofa seat was I believe was selectively given to another couple who were dressed better than us. We were dressed very casually.

The cherry on top was I’ve signaled the Chinese (quite plump) manager for an assistance and she TOTALLY ignored me, and look over her waitress as if hinting that I should be calling her instead. She stayed in this demeanour all throughout.

Mind you that she was literally just standing and looking over the almost bare dining area.

EVERY guest should be treated equally and fairly regardless. It’s a shame that the manager itself is a major let down this place."
Inconsistent standard of food,This is my 2nd visit but disappointed to know that the standard of food has dropped. The canelle came without the chocolate wings. The macaron jelly layer was reduced to half the size that I had 1/2 year ago! I only enjoyed the pot of lychee tea and the caviar with pineapple sorbet.
Dayummm,"Fr this is my favorite restaurant ever man like i rly like the duck confit, lychee and pear tea! I'll definitely go again"
Service was bad,"Saw many empty tables but was told to scan the QR code and wait. Then my number was cancelled because I have the same name with the lady in front of me. Crew, woman in black outfit service was bad, she was chit chatting and didn't seems to take her job seriously. And best the table wasn't clean properly and my white shirt was stained. Terrible and disappointed."
Great dining experience!,The place itself was really gorgeous.. the staffs were very polite and charming. Food was excellent specially their steak! Would go back in a heartbeat.
Great to hang out here,It was a wonderful afternoon spent with my gal. We had ordered the lychee cold tea along with the hi tea set. Food comes in quality and quantity.
Value for money.,The food tasted interesting good for most and the high tea set is value for money for 2pax. Service staff wasn’t friendly or approachable at MG outlet compare to PS outlet. The rest was good!
High Tea,"The food is not very fresh (scallop) and over cook (Lobster). Was good to be arranged seated by the window, however, in front of the counter, not that nice!!"
Poor customer service with mediocre food,"Honestly this was one of the most aesthetically pleasing high teas we have been to but the tastes of the food does not live up to its looks. Tables are way too small to fit 3 pax or more.

Service was terrible, even from the managers. Unfriendly and I accommodating that soured our experience.

The only saving grace was the beautiful ambience of Jewel."
This is not my first time...,I love the sarvice here. They're so sweet.. I always come back Even walk in time is just last order they still sweet welcome 🥰
"Great food, Great ambience","The food is really flavoursome and pleasing to the eyes. This was my second visit, and I will definitely come back soon."
Must try 👍👍👍,Must order the teas! Must enjoy the ambiance! Must experience the good food and just overall good unique experience…
Hidden gem in Orchard Road,"While they are known for their signature afternoon tea offerings, we opted to try their dinner fare. We ordered the Lobster laksa, Ozzie bolognese and ribeye, which were all great. Plating was exquisite, portions were generous (considering the price point), and the flavours were spot on. Restaurant ambiance and vibes (dim and cozy) were also a plus, in addition to very amiable staff. Best to come here when it’s not crowded and packed."
Great place to gather and chill,"Enjoyed the Asian delights fusion menu, ambience and service. Took a notch off service as they only serve bottled water (environmentally unfriendly) rather than tap water"
Great food and ambience,Great menu with a good variety. Food was delicious and beautifully presented. Staff was friendly and helpful but the waiting time for food was a little too long even after 2 reminders.
Interesting menu,I love the menu as it cater to people who enjoys fusion cuisine. The savoury tea set was delicious and different from the others as it focuses on fave local flavours. The local take on popular dishes like salted egg spaghetti was excellent. There’s a wide variety choices of dishes for different preferences.
Delightful decor and dessert,"Not often I give five stars. I save five for a place which serves unusual food and introduces me to a new taste. Variety in the decor - the dining chairs, and the menu.
Sharing plates bought the prices down to a reasonable level and added to the fun. They brought up two plates, both different in colour and pattern."
Disappointing,Food is aesthetically appealing but average at best. Escargot starter was extremely salty. Service was completely indifferent for what otherwise looks like a nicely decorated cafe. Disappointing.
