topic,review
Glorious brunch,Service crew quite attentive. Brunch set delightful and worth the cost. Great street view of Orchard road. Cozy ambiance on a weekday afternoon.
Just the Two of us,Perfect place for a High-Tea. A nice location overlooking Orchard Road. Was a little disappointed as the Local high tea set was not available so we decided to order only one Western high tea set and the rest is just add on. My favorite will definitely be the Ice tea desserts which goes well with the hot weather. Overall best food and service throughout.
Unique high tea ❤️❤️❤️❤️,Excellent service. Very nice ambiance. Had the luscious afternoon high tea. Definitely not disappointing. I was skeptical of the bad review but the menu was irresistible so I just had to try it for myself. Every bite is a party in your mouth. I’m not big on high tea but this one is worthy of a high praise and two thumbs up. Wide selection of tea and unique cookies. Will definitely return for more
My fav high tea spot!,"Enjoyed the afternoon tea here. Their lychee tea is my absolute favourite. Refreshing, sweet and light. Love the atmosphere at Jewel, such a great place to just chill and relax."
Great experiences,"I was there a week ago, and honestly this place is one of the highlight of my short visit in Sinagpore. Will definitely be back."
Service sucks,"We ordered 4 dishes and 4 lychee tea, total spending was $153.
When we asked them for table water, they commented that they will only serve one glass of plain water for one drink we ordered from the menu. We were also told that dinning duration was 90min. What we are not happy about is their service staff are unfriendly and rude. When we requested for one plain water to be refilled, we were rejected. Next, they simply brought the bill to us in a way to chase us out. Now, whilst we can understand that the dining duration is limited, the staff should politely handed us the bill. Next, I’m wondering if it is costly to have refill a glass of plain water. I’m not sure what was their concern, if by refilling our plain water would mean we will mingle longer then this is uncalled for as we were limited to 90min of dinning. What’s worst is that, both my friend and I had tummy upset after our meal there. While the food is not bad, their service sucks."
Horrible service from staff,"I fully agree with the other review that their staff were absolutely discourteous. We were a group of 6 and ordered 2 tea time sets (for 4 pax) with 2 additional drinks and small bites. However, when we asked for warm water, the staff actually insisted that they could only serve a total of 5 cups of water as we only ordered 5 pots of tea. We rationalised that we’ve ordered other drinks that weren’t tea and ordered more than enough food too. However they were inflexible and unapologetic about not serving us an additional cup of water. Yes this sounds trivial but I do not get their logic? it is also unbelievable that any self respecting and reputable place would be this calculative over a glass of water.

Besides that, the food was lackluster and but really, nothing beats the sulky and rude service staff. This place needs to do better."
This is my forth time at Arteastiq,This is my forth time at Arteastiq came here 3 times for afternoon tea and once for dinner. They seem to have slight redecorate the window seats by adding white curtains. Previously they accepted reservation by now they don’t only walk in. Their afternoon tea seem to be same and they did not change their pastries or sweets only very slight change. It would be good if they could change and rotate their afternoon so that customers will keep coming back to try different afternoon tea themed or flavors. But overall for the price of $48 ++ for 2 persons is quite reasonable the setting was nice and their famous lychee tea great!
Staff is discourteous,"Didn’t really have a good time. We were very disappointed with the service and unfriendly staff. Afternoon tea set is just a so so ,definitely not filling. Ambiance is good though."
"Food was good, service can be improved","Went on a weekday afternoon for lunch. Was informed that there is a max 1.5 hrs dining period. Service was mediocre, servers had a nonchalant attitude. Drink was plonked down without a word. Squid ink pasta and iced lychee tea was good though."
Lunch with Tea,"A nice and cosy place for lunch or dinner. It can be packed at times. Service was rather good and we had the following: Lychee tea, ginger spiced tea, Viking Prime Frikadel and Boston Love Boat. If you feel in a playful and artistic mood you can try their next door area and have a go at painting."
Great time,I love the service and great meal. Enjoying my day in singapore. Staff good and food delicious teas very very nice. Great evening there
