topic,review
"Great venue, good food and good service",Held a cocktail networking event at Artemis Grill & Sky Bar. Like to thank Adrian (Group Event Manager) for making the arrangement and accommodated to our requests. Also appreciated Celestine for overseeing our needs on the ground and great cocktail drinks by Francis. Thank you team!
exceptional lunch and dinner venue,"Exceptional lunch and dinner venue with wonderful ambience and a great place to do business.

Top notch service by Wes, Daniele and the team too, can't be beaten, very client focused.

Fantastic dining experience with a fabulous range of dishes for all tastes for both lunch and dinner. Amazing quality.

Great range of reasonably priced wines to share too.

Also some of the best views in Singapore from a fine dining restaurant.

What more could you want from a dining experience? Perfect!

Highly recommended."
Spectacular view,"Of course the view is spectacular, but the food, drinks and the staff were terrific too! The combination of octopuss, creamcheese and chickpeas was amazing and I have never eaten such a good iberico pork chop."""
Pre-dinner drinks and snacks,I chose Artemis to surprise my husband with pre-dinner drinks on our anniversary. It was his first visit to Singapore and the spectacular views from Artemis did not disappoint! The cocktails were delicious and the service was excellent. We were both surprised when one of the waiters appeared with a dessert for our anniversary! Would definitely return and stay for dinner next time as the snacks we had were excellent. Thank you to the Artemis team for making our night extra special!
Unsavoury experience,"I visited with family on a rare Friday evening opportunity. Booked well in advance, and had submitted a post-booking email request for a window-side table. On arrival, they showed us to a corner table on a platform, which seemed quite isolated from the main restaurant space. They had never bothered to inform me that my request wasn’t going to be honoured. Clearly a devious strategy, because they ask for credit card details while booking, and have a cancellation fee, thus not leaving me with the option of “walking”.

Upon asking to see the GM, I was made to wait for 10 minutes. When he showed up, the stance wasn’t friendly at all. The position was that my request wasn’t received and that I was in any case given a window seat. Well, I was not, because it was a platform seat in one corner with a partial view. Be that as it may, I didn’t argue, but simply requested for my table to be swapped with one that had a proper window view. This is where the proverbial “rubber met the road” and the GM declined, stating that they were all booked 40 days in advance. Really?? Obviously I couldn’t ask for proof (and, at the end of the day, I was out for a “pleasant” family dinner), but is it believable that ALL window seats were booked 40 days in advance??? Secondly, it invalidated his stance that I was given a “window seat”; reminds me of George Orwell’s Animal Farm: all window seats are equal, but some are less equal than others.

I then requested for ANY table in the main hall, instead of on the platform. The GM declined, saying that ALL were booked. Whilst I get that the restaurant was 100% booked, but surely they could have changed the table to another regular table, albeit not a “precious” window table? Especially when the restaurant was quite empty at 6:15 pm!

Finally - to all potential visitors to this restaurant - please note this: the GM made a mocking “namaste” gesture. Why?? Because I am a South Asian? Did this person think that because I am a South Asian, this is the right gesture to use with me? In an international city like Singapore? I found this DOWNRIGHT UNSAVOURY AND OFFENSIVE!!!

I am a regular visitor to top restaurants in Singapore: Garibaldi, Pietrasanta, Morton’s, Lavo, Zafferano. I have never ever had such a bitter experience.

Finally, the end note: there are two of these platform tables at the far end of the restaurant, isolated from the main hall. We were seated at one. May be it’s a coincidence that the other one was also allotted to a South Asian family? May be not??"
A great place for multiple occasions,"Was looking for a place to host a foreign dignitary before he ends his term in Singapore. Made the decision for Artemis as it was also a place he had not yet visited during his stint.

Though he came late for the dinner as he was held up, the restaurant made sure I was comfortable while waiting (45 minutes actually) and didn’t asked if my guest was coming yet.

We were given a table by the window which had a fantastic view and my guest loved every bit of it. We really appreciated that we could get the window table as it was a nice gesture for my guest who would be leaving Singapore by end of this month, so having a great sight of Singapore would anchor such into his memories.

We ordered our food and everything was good as expected. My guest commented how fresh the Barramundi was and that the food was excellent. It was the first I tried the Burrata and the peaches created a very nice complementary flavor to the overall taste.

Artemis is a place highly recommended, great for romantic evenings, business, hosting of important guests.

Would be sure to have this as one of our regular visits."
Impressed and will return,"The gem lettuce salad and ancient grain ones were tasty. Balanced flavours and good mix of textures
The black cod was a little over cooked but lamb chop was tender and well flavoured
Enjoyed the sides
The “dulce/ crème brûlée was smooth and not too sweet.
The view was awesome, service was pleasant and so thankful the restaurant doesn’t charge for still water"
Wonderful experience,"We booked for the bar experience but decided to stay for dinner and luckily they had a table for two available, the last one.

The food menu isn’t extensive but covers off most tastes. We skipped entree and went straight to mains, choosing chicken breast which was done in a sun dried sauce with a polenta base - very tasty and delicious. The other main course was black cod with a cream sauce, the fish was cooked perfectly. We had two sides; Greek salad and mashed potato but not as you know it - the mashed potato was the best surprise, coming as a rectangular block which contained shredded potato, really awesome and different way of serving potato.

All dishes were awesome, tasty and well presented, nothing out of place.

The only reason for providing 4 stars instead of 5 was two-fold.......they asked me if I wanted another glass of wine and despite not finishing the previous glass, poured the next glass on top of the previous glass. Secondly, we had barely finished our mains and the wait staff asked if we wanted sweet. Timing is everything, always great to let people savour what they’ve just eaten before landing the next course on them.

That aside, would recommend this restaurant."
A first class restaurant to celebrate birthday!,"I went to Artemis for lunch to celebrate my birthday. It was a memorable experience, and I highly recommend. First of all, they reserved a window table for us, just as I requested for, with a great view of the MBS. Second, their service is first class. They took pictures for us. And most importantly, they offered a free birthday cake with candle and beautifully written “happy birthday” on the plate. Finally, the food is excellent. The fish I had was very tender. And my friend is vegetarian, and she is also very happy with her dishes. It is definitely a five star experience!"
The poor iberico pork marred the dinner experience,"The setting and locale of this restaurant is fantastic - the night views are quite amazing. We were seated indoors but if weather is fine, outdoors seating at the bar area is even better. The menu is pretty short - which is a good sign because that means the dishes should all be well executed. The starters we ordered - the Scallops Crudo and the Burrata were excellent. The Octopus was decent as well but I wouldn't say is extraordinary. Then comes the grilled platter which cost a cool $350. The Cote de Boeuf was great - grilled to perfection. The lamb chops were good too. But the reason why I did not gave 5* is the iberico pork chops. I know what Iberico pork look and taste like, I have personally bought lots of iberico pork and cooked them myself. Let me state categorically the 4 pieces of Iberico pork that came WAS NOT IBERICO PORK. It was drier than the Arabian desert and pretty tough. Unfortunately my guests have already consumed 2 pieces of the pork and it was brought to my attention. I complained to the head waiter who was quite defensive - told me that it was Iberico and that I should have raised this complaint earlier. To his credit, he replaced with a dish and this time, I know it was Iberico. So - my message to the restaurant - don't challenge your guests - I know my meat because I buy and cook meat very often. I know how Iberico taste like...so don't assume guests are ignorant. Otherwise, the rest of the night was good and service was good as well."
