topic,review
Stellar Cantonese cuisine with fault that is so hard to find,"Since its recent reopening in Fairmont, I have already been here no fewer than four times. The standard is exactly the same as before. Star dishes, amongst numerous fantastic offerings, are the Peking duck, drunken prawns, steamed fish, steamed chicken soup in coconut. Service is also very attentive,.

This remains within my top five cantonese restaurant recommendations in Singapore. It is almost always full whether weekday or weekend, so it is wise to make a reservation."
Extremely Over price restaurant and low quality of food for the reopening,"The reopening of this restaurant does not live up to the name as used as used to be.

The standard of the dishes has drop. It believe the hawker Zhi cha can do better.
The prices of all dishes is extremely over price. Ok to pay more but this standard cannot qualify the pricing.
Service is slow.

Don't recommend ."
Fantastic,"It's my family frequent restaurant before COVID, it's good to be back again and they are still maintaining high standard on their food! Love it."
Quality Lunch,"On a Sunday afternoon we decided to have a quality lunch. The restaurant was popular with families for their Tim sum and specials on offer. We chose 3 dishes of tim sum which tasted good. From their Har Kow, pan fried carrot cake and shrimp with bean curd skin was deliciously good. We ordered their sharks fin soup on a hot stone, and braised abalone. It’s quality food and tasted awesome. They had a promotion for $38/bowl and $48/ abalone respectively. For dessert their Ornee (yam paste with ginkgo Nuts) is nice. They have an extensive menu. Service was prompt and friendly."
Visit to Asia Grand Restaurant,Food and service was great! Dim sum freshly made. Ambience is nice. Will bring my family and friends when SMMs are lifted.
Authentic delicious Cantonese cuisine,"I have been here on several occasions; even an Indian friend of mine who doesn’t quite like Chinese food - likes the food here.

This evening I made a few interesting discoveries.

Firstly they do serve dishes that are not inside the menu. The Captain recommended Claypot liver - and it was excellently done! He said this is not always available hence it isn’t in the menu.

Secondly, the other dish that is not present in the menu but you could request for is baked prawns with white pepper. Simply heavenly.

And that’s all I’ll write. Because everything is as good as as usual.

Obviously, we will continue to patronise :-)"
Fantastic HK cantonese fare with warm attentive service,"Had dim sum lunch with my family recently and the food was great as always. Peking duck and bamboo clams were excellent; consistent dim sum nibbles. Staff was attentive and warm, very delightful experience for my parents who have been kept at home. They happy most important. Good crowd and restaurant has set high standards and professionalism even in a trying covid situation. Safe distancing measures and covid protocols were observed and hygiene well practiced. Thank You."
Good quality food and services!,"Love their service staff and their food. Special shout-out to Mr. Peter Chow, he always recommends good and yummy dishes for the family. My child is very picky, but she managed to finished her big bowl of rice just with their daily doubled boiled soup!!!!!!"
Food not good,"no standard at all , all the food, except maybe for the roast duck. Disappointing. Worse than Crystal jade."
Great food. Been a long time,Great food. Been a long time customer. Steamed fish done properly and tasteful. Service was excellent too.
Will not be back definitely for sure ... Period.,"I was doing work- & staycation at Fairmont so wanted to come here for dimsum lunch based on good reviews.

Booked 1 week in advance on 21st Aug via their website and received email confirmation. Upon arrival on 28th Aug, my name was not on their list, and showed them my email confirmation. They assigned a lousy table besides the fish tanks near the kitchen. No apologies given, except the lady in charge of the entrance asked for my contact so she could check if they had wrongly listed me on other day, but never came back. In better restaurant, I would have gotten some sort of complimentary drinks/appetisers, guess this is not 5-star service but price is definitely not worth their service.

We did not wait long for the dimsum, overall taste so-so. Teochew dumpling night wok hey taste. Do not order the hot & sour soup, extremely disappointing. At last the Fried Taro saved the day, and they are currently extending 20% discount except for promotional items."
Sumptuous Dinner,Very good food and good service. We went for the package which comes with the suckling pig and roast goose and abalone. The price was on the higher end but it was a delicious dinner.
"Good food, would be back to try Dim Sum","CNY 8-person set menu was reasonably priced and I love most is the peking duck. However dish interval was abit long, could be better if we did not have to wait for quite awhile for some dishes to arrive on table."
Fabulous Food,"Their Tim sum varieties is quite unique. You get pig stomach soup, Peking duck, suckling pig and push cart with Tim Sum going around."
Another decent dim sum lunch at Asia Grand,I came back here for another decent dim sum lunch experience in August with a friend. No need for a reservation and the usual good quality selection of dim sum available. One of the better dim sum choices in the vicinity.
Comfy Place to Have Dinner,"My siblings decided to treat my wife and I to this place. I found it quite nice and comfy in a private room. There were seven of us and they decided to give us a room. Overall, it was a comfortable place, nicely spaced tables if you are on the outside.
Service wise was very attentive and impeccable.
Food wise, the Suckling Pig was very well done, Everybody liked it. The Roasted Chicken was also nice, however, I found it a bit dry, but the rest of my family liked it.
Hor Fun was very nice and it was my wife's fav dish. It had a generous amount of large prawns, squid and scallops. I did not touch the Yam as I did not take a liking to it, and again, the rest of them enjoyed it very much.
Can't remember which type of veggie but it was ok to me. Finally, a huge plate of prawns with salted egg, very yummy too.
Was told they serve Dim Sum too for lunch, so, we will try at some point in time.
They had free wifi, but, need to ask for password. But, we did not bother."
Stylish and first class,"Was asked to be there by friends. Was greeted by a very nice Manager in a suit who escorted us to our friends because we were late. Once we settled in the dim Sum started and it was excellent. Service was good, food tasty and drinks fresh."
Elegant traditional Chinese cuisine with great service,"You have the feeling you are in one of the elegant and traditional restaurants in Hong Kong. Service is caring and personalised. The owners after so many years are receiving guests with their best skills and the food is simply great: A variety of Chinese cuisines, from the roasted cantonese meat platters, to the roasted duck from Beijing and several seafood delicacies. A great restaurant for an evening dinner."
Very professional and delicious,"We were invited by Singaporeans to this restaurant for lunch. Greeted at the door and escorted to our table by a very nice manager in a suit, it soon became obvious that we were on for a treat. Excellent service then the Dim Sum. Each dish tasted like it had been made just for us. I had an excellent Cabernet and the food just kept coming: assorted dumplings, noodles etc. Suddenly the table went quiet......everyone concentrated on the food. I should have written down what we were eating but the gathering, the atmosphere and all of these dishes ....well I can't remember. This is yet another restaurant that I would definitely return to."
Decent dim sum,I came back here for lunch recently with some colleagues and ex colleagues. 4 of us for around $100 with a good selection of dim sum chosen from the menu. Quality was good and the service efficient.
excellent evening at the restaurant,"very nice discovery for this dinner, the dishes were beautiful, the service of cutting the duck a real show! The exquisite flavors, for broth too, l had never tested this in Europe! Thanks thanks for the invitation of our guest!"
Good and Friendly Service,"I have heard so much about this place from relatives and friends and reading reviews and finally visited this restaurant on 4 May 2019 to celebrate my brother's birthday.

There were a total of 10 adults, 3 active young children and 1 toddler, and the restaurant was able to arrange a table to fit all of us.

The restaurant is located a stone throw away from the City Hall MRT station, behind Carlton Hotel.

The service team was very friendly, patient and accommodating to all our needs and requests and serving of our orders were swift and efficient. Kudos to them to maintaining good service standards despite the restaurant serving at its max.

The quality of the dim sum were above average and the price range was reasonable. The only disappointment was their dessert. I ordered the yam paste which was savory than sweet - I am not sure if this is done to a specific dialect group's specification but I was looking forward to the sweet version.

Overall, I would recommend this restaurant as an option to visit for dim sum. The restaurant is very popular and very crowded, hence, if you want to dine here, I would highly suggest that you make a table reservation to avoid disappointment."
Great place for dimsum,"Great selection of dimsum varieties, fair prices and efficient services. Suggest you make reservation as they looked busy and likely a long wait if you're walking. They are pretty strict with timing also and will be ushered out so the next seating can come in.
Will be back .."
Sum Yum Dim Sum,It's been a while since we have indulged Dim Sum but we were hosted here today for lunch which proved a very special treat. Great food from the get go - no dish was a disappointment and the sauces complemented each non dumpling dish. The service was attentive even when the last lunch surge arrived and the families piled in. Book ahead - its a popular spot.
Fantastic Chinese restaurant,"Nice and top notch atmosphere. Good duck, bass and chicken legs dishes. Recommend for family brunch or dim sum time with friends, excelsior customer service. Clean and great customer service."
Totally satisfying !!!,"My 1st time and I am totally smitten by the food & service. Most amazing and Must try : chicken soup in coconut, stuffed scallop with seafood & truffle. The chicken soup has the sweetness of coconut which gives the soup a refreshing nutritious taste. One bite into the Stuffed scallops and you will screaming JOY.. it was full of flavour, creamy, and great taste. My favourite!!
Adding on to the gastronomic experience is the outstanding service by the staff who were so attentive, alert, friendly who tops up drinks without asking, prompt response and yet knows how to gives private time to diners without intruding. Special mention to Alan & Mee Ling !
Definitely coming back for more !!"
Cheater,"I ordered a Peking Duck and the waitrese suggested to have the duck skin served with the pan cakes and the rest can be served with noodle. When the noodles was served, the portion is rather small and I asked if they are really sure this is with a whole duck. Surprise, surprise, the answer is they are only using part of the duck breast for the noodle and the rest are ""thrown away"". On the menu and on the bill - i am paying for a duck, not just the skin and part of breast.

They also argued they are doing an ""offer"" with the duck which used to be much more expensive. I really don't understand the logic but I guess they are implying they are marking down the price for a reason.

Food is average but this kind of dirty trick is really bad."
Nice cantonese cuisine,Our group enjoyed our dinner. Service staff was polite and the quality of food is good. They have private rooms for special functions which is quire rare in the CBD area.
Your best bet for good Chinese food in this area,"I have been here on several occasions with friends, family and business associates.

Consistently good Cantonese food here, lunch or dinner. If ordering ala carte, go for bamboo clams, Peking duck, flambé prawns, pipa bean curd, steamed fish. Even my Indian friend likes the food here (she is quite picky with Chinese food). Desserts are pretty common stuff, though, but excellently done. Service is attentive and efficient without being obtrusive.

Around this area (Raffles hotel, raffles city, bras basah), this Chinese restaurant is a clear winner. Wah Lok from nearby Carlton And Kai garden in marina square would each be a close second to this."
So so,Dim sum was average. Peking duck was very normal. Service initially was good thereafter mediocre. After finishing all the dim sum. Waited for half an hour before being served the balance of the duck despite 3 reminders. Plenty of staff acting busy and they acknowledged ur request without actually relaying the orders. Only when I asked for the bill and tell them forget about the duck did they actually responded to serving the balance of the peking duck
Great service and good food,This is my family’s go to place for dim sum and also for our reunion dinner for the past 4 years. Food is good and coupled with great service! Highly recommended!
Chinese Cantonese Cuisine,Very good dim-sum. This is a good restaurant for larger parties. There are private dining rooms available.
Yummy Dim Sum,Dim sums were generally good except that the xiao long bao was an okay item to miss. The bite size egg tarts just leaving you wanting for more.
Tim Sum,"I finally had an opportunity to try out the restaurant as I was looking to entertain our foreign guests living nearby.
We decided to try out the Tim Sum as the restaurant specially opens early every Sunday at 10am.
The place was cosy and atmosphere was good.
The food was good especially the roasted pork. The service was good and prompt. We like it and enjoyed very much the Tim Sum."
