topic,review
Birthday Celebration with Friends,We chose to have dinner & birthday celebration @ Asian Market. Served by Azizi - very attentive & courteous. Made our visit much more delightful.
Birthday/ CNY/ Get together,"Good spread for the buffet table, love the durian pengat, even enjoyed preparing my own food like the rojak and laksa.

Azizi is also very thoughtful in ensuring that our dinner experience is relaxing and that we stay hydrated by topping up our glasses with water. For that we are truly grateful for his kind attention."
Appetising food spread with exceptional service,"This is our first time back to Asian Market Cafe post Covid.
The food didn’t disappoint at all - the plethora of both local and seafood delicacies were appetising especially the salmon dishes.
The service was impeccable with the wait staff being extremely attentive. Thank you Imran and team! We will be back for sure!"
Lovely,"Food are good and amazing environment. Staffs of Asian market cafe are are friendly and one particular staff,Azizi was great and friendly helping us with enquiry and photo taking despite was busy.Good job 👍"
Dinner at asian market cafe,The staff working there are very professional and prompt especially Azizi. He is very friendly and even had small talks with us and made our experience there even more fun and welcoming. A staff like Azizi is an asset to any organisation he is working for. Keep up the good work!
Excellent service on Christmas eve,Dined here with family on Christmas Eve. Was served by Azizi who was very professional and attentive. Thank you for the excellent service!
Christmas eve lunch and also niece 21st birthday,"Azizi is a very attentive, friendly and helpful. We will come again next time ... merry Christmas and a happy new year"
"Great food, even better service",Thank you to Azizi and Shobana for being meticulous in arranging our dinner celebrating the birthdays of 2 ladies in our group. The food was delicious and the offering left us having to ration our portions in order to try everything. We thoroughly enjoyed the experience.
Very expensive !!,Food was ok but shockingly expensive @ $100 pp. but does include water. However you can force as much food as possible down !
Wonderful service,Great service from Mr. Azizi. Promptly served us the drinks without any hiccups. Highly recommend to visit
Best service,I ate with my friends our table was clear very fast and the service staff Aziz is very professional and friendly with his service.
Halal lunch buffet,"Found this place on Google (5 best Halal buffet in Singapore). Wonderful ambiance, superb service and the food is amazing. So many choices that I didn't even finish tasting them all. Highly recommended."
Review,"Been to Asian markets for many years. Their menu has streamlined keeping food wastage low. Good job. Don't worry the favourite items are still on the buffet menu. Service was awesome as always, Azizi was cool enough to bounce off puns I was giving. We had a good laugh and everyone was happy. Thank you so much for the hardworking staffs at the Asian Market. We had an awesome wedding anniversary lunch :)"
Family BD gathering,Mr Asmadi is a very entertaining staff. We have a great lunch and he is like the icing on the cake to top it all.
Dinner,First time coming to Asian Market Cafe. Spacious & good place for gathering. Variety of food selection. Fast service by the servers.
"Had a great experience at Asian Market Cafe, Fairmont","Had a great experience at the restaurant. Ambience was good and staffs were friendly. Special mention for staff Mr Asmadi who was very helpful and friendly, and he even joined in to sing a birthday song for my father. Thank you Mr Asmadi!"
