topic,review
Beautiful Bar & Drinks,"I was served and recommended at breakfast to this amazing bar. I loved everything about the Astor Bar. From the live Jazz music to the great service by the lovely staff. She made some of the best drinks I’ve ever had in Singapore. Thanks for the memories, I’ll definitely be back.

Many thanks to Chistianne & Rezza"
Amazing Imran!,"It’s my #1 spot to have a drink in Singapore Such a cosy and exquisite place to chill and have a drinks, the champ Imran always making top nudge cocktails driving back to Astor bar again and again."
One Drink & I Literally Go Home,"Stepped into the bar and was instantly greeted by a smiling face. Stopped in to just try their signature Bloody Mary and ended up striking up a conversation with the friendly team. Got a few amazing local recommendations and thoroughly enjoyed my time.

To Raza and Sahil, you guys are superstars and made my night."
Gorgeous Bar,"Gorgeous Bar, amazing food, and great service. Would definitely recommend a visit here. I would recommend ordering the truffle fries, they are delicious!"
Fabulous NYE cocktail brunch!,Fabulous cocktail brunch in Singapore! Child free makes it a laid back enjoyable adults only experience in keeping with the St Regis DNA. Great food and great cocktails. Excellent service. Who could ask for anything more!
Proposal success,"Amazing atmosphere, and wonderful service from both the counter staff and the jazz band! Special shout out to Ianne, Rena, Jisu and Virat for helping make this special occasion a success! They were all so helpful and accommodating with my request to make my proposal an excellent success . The band was also so helpful with playing our favourite Jazz standards for the evening. The complementary chocolate martini were really such a nice way to round up the celebration and evening. A must visit for jazz and cocktail lovers"
Wonderful night !,Visited the bar after my dinner upstairs. A very warm welcome from the lovely Korean lady - JinSoo. We were so happy to have her recommended cocktails. Just nice for that night! Great ambience and very good services. Sure will visit again. Thank you !
Such an incredible night!,"I brought a couple of friends to the Astor bar and met Christianne, who was so friendly and accommodating. She even recommended and made cocktails perfect for our liking! It was such a lovely night so we drink more than we planned to.😅"
Amazing chill out Bar,We’ve been to this bar numerous times and it’s out 1st time sitting by the bar because it’s full house tonight. Guess what? It’s amazing chatting with the bartender and pick up some skills in artisan cocktail. Can’t wait to try out some of the tips provided by Imran.
Good to be back!,"It is over three years since I last visited Singapore and I took the opportunity to pop into the Astor Bar, an old favourite haunt of mine.

I am delighted to report that I received an exceptionally warm welcome from Imran and Ron. Service and standards were impeccable as usual, but more importantly for me was the genuine friendship and hospitality of the team. This is a place where relationships are built as opposed to transactions undertaken. I felt valued."
Drinks are strong!,"If you like a strong drink, this is the place to go! Their specialties are spice infused drinks, if you like spices then worth a try!"
