topic,review
Excellent location and good food,"We sat outside in the garden and it was a very nice evening. We had three different rillettes and the escargots as starters. Very good! Waitress found us a bottle of our favorite white wine although it was not on the wine list anymore. Good service! The lamb shoulder was very tasty and smooth inside (cooked sous vide) and after some minutes under the grill crusty outside. Veggies were good as well. Yummy! Summary: a lot more choices on the menu as for example „Pucks“ at MSB, good service, good food and wine at high level for reasonable money, relaxed atmosphere. A good choice for lunch and dinner!"
Good food let down by the service,"The menu at Atout is small and we didn’t find it exciting, but it did feel like comfort food.

It seems to be an increasingly common local phenomenon in Singapore that restaurants charge like fine dining without offering the service that should come with those prices.

Our evening at Atout was like that. The restaurant wants to be “casual” but that crosses over into “sloppy” when the service staff aren’t quite sure what they are doing. When we had questions about the menu, our server had to call over a colleague to answer them, and a request for drinks and condiments during the meal was forgotten and we had to repeat it when the waiting had gone on too long.

When you are being charged for a “butter degustation” to go with the bread that you are also separately paying for, that shouldn’t be the way. Either you are providing the dining experience that matches your pricing, or you are not. We felt that Atout was not."
Fine Groceries and Delicious Food,"I found out about Atout, one of the few grocers who carries Kampot Pepper, and so I'm off to check out this place.

Smoked Salmon Rilette with Mixed Greens & Pickles is full of colours and flavours. The tanginess of zucchini and carrot refreshes the palates while the greens is crunchy and full of flavours due to zesty seasoning oil drizzled over it. I'm not exactly a salad person but this salad wins me over. Salmon rilette has that subtle distinctive flavour of cooked salmon, and this subtlety is exactly how I like it. The pink peppercorns sprinkled over this spices things up. A well-executed dish.

One of the perks of dining here is that bread and French butter are included in the set lunch because the warm bread with soft fluffy interior is delicious. I can actually finish the whole lot of them, whether with butter or on its own. What is even better is that the French Conviette butter given is oh so amazingly good. Within the buttery, super creamy goodness, there is a very light hint of citrus, which refreshes the whole taste of the bread. This is so good that it is totally worth it to come to this restaurant to dine just for this butter.

And extra information: this butter is certified AOP (Appellation D'Origine Protégée), meaning that it is a unique quality product produced with au naturale ingredients, strict standards and specific methods.

US Kurobuta Pork Cheek braised in Red Wine, Carrots, Mushrooms and Potatoes is such a hearty treat. Generous portions of tender, gamey meat and potatoes will delight Braised Meat fans. The pork is so tender that I can use a spoon to lightly scoop out a chunk of pork. Unbelievable. Obviously, lots of effort is put into making of this dish to make the meat so tender.

I love Valrhona Dark Chocolate 'Nougat Glacé, Almond Tuile because not only it is good, full of the intensity of quality dark chocolate, and the texture is so unique. It is slightly sticky and chewy, just like chocolate nougat. I'm surprised by how good chocolate can be when in chewy form. To make it even better, after a few chews of the chocolate, it melts into chocolatey goodness in the mouth. This change in texture is interesting and for practical purposes, it does not leave chewy bits in the teeth. Almond Tuile is a nice complement to the chocolate to add the crunchiness texture and nutty flavour to it. This creation is another one of those desserts that I think deserves a special trip down to try out.

The place is of stylish interior with dark wood framing the full length windows overlooking the lush greenery outside. This is perfect for an idyllic day out for families, couples, friends. The service is very good and attentive, without my prompting, they automatically come up to clear the plates, fill up my glass with still water and even clean up the water spilled by me immediately. Extra compliments to two young service staffs: an Indian guy and a Chinese gal, I didn't get their names though. All of them are very friendly, and the dining experience here ends on a good note with the guy at door bidding farewell.

I like this restaurant a lot. In fact, I prefer this place over another one of similar concept (dining + grocer) due to the extensive menu, unique creations, the value-for-money set lunch and good service. This is a great place to recommend for gatherings and yes, even for solo outing to just enjoy nature with the good food."
Reminded 4 times before next seating!,"The food was ok. What made the dinner experience extremely unpleasant and distressful was that we were reminded to leave four times before the next seating at 8pm – first upon arrival, second and third throughout the dinner, and finally at around 7:50pm, we were shocked to be presented with the bill.

Before 7:50pm, we were asked what dessert and drinks we would like to have. We ordered a Crème Brûlée and two pots of Earl Grey. When we were presented with the bill shortly afterwards, we were under tremendous pressure to consume all that we had just ordered including our leftover wine in 10 minutes.

There were guests at two other tables who were already seated before we arrived, and it was puzzling why we seemed to be the only ones targeted to struggle with our dinner. The high frequency of interruptions to our dinner was very disruptive to our conversations. In fact, this was the first in my life growing up in Singapore where I have received 4 dinner deadline reminders before the time was up.

We also noticed at the end of the dinner that not all ladies were given baskets to put their handbags into. The lady beside our table had her bag placed on her laps all throughout her dinner, while ours were placed on the back of our chairs which could not prevent them from falling off due to the open backrest.

By the time the bill was presented to us before 8pm, we had already lost our appetite. We obviously could not finish what we ordered having to deal with the continuous stress that made our stomachs a little sick. At around 8:30pm, there were a handful of empty tables, and that made us wonder more about why we seemed to be the only ones pushed.

The manager came over to apologise about the repeated reminders to leave and offered to waive off one pot of earl grey.

Yes, one pot of tea.

Not only will this compensation of tea not bring us back again, it is a shame that we will not be able to recommend it to our friends. We left with an awful memory of what happened at Atout on a Friday night.

This is definitively not the service standard of a restaurant – a French restaurant. There is certainly a lot of improvements the restaurant has to look into if it wants to maintain good class service and remain competitive in the market."
French for asset,"What used to be Le petit salut is now Atout, though the chef is the same i read

Pleasant ambience with the garden and greenery outside, outside seating too, if not too hot

We had the set lunch, priced more reasonably than dempsey cookhouse. Starter of heirloom tomatoes was fine, can’t screw that up. My pasta was overcooked and limp. Dessert of truffled brie ok

Service ok

7/10"
"Excellent food, patchy service","We had dinner at Atout on 5 May 2022 to celebrate a very special occasion.

The French onion soup must be the best in town, and the 500g “Pepper Crust” Angus beef ribeye with brandy sauce was so good that the 200g chargrilled beef tenderloin with Hollandaise sauce paled in comparison to it. In other words, if you love beef steak, go for the 500g ”Pepper Crust” ribeye. You only live once.

The beef tenderloin was served with mashed potatoes but the “Pepper Crust” beef was served on its own without any sides. So the salad we ordered was a necessary accompaniment, but with hindsight, the potatoes as sides weren’t necessary, as we were already very full.

I can’t remember what we had for dessert. Probably a molten lava chocolate cake or something.

Truth be told: We had really looked forward to the evening as it was a very special occasion. Also, we had to cancel our reservation a year ago due to the pandemic (in quarantine and I was so very disappointed then!). The food was excellent and the ambience was really lively, p-a-c-k-e-d with diners who included regulars. But the service was disappointingly patchy, which is why I’ve given it 4/5 stars. Our experience was somehow marred, and strangely (or tellingly) I don’t have any photos of our meal.

Will I return? Perhaps. Because the beef was really, really good. But I think we’ll try other restaurants, and return to the consistently friendlier ones before returning again."
Burnt my tongue,"Visited on 21 June 2022. Soup was served boiling hot without warning. Staff didnt warn about it, first sip after blowing it a few times and my tongue got scalded really badly.

Horrible service. No follow up no apology no ice until I pressed on and wanted to complain."
Very good food,"Been here twice and enjoyed myself both times. The food is very very nice and we order the 1KG tomahawk to share with sides and a wonderful selection of wine to go with the food.

Reasonably priced and the outdoor area is not too hot during the night."
Missus’s Favourite Lunch Place,"Once again, had a great lunch here, coupled with excellent and super friendly service. We loved the rillette starter, with the delish fresh bread. The Toulouse sausage was tasty, as was the squid ink pasta. The dishes were also well presented.

And we ended the meal with my favourite dessert of truffled brie with fig jam, and the chocolate roll. Drinks of lychee and lime, and expresso, were okay.

Do take the time to check out the shop upstairs, where you can find good vinegars and peppercorns, as well as a great selection of wines, gins and even Atout’s extra virgin olive oil."
Lovely evening spot,Came for dinner in my first trip back to Singapore for two years. Enjoyed Pate and Rillettes to start. The rillettes were so good especially on the gorgeous French bread. Pate's were also good quality. I would have been happy to have eaten these through the evening. We didn't though and each ordered the most delicious sausages to follow with two bowls of chips. Fantastic!!!
