topic,review
Good Greek Food,"Greek food is very different in taste from French and Italian food, but it is delicious, simulating, filling and hearty nonetheless. And dining here feels like being transported to a sunny town in Greece.

Looking at the menu, I decide to order Tzatziki at first look because I like its ingredients of Greek yoghurt–best yoghurt, cucumber, garlic and olive oil. The service team lead is very thoughtful to suggest two dip platter instead, so that I can try another kind of dip and I, as a solo diner, will not be overwhelmed by huge amount of one of kind of dip. I opt for Taramosalata, which is white cod roe with lemon juice and breadcrumbs.

Tzatziki is so creamy and refreshing in taste. The tangy flavour of the yoghurt complements the cool element of cucumber so well. The garlic adds a hint of distinctive aroma to further spice things up. Spread it on the delicious pita bread with pillowy interior, this is pure comfort food, with lots of zest.

Taramosalata is more intense in taste. Not bad, but I prefer Tzatziki, which totally whets the appetite.

Super fluffy bread with crusty exterior is a joy to much on. This is the first time I try bread sprinkled with rock salt and oregano, and I love it.

I get a shock when Htapodi, aka the Octopus, is presented onto my table. My first thought is, ""Is it possible for me to finish this?"" And to add on to it, I'm not even a fan of octopus.

But this dish manages to convert me into a fan, and I know now why this is a speciality of the restaurant. The octopus is unbelievable tender. In fact, this is the most tender octopus I ever have, baby octopus aside. Slightly chewy but still easy to bite, packed with light briny flavour accentuated by splashes of lemon juice, and laced with a thin layer of smoky taste and charred meat, this is oh-so-good. By the way, I easily finish every bit of this.

Galaktoboureko, which is flaky thin Filo Pastry stuffed with semolina custard and Greek honey syrup, looks simple and is simply yummy. Semolina is a kind of durum wheat used to make this custard that is slightly different from the usual custard. This custard has more structure and is more curd-like in texture, I like it. And it pairs excellently with the slightly stretching thin pastry.

The place is beautiful: full of little details, like the bird-like lamps, the bougainvilleas, the straw-hat lamps, ratan chairs, , white-washed walls, full-panel glasses to let lots of natural light in to add to the dining experience. It reminds me of the famous Greek island, Santorini that I see in the photos.

The service is very good, being polite, professional, friendly and prompt to response. The team lead guy takes very good care of me by informing me to order dessert later and offering to hold my order of chicken skewers due to the possibility of me not being able to finish everything. And true enough, due to the generous portions of food, I have to limit what I can order. I'm really impressed by this thoughtfulness.

There are other food items that I really want to try here, not to mention a dining experience here really perks up my interest in Greek cuisine, so I look forward to be back again.

Thoughts: Greek food is awesome!"
Fantastic!,"Absolutely phenomenal! We loved the food and the wine and service was very warm and personal, much better than what you get while dining out on average. It was our first visit and we will definitely be back!"
terrible cashier,"The foods were good, and the service staff was excellent.
However, the cashier staff was terrible.
She looked very angry about something and ignored me for more than 10 seconds.
She made a loud sound to do a cashier job in front of me. I was so disappointed and got unhappy feelings."
Good Food partially let down by service quality,"Food quality is excellent though service was cold and slightly aloof, a big drop off from that experienced at the Tiong Bahru experience unfortunately."
Best Greek restaurant in Singapore!!!,"By far my most favorite restaurant in SG! A modern sophisticated venue with an exciting ambiance offering authentically the best Greek cuisine in SG which is all jazzed up. Highly recommend and please note this is coming from an authentic Greek Must try the prawns, calamari, dips, horiatiki salad, gyro and the yummy desserts Wine menu is also impressive with some of my most favorite white wines from Santorrini... Assyrtiko!Greek inspired cocktails are also a must. Hope you enjoy it as much as I do every time I visit from Australia!"
Family Dinner at Bakalaki,"Arranged family dinner at Bakalaki. Food, wine and the staff services are excellent and also reasonable prices. But the seats taken at hall was a bit noisy."
Great food. Even better Service.,"Came here to celebrate our wedding anniversary.

One of the best (if not the best) service we had in a restaurent in Singapore. We were attended to by MK and he was simply fantastic.

Food was great too.We ordered the bread and dips, moussaka, meat platter, the Greek doughnuts. The highlight was the moussaka, which tasted heavenly yet didn't feel overly rich. The Greek doughnuts were fluffy and light. Will definitely return for sure :)"
Excellent food and service,This is our go to restaurant every time we are in Singapore. Just wish we have more time in Singapore to try all the dishes on the menu. Food is authentic and excellent. Service and atmosphere was top notch. Looking forward to our next visit.
Great food but service only OK,The food is still amazing and comes relatively quickly. Wine is very well priced. Just the service is a little off with not enough staff and staff dont seem to know whats going on
Awesome!,Very satisfied with their food! Nice place for couples or groups. Staffs are friendly & helpful; 1 of the staff moved my husband & I to a bigger table that seats 4 although we didn’t ask for it.
