topic,review
Authentic and amazing!,We had an excellent and authentic experience. Emilia provided impeccable service! We highly recommend this restaurant.
Great ambiance and superb service,Love the place ❤ and service by the staffs. They even recommend the food that is suitable for my family members. Price is affordable for 5 pax and everyone enjoyed the food so much. Thanks!
Blossom Jan 2023,Amazing food and even better service by Emelia. She recommended some delicious add ons and we finished everything!
Lunch post Christmas,"We had a lovely lunch at Blossom. Food was served very quick and service was prompt and attentive. Tea was filled without being asked and dirty plates were cleared quickly. Staff was also attentive to the elderly members of my family. I find the tim sum served, tasty without being salty."
service excellent,"service was amazing and excellent from Sandy and Cinny. For food was average, Peking duck meat cut too big, unable to wrap and for old people unable to bite. some dishes presentation was bad also."
"Nice food, service, ambience","Everything's good. The food and the service were very nice. Definitely will come back here when i go back to SG. I tried the beef, pork, roasted chicken and spicy chicken. All are very nice."
Good Service & Modern Ambience,"Pleasantly attended by Emilia who is thoughtful in my preferences, bringing me the types of chilli i like to match with my dishes, polite & cordial. The manager Roger is service oriented too, assisted me with my reservations & patient with my requests. Food is delectable."
"Friendly staffs, good food","Good varieties of food, attentive staffs especially Carol Lee and Mei See. good location, located at sands hotel at ground floor"
Good food and great staff,Food was amazing and the staff were super nice (especially Judy who was very friendly and accommodating). We had a lot of the dim sum and the Peking Duck. The mini cheese pie with waygu and foie gras was our favorite.
Delicious Meal,My husband and I had a delicious meal at Blossom. We had the peking duck which was amazing! Sandy taught us how to eat it and helped us order two delicious desserts. We had the steamed lava salted egg yolk bun and chilled glutinous rice with ice cream served in a coconut. Both were excellent and unlike anything we’ve had in the US.
Blossom Restaurant Very nice Restaurant,"I always entertain my customers in the Blossom Restaurant at the Sands Hotel Singapore. Their food and service are very high standard. Serving associates have Carol Lee, Amilia, Rekko, Jane and a few. I will go a there again again and again."
Great dinning experience with friendly staff,"Great dinning experience under Sandy, and great food! One of the best almond soup to be found Singapore."
Excellent Service,Carol Lee and Li Zhu served our table and they were attentive to our needs and request. Enjoyed our meal at the restaurant. Thank you.
Vibes,Good Vibes Good food - bit expensive but thats expected. Waiters were lovely and the lazy susan was a big hit with friends
Mt,"Very nice atmosphere, kindly people and a tasty and enjoyable food and drinks, especially the argentine red wine Terrazas."
Lunch,"The restaurant is very clean & hygienic, staffs are very friendly & knowledgeable while serving the customers"
Delicious + Wonderful Service,"Stopped for dim sum, absolutely DELICIOUS and amazing service, Emilia was so sweet and attentive!! We will definitely stop by again."
Lunch @ Blossom,服务非常周到. 服务员May非常的贴心. Food is very dldelicious too. Reccomend to come here. Very nice atmosphere too!!
Awesome food at a reasonable price,Good service and recommendation from Sandy as always. Not too expensive given the quality and location. I always make it a point of to dine here whenever I can.
Wonderful dinig experience,"We had a delicious dinner,the customer service is world-class. Ms. Sandy was very accomodating and made sure that we had a lovely & scrumptious dinner."
Great Ambience,"Like the great ambience, enjoy the nice food, wonderful service by Sandy. Will visit again. One of the many restaurants in MBS."
Food and service,Food was great and service was excellent attentive. We order a lot of food because we want to try everything on the menu. Sandy she make sure we don't over order and come back and follow up. She very thoughtful person. Will be back again
Dinner at Blossom on 29/10/2022,I visited on 29/10/2022. Excellent service by Carol and Xiu Wen! They were attentive to details. Food was good!
Mr,Excellent smoked duck. Smell like from charcoal oven. Must bring family to go eat again. Pricing reasonable for such a well decorated and high class restaunt at MBS hotel lobby.
Mouldy duck,We ordered Peking duck and unfortunately both the duck as well as the bread was mouldy! Total disaster and not recommendable. Better choose one of the other restaurants in MBS!
Blossom,Good service from emilia. Food is good too! Will come back and have it again sometime soon! Price is reasonable. 😋
Very nice restaurant,"Food is very refined. Jasmine and Yoke Lin was very attentive to us. I highly recommend the glutinous rice roll with prawns, their signature dimsum."
Food is excellent and service is excellent especially Carol and yang pingMy friends will come again,Food is excellent and service is excellent especially Carol and yang ping My friends will come again
Blossom Restaurant Review,Excellent service by Lynn and Peggy. They are very efficient and helpful towards customers. My family and I are well taken care of throughout our dining experience here. Food tastes good and served fast and hot. Would highly recommend for anyone to try.
Bad Super Bad,"Just entered menu given and was like rushing. Open menu not for 5 mins asking what we want to eat. Don‘t have time for us to see clearly for every dishes (there is only 2/3 table being served at the time). During the time waiting for our food, worker chit chatting in loud voices. After finishing our food, not even a second they start to keep away the plates. Every second is rushing the customer. Food nice, service no comment. Please train your workers again in order to let your customers have good experience while eating."
Great Service,"Great Service from Feng Yu and Sze Huei! Fast, quick, constantly refilling our tea, polite and respectful"
Wow,"This is one of the best Chinese restaurants I have been in in the whole city. Top quality stuff, bravo. I am staying in the sands hotel and the restaurant is right down stairs in the lobby area"
Great dining experience,"Attentive staff, great food and nice dining. Special call out to the service staff at the restaurants"
Outstanding,"First, kudos to Blossom for outstanding service. Sandy took excellent care of us and made great recommendations. Do not miss the cold Sichuan chicken appetizer and their scallop and crispy prawn appetizer. The smoked duck is to die for and they make a good mojitos."
Delicious food,"We found ourselves at Blossom as we foolishly hadn’t made a booking at MBS on a Friday eve and thought we could just waltz in. Luckily Blossom had free tables and we were so pleased. Friendly and helpful staff (Emilia), great food. I’m a pescatarian and the rice with avocado and sweet n sour mushroom were great. Husband had beef cubes in garlic and was very happy. No room left for desert"
Lunch at the Marina Blossom - thumbs up!,"We took some of our dearest friends from the UK to this restaurant even if we have never tried it ourselves. Everything went perfectly from the time we were shown to our table, and we had exceptional customer service from Roger and Carol. The Peking duck was divine and they served the pancakes to us and spared us the trouble of putting them together ourselves. We ordered some dimsum delights and a few dishes from the a la carte menu. They all tasted so good. My favorite apart from the Peking duck was the steak cubes in garlic. We did not have room for dessert so we had to skip it. Overall a great culinary experience and I would not hesitate to dine there again (and again)."
Excellent,"Good food & good service from Carol. Friendly and provides good recommendations, helps select good food portion without over ordering."
