topic,review
Wedding anniversary,"The last time I visited this restaurant was in 2018. Didn’t like the ambience as the music was too loud, food were so so. Decided to give it another try. Food tasted so much better and staffs were friendly too. Music was light and soft. Also like that they served proper fresh prawns and not those frozen ones. For me, seafood pasta will be the reason for me to decide whether the restaurant is worth another visit again. Will definitely dine here again."
Delicious,"Amazing service, attentive staff and exceedingly good food. One of my favourite restaurants in such a unique location. Definitely recommend"
What a nice restaueant with a lousy manager!,The manager rant his anger of his own operation issues to a frequent customer.. don't go there again!
Great place,"Food, wine selection, service are all good. Crowded on a Friday night, we were glad we made reservations."
Dinner with friends,One of my favourite restaurant. Love to bring to my friends there for meals Service and food are good and fresh.
Authentic Italian cuisine in Singapore,"Excellent and authentic Italian food, nice atmosphere and friendly team! Highly highly recommended !"
It was not the Chef’s day,Regular diner but somehow the food was below par. Service was directed more towards food delivery and attention was lacking
Delighted meal,Service was exemplary and staff shies interests in our dinning experience and was forthcoming when we told them that we are celebrating a birthday
"Great Food, Great Service!","Was craving Italian food and was not in favour of travelling to the city center. This restaurant located in a quiet estate, served us delicious food with a side of pleasant service. We will definitely visit again!"
good food and service,"Although there was no background music, but the ambience was still great. The food was yummy, service was good too."
Great pizza!,Great pizzas made from scratch using traditional stone ovens in the Restaurant! Fresh ingredients with crispy crust! Certainly a pizza to die for?
Strictly 6pm,"We made a dinner booking at 6pm. Called them at 4+pm as we know we'll reach there at 545pm and ask if we can have some drinks before we start our dinner. They said no. Can only open at 6pm. We try to delay as much as we can and still end up reaching their door at 5:52. There're 2 waitress inside all tables already set up and 1 waiter was outside. He saw us and simply brush us off to wait till they're open at 6pm (which is 8min, later). I am keen to know if that's what the owner of Baci Baci will do and tell their staff they strictly can open at 6pm even though they're ready for customers to just have a drink?

We had a bottle of their nice white Etna Bianco, start with Burrata and had whole fish Branzino to share. Starter bread was cold and total cost SGD 215. For such service, type of food and price. It won't be our regular night out for a quick meal."
Lovely neighbourhood Italian,Lovely neighbourhood Italian restaurant. Bright and inviting interior. The food was excellent and the service friendly and attentive. We will definitely be back
Good food in a quiet residential location!,"First time back in this restaurant after many years. Am glad they are still in operations. The service is top notch. The food is excellent : garlic bread, angel hair pasta, risotto, etc. Will be back again!"
Date Night,"Found this place via TripAdvisor, read the reviews and thought why not, made a booking with Amos. From start to finish, I had a great date and it was thanks to Baci Baci. Food was really good started with the calamari, had the rib eye, perfect and ended with the lava cake, was eyeing the tiramisu. What made it most enjoyable were the staff, attentive service and friendly. Amosnis a rrally food host, really pleasant and welcoming, i forgot my mask and he got me a new one, dropped my mask during dinner and the manager replaced it with a new one. Ordered a bottle, Amos allowed me to wait till my guest arrived before making a decision, the wine was good, think a vemmenti we ordered.The manager knew we wanted to share our main course and got it shared on two separate plates, without us asking for it.. excellent. The whole experience was nice, the food, the wine and the people. Definitely will be back again and this time the lamb and tiramisu will be my main desire. Definitely a great place for family, friends, business meetings and dates.. really impressed, service like this should not go unrecognized."
Authentic Italian restaurant in the neighbourhood,Authentic Italian restaurant hidden in a residential estate that serves really great Italian food and desserts
Best pizza in singapore,I often tried pizza in singapore finally i found a good one thanks we will come again. Very nice service even the headchef is nice.
Baci Baci Very Good,"Friendly staff, great food. and nice setting. Would definitely go again. Also a nice place to go with children."
Birthday celebration,"We went there for my birthday celebration, decent price around the neighborhood. The food is good too"
Peaceful Dinner in Serangoon,Great homely vibes and fun waitstaff. Loved the prosciutto and burrata. Lobster pasta was a disappointment.
Excellent choice for friends gathering,"We very much enjoyed our first gathering dinner of 2020 together here. Delicious pizza and lagsana, yummy dessert with a good list of wine.
Mr. Kevin, the manager, welcomed us with great hospitality and good recommendations on the food.
Overall, a really great dinner as a great start of the new year."
Neighbourhood Restaurant That Serves Affordable Authentic Italian Cuisine,"Tucked away in a quiet corner of an upmarket residential area, is this neighbourhood restaurant that serves affordable and authentic Italian cuisine.
The 2 head chefs are Italians, which I feel accounted for the quality of the food. The pizzas are baked, on order, and in an open fire oven.
Service is decent too, now under a new management. Will certainly be back again soon!"
Excellent food and great service.,We had such a delicious dinner and the portions were big. Enjoyed every bite. Will definitely be back for more.
Excellent service and food,Came here for my birthday with my family. We shared a 1kg Angus steak which was the most excellent piece of meat we ever had . The chef allowed us to take funny mugshots of him serving pizza. The food fire pizza was fantastic. Overall 2 thumbs up.
"Disappointing, terrible service","- Staff who looked like he was the manager/owner was rude when we asked if the entertainer app can be used - ""it is stated on the app""
- He took away our bread bowl even before we finished eating without asking us
- When we asked for additional bread, he said yes but DID NOT return with bread throughout the rest of the 45min dinner
- When he was trying to get to another table, he pushed our chairs to get through the narrow path
- Food was otherwise ok, chefs seem friendly but was very put off by this service"
