topic,review
Excellent service!!,The food was amazing and the service was even better! The staff knew their menu well and gave great recommendations.
Amazing food and incredible service,"Amazing food, both the bao's, fried rice and sushi. The guy that served and incredible service an was so friendly."
Delicious & thoughful buns! The best in town,Ordered the tasting platter & love all the different flavours. The portion is perfect for 2 people so you can share & try all flavours. The texture of the buns is soft & perfect
Highly Recommended,The food was very good and worth the price. The staff was very friendly and accommodating. Tables for parties of 2 could be bigger though.
Great Food,Great Food and Services. Just the environment a bit too pack. Overall satisfied and recommended. Will revisit again
Must go for bao lovers!,Bao Platter is a must try and value for money too. Variety of food options available as well. Good atmosphere for a good meal with friends as well.
Authentic Singapore Touch With Chili Crab Bao,Chili crab bao is one of my favorites in the restaurant with sweet and tomato-ist flavor added little spicy touch to make taste bold. Other Japanese dishes are impressive too.
Good ambience,This branch around Keong Siak is much more comfortable compare to Westgate... loves the restaurant deco and a good place to catch up with frens. We tried the tasting set for the bao and they were really tasty
Restaurant Week worthy!,"Went for restaurant week at Bar Makers.
Food was delicious!
chilli crab and salted egg bao were delicious.
they had beef steak on foie gras and daikon which was 100/100 amazing!
Will go back again.
Price on average to high side.
Service was just on the slower side which was the only gripe."
Nice Concept of BAOs set,"Attracted by the concept store serving buns with flavours. Ordered e BAOs set wif greenie + edamame + a drink. Liked the salted egg chix, salmon mentaiko but not the oily chilli crab bun. Friend shared e blackened chix niCe too. We top-up $3 for Singapore Latte Peng + so-so sweet jelly. Good for chillax over afternoon Tea."
Warm and Friendly service,"Our 1st time at this restaurant and we are very happy with the service. Staff were warm and friendly.
Food overall was good except the fried bun was oily. The beef Sando could have been better if its minced beef or grill beef rather than fried."
Westgate outlet,"Simple , small cafe at corner of westgate after lady M. The baos had pretty presentation. Bite size but delicious.chilli crab bun tastes good."
Recommended for friends and family,"I love the atmosphere and ambient of the place. Quiet and cozy. The cafe is small but overall is good.

I like the salmon mentaiko nap due to the soft bao texture. I dislike fried bao.
Salmon Mentaiko roll is best, literally melts in my mouth. Highly recommend.

Lychee cold the drink is good, the tea and lychee combination is good. Soothing and calming."
Surprisingly lovely gem of a place!,"Quaint venue off with a lovely modern vibe. Service was great - fast & super friendly! Loved the mixed bao we ordered - blackened chicken was standout for me. The Beef Sando was another standout although sashimi - whilst good value - was just so-so for me. Desserts were also very memorable and I was very satisfied with Red Sangria (also quite unexpectedly good). Will definitely return again for great tasting, good value food."
Worth a try,It would be good if there are more vegetarian options on e menu. Overall the food is great. Serving time is longer than expected.
Very nice food and reasonably priced,"I tried this place at the suggestion of a colleague. I had sushi and a few baos. All was excellent, drinks included. Plus, it’s quite cheap for Singapore’s standards"
"The bao concept is exciting but alas, underwhelming","I only ordered their pork belly bao to evaluate their “standard” since they claim to be good in bao (implied claim given the name of the restaurant). If Westlake bao gets 10/10, then this would be a 8.5. The meat could be more tender. What added an interesting perspective is the use of garlic crumbs, though I’d prefer Chinese parsley. Minimal gravy.

The lobster pasta was fantastic - they got the taste just right! A tad too oily. As for the crabmeat pasta, too bad the crab meat came in morsels - looked ugly and tasted so so.

They ran out of chicken wings (it’s 6.30pm on a Saturday!?!?!), so we tried their crispy octopus. It’s alright: 7/10. Too much flour. Octopus pieces were cut to too tiny portions.

The table was definitely too small for two people. If we add one more side dish, we’ll have no space for anything else. Out main course dishes were already protruding way out of the table boundaries. This is bad.

Cups for water were so small (the daiso cups) they had to be constantly refilled. Oh, I had to call for them at least three times throughout my meal.

What a pity, overall. I thought this place has got some potential."
Great Bao,"We orderes a tasting platter which consist of 3 baos which we can choose our flavours. Truffle mushroom is still juicy after shallow frying, nice truffle smell. Pork belly taste like the traditional kong ba bao and the salmon metaiko goes very well with the bao. I side ordered charcoal chicken, on the sweet side.
The plating is cute, tiny bao in a nice tiny plate. I would however, give the rice bowl a miss. Rice is too moist and with the mayo sauce on the bowl, it is hard to swallow after a few bites."
Good place to chill,"Ordered their tasting bao set, and their chilli crab bao is the most delicious out of the others. Their crabmeat agile olio to me is the best. It has hae bee hiam taste. The truffle mushroom pasta is not bad. The lychee drink is great too.
I think this outlet has a different menu compared to the others. The service is not bad but quite slow in serving food. Tables may be abit too small if you are ordering a few dishes for sharing."
"Highly recommended, food were","Highly recommended, food were great. Excellent service! Host (Esther) was pleasant and attentive. Great place! Will come back again. Do look out for Esther!"
"Great food, some minor inconveniences","Came in on a Sunday with 4pax and had to wait approx 5 Min for a table as its walk in only on the weekend. No problem though. Very nice ambiance inside the restaurant. We ordered a couple of baos, Sushi, truffle fries, Karaage chicken balls and nori „tacos“. Nori tacos came after only 5 min before any drink was served. All the food was served as soon as it was finished. So It all came at different times which is not ideal when you want to eat with your friends. There were about 40 people dining in the restaurant but there was only one bartender and she, understandably, wasn’t able to hold up with the demand of drinks. One drink came after 15 min, then another one 5 mins later and so on. But they all were incredibly delicious as was the rest of the food. Sadly they didn’t bong our truffle fries so we had to reorder and wait about another 15 mins after we already finished our baos and sushi for them to arrive. The baos all were super delicious but our favorite was by far the salted egg chicken bao.
The prices are also not too high when you consider the quality of the ingredients.
In conclusion: Excellent food but organization and service have some room for improvement.
Give it a try when you are in the area :)"
In for a treat on the tastebuds,"Been wanting to try this place after wandering in one day to grab a takeaway coffee - the coffee was decently made.

So, wandered back here on a weekday for lunch and the vibe again was really nice & chill. Some crowd, but not ‘overcrowded’ - tables were spaced & comfortable. Service was attentive and the Japanese-Chinese fusion food was ok. Some dishes were great, while others were a hit & miss.

We tried their
- wagyu sando, which came with crispy lotus root chips. Thumbs up. Bread was heavily buttered, so a ton of umami, yet toasty & the beef was nice & crusty
- bun sandwiches (salted egg chicken, black truffle mushroom, belly pork & blackened chicken). Have to say, only the blackened chicken was nice - blackened with seaweed which gave its flavour a slightly different dimension and there was enough chicken in the bun. The buns were all fluffy & soft, which was great. But the salted egg chicken could do with a slightly bigger portion of chicken to have each bite with chicken, the truffle mushroom could be lighter on the truffle (the flavour was overpowering), and the belly pork could be lighter on the five spice (also overpowering). Because the sandwiches are small & the buns light accompaniments, each bite packs a punch on flavouring, so a lighter-hand on the ingredients’ seasonings would be just right!
- passionfruit & sangria drinks. The passionfruit one was refreshing and rounded, balanced nicely with the sharpness of the dried grapefruit.

Nice effort in mixing up the cuisines. Overall, would go back though to try their rice bowls and their sago/other drinks (their bar is larger than their kitchen :)"
I wished they had told me...,"It was our first time here today because I had cravings for gua bao. I wished they had told me the Bao set is now available all day because the menu stated it’s available from 12pm till 3 pm. We ordered 3 Bao by itself for dinner, only to find out later on the table next to us ordered two Bao set (the set includes 3 bao + edamame + salad) after we finished our meal. Disappointed with the service but happy with the food."
Good lunch set,"I ordered the salmon rice lunch set due to some miscommunication with the cashier girl. Was expecting Japanese styled salmon don from the photo review, but it was more like Chinese rice set. Not that it is not nice. The rice was quite a lot and fragrant, the salmon, I think poached with ginger and soy was fresh and tasty. The salad sauce was sour and refreshing, really help with the appetite. Nice fresh lemon tea (not the super sweet powder kind) to accompany the meal too. The only thing I didn't like was the egg, it was raw and quite eggy smelling, urgg... overall set lunch is quite worth it."
Delicious Bao,"The ambiance of the restaurant was cosy, with soft lighting and wide spaces. In fact, it does seems more like a bar than a restaurant, if you ask me.

Their speciality is the Bao, a steamed Chinese bun. A whole page on the menu is dedicated to them, with different fillings. As a non-seafood and non-red meat eater, I chose chicken as a filling, so I had the Blackened Chicken Bao (steamed sesame bun, house blend garlic mayo, seasoned charcoal fried chicken meat). It was delicious and a very good choice, with a soft bun and succulent chicken meat.

As I had a dinner companion with me, we decided to share a Bonito Fries (Tonkatsu, mayo, bonito flakes). The portion is huge, and definitely to be shared. For a main dish, the Kecap Manis Chicken rice bowl (deep-fried chicken cubes, kecap manis marinate, onsen egg) was for me. Again, it was satisfying.

Together with attentive service, I would give this gem of a restaurant a second visit."
Excellent bao,Excellent food. I very much enjoyed the baos. Very tasty! They also serve very refreshing juices and delicious desserts.
A good one for your to-do list,"A really good place to take just about anyone. The setting is surprisingly intimate considering the wide open space, and the food is the highlight of the show with some really tasty baos. The maki rolls are also worth pointing out. Strongly recommend getting a variety of baos from the tasting menu as they are all unique. Only negative point is for the service (no interaction with the guests, missed orders, and just generally left by yourself unless you call). Still though, this is a memorable place."
Lovely line up,4.4 out of 10. Gorgeous place. Beautiful modern Asian fusion here. We had four baos for the assembled which were each excellent. Same story with the bowls. The food was terrific overall. Same story with the service and the location and the presentation of the place. Highly recommended.
Great food in stylish setting,"We went on a midweek night when it seemed to be mostly couples, but our family table didn’t seem awkward or out of place.

The setting has an Instagramable quality to it, the minamilist, tastefully lit bar sets off the whole place nicely. The “whole place” is probably about 30 covers, so it’s small without being tiny. That lends itself to being a good setting for couples, but also small groups.

The food is really tasty and, if you’re well travelled, it’s something quite different. There are some unique dishes that are must-tries and some more recognizable items. I loved the Chilliest crab bao, the beef dishes were incredible. Even a bowl of rice has seasoning on it that makes it a dish in itself. The originality and Asian fusion nature makes any description of the food difficult for me. But let’s just say: I will be going back!!

Highly recommended."
Like watching paint dry,"Restaurant not even close to half full but waited almost 45 mins for some average bao for lunch.

Was like watching paint dry seeing one dish served every 5 minutes. Including 5 mins between my meal and my wifes... she was finished before mine arrived.

We were planning to order more but couldnt deal with the wait - also not great bao fillings."
Hot mess,"Food service is slow , got the order wrong multiple times , have to chase multiple times for every order Can't recommend , given that it was half empty at the time"
Bao,Visited on a Saturday evening for dinner and the place is quite crowded with every tables filled. Ordered the chilli crab bao and the bao it reminded me of fried man tou! Tried their rice bowls and the portion is a bit small. Overall nice experience but I prefer my traditional kou rou bao any day
"Lovely meal, highly recommended","Bao makers, as the name suggests, specializes in Bao. They have 7 kinds: Chili Crab, Salted Egg, Salmon Mentaiko, Veggie, Mala Beef, Blackened Chicken and Pork Belly. Apart from that, they have sides, appetizers, sashimi and sushi rolls for sharing and even two pasta dishes.

We ordered the Truffle Fries, Chili Bao, Salmon Mentaiko Bao and Blackened Chicken Bao and also Cheeseburger Spring roll. None of the dishes disappointed us. Each Bao was made perfect with the right sauce and texture. Ie, chili crab bao bread was fried like a mantou while the Salmon Mentaiko bao was the normal white bao.

Truffle fries portion was large and taste was not overpowering. The Cheeseburger in spring roll was a pleasant surprise because it tasted really like cheeseburger especially when you pair it with the mayonnaise that comes along with the dish.

Worth a try and I'll be back for more, probably to try out their lunch bowls :)"
1st and also the last time......,"Was at Keong Siak street on 19th Feb for lunch. Saw the restaurant and wifey exclaimed that this is one of her To Do Lunch list place. Went in and got a table in a flash as we are the 1st patrons of the day. Place the order for a Bao combo set (Wifey) and a beef rice bowl (Myself) with 2 glasses of cold roasted green tea. Another group of 3 ladies came in right behind us and their orders were also promptly taken care.

15mins later came the 1st dish, the Bao combo. I waited for another 15mins before asking the waitress regarding the beef rice bowl and she said she will check with the kitchen. Another 10mins later, all I can see was the other table (3 Ladies) orders were being fulfilled and there's still no sight of my beef rice bowl. Waved at the waitress again and was appalled by the answer that the kitchen forgot my order.

Hungry and upset, I asked for the bill. Left the place and told my wife this will be the 1st and also the last time I will ever patronized this place. I cannot accept the kind of sub standard service that this place delivered. I will STRONGLY not recommend this restaurant. Visit at your own risk."
