topic,review
"Plenty choice, quick efficient service from friendly staff","This is one of those places where the staff ask lots of questions and you are actively encouraged to over-order whilst they know that there isn’t a hope in hell that you are going to be able to eat it all! They tried and I reckon we got it by saying we might order more, which we didn’t cos we couldn’t! We didn’t get our order entirely right though as we had everything that had been deep fat fried (our fault) and whilst it was very good, it wasn’t exactly healthy!!
Would I recommend this place - yes I would but it’s very individual, you need to order what you like. Good luck!"
Try the chicken. And the rendang. And...,"This was my first visit to an Indonesian restaurant. It won't be my last. It deserves top marks solely for the grilled chicken platter, as I haven't tasted chicken that good in a long time. The beef rendang is both delicious and plentiful, no stingy portions here.

The staff were very attentive and pleasant too, and the only bad thing I can think of is that there isn't one of these restaurants back home - so I'll just have to return."
This place is awesome!,I am giving it 5 stars because I love their services and I will encourage everyone to go there and check this place out
Great food,Great location with a good atmosphere all around the restaurant. Great food with 2-1 beers all day 🤙🏼
Satay chicken,Good service and great satay chicken! Needs more characters to submit but that’s all I need to say!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!?????????????????????????????
Nice surprise at Clarke Quay,"Delicious food, attentive service, nice people, good atmosphere. Better Satay than in Newton food centre. Price level not totally intolerable. What else can you ask for? Well they did not have Bintang beer but so what..."
Clean and fresh,Lovely restaurant with very friendly staff. Very clean and comfortably air conditioned. Well presented and tasty ffood.
Superb Service,"My friends threw me a surprise party here; food was delicious, staff were very helpful and kind. Good start to try authentic indonesian food. Overall a very pleasant experience here."
"Food is nice, price is a tad higher","Huge price tag for the type of food offered but I have to say that the portion is really big. Food is tasty, especially the Ayam Penyet!"
Miss,Last meal in Singapore and is absolutely amazing if you’re ever in the city definitely come check out Bayang!!!
Very very good.,Went for a sunday dinner. Staff very busy but quick to seat us and gave good service. Food was very tasty and plentyful. Prices reasonable.
Decent meal,We enjoyed a family meal here by chance. It was lovely and the 2 for 1 drinks drew my husband in. Smaller drinks compared to other places we ventured but the chicken leg and rice dish was yummy perhaps a little oily. My husband enjoyed the seafood mix grill and also enjoyed his meal. Child’s meal was out quick and also tasty.
A Nice Taste of Indonesia in Clarke Quay,"never easy to find a place in Clarke Quay so much choice Stop by Bayang, enjoyed a nice dinner al fresco on their Terrasse under The Clarke quay roof.. Nice food very efficient service."
bayang,succulent food. Very quick and friendly service. Great atmosphere and amazing waiters. Definitely recommend it.
Worth a visit,"Arrived Friday evening without a reservation. All inside tables, air conditioned, booked so dined outside. Warm evening but a little breeze made it reasonable. Chose beef date, a chicken and a beef main with some beer and excellent mango juice. Service was friendly and efficient as well as fast. Food quality was acceptable, perhaps not great but nice. Not too noisy but our bench seat was a bit too low for the table."
Good!,"Great restaurant and good food,To try!1 year ago i was there but i like all ,and the atmosphere too."
Beautiful restaurant,This restaurant has beautiful food. Great service and good margaritas. It is located in the Clarke quay area and is a great place to people watch and enjoy the atmosphere
Last Supper,This was our last night at Clarke Quay. We had seen this restaurant during the day and decided to have dinner there. It was a typical hot tropical night so we decided to eat indoors. The airman was pleasant without being cold. After drinks we ordered the mixed entree and the whole deep fried fish. The service was quiet but attentive. The starter was a good tasting of Balinese style food and the Fish was excellent. Overall a great experience and a lovely way to finish our holiday.
Delicious Fish,"Our first night in Singapore and we found Bayang. Don’t let the laminated menus put you off, the crispy whole fish was delicious as was the super smokey BBQ squid. Enjoy."
First local for for family,"Loved it, 11 year old ate chicken rice and gado gado. Will come again. Ordered the tiger bears for two and was exactly what was needed to complement meal. Having stumbled off the plane from Heathrow this was just what we needled."
Best In town,"Best Indonesian Restaurant In town, a Must Visit when Coming to Singapore, Easy Access, Awesome Atmosphere, Great Foods. And of Course BINTANG."
Good Indonesian meal!,Visited here during a short trip to Singapore with friends. Lively atmosphere provided by the surrounding restaurants and bars.
Nice food,"Good food, nice vibe..... ordered food nice and quick and very firendly, would recommend.......overall good"
A little bit of Bali in Singapore,"Just finished our river cruise and chanced upon this fab place. Staff were really attentive and friendly, food was thoroughly enjoyable. Drinks promos really good. If you are ever in Clark Quay please give this place a try."
"Great service, fantastic food",Bayang Indonesian restaurant and bar is well worth the visit . The staff were friendly and helpful. The food was fresh and just magnificent with that hint of spice enough to tantalise the tastebuds. Highly recommended .
Our first balinese in Singapore,"One of the best balinese food i ever had, the clerk is very nice and the portion is so big, we had a feast."
Best satay,Excellent food and service. Great value for money. Be sure to drop in if you are visiting Clarke Quay.
Nice Dinner,Nice atmosphere right at Clarke Quay. Really good Indonesian style food and nice service people. Will come back again 🤓
Great Food,"Had a late night “snack” of satay chicken and beef, plus vegetarian spring rolls, best satay we ate in Singapore.
Lovely spacious restaurant, attentive service and reasonably priced. Pleasant ambience, separate from but overlooking the night life on Clarke Quay. Could’ve chosen a table outside also.
Sorry we didn’t get back there for another meal, would’ve liked to try the rest of the menu!"
Love love this restaurant,"Fabulous service, amazing food. Loved the shared entree platter, mango salad and the roti bread was awesome! Cocktails were yumo! Have been in Singapore for 4 days and this was our fave! Highly recommend."
Good Food,We had lunch in this Indonesian restaurant and could not fault any thing. The service was attentive and pleasant. For the main course we had satay chicken and mixed fish with noodles. Both dishes were very good. Highly recommended.
good food,The level of service and dinning experience at bayang was great. will certainly recommended and visit again with my hubby
Good food & good service,"Enjoyed a good dinner here with my two sons, and found the service very attentive and the food quite good...very traditional indonesian style food and a nice spot to sit and people watch whilst eating.. Fish dishes were great"
very good food,I am not a big fan of Pork.. but I liked the way pork is cooked in balinese.. a friend treated me here....very good service.. and clean.
Fantastic!,"We thoroughly enjoyed our dining experience at Bayang -the satay was great, the kids shared the ""spiced"" fries and the hubby and I took advantage of the 1 for 1 drink system.
The staff were delightful and the service was swift.
I am totally happy to come back a second time before we leave to go home."
Delightful waitress made our evening,One of many places to eat at Clarke Quay we chose this by luck. It was cool and quiet inside and our waitress was charming and helpful. Ate the chicken satay and yellow rice combo which was good and reasonably priced.
Not amazed,"Read review online so decided to have a try. However, the food was not that amazing as rated. It's cozy place though."
Great food,Delicious food and big serves. Very reasonable prices and great service. 2 for one drinks and lovely location at Clarke Quay.
Indonesian food reasonably priced,"Satays were tasty, greens were very well cooked and squid was delicious. Found the inclusion of fried stuff in the gado-gado a bit strange. Two for one wine meant a reasonable deal all round for some well prepared food in a great space.

Read the menu carefully for gluten free safety."
Must visit,Went here on my last night in Singapore and the food and service were both very good. Would recommend the squid and satay platter and of course the Singapore Sling.
