topic,review
Awesome Buffet!,"This buffet is highly recommended! The choice of food is great and of good quality. The oysters from Japan are the best we have tasted so far! Must try! Ambience was nice, modern decor, new furnishings. Crowd was of manageable size so no long Qs for food. We had the CNY spread with free Yusheng! This shall be our favorite buffet choice !! Parking was good, fees was reasonable. Staff was friendly, chef even made his rounds to ask for feedback which is pretty rare! So overall I give them 5 stars and definitely hghly recommended!!"
Good seafood buffet spread.,"It was a very nice buffet dinner with good seafood variety. The staffs are nice and friendly as well. The downside was the area where they have the seafood and appetiser section is kinda small. Not sure if this is deliberate to maintain the crowd but it sometimes get too crowded. What I like and yet don't like is how they spread the food out throughout the whole restaurant. Good for us to walk around and look at the differen food variety but it is easy to miss out the fruit juice area cause of the spread. Salad variety is also one of the more extensive ones I have seen. For one who doesn't like meat, their galbi has stolen my attention as it taste amazingly good. Would definitely go back again if I am looking for buffet next time."
2023 CNY Dinner,"During our dinner Jun Sheng gave good service and we enjoyed the Yu Sheng dish. The fish by Daniel was very well grilled. I love the duck, it was succulent and juicy and flavorful. The glutinous rice texture was good and delicious. The pastry section never fail us with the Pineapple crumble, sesame cake, chocolate tart, waffle and the Osmamthus jelly texture was just right and not too sweet."
Lovely Dinner During CNY,"Have a lovely Yu Sheng with my family. Chef Jun Sheng was very polite and kind. He gave us a great service when he visited our table and helped us set up the Yu Sheng. Waiters were kind and professional. They cleared the plates regularly and ensured our table was clean.
Food in general was great. Grilled pomfret was delicious and the overall Chinese delicacies by Daniel was excellent. The steam fish fillets was cooked to perfection. the fish were not overcooked and the soy sauce complements the dish with a savory undertone.
Desserts were great as well, with a healthy amount of lunar new year goodies. I like the pineapple crumble. The pineapple had the right amount of sharpness to cut through the sweetness of the dish. The crumble were crunchy and gave a good bite to the dessert."
Breakfast surprise,"This is the all day restaurant of JW Marriott South Beach and a nice surprise. We are having breakfast here for a week. The variety is astounding and they literally have everything, more than most hotels around the world. Service by senior staff very good. Better experience than the hotel front desk itself"
Lorraine,5 stars service Quality food and friendly staffs (including chefs) Chefs make sure we have enough food by checking on us every now and then.
Cny dinner,"The food is delicious. Service is fantastic. Chef jun sheng have done a wonderful job. With his service, my family have a very wonderful and enjoyable time."
Excellent quality and great service,"The buffet spread is of excellent quality, really value for money. The service staff are very attentive to our needs too! Great service from Ivan, Joyce and team. Thanks for making our dinner so enjoyable!"
Great experience,"Food is good, wide range and fresh. Nicely done seafood and grills. Will recommend others to try. Service is attentive and pleasant."
Great and efficient service,"Food variety is great. The layout is inviting and cosy. Staff are ample, efficient and friendly. In particular, Ivan and Joyce were very helpful and sincere in their service"
Excellent Service & Food Variety!,A wide variety of food selection. Didn’t have tummy capacity to try all… will be back again! Service was excellent with friendly staff. Was served by Ivan. Thumbs up!
CNY dinner,Very good service and nice food! All thanks to head chef Jun Sheng. :) nice ambience and great service.
Very good service.,Ambience is good. Very good service. Food selection is also very extensive. A very good place for family gathering.
Excellent service and Great food variety,"Thanks to Aaron and the service team for the great service and experience. I would like to thank Chef Daniel Lee and Chef CheeWee for explaining and guiding me through the buffet.
Not to forget Thanks Chef Shuloy for the special dish prepare for my family. We all really enjoyed and will definitely come back."
