topic,review
By and large average,Dropped by for a business lunch . They have a $16 lunch menu which consist of appetiser/main or main/dessert. Average food and service
Armando,He is amazing. Good character. Explained all the meals to us properly. Well spoken. Good food!!! For sure we gonna come backkkk
"Thank you, Armando!","My kids planned a surprise birthday party for me. I was told Armando was very helpful and responsive
during the planning stage. Last night, at the actual party, I was very impressed by Armando's great hospitality and the party was a great success! I was very touched and thankful to everyone, especially Armando's great service to my kids' request and during the party.
Thank you, Armando!"
Unfortunate experience - $2 per glass of water despite ordering drinks.,"My husband and I had invited our friends who were visiting Singapore from New York to this restaurant for lunch and we were a party of 4. We ordered a drink each and 3 starters and a couple of main courses. The food that we ordered was presented well and tasted fine.
The service though was sketchy. When asked to recommend a starter the server was clueless. We asked for a risotto later and were told it was not available. Again, we asked the server to recommend an alternative and he was unsure of what to recommend. We ordered a dessert to share as well.
The worst bit was when we asked for TAP water after the meal. They said they'll charge us $2. They didn't tell us the water was free flow. My mistake was that I assumed it was $2 per bottle of water.
I didn't realize until the next morning when my husband gave me the bill that they had charged us $8 for 4 glasses of water! I have sent a message to the restaurant asking them why I was charged this ridiculous amount for water despite ordering drinks before the meal. My friends from overseas were aghast that we were charged for tap water and said we shouldn't leave any tip for the dismal service we received. Unfortunate experience and I would not recommend this place to anyone."
Excellent service!,"We were served by Armando and were very well served. He always checked on us to see if we needed anything.

Cheers to you!"
Smoked Salmon,Tried the smoked salmon tartine for the first time here and it was worth every bite! Kudos to the chef and the entire team at Beast and Butterflies
Beast which isn’t a beauty,Poor service and bad attitude staff Many better places to visit in Robertson quay Surprising to see them still open Need to train their staff ‘mahesh’ who’s too lazy to serve customers
Great place,"Food was great, service staff is nice and friendly. Great ambience to gather. Will definitely visit again."
feedback,"we were still hungry after eating our salad despite the price the service was not really professional, they send me the bill twice, and they served me the ice cream when I was changing my baby’s diaper, so it was liquid when I came back"
Not very professional,"You must order your food via The QR code. After you have done this, a waiter comes to your table asking if he can take the order. Looks like the system and the waiters are not in sync. Not professional. I asked for a glass of water after I ordered +80 SGD dinner. Guess what? They asked 2 dollars for it. Shame you Beast and Butterflies. Penny wise and pound foolish."
Nice food terrible service,"Walked in told to scan menu then waiter walked off, got staters half way through one of the mains turned up asked why it was so soon shrug of the shoulders was the answer. As soon as I finished my meal someone took away my plate leaving my wife feel as tho she was eating on her own. Food was very nice but service horrendous as the 3 star review. Place would be great with some leadership"
A moment in time as it felt,"Relaxed as it comes ( it appears that for some reason I need to say more but think I said enough with out saying to much, that's what it is)"
Good ambiance,"The place is clean and peaceful, you can relax and enjoy. Even the staffs are approachable. Kindly visit"
Review for MSocial,Staff was very friendly and accomodating. Place was relaxing and tidy. Would recommend if you are planning to go on Singapore.
Delicious food and cosy atmosphere,The restuarant is really cosy for online meetings before dinner. The food as usual was tasty and declicious!
OK for Sat night dinner,"We came here for Saturday night dinner, felt the dishes were soso (we got nasi goreng, the burger, beef ribs), except for the Claypot rice that was really nice. The atmosphere was classy too (a tad too dark we couldn't see what we were eating?) but the classy atmosphere was slightly let down by staff service as our table was way too crowded with dishes and too few staff to help clear the plates. Would like to give our compliments to Vaishu for her great waiting service and very friendly attitude though, thank u for serving us."
"Cosy ambience, nice food, excellent service",Was here for a dinner gathering with good friends on a Fri evening. Noted the warm cosy ambience immediately. Menu is limited but we were pleased with our food choices. Food was delicious and came fast. Excellent service from the attentive staff. Special shout out to server Armando who knew his wines well and recommended us a solid Sancerre.
Lunch,"The service and one if the best coffee in Singapore. Ask for Fiona.
Beautiful ambience and most courteous staff"
Very good value lunch menu,"We had the 16 dollar 2 course lunch menu which was very good and great value in Singapore ( for western food). The beer and wine were very good value as well so no complaints from us!
The service was good an£ the staff were helpful.
We will go again but try the full menu."
Good experience at Beast & Butterflies,"Good outdoor area, nice ambience, good food, average price, service is Ok. Overall fine. Second time here. Unfortunately, no more daily promotions even if it still advertised on chope."
Lazy afternoon 🫶,"Love the ambience here — my family and I have come multiple times in both the afternoon and evening because it’s open, airy, and relaxing.

Staff are friendly (especially Fiona, who has served us multiple times as well) and the food is good (try the burrata and beef dishes!).

Overall, always a hit!"
Refuses to honour advertised offers,Advertised an all-day Father’s Day menu which was exactly what we wanted but then refused to serve it and insisted we order from the brunch menu. Won’t be bothering them with our business again.
Beast & Butterflies,Nice ambience and yummy food. Great service by Joshua. Worth dining here. Will definitely return again.
Good food and vibes,"Good food and drinks. Nothing too special, but not at all disappointing. Worth it if you compare it to the nearest restaurants around."
Beast and Butterflies delight,It was a joyous birthday celebration with good company and delicious food. The free flow is strongly recommended!
Go it will NOT disappoint,From start to finish absolutely amazing and affordable. Service was on point and food I couldn’t recommend enough. I’ve been on holiday travelling the world and this is one of the best restaurants I’ve dined in
Food is amazing Best Customer Service,"Love this place very chill, food is amazing and price are reasonable. Good Customer service from Armando! We'll be back every week."
Best Customer Service,"Armando is really nice and friendly, will definitely come back and recommend this place! Best brunch and freeflow"
Amazing food and service,"Second visit here! Love the food here, both the western and local cuisine were really yummy!!

Most importantly, the service staff, Fiona, is very friendly and gives expert food and drinks recommendations.

10/10 would recommend my friends and family to come here :)"
Good.,"We were there for lunch. The service must improve. The staff seemed indifferent, and this is a shame.

The food was not bad. Not outstanding, but not bad at all"
