topic,review
Food was good but we have tasted better with lower or similar values,"While there are a wide variety of whiskey offered, the value we felt is not the best. The food were nice & tasty but we have tasted better. The atmosphere Fabulous and service was good."
First Time at Bedrock,"It was my first visit for a lunch with a customer.
I ordered the set lunch (3 courses) with the fish fillet.
Everything is actually well cooked and portioned.
And the service was great. I went earlier at around 11.50am before they open, but they have provided me a temporary seating outside and serve with glass of ice water while waiting for the actual seat to be ready at 12pm.
If the thermistors lobster of SGD165/- could be lowered, I will probably try it next time.
Thank you so much.
Tony Ong"
Excellent customer service,"My partner highlighted that her steak was a little too salty . The service staff immediately arranged to replace without any question . At the end , the staff even waive the dessert as he apologised for making us wait for the replacement steak as gesture of goodwill . Great customer service definitely the place for great steaks and good service"
Q T Pie Review @ Bedrock,"The food was good and fulfilled with LOVE , especially the handsome guy sitting at the end of the table"
great food and excellent service,"my family stayed in oasia resort sentosa we had breakfast at bedrock everday for the duration of our stay. service is prompt and their staff are friendly and efficient. since breakfast starts our day, am glad that people at bedrock ensure that we have a good start with their welcome smiles.

we also had our christmas dinner at bedrock and the food is great. and service is again excellent.
my family would like to thank Mary, amy, joey, kenneth and suha. thank you for a memorable experience"
Disappointed,"Ordered the set lunch, rib-eye steak, not sure if it's because of price difference therefore quality of meat was underwhelming. Ordered medium rare but came medium, meat was quite chewy/rubbery/veiny. Far different from when I last ate here. Sis had the pepper steak rice bowl. Meat was barely chewable. Staff who cleared the plate Didn't even bother to ask what was wrong it. I guess this separates service from the not. Was not going to kick a fuss to have them take it off the bill. But I think the bare minimum one could do was ask."
Not the best experience with bedrock,"I have always had my sister birthday celebration at bedrock but this year, the experience were far from positive.

Steak with different level of done-ness were served wrongly to our group, where we had to get assistance from the staff to switch the steak within the group.

At point of ordering, already indicated the desserts for set meal which we requested for hot tea and coffee instead - only to be asked again by a very rude staff on what we ordered for dessert with a very bad attitude and tone.

This is turn totally ruined the birthday celebration mood for the day"
Dissatisfied,Food was not good and overpriced. Staff didn’t explain clearly the menu nor giving any recommendations about the signature dish
hospitality in it’s most genuine nature,"it was a meal to celebrate the boy’s coming of age. birthday boy had a satisfying meal, but declared that Bedrock Origin was much better, having dined there a year ago. the sauteed mushrooms sounded ordinary when introduced but it was truly delish when served. the button and shitake mushrooms were juicy without drowning in seasonings. they even had a slight crunch to them signifying that they were not overcooked. the Mac & Cheese had a pungent truffle smell when served but didn’t overwhelm the tastebuds. in fact, it complimented the mac & cheese so well it brought the old-fashioned dish to another level. the porterhouse steak we had, according to the birthday boy, was good with the right doneness 85% through but faired when compared to Bedrock Origin.
however, what struck us and left an indelible mark in our memory bank was the hospitality rendered by Pugan. we had the privilege to experience what true hospitality was about. he gave recommendations suitable for our fam of 3 and readily shared when asked what the dishes were about. he was attentive without being intruding and went the extra mile to offer a replacement quickly, when we shared feedback, slightly unpleasant, on certain food served. when we rejected, he apologised, thanked us for the feedback and quickly passed it on to the kitchen. when the bill was presented, he explained there was a discount and this was for the food that was served that didn’t meet expectations. we were very surprised by this extra extra mile Pugan has taken, without even being asked. Thank You, Pugan, for making our first visit to Bedrock Bar and Grill, a memorable one."
Very Good Food and Service,Awesome service and food! Great choices Steak was done perfectly (medium rare) Salad was good and that charred taste was epic Tomato soup was excellent
Amazing,Amazing food and ambience. A perfect place to have celebrations or even just to perk up your day. Highly recommended.
Excellent steaks,"My son is a serious steak eater and declared the tenderloin one of the best he had ever eaten. I do agree. Cocktails were good as was the wine. We really like to read from a proper menu rather than having to get it on our phone though, and it often took a long time to find a waiter to assist us. Plus for the price I might expect some fries at least to come with the steak. Overall a lovely experience though."
Excellent,"Everything was really nice, especially if it's for a birthday. They give you a small nice slice of cake if you just let it know beforehand in your reservation. Atmosphere and service was excellent as expected."
Belated birthday celebration,I celebrated my 58th birthday with my family on 21/8. We had a most enjoyable experience and the food was excellent! We were also impressed by the service staff who were patient and polite and very obliging. We will definitely return!
Great steak and service,"One of us had USDA Prime Grain-fed tenderloin and it was so good. Tender, juicy and full of the sweetness of the meat. Service staff was able to recommend the type of beef and wine to go with it. Will definitely visit again."
Poor Service and Steak Quality,"The service staff was absent when taking orders. The Grass-fed Ribeye was so tough and sinewy that the steak knife had difficulty cutting it. My lunch companion left half her steak uneaten. It was so embarrassing.

I will not go back again."
