topic,review
Must visit,Foods are great !!!. We enjoyed their delicious BBQ. recommended my friends to visit this place. Happy stomach and reasonable price.
Amazing Experience in Beirut Grill!!!,"This was my first time together with my BF and the food was really to my liking, I would say the Dishes are very delicious especially Lamb Kofta Kebabs amazing flavour & texture was on point. The Manager Rhoda even suggested us a pot of hot apple tea to pair with it, surprisingly refreshing and matching with our plates. Thank you and will be back"
Great food & service,"Delicious food especially the mezza platter, mixed grill - lamb chops & kunefe. Excellent service by Ms. Rhoda. We will definitely come back."
Kieran,"Food was delicious, in particular the Lamb Chops as part of the mixed grill . Fantastic value for 2 people and for Singapore 👍"
Nice small libanese restaurant,"Nice place to eat in the Singapore. Even though it is a grill where mainly meat is grilled, it was easy to find many vegetarian dishes, all of them very tasty"
Awesome food and great service,I had a wonderful experience at Beirut Grill. Excellent food and even better service by Amar. His recommendations were to the point and had a great time.Amar got our mocktails customised to perfection and we loved it. Thank you!
Dinner experience,"Dinner with my bff at Beirut Grill for the first time and we really enjoyed the friendly atmosphere , food wise is so far the BEST we had within this area.
We loved the hanging kebabs and cheese pide. Cold jug of beer and a belly dancer entertaining everyone (pretty one)!
Best to seat outside, recommended!"
Excellent food,"We had a great evening with friends with good food and excellent service by Sohail. We enjoyed the brochettes and for the ones who love spicy food, calamari are excellent..."
Not worth over 4 stars rating,So far we did not have the same experience as mentioned in those reviews. They made a mistake with our order and served us the starters (mixed mezza platter) after they served us the main meat courses. Furthermore the Iskender Kebab tasted like minced meat served in a sauce straight from a can. The starters were lacking in taste. The chicken kasba was tasty and the dessert kunefe which took 20 mins was worth waiting for. Total cost plus a bottle of wind was S$248.
"Great service, nice food too!",Service staff were good. Attentive and professional. I paid using a different credit card to the one i used to pay the deposit for reservation. Would the refund for the deposit happen?
"Great food, average indoor ambience","The food was excellent. We especially loved the Tabouleh and Zattar bread. However, they need to work on their interiors... quite run down and does not justify the prices. The outdoors seating was not offered to us as they refused to move the tables around to accommodate a larger group"
Highly recommended place to visit while in Singapore!,"This is my 2nd time visiting this place. As always, the place is very nice, staffs are very accommodating, foods are awesome, and the overall experience is highly recommended. Will surely visit again in the future."
Beef kebab♥️,"3rd time to bwirut grill, kept comimg for their beef kebab and mixed grilled kebabs. Staff are truly friendly and courteous, Thanks to Rhoda and her team for the hospitality. Best to recommend on weekends for alfresco seating."
Great Service and lamb Chops!!,"We had Rhoda taking care of us. Fantastic service. Courteous and prompt.
You can tell she wants us to have good time.
Great Bread, meats, esp the Lamb Chops and nice Cold Beers!

So Besides the food, Rhoda added to the ambience and great dining experience.
Thanks Rhoda."
