topic,review
Yummy!,"Best stay chicken , beef and prawns I've had in a long time with great atmosphere. The street is closed every night so the locals can enjoy their delicious cheap bbq with beers. Can't wait to come back."
Not worth the 70+ min wait …,"Went to Lau Pasat markets wanting satays, as I was advised these hawker markets are known for them!
Best Satay had the longest line of all the satay vendors. I assumed it was because they were the best (pun intended) and popular for a reason! Waited in line for 25 mins. No probs. Once I got to the front and after I had paid, was advised there is another line to collect the food - the man confirmed it would be a 20 min wait and the line goes really quick. Annoying but fine.
Lined up for the collection line, to be told to come back in 20 mins. I assume they stagger them.
What a stupid mistake that was. I came back and waited 40 mins for collection.
All up waited approx 70 mins. The satay - it was nice but not mind blowing. My indonesian mum makes better satays than this!
Would not recommend - I am positive you could get satays like this elsewhere or at the other vendors."
Warning about wait.,"Had quite an unpleasant experience with this stall. We were surprised when we were given a receipt telling us to come back in 40 minutes to get our order, but okay, it looked like a busy night, and we set about biding our time. About 35 minutes later, we returned only to find a huge line of people waiting with receipts to pick up their food also. Had to wait in this line also, which took another 35 minutes. A total of 75 minutes after we placed our order. When questioned about this, the man, who I will think is the owner or manager said, we should have been in line 15 minutes before our appointed pick up time, and that we were told this (we were not). We expressed our displeasure at this arrangement, and he went off on a rant about how we were being unreasonable. I totally understand that things can busy, but what is not acceptable is not properly warning customers about the potential wait, continuing to take orders at a breakneck pace, and then being obnoxious when called out about it. Truly, are the other stalls really that much worse, to make that wait necessary? Be warned."
Very long wait,"I saw the line and knew there would be a wait ...was told 30min turned into an 1hr 30mins+ was given a buzzer to alert me when food would be ready. The buzzer went off ..got to the counter to collect the order was told it was not ready and was asked to go back to the line..At this point I just requested my money back and left!
DO BETTER GUYS."
One of the better satay joint,One of the better satay joint along this famous satay Street located just beside the Lau pa sat. You can taste the solid chunks of well marinated meats. Prices are reasonable as well.
The name says it all!,We came for Satays and we were not disappointed. Great mixed selection of beef and chicken. and great prices
Best Satay No. 7&8 are the best!!!,"Delicious food and extremely friendly staff. Ainon, the owner, is very kind, she spices up the place with her positive attitude and smile :)"
#7&8 best satay on the strip...,"7&8 was great satay loved the chicken and prawns, liked it so much had it 2 nights in a row...will be back one day and definitely heading here for the best satay... thanks no. 7&8"
Enjoyed a mix tailored to,"Enjoyed a mix tailored to us as a couple as my wife doesn’t eat meat. Therefore a balance towards prawns. All the satay were superb, and accompanied by a brilliant peanut dipping sauce. It’s two years since I used Best ... and still recommend it."
Name speaks for itself,"If you want to experience one of the best hawker markets in Singapore, you can do worse than heading here. We met up with two friends (who luckily had already secured a table for us) and have a fantastic evening. I really enjoyed the fact that there's the choice of multiple meats, as well as you being in control of what sauces and spices you want to try. Serving time took a while, but then I wouldn't really expect anything less at 7pm on a Friday. Highly rated!"
Best Satay Stall 7 and 8 at La Pau Sat,"Best Satay is really the best Satay in Singapore. I like the beef with spicy peanut sauce. Very delicious. I come back here every time I’m in Singapore. Great ambiance between the bank offices. 20 Satays for 14 SGD. And get a Tiger beer from one of the beer ladies for 5,50 SGD. What else?"
Best Satay,Yep the best satay I've ever had. It's on the street behind La Pau Sat. If you arrive just before 7 p.m. you can watch them turn the traffic street into an open street restaurant. Amazing in itself to watch. You can also put your order in just before 7 to avoid having to wait when the crowds arrive shortly thereafter.
Great meat,"Satay is a great way to cook meat, if you are a meat lover. We had grilled chicken satay from Stall 7 and 8. It was tasty especially when you dip it into the peanut ‘kuah’ sauce."
Convenient,This place is full with many varieties of food. I visited here one year back with my family and great taste added for asians.
Not bad but lacking order,"We went there on our first night in Singapore as it was recommended by someone who lives here. On arrival (around 11pm) we've noticed indeed a lot of locals eating there. As we walked in to the street area that contains the overnight food stalls, we were immediately approached by multiple people trying to sit us down at different areas. So here is a tip: walk down the street and ignore them all, look at the stalls and choose the one you like, than take a sit directly in front of it. That way they will know you're their customer. Now the deal is that you order your satay with a different vendor than your beer and your naan bread from yet another one. You pay separately as well - in cash! Now this is not a cheap place to go and have food and is you like clean plates and tables, than don't bother. It is a street food market even though it is widely advertised, you simply will not get the restaurant facilities such as toilet to wash your hands. The food was good, not to spicy and portions were just enough. The good thing is that the vendor will tell you which option (size wise) he recommends so you will not have to waste food. The service is BASIC, so don't expect fireworks (yet again, it is a street food place). If you wanna grab a quick bite on the way home it is not a bed option and you get to experience the local vibe late, when there is not many tourists around. One more thing! Beer is quite expensive and don't expect a pint - comes in smaller size than in UK"
#8,"Based on the reviews we sought out and ate only at stall #8.

There was a short but quickly served line. We just got smothered in cooking smoke the entire time in the queue. Smelled great initially but stuck around in our clothes long after.

We went with the combo order and shared it. We found an empty table, tough that night, and settled in. Periodically a waiter would come by, from one of the other stalls, with menus or food deliveries.

Mutton was the best (moist, flavorful and tender) followed by the shrimp and then chicken. Each of us had our own dipping bowl of mild curry and a scoop of raw white onions and cucumber.

This stall was located on the street outside of Lau Pau Sat but easy to find with its line of customers."
As the name suggests - best satays !,Definitely the best satays in the strip. We always pop in for the chicken and beef satays when in Singapore. Delicious and always friendly service. See you next time !
Don't ever eat at Satay Store #14 and #19 at Lau Pa Sat Market.,Don't ever order from these dishonest guys at satay store #14 and #19 at Lau Pa Sat Street market. I did a takeaway for 20 sticks and asked for more abit more onions. They collected $14 for 20 sticks at $0.70 each but went home to find out they only gave 15 sticks and no onions and cumcubers at all. Only few sticks also want to cheat. So cheapo.
Cool Experience,"Located at Lau Pa Sat center, Best Satay Stall 7 and 8 is definitely a must try. I saught it out heading into Lau Pa Sat and it is actually located outside where all the satay food stalls are. There is no AC so it can get hot and humid so dress appropriately.

We ordered Set A which was 10 skewers of chicken, 10 Beef, and 6 prawns. Just watching all the vendors cook their food over the grill is a cool experience. The prawns were cooked perfectly from the grill. The beef was also nicely cooked. Chicken can be a little dry, but they also give you a sauce to dip the satay in.

Lastly, be sure to bring napkins! Like most hawker centers, they don't supply this. We forgot ours in the hotel room and ended up buying moist wipes from a guy walking around selling napkins/wipes (genius for him since we paid $5 for a pack of 15 wipes lol)"
Herd Followers abound,The satay was nice but really no better than I've had before; tasty but not exceptional. I was disappointed to see them using foam plates and spice containers including single use plastic cups for drinks. The murtabak stand used trays lined with brown paper; a much better alternative
Quick and Delicious,"By far this is the best satay as they claim! $26SGD for 26 satay sticks - Absolute Bargain! - 10 beef, 10 chicken & 6 prawn. Did us nicely. Thanks Best Satay. We will return"
Good satay,"Wife was craving for satay and off I went, drove 10 minutes to lau pa sat for the satay. Many stalls here and I decided to check the ratings on google map. Best satay has one of the higher ratings and I ordered from them.

Their satays were good. Had the chicken and the beef ones. The ketupat was fragrant as well. Texture was fantastic. I asked the auntie for more onion and cucumber and she happily obliged! What great hospitality and I couldn’t thank her enough."
Best Satay in town,"Dropped in last night after seeing so many great reviews and it was well worth the visit.
10 chicken, 10 beef and 6 prawn for $26 washed down with a Tiger whilst sitting on a closed off street lined with satay vendors. An amazing way to experience street food at its best!"
"Great Atmosphere, raw chicken and terrible customer service",The title says it all. We were happy to pay over the odds for a bit of chicken to be sat in a bustling square... but when my partner noticed the skewer she’d been eating was half raw I took it back and said we wanted our money back. They were very rude and we left without an apology.
Food court,"Definitely will recommend anyone going to Singapore, I loved the concept and the food was best and doesn't cost the earth"
Definitely the best satay at Singapore Satay Street,Its nice to see there is a healthy competition amongst several satay stalls. But there is definitely one the best of all: Best Satay at stalls 7&8!
Best Satay number 7&8,"The store is located outdoor with number sign 7&8. If you happen to walk in the Lau pa sat , you will be approached by other food stalls , make sure you are not deter."
Late dinner,Great late night snack . Satay sticks with lamb and prawns . Calamari spicy stir fry. Great service and great atmosphere
Great BBQ experience for little money,"Had big portions of BBQ shrimps/chicken/beef with some side (fried rice/veggies). Delicious, well prepared and fast served. Acceptable price range. Outside seating - can smoke."
Top meal,After being recommended by a friend we were not disappointed. The food was excellent and the service friendly and helpful. I would recommend Best Satay. 7&8 to anyone wishing for an authentic Singaporean satay.
Wow!!!!,"If you go to Singapore you MUST eat at this place. The experience is the most amazing thing ever. You get your satay and maybe some other deliciousness like a rice and of course you order some tiger beer. It’s so delicious, so cheap and so great. Loved it!"
No 7 & 8 are the best satay in Singapore,Whenever we visit Singapore we always include at least one visit to Lau Pau Sat to have satays from Stalls 7 & 8 They are head and shoulders above any other satays The chicken are particularly good There is nothing better than sitting under the stars dipping satays into peanut sauce with a nice cold tiger beer and enjoying the theatre of the satay men
No 7 & 8 are the best,"Satay is a must @ this place. No 7&*8 are best, but all I tried were good !! They also have a large array of other cuisines."
Street Satay,"We ate here purely from the reviews off trip advisor

The food is well cooked you have beer and noodles to accompany the satay chicken lamb and prawns. The food is clean and cooked well with no health problems

But for street food again like everything in Singapore a little pricey but worth a visit"
Outstanding!,"If I recall correctly this was stall number 8,excellent large prawn satays to be enjoyed, also stunning chicken and beef Satay very enjoyable indeed!!"
Best satay is the best!,"This stall is among quite a few satay stalls at Lau Pasak but it is the best and it isn't just because of its name. People ordering from specific satay stalls are supposed to sit at the tables in front of the stall, and when we got there, the tables in front of Best Satay (7 & 8), were all taken while the tables in front of other stalls had empty ones. It took about 5 minutes for us to get a table for the 8 of us.

We ordered the beef, chicken and mutton satay because none of us ate prawns. My husband is vegetarian and some of us only wanted to try satay and have other food, so we ordered food from other stalls at the food court. Vendors actually come by with large menus you can order from then bring the prepared foods to your table. Plenty of vegetarian options available there. So, no worries if any in your party doesn't eat or like satay. And you paid when the food arrived at the table. Prices seemed on par with food court food.

The satay we tried were delicious though! Couldn't quite easily tell the difference between the beef and mutton but both were excellent.

The outdoor food court can get very hot but the evening we went was tolerable. It felt like it was going to rain so maybe that cooled things down a bit. And it wasn't very busy probably because it was Christmas night."
Amazing! Visit 7&8!,"We had the combination and it was awesome. My son loved the beef, daughter the chicken and me the prawns! The charcoal taste is delicious and their satay dipping sauce the best I’ve tried!"
"Best Satay, truly the best!",Had dinner with friends at Lau Pa Sat and tried the satay from stall 7 & 8. The mutton satay was juicy and tender which was a pleasant surprise as in most instances mutton satay tends to be overcooked. It was the first time I had Tiger prawn satay and it certainly did not disappoint as it was fresh and marinated perfectly. The ketupat (Malay rice cakes) was really soft and the sauce was a delicious peanut mix. Will definitely go back for more when around the Raffles Place area. Highly recommend this place for any visitors wanting to try Singapore's local delights.
An absolute favourite,"I love satay and this is the best place I know to eat it. It is of course crowded and noisy and you sit on little plastic stools (which is all part of the experience), but the beef, chicken and prawn satay are all wonderful. Any trip to Singapore without a visit to ‘Best Satay 7 & 8’ at Lau Pa Sat would, for me, be incomplete."
Delicious - a must try!,"We visited Singapore two weeks ago, my boyfriend and I were reluctant to try the street food as we had heard bad reviews however we were SO glad that we took the plunge and tried satay 7&8 (which is run by the same woman). OMG the food was so nice and the staff were nice and helpful and efficient.

We had the chicken, beef and prawn satay and they were delicious!

Thank you to Ainon for looking after us :)"
Truly the best satay,"We came here for satay and it was awesome. The rain poured down as we were waiting and the guy helped us find a table indoors despite it being packed. The satay is definitely best, dont get confused by all the others look for the stalls 7&8 and you have the right ones. The prawn was my favourite."
overrated reviews,"well.. the atmosphere may be great ~ sitting right under the sky (provided with amazing weather conditions) with a huge crowds around you.

Food wise, so so not so fantastic after all. It's overrated for sure ~ prawn weren't fresh and satay were burned most of it as well as not tender juicy kind.

staffs were busy getting more customers eventhough there aren't enough seats available.

overall, it's not a good experience at all ~ sadly."
Best Satay I have ever eaten,"This is by far the best satay I have ever eaten...the chicken and beef is delicious and the prawn was very fresh. A lot of different other good can be ordered and even thought there is no air con, the wind outside will make you feel cool."
"Casual Satay, quick and simply delicious","Stayed at So Sofitel which is next-door so ate there most nights by myself. Inexpensive, tasty and it feels right sitting on stools in a closed-off street in Singapore."
Pathetic Staff with not so great food.,"Best Satay - worst Experience.

Stall 7 and 8

The staff here is so arrogant. If you do not place an large order, your food is delayed. Period. They serve to people who come in large groups and when you ask for the food, they raise their voice and speak.

This is only stall where staff is not patience enough.

Advise: If you still want to go there, have no expectations."
Great Satay and Affordable Prices,BEST SATAY No.7&8. They are actually the best satay at Lau Pa Sat. They are no on inside the building. They start only in the evening when the road is shut and all vendors open their stalls. They serve rice cakes with the Satay and have one of the most flavorsome Prawns satay.
Nathan,What great atmosphere just walking around a hawkers market that the locals go too.Great food and cheap but when we got to best satay stall 6&7 we got great and friendly sevice for $26 we recieved a feast 10 chicken satay 10 beef satays as well as 6 prawn satays. Worth a try.
"Great satay, better experience","If the cheap Satay is not enough to bring you here (something like $14 for 20 pieces) then the atmosphere of sitting outside in fold up tables with 10 other satay stores and 100 people definitely will be! Great experience, great food great value."
