topic,review
Conchinillo for the Win,"A Romantic Feel when you enter the restaurant. We came here Lunch time so not much people, no kids and very few guest.
My stardish are the Conchillo and the Paella. The beef tartar also good maybe for me its lacking of something. We will visit again soon to try other dishes . Thanks to Alex for taking care of us."
Delicious authentic Spanish food!!,"Binomio has wonderful Spanish food and delightful service. Some dishes that must be tried are their prawn confit and spinach and cheese croquette, as well as their paella. Would definitely return again!"
Wow where has this been ?,"Its been there ages but I had never heard of it. That is a real shame as I feel I have missed out.
Firstly is VERY good value as the tapas portions - (select 5 or 7) are easily big enough for 2 pax. The food was tasty and well presented.
The waiter was exceptionally helpful and attentive but not intrusive.
The wine list was excellent and I found a gem from Ribero Del Duero
I want to return to try their paella ."
Big than usual portions of Tapas,Two of us went there on a Friday night to start the weekend. We had the 5 tapas set @$139++ with a chorizo appetitzer and had to take 2 of the entire tapas to go. We were lucky to get a table at the cellar portion of the restaurant in spite of no reservation. The bill came up to $229+ with 2 glasses of Sherry. We were billed $299+ instead. Luckily I always check my bill and told them to fix it. It could very well be an honest mistake but do remember to always check your bill.
Nice vibe let down by disappointing food,"Me & my friends were given a nice long table towards the back of the restaurant. We found the food underwhelming, especially the Paellas: salty & oily. Service was intermittent. Place had a nice vibe but was noisy"
Tapas and more,Another lovely evening at Binomio. The tapas were amazing-- we took the set of 5 and all of them were great. Already planning the next visit.
"Friendly staff, nice food","We had a lovely Friday night at Binomio. Very friendly staff, pleasant buzz and enjoyable food. We enjoyed the cured ham and bread, the chorizo was a little oily, the sauce with the frittata had too much garlic, the paella was good. The staf LF and atmosphere made the experience"
"Great food, service and ambience.","Great food, service and ambience. Went for a pre-birthday celebration for my husband and loved the place. The restaurant has a great mix of a casual bar on 1 side and a formal set-up on the other. The tapas selection was wide and loved the pork and egg tapas. The crowuets were ok. The squid ink seafood paella was outstanding and the spring chicken was refreshing and juicy. What needs special mention is that the place has erhaps the best churros!
Service was very good - they were patient and advised well on food and wine and finally they were kind to arrange a small cake and candle as last minute request."
Delicious tapas,"After a hiatus, I have been back to Binomio twice in 2 weeks. Tonight was with the family. We had peppers, ham and chicken croquette, gammas and octopus and shared the main course of Angus beef, which was a chunky 500g portion. Also a carafe of sangria went well with the food. A dessert of churros to end an enjoyable evening"
Good Quality Spanish,"All of the food was excellent in quality and brought out looking beautiful. The pork especially was delightful. Mediocre wine list, but not a deal breaker. Some great value bottles in there."
Very Ordinary Tapas,"Not been back for ages but always like the chairs that are near the windows and you can look out rather than the boring white table cloth. I booked the table facing the small road. Ambience was nice and service staff Darren is very attentive. Unfortunately, the Tapas are a dismal. We ordered 4 tapas and they are very very ordinary. The last Tapas Tiger prawns took ages to arrive, we thought they forgot. And when it came, I wish they don't call it TIGER prawns.
Wine half bottle have only 3 types but they're good enough and price is very reasonable.
Overall, we will come back here for pre-dinner drinks but will head elsewhere for a better meal."
Burnt overpriced chicken and seafood paella,"My Spanish friend and I went for lunch. We had an artichokes and peas starter that was heavy on the peas with a few swollen artichoke pieces. It was okay but not anything particularly notable except the one note pea flavor. The paella, sadly, was burnt. I thought maybe it was supposed to be the style but my Spanish friend confirmed it was burnt. It did not allow me to appreciate any other flavor. In fact, I wanted coffee and dessert to wash away the burnt flavor but it took so long to get the waiters’ attention. Instead, we got the check and I nearly cried when I realized I paid $84 for a mediocre, bordering on bad, lunch. I heard the tapas were good, but I will not risk it again and will atone for my mistake by eating a $10 fish or chicken biryani."
Tapas tasting menu at bar area,"My previous visits were always to the main restaurant, but I now know that bar seating is much more intimate and quiet. Perfect for date night!

Had 6 tapas from the tasting menu for $79 and almost every single dish was well executed in terms of seasoning and presentation. The only miss was the Squid Ink Noodle Paella that was too wet and soggy.

Service was generally good although there was a slight hiccup with a delay in our last four orders.

Reasonable prices for wine and quite a decent selection.

Overall, was really pleased with our dinner and will return soon."
Overrated food,"I love spanish food and have ate countless times in singapore and overseas. This is one of my least favourite. We were surprised that the paella was served in under 10 minutes, as expected it was warm and not well cooked, no burnt base and some of the rice tasted sandy. The garlic prawns were a disappointment too. Overall, can’t say it wasn’t fresh but the taste was average. Can definitely get a better value spanish meal elsewhere"
An old favourite really delivered,"Eduardo and his team made us feel so welcome as always and the restaurant last night had a real buz. Whatever electricity was in the air clearly came from the kitchen. The team was on song last night. The foi gras, sardines and octopus were fantastic. The highlight for me however was the oxtail. So tasty. All accompanied by a great house wine. I really appreciate a restaurant that has good quality wine at reasonable prices.

We are looking forward to our next visit."
Excellent service and really,Excellent service and really yummy food. A bit expensive but extremely good value for what we ate. Such a good experience. I would recommend it highly!
