topic,review
Never again,Super place and food. BUT we got kicked out at 11.00pm after spending over 1500SGD with a group of 5 at 11.00pm since the crew wanted to sleep early or party somewhere else. Who knows?
"Disappointing food, wrong information regarding nut allergy given in email from restaurant","One of our party has a severe nut allergy but particularly wanted a ribs dish as his main course. I emailed Birds of a Feather the day before to ask specifically if the 2 rib dishes contained nuts. I received an email response from Gabrielle stating that “the short ribs and O.P. Ribs are totally nut free” Great! So we went ahead with the booking. However on the night we were informed that both dishes contain traces of nuts. So whilst we are grateful that the details were re-checked (avoiding a medical emergency), we would not have come to this restaurant had we been given the correct information in the email response- as it was specifically a ribs dish that the birthday boy had wanted. A verbal apology was given, but it made for a disappointing birthday celebration.
The food was generally, as many other reviewers have commented, too salty. The sprouts were good. The short ribs were not- chewy & tough. Overall, don’t think we’ll go back."
Food and decor are as exotic as the name of the restaurant,"It should have been named Birds of Paradise! Exotic fusion Western cuisines with Sichuan accents. For 2 persons, we shared 3 starters and 2 mains. The Crab & avocado bruschetta and Yu Xiang eggplant were delicious with gentle flavors. The Chicken in Chillies blew our minds & taste-buds! Followed by very interesting grilled prawns and the Oriental Bolognese noodles! Together with a bottle of wine cost us S$256."
Excellent food and ambience,"We really enjoyed dining here. The decor is beautiful. The food was delicious and well presented. The menu is quite elaborate, a bit pricey but worth it. The service was great. Overall a wonderful dining experience. Would love to be back here to try some of the other dishes."
What a disappointment!,What a disappointment. The food was too rich and intense. We knew it was Szechuan style but everything had pepper and chillies.
Food standard dropped,"2nd time to this place. Quality of the food fell quite a bit. Noodle was tad too salty. Service was impeccable, but i'll prefer good food over good service."
Great experience!,"Beautiful restaurant sitting in Amoy street with many other good restaurants around. It has a very quiet setting and wonderful skylight inside. Food is great too. As a local Sichuanese, I feel the taste is quite authentic and names are funny to memorize too. Price is a bit high but definitely recommend to come with family and friends for a weekend day or night to relax."
"Attentive service, food is above average.","Food is little bit too salty for my likings. Especially the dumplings and capellini pasta. But find the chicken in chillies was really well blend flavour. Service was good, attentive. Value was just average."
Birthday Celebration,"Came here as friends have been recommending this place. For the 4 of us, we ordered both sharing menus & we were so surprised at the portions of the food. Portions were HUGE. By the end of dinner, we were so stuffed that we had to doggy-bag a whole Main dish!
Flavours were very Sichuan, so be prepared for the heat!.
Staff were attentive & brought us whatever cutlery we needed or changed our plates whenever we requested.
Desserts however was not to our liking. We felt that the peanuts did not gel with the flavours of the Pear & Jelly dessert. The Glutinous Rice Cake rock was much preferred."
Weekend Brunch,"Had lovely drinks before and came back for more as Ivan was name one of the Top 8 mixologists of the year. He made a bespoke Expresso Martini amongst his usual winsome cocktails. The food was impeccable, special mention to the humble sweet potato appetiser as well as the porridge. Super love!!!"
Restaurant review,"The food and ambience is good. However, the attitude of the manager is very bad. Rude behavior. Other staffs are ok."
"Good Food, Good Vibe, Good Service","Enjoyed my lunch. The fusion food was awesome and new for me. The service staff was friendly and provides a short description of the food when serving it to us. They would even explain how we can eat one of the dishes. Although the restaurant was full and eveyone seemed busy, they would attend to our queries with a smile and brought over the menu to make sure we have our answer.
Will definitely come back to try the other 2 dishes."
Very disappointing - but they waived off food charges,"This was a great disappointment
The food was not so much fusion but jumble
Had the tasting menu and they were brought out initially 3 at at a time and out of the published running order
Japanese Eggplant, Buffalo Mozzarella, Yu Xiang Sauce tasted like breakfast cereal with eggplant - not pleasant
Birds Avocado & Crab Bruschetta - was ok nothing special
Find the Chicken in the Chillies-was ok but very oily and I have had much better at hawker centres
Pork Dumpling- wasn't bad
Barramundi Chazuke- the fish nicely cooked and tasty - the broth sour and an awful taste - the broken or sticky rice was awful

Beef Short Ribs this was truly bad- the meat had been incorrectly cut off the bone and was chewy and gristly
The worst part was that it was excessively oily and too greasy to eat
Pear and Jelly
Osmanthus Poached Pear, Classic Sichuan Ice Jelly, Marinated Kumquat
As I expected it to be
The staff noticed that we ate less and less and in the end I expressed my dissatisfaction . They immediately sent over several staff. I didn't ask but they waived off the food cost"
Social place,"Authentic flavours, nice setting and atmosphere. Good portions. The type of places for friends gathering"
Worth trying,"Had been wanting to try Birds of the Feather for some time and finally made a reservation to try their Sharing Menu for Two. Each dish was quite unique and tasted good, my favourite was the Spicy Good Slime Shine (Chinese Yam Noodles). Will be back to try out their other dishes."
Magical Dishes,"Dish after dish of deliciousness! The staff here are very nice too. Great atmosphere. If you get the set menu, prepare to eat it over several hours."
Great food,"Love the ambience and deco. Food was great too (tho a little overpriced). The service was not too attentive this time round, not sure whether it was because we were seated in the front of the restaurant"
Food is good but not the expected service,"The food and drink is really cial and good,howevr not the service you will expect coming from the overall amount spent."
Decent Chinese & Western Mix,"My 2nd time visiting. The menu was changed quite a bit but luckily all the signatures remained. The appetizer: egg plant and Lazi chicken are must-try, so as the main course Sour Seabass (or cod?) with rice."
Good ambience. But must chose seating where the spotlight doesn’t shine on ur face.,"The food was different and interesting. Very flavourful. But after having a few mouthfuls, everything had too strong a flavour that it was abit overwhelming. It was abit salty as well. The osmanthus jelly was weird and Cocktail was underwhelming. No kick at all and was too sweet."
Excellent Food & Ambience,"We ordered a total of 4 appetizers and 2 main dish, enjoyed every dish and like how they did the sze chuan taste to a fusion mix. Ambience was nice. But Service could have been better as there was no common utensils and considering current covid situation it should have been a norm by now. We had to request for it and it was obvious we were sharing our food since the first dish. Our water was not refill thru out the whole session. Other than that all was good."
Delicious and creative dishes matched with great friendly service,"We had a number of the sharing dishes, and each dish was a standout in its own right! Service was spot on, attentive but still gave space to enjoy the food."
Great Ambience,"Great ambience and good food, value for money and strongly recommended. Perfect for couple and business dinner."
Great experience!,"Food was delicious, restaurant was cosy with great ambience. Excellent service as well. Requested for a nicer table as it was a birthday celebration and the staff delivered. Will be back!"
Delicious unique sichuan dishes,Love the surroundings giving a relax atmosphere. Mapo tofu is delicious and the pork claypot rice is awesome. Will come back again!
Food quality and service declined,"I used to loved the food and atmosphere at the restaurant. I even ordered delivery when dine-in was not possible. However, when I arrived at the restaurant this time, none of the waiters/waitress seemed to notice me. I waited for a while at the entrance, and decided to go in by myself as my friend was already seated at a table inside. When I walked by a waitress at the bar who's talking on the phone, she basically shooed me towards the door without saying a word. I believed she meant for me to do safeentry. I couldn't find the usual safeentry device that are found at other restaurants or malls, I was very baffled. Still nobody seemed to be bothered. Finally I found a QR code on the door, scanned and went inside. It wasn't even half full. I ordered my usual oriental balognaise and was shocked to see some of the angel hair spaghetti sticks together at the tips. It's probably not a big deal if it's a bowl of $4 noodles at a coffee shop. But it's a restaurant, and it's their signature dish. Food still tastes good, atmosphere is still cozy and pleasant. I was really disappointed by the sevice and the quality of food."
Food and Service,The food was sublime and the service great also. Highly recommend a return visit and will tell my friends also.
Elegant restaurant with delicious fusion food,"Great ambience and delicious, hearty food. Dessert was beautifully plated and service was impeccable."
Atas Sichuan western fushion food,The ambience is great for a cozy and comfortable feel in the mid day. Great to chill and laze. Service is great and attentive staff that never fail to top up our water. The food is kinda atas for Sichuan cuisine. But it’s delicious. Especially their burger. It’s worth a trip for experience.
Will revisit.,"Service was friendly and warm. Food was delicious, ambience was cosy and great for couples or with friends. Food was not too spicy either. Will gladly revisit to try other dishes."
Food and service lived up to expectations!,"I would say the overall experience was value for money, and this won't blow a hole in the pocket. Service was good and attentive, but not excellent (If they have been more sensitive about our wedding anniversary that I've left a note, and didn't ask if we would want a sharing table, this would have been a 5-star). Had the BOAF sharing menu, and topped up for the lobster and wagyu. The food was really good, although the taste of the Szechuan mala was almost the same across most dishes, but still delicious. Portion was also just nice, and the dessert was indeed a great finisher. Will definitely return because of the overall experience and price point. Not the best place for quiet privacy and fine dining experience for couples, but the vibes suits an upmarket Manhattan-chinatown fusion restaurant which you'll hear chefs yelling a little, with some conversations held over at the cocktail bar. Great place to commune for friends gathering and business though."
Delicious and Cozy Anniversary Dinner,"Huscand and I visited to celebrate our third anniversary and had a wonderful experience. Food was delicious (especially the Truffle Dumplings, Find the Chicken in the Chilli and Mapo Tofu), service was great and the ambience was perfect."
Kinda disappointed. 😔,"I have been there for few times. It was a “tricky” experience, BOF used to serve plain water (iced/warm). However, the waiter only asked:”would you like to have sparkling water or still water” and didn’t offer option for plain water, but the do still provide.

I wanted to have plain water and would definitely have ordered other drinks, (btw it’s organic chamomile is good).

Other than that, “find chicken in the chilli” was over salty, but the waiter nice enough to change a new one for me.

Other than that over all is above average. Hope the manager can look into the “sparkling water, still water, or plain water” matters, giving customer options so customer wouldn’t fell trapped."
Exquisite!,Culinary artistry. The most delicious meal we've had in a long time. Excellent service. Wonderful ambiance. Highly recommended!
"Great atmosphere, good customer service but food is salty","This place is nice for a date night (most couples there looked like they were on a date, since we are limited to 2 to dine in currently). Food is interesting and unusual. But the food is overly salty, next time I’ll ask them to lower salt content. Then id be able to taste the food better"
First visit,"The food is not bad, except the 辣子鸡. Although a lot of people posted it on social media, the taste is only average. The cocktail is also only average. Next time if I want to eat Chinese Food, I will go to a proper Chinese restaurant."
Great food,Food was really good though prices were a little on the high side for lunch. Service was ok until the end where the waiter poured oily soup on my satin dress when he cleared the plates hastily. Not a big deal except that he was doing this for all the dishes on the table and it nearly poured out a couple of times. Would have expected better service from a restaurant like this.
Good Place for a chill out,"Located at Amoy Street, serves exquisite Western & Szechuan fusion food that is mostly great. Great selection of cocktails and wine. Excellent ambience and good service. Good for dates !"
Interesting food and superb ambience,"Very intetesting fusion food! From the ambience to the service level of staff to the presentation of food and not forgetting the taste and creativity of the dishes is just full of awe. I visited the restaurant twice in a week. You will not get tired of the food.

Aircon can be abit too cold at certain seats though. So be sure to ask for a table not having the aircon directly blowing at you for those who are not a fan of “winter”."
Expensive,"More of a place to chill and hangout. In the past, there were fewer 东北 eateries but there are way more now. So, food wise, u can get better value elsewhere."
"Good food, great service","The food was good, reasonably sized portions, good sharing dishes for various palates. Great service"
Find the chicken in the chillis is good,"The dish find the chicken in the chillis is good, atmosphere not bad. Ice 2 baby is a feast to the eyes, taste fine too. Crispy gyoza with truffle vinaigrette and Oriental Bolognaise are pretty normal and can be overlook."
An interesting restaurant,"The food is really amazing and the service was great. I loved how the food isn't too oily, which is usually the impression of Sichuan food"
Interior decor is different from website,"Had dinner with a friend. Food was pretty good and service was great. But I’m disappointed with the interior. It looks very nice on the website and google pictures. The reality of it was sparse decoration and nothing much to write home about. One of the reasons we chose this place was because of it’s lovely interior and ambience as we wanted to take fabulous photos. Nevertheless, we enjoyed dinner and staff was nice & welcoming. So for that, we thank you."
Reservation Timing suboptimal,With the Chope App I could not get my desired time. When we arrived however the place was half empty. Disappointing
First time Dining Experience at Birds of a Feather,Overall the ambiance of the restaurant was first rate. The staff were attentive and the selection of food was superb. My only concern is being charged for soda water when we ordered a bottle of vodka for our table. in most establishments the mixers are included. i would recommend this venue for small groups or an evening with someone special
Birthday dinner,The Location is very easy to find and I would like to say the sichun western is very nice . Really thumbs up for the food .. love ❤️ the chicken spicy and the order I have made. The waiter are very helpful and recommended me and my friend for the food which I was hesitant that which one should go. I will definitely recommend who love spicy and with the western feel.
Birthday Lunch,"The environment of is good. Good for catch up with friends, the tastes of the food are decent too. Will definately come back!"
overrated,"suited for those who enjoy spicy szechuan cuisine and good ambience. We ordered the chili chicken, bolognese, mapo tofu with rice, sweating mussels and beef burger. Chili chicken was good as an appetiser. The bolognese was really bland and the ingredients didn't seem to pair and compliment each other, making it taste very unappetising. Any cafe could have served better pasta given the price. The sweating mussels dish was very overwhelming due to the massive amount of peppercorns they added. Although the yam noodles in the dish was nice and chewy, I didn't manage to enjoy it due to the overwhelming numbing sensation of the peppercorns. As for the beef burger, the kitchen forgot our order and we had to ask twice before they served us. The burger was really average, apart from the addition of foie gras. We felt that we were paying more for the ambience rather than the food given our experience. This place would be suited better for couples or perhaps drinks. All in all, we didn't have a pleasant experience and we would not return."
Good service,"Love the food quality and presentation, great service, all the staff are very attentive to my needs and made me feel good in front of my client."
Excellent all round,Been a few times always impressive. Waiters know the menu and happy to be creative. Tried the Tofu this time ... wow
Service,Food was good.But we can’t find the address it’s because the unit from website is (01-01)but when was there is (01-03) and Service need to improve.Thanks
Excellent,"It was a nice ambiance and experience - I would come back for sure and will recommend this place , thanks"
Great food good service,"I would like to compliment the service and desserts little creatures have served my girlfriend and I on 11th of January.
We ordered the triple ice cream which was really nice as its of top quality. We enjoyed the nice ambiance and its really relaxing for us. The staff was courteous and professional.
Thank you so much and we will be back soon."
Brunch at Birds of a Feather,"A little bit pricy but food and ambience were nice. Ordered the vege pot and it turned out to be surprisingly nice, combination of Sichuan and western taste."
Fusion food,"Although food was fuison style, the dishes were executed with great flavour. I also had a great time find finding my chicken amongst the pile of chillies. Surprisingly, the coffee was pretty good. Will definitely be back to try other dishes."
"Extremely Average, over-rated and Poor Value for Money","Found the Food, extremely average quality, though it was quite over-booked. We ordered Burger and Snapper and both were very average in taste, through the presentation was quite nice. At the end it was very poor value for the money that we spent."
