topic,review
More than a bar,"Sometimes a place just gets under your skin and if you let it, into your bloodstream.

Bitters & love is such a place.

It has all the ingredients for greatness; passionate people loving owners and staff, uncompromising standards and immaculate delivery of cocktails & food to rival the very best anywhere.

It’s a place that involves you & creates an atmosphere both intimate & convivial with effortless ease.

One of the best Negroni Classics on the island, not to mention their Pandan & Mescal variants.
Sublime Vespers & Espresso Martinis, try ‘The last train to Tokyo’ for an easy drinking classic with a bite.

Everything on the food menu is worth exploring, the best ingredients either delivered with theatre or classically with taste dialed up to eleven.

Do yourself a favour, book (you need to) & spend a night with these amazing friendly, inviting and passion infused folk - guaranteed you’ll be back again & again."
Nothing bitter about this place,"The internet had only the nicest things to say about Bitters and Love, so me, my partner and my friends put on our skeptical spectacles (our skep-tacles, if you will) and went on in. The combination of the music, the ambience, the variety of drinks and their presentation were all absolute knock-outs (including fire, smoke, dry ice, you know, the works!). The staff were attentive, the quality of the drinks were excellent and thumbs up were repeatedly given. In the end we had to throw our skep-tacles away."
Creative cocktails,"One of the main reasons I wanted to try this bar was for its famed Kaya Toast Cocktail. Kaya is one of my favourite flavours and I was really excited to try this for its taste and for its appearance. From pictures online, I could tell that the cocktail comes in a kaya jar and served with a slice of toast on top. It didn't disappoint! It had a unique taste and aesthetic. Be sure to mix the bottom, as mine was a bit sweet at the end. My friends and I really liked the vibe here, it had good music and the bartender was friendly. It did tend to get loud at times, so not the best bar to go to if you intend to chat for long."
Cool bar - Fun helpful staff - Great drinks - Cool music,"Popped in here on a whim, and I was not disappointed at all!

Felt like I was part of a secret cool club - greeted by the bar staff I dived into the cocktail menu - I’m not even a cocktail fan and I loved everything - I saw the value and work/effort that went into each drink which was pretty cool.

Tip - sit at the bar and chat to the bartenders!"
Great ambience and cocktail menu!,Brought a friend here who was from out of town late on a Tues night. Wasn't packed and we got to hang by the bar and chat with the bartenders. Even made us a cocktail on request that wasn't in the menu! Also a great place to bring a date for some cocktails. Thanks guys!
Jeez is this what passes for a drinking establishment,"I’ve been to some dives in my life but this hole takes the biscuit. So dark you can barely see your hand in front of your face or perhaps it’s to hide the small servings of overpriced spirits and any evidence of ambience. Music so loud you can barely hold a conversation without hurling a mouthful of spit and venom at the poor fellow drinker next to you who wandered into this pit of despair.

A soul crushing void of atmosphere - if you like overpriced drinks, crap service and even worse music then enjoy. If not then avoid like the plague"
Love love love,"First time at this place but was really impressed with the decor, ambience and service. Excellent all around.

Music playlist was fantastic, bartenders were entertaining and guests were generally cheerful and singing along to the songs played. (Good sign when it comes to bars like this!)

Unique menu items concocted by the mixologist and great presentation of each cocktail.

I asked for a recommendation and was asked for my preferred taste (sours) and wasn't disappointed. The staff really knows what's great for you so feel free to ask!

Overall, great visit and will definitely come back again.

Slightly pricey but expected with such service and ambience."
"Top Speakeasy Style Venue, Ambiance & Cocktails! This reminds me of a iconic cocktail bars you’d find in NYC and Chicago","Top Speakeasy Style Venue, Ambiance & Cocktails! This reminds me of iconic cocktail bars you’d find in NYC and Chicago. The staff was incredibly friendly and offered countless suggestions based on what we told them we liked, were in the mood for, etc. Hidden gem"
Very loud music,"Nice drinks. Good food. But the music is insanely loud. Also, they ran out of red wine. Quite a bad experience"
Best bar in town!,This place is amazing I literally had the time of my life! The music brought back so many old school feels and the vibe was exactly what I was needing! The drinks were really good and the staff was super accommodating! Would definitely make this a regular stop
Best bar in SG!,"Best vibe, best music, best cocktails! If anyone wants singalong music and amazing drinks, go here! All the things you need in a bar is served here."
love the cocktails,visiting singapore and we were recommended by a friend who loves her cocktail. cocktails are well executed. some are balanced while others are strong. the dinner is a gem too. try the scallop carparccio and their handmade burgers.
very disappointing experience,"went there with a group of friends. For a Saturday night, the bar was nearly empty which was surprising. And the cocktails were exceedingly ordinary and diluted. We described the type of drink we wanted and were told the mixologist would create something. What we got was absolutely terrible. Mixing gin with egg white and apple was disastrous. Even those who ordered beers were served almost lukewarm or barely cold bottles. So much so we had to return them and ask for ice with our beers. How pedestrian is that for a supposedly classy bar... And the gin and tonics were so diluted, one wondered if there was anything in it at all. And on top of that, the cocktails were served with two plastic straws each which was so very shabby (and eco unfriendly). A very very ordinary experience. For the prices they are charging, they just do not compare at all to soooo many other bars close by that serve up pricey yet fantastic cocktails."
Feel the love and taste the bitters,"As soon as you pick up the drink list at Bitters & Love it is obvious that a lot of thought has gone into the creation of these libations and that the staff and owners take their craft seriously.

It was late on a weeknight and the place was quiet on the night of our visit, the staff was hard at work cleaning up and preparing for the next day, but we still received attentive and friendly service. I tasted three different cocktails and each one was unique and interesting. The prices here are reasonable considering the ingredients being used and the work that is going into preparation of in house syrups, infusions, bitters and more. Definitely worth a return visit, I'll be back."
Great little hideaway,Great cocktails. Music a little too loud to talk though. Staff friendly. Drinks tasted great. Good for after work drinks or friends night out.
Love their mix!!!,"What a lovely place to have some amazing mixture. Listen to a grovey music and have fun filled evening. The staff over there are just super when it comes to serving your palate. They will give you so many recommendation, will discuss your taste and will then serve just that perfect taste for you

Everything can be customized, that you feel like a friend serving you"
i LOVE BITTERS & love,"bitters & love is the best bar, bar none. see the pun i did there? fully customizable cocktails, impeccable service and great GREAT vibes. didn’t expect this level of goodness from one tiny place. special shoutouts to stephanie and sarah who are excellent hosts. kaya toast cocktail a little too sweet for me even though its the most popular. the char siew pizza is to die for."
Fabulous bar,"Found the lid bar in the lonely planet, didn’t disappoint. Good staff + good cocktails + good tunes = good night out 😀❤️"
Absolutely love this place,"I came here twice, and maybe 3rd and more. Great place to hang out with friends/colleagues and even biz partners. Nice music, the drinks are awesome and the atmosphere is really great. I love it when the staffs are like family to each other :)"
Amazing cocktails - price not too bad for Singapore,"We stumbled across this place whilst searching for a Singapore Sling. Bear in mind that it's quite difficult to spot the entrance as there's no proper sign - however, it's worth seeking out! The Kaya Toast cocktail was one of the best and most unique cocktails I've ever had. Absolutely delicious! We had that and a really good Singapore Sling, which set us back about $25 each (Singapore dollars). We wished we could have stayed for more but our schedule and budget didn't allow it :( staff were really lovely and friendly too! Definitely worth a visit."
Loved their cocktails,"Was there last weekend with my colleagues and it was just wow! The place was nicely decorated and the vibes were just awesome. Their drinks selection won't disappoint you at all. We had a little chit chat with the bartenders before they were wrapped up again on a weekend night. In conclusion, the service was excellent and the cocktails we had were beyond our expectations. Keep it up, guys!"
Exceptional cocktails and service.,"This place is a lovely gem. I had some of the best cocktails I've ever had in my entire life here. The menu has a big selection of drinks that all seem delicious. What makes this place even better is the outstanding service. The bartenders and servers are super knowledgeable and friendly. I suggest you ask the bartenders for drink suggestions, you won't be disappointed. Super romantic and chill vibe."
Special Cocktails,"Paloma ($23+)
Kaya Toast Cocktail ($25+)

Can't speak much for the former because I only had a few sips of it (which I enjoyed). Drank most of the latter & here's what I think of it:

The Kaya was delicious, & I also appreciate the thickness & slight crispness of the toast. The cocktail itself wasn't as sweet as I thought it would be. Probably won't order it again because honestly, I ordered it because it's novel, interesting, & local. Also, the cocktail menu here is quite extensive, you can also let the bartenders whip up something for you depending on your preference. So the next time I come here, I'll probably get something else.

There aren't many seats here; in the small (cosy) space they have, it can get pretty crowded. The music is also really loud, so if you want to catch up/chit chat with your date/friend(s), this might not be the best place to be.

Accepts credit cards
Air-conditioned seats
No GST"
Fantastic!!!!,"Great air conditioning to greet you and after that, some of the best, most interesting concoctions I have ever had!!! A great staff that instantly made us feel welcome."
