topic,review
Great place to have a burger,"Great food and service. Staff was very welcoming and accommodated walk in during the busy week. Food was really good across appetisers, main and the milk shakes are a must try. Helpings are large so order accordingly."
"The most family-friendly place at MBS. Great burgers with many options for all to find suitable menu, great service","I recommend Black Tap to all families and groups of friends looking for good food with attentive, hospitable service.
The burgers are very very good. There are many options so that everyone can find sth exciting in the menu, from burger fanatics to meat lovers, cheese lovers and vegan friends. There are also salad options. We tried the Asian corn as well
It is easy to make it a meal with various side options. Portions are very generous. Craft beers, cocktails, mocktails, non alcoholic drinks to go along.
We did not try the milkshakes.

Burgers that we tried and recommend: The Greg Norman (Award Winning burger with wagyu beef, blue cheese, dill), The Carolina burger (with prime burger, pulled pork and coleslaw), The Old Fashioned (with prime burger, caramelized onions, shiitake mushrooms, horseradish sauce). All were super super good.

The experience is also good thanks to the quality of service: attentive, warm, hospitable, reactive. The restaurant layout is good and provides ample space for each group of diners. The music is good."
My Happiest Birthday Celebration with yr staff in Black Tap!,"I would like to thank Jasmine, Roan, Ms Khan, Paul, Max & Mac Coy for their friendliness & awesome service! It's the Happiest Birthday Experience for me today! Pls convey my appreciation to them, pls! Thank you so much! Molly Tan 81287526"
Special treat combining craft beers and milkshakes (!),"Black Tap is a craft beer, cocktail, mocktail and milkshake venue within the Shoppes, an upmarket shopping centre attached to the Casino and Marina Bay Sands Hotel.
It has an interesting range of global craft beers, with two from Singapore. It also sells oversized milkshakes that will wow children, and meals.
Even when there’s no queue and spare tables they require a mobile phone number and text you a notification for when a table is free.
Prices are quite high eg $22 for a milkshake and $18 for on tap beers.
However the quality of the drinks is excellent.
Recommended as a special treat."
Wonderful evening,The Wagyu burger was delicious. Goes well with the sides and wine. Love the ambience. Manage to catch the light show after dinner. Overall a very good evening out.
Black Tap a nice place to dine,"Great time, lovely and friendly people not to mention Ms Jasmine Choi and Roan. Food is great, need to come back and try the other as I get full stomach on my serving as it was for me, quite a big serving."
Not just burgers,"Run very well with enthusiastic staff.

Family not arrived so not given table. That’s fine. Don’t chope the place. When they arrived, automatically shown to our table.

Lamb burger salad with feta and olives. Loved it. Excellent food. I’d recommend you take it at easy hours. Friday nights or Saturday nights? Start queuing at 4.

Good luck."
Delicious burgers and milkshake,"Burgers: Greg Norman and Wagyu Steakhouse burger were delicious. The beef patty well seasoned and went well with blue cheese (in Greg Norman burger). The fries came with each burger and in large portion.

Tried the Nutella shake - creamy, rich Nutella taste. Nice.

Alcoholic drink ‘Wednesday we wear pink’ was a letdown. Tasted more like syrup."
Best burger in town,"Great burgers, amazing dessert milkshakes, and fantastic craft cocktails. Nice location inside the MBS Shoppes"
The best shakes and burgers - probably in the world!,"Absolutely the best milk shakes in the world and probably the best burgers too! Seriously good. Thank you Ivan Lim. Great service too. Eat here, you won’t regret it. 100% recommended. We loved it and hope it opens in London soon!"
Black Tap,"Excellent service will sure to come back again. Burgers, wings, sweet potato, fried mozzarella and shakes are so yummy. Thank you"
Great Burgers!,"Great place to have burgers and drinks that looked drool worthy. We went as a family and after shopping were so hungry, luckily there was no long queue so we wanted to give it a try. Ordered burgers and some sides. Their sauces/ dips are really great to go with wings and burgers. I really liked their freshly made guac. The portions are big though bit pricey but worth it. They dont serve warm drinks, wish they would. Other than that, def a place to go and have good food in an equally good ambience!"
Great Service,Attentive and Friendly staff. Came promptly to take orders and provided extra cutlery in anticipation of sharing. Very nice.
