topic,review
Excellent Service and Food,"I am here to celebrate birthday. I am looking for nice lamb chop experience and come across Blu Kouzina. I am served by Honey and she is very professional. This is my first time experience here with Greek food and she is very patient in explaining and recommending the food to me. More importantly, she is not very hard sell as we are small eater. We ordered a Dips with grilled Pita Taramasalata and Paidakia lamb chop (4 pieces).

The lamb is excellent! Don’t have fancy sauce yet still very very nice. Can tell the lamb is very fresh. The dip is very different from other Greek restaurant too, the one I ordered is Cod dip so they have nice and gentle fish taste. Very unique!

I am here to celebrate birthday too and they allowed me to bring my own cake!

Highly recommend this place!"
All Girl's dinner,"The place was vibrant, it played amazing music and the cocktails were amazing. Food excellent too. Weekend nights here are lovely."
Food was excellent,"Food was tasty, full of flavour. Really enjoyed every dish that we had. Ordered Kebab platter, Vegetable Mousaka, Grilled octopus, pita bread and 3 dips (Taramasalata, red pepper and Tzatziki)."
Good ambience and nice food,"I like to go to Blu Kouzina as the place has nice ambience, nice food and great service. I like to be out side in the evening - it feels so relaxing"
Great food and fantastic service !,"Very friendly, cheerful & helpful staffs. Esp Marissa who served our table & gave my girl a birthday cake after knowing today is her birthday. Highly recommend this place. Thanks Marissa !"
Birthday lunch,"Met up with 2 friends celebrating their birthdays in January. Luckily we took the advice of our server to order the watermelon salad, the 3 dip Sharing platter, 2 pitas and the small meat platter rather than the larger serving size that we chose initially as the servings were large. Food was delicious especially the lamb. Only the beef was overcooked sadly and turned out tough and dry. Had a nice surprise after paying the bill when the server came over with a platter with a lit cupcake, watermelon slices and almond flakes. When he realised 2 people were celebrating their birthdays, he returned with another cupcake"
Poor customer service,"Ambience was good, but the food wasn't up to standard. Octopus Frites was battered with flour too thick and the taste was bad. Server didn't bother to replace the meal or offer another side dish and basically no customer service at all.
Drinks were also way overpriced. Table next to us left halfway with lots of leftover, showing how bad the food was that day."
Great ambience and food,"Location is very calm and peaceful with beautiful antique decorations - different types of umbrellas / display of antique wines, fresh vegetables, etc., Pita was soft and fresh and the dips combination was amazing. You can choose the dips according to your taste buds. We have tried almost all the vegetarian dishes available and Kunafeh, which are awesome. I feel it's a bit overpriced, but nevertheless it's a great experience."
"Good food, medium service and overpriced","Authentic Greek food, waiters could be more attentive, but crazy overpriced even for Dempsy. Cannot really recommend."
Sunday family dinner @Dempsey,"Lovely ambience set ontop of Dempsey Hill area opposite the Singapore Botanical Gardens.

Was very crowded when we arrived thus service crew was a bit slow to respond.

Even the ordered food took some time to arrive which they can improve on this area.

Taste of food was good, not that excellent as other Greek restaurant that I have been to.

Portion wise is ok and the price for this place and its food, its on the high end.

Overall, it was a good experience."
My first Greek food experience- Awesome,"Don’t be fooled by the small quiet entrance. I went on Thursday night and it was full house inside, thank goodness I had reservation.
Ambience is festive and welcoming, service is prompt when you get the busy waiters’ attention (maybe understaffed but definitely friendly). Food was really good and highly recommend the earth salad, grilled octopus and lamb chop (I ordered 2 medium rare and 2 medium, nice that they can accommodate 2 type of doneness). Our server Eddy was really warm and friendly, thank you. Food portions are big, hence recommend to go as a group or order with moderation (which is tough as everything look so good). Will return"
A pleasant evening at Blu Kouzina,"Was greeted and served by very nice and friendly staffs. Ambiance was nice, food was delicious too. It the first time trying but was an eye opening"
Wonderful Place for friends and family,"Always had a great time here. Food was delicious, servers were very professional and efficient, ambience was great too. Highly recommended!"
great food great customer service 👍🏻,"was served by marissa who recommended the taramasalata. overall, the portions were huge but the food were great. furthermore, the food is value for money. would come back 😊"
Overpriced food and quality under par!,"This is not my first visit to Blu Kouzina but on this visit with a group of friends the quality was well below par.

All the mains were very salty and everyone in the group complained that it was. We were too engrossed in catching up with each other that we didn't complain to the waiter.

We had the sea bass before and it was excellent that time but I on this occasion it was tasteless and waste of money for a single seafood platter at $138++.

The starters we ordered were ok and the greek yoghurt with honey etc was average.

Didn't want to make a fuss as I had a guest over from abroad so sent the restaurant an email that evening. Two days later they still haven't responded so that says a lot about their customer service.

I might also add I went on a business dinner with a larger gathering some years ago when they were at their previous location. I still remember they missed my dessert and in the end gave up waiting.

I don't think I'll ever visit BK again and certainly wouldn't want to bring business clients here. You don't get value for money here and with a group of 4 and we just drank water, the bill of $440 was way excessive for the experience."
"Good food , great service.","When I walked into the restaurant, I felt like I was transported to a restaurant in Greece, wth the decor and the music. It was a cheery atmosphere, appropriate for a birthday celebration with the family. The food was good. I especially enjoyed the flatbread and the hummus. Service was great and the staff was very helpful in their recommendation of what to order. Credit should be given to them for their knowledge of what was on the menu."
Authentic Greek!!,Absolutely love the food here. Serves authentic Greek food. Loved everything we ordered especially the dips. Lots of options for vegetarians as well. The staff is also very friendly and attend you well!!
Vibrant,Dinner was great. Service was super fast. Plenty of choices for vegetarians too. The ambience is nice and adds to the experience
