topic,review
Impromptu Late Lunch,"Nice ambiance and cozy!
I having their Green Curry Beef with Rice & Mango Blue Jamine Sticky Rice, recommended by their service staff. Special mention to Eikman & team with thier finest service and warm smile! Ended up ordered Truffle Fries for to go, HAHA. highly recommended"
Lunch with family,"When I looked at the menu before visiting I was looking forward to try them out. Sadly, food was disappointing. Esp the beef. The meat was really tough and the presentation, smell and taste all failed."
"Delicious and authentic thai food, great experience","We booked a table for 5A+1C at short notice and it was good that they could accommodate us for dinner on Mother’s Day. The restaurant was fully booked but thankfully our order came pretty fast. We ordered the crispy lemongrass seabass, green curry, tom yum soup, crabmeat omelette, pad thai, roasted chicken and a gravy dish with crabmeat and noodles. The plate are of a good size. I have to say, we enjoyed every single bite of the meal. The tom yum soup, crabmeat omelette and pad thai, are certainly a favourite of mine. Also, considering the quality and portion, the price is reasonable. The service we received was great too (especially from Justin) and we will definitely be back again. We left feeling very full and happy! Would highly recommend a visit."
Enjoyable Mother’s Day Celebration,"Was pleasantly surprised that our last minute booking turned out so well. As we were a huge family group of 20, we were assigned outdoor seating. The spacious seating was perfect as we had 10 children with us. Justin provided regular updates on the weather. And thankfully weather was just perfect. Service is prompt and food is reasonably priced, tasty and came piping hot. Highly recommend if you have a big group of diners!"
Authentic Thai food at affordable pricing,"Celebrated Mother’s Day with my in-laws on Sunday. Everyone loved the food, it was almost like eating in Thailand without actually flying there.
Food was served very promptly despite the restaurant being at full house both indoors and outdoors. Though they only had 3 staffs on duty, service was not compromised at all.
The fluffy omelette was done to perfection. Trust me, I am Thai. Crispy on the outside, fluffy on the inside and not drenched in oil unlike most places. The Tom yum soup and mango sticky rice reminded me of home.
Will definitely return again soon to enjoy their delicious food again!"
"Bad service, long wait time for food, wrong order, overly priced","Made a reservation via eatigo for mother's day celebration on 7pm on 28 April 22. Arrived and was told only the outdoor seating is available. Not too happy about it as I have made this reservation way in advance. Insisted that we take the indoor seat, so was given one just facing the entrance. Well that was ok but throughout my dinner there was a 4 seater table that was 'reserved' but was unoccupied until we left. Food was overly priced. Few pieces of chicken for the red curry priced at $24/-. Crab meat Omelette priced at $22 but there was no crab meat to be seen and was soaked with oil, ask the waitress to check if that was a wrong order and yes it was. The replacement order came only like 20mins -30 mins later and i still cannot see any crabmeat in the omelette. By then our other dishes and rice were cold. The Crispy lemongrass sea bass was a full fish on the e-menu but when it was served it was already sliced up into pieces. The pics does not depict what was served. In all, it was a very bad dining experience and the bad service makes it all unpleasant. Despite the rather nice ambience of the restaurant, I rather be going elsewhere for better quality food at a cheaper price and better service. Had good expectation having read quite good reviews but I was very disappointment."
Delicious and comfortable place,"Omg this is very nice and delicious This restaurant is really good, you have to try it, it tastes right for the Indonesian tongue. the service is friendly, the food is served very fast"
"Authentic, updated, fresh and delicious","What a surprise find. A bright and elegant space serving up authentic Thai flavours with a good spice level. Everything was well prepared, downright delicious and beautifully presented. Will be our go-to Thai place in Singapore. Service was warm and friendly. The outdoor terrace would be a relaxing spot for early evening drinks. Perfect for family, with friends or even for business."
Delivery to home,"Mr Justin was really patient to attend to my request, hard to come by as more services come along. Missing items were refunded as well and we were well-informed. The servings were large and food is nice! Will definitely be ordering again!"
Great food,"Orders the lunch bento boxes for an office event. Was well put together, food was really good and fresh. Packed neatly and professionally and delivered on time."
Ordered Yu Sheng for takeaway for CNY,"Whatsapp response was very prompt and responsive. Ordered their Yu Sheng for takeaway at 4.30pm, self collected at 6pm.

Yu Sheng was really good and portion was good for 6-7pax even though stated as 4-5pax. One of the better Yu Sheng we had."
Awesome Thai food,Repeat Order for their bento set for company lunch. Very impressed with the food quality. Thumbs up.
Bento Delivery,We had ordered 25 sets of Bento and was great that Justin follow up closely with our order. Did a few special request and Justin even offered a special set to cater to our needs. Food was delivered on time.
Food delivery Benton boxes,The Bento boxes were sumptuous!! There were appetizers and really amazing mango sticky rice. Food was very well received by my colleagues. We enjoyed our meal thoroughly and will purchase again!
SG56th Birthday Set - Great team,"We ordered 30 sets of the SG56th Birthday Set for a corporate event. Order and delivery were carried out seamlessly to 30 different addresses. Feedback of the food was great and portion good for at least 3 persons. Good job, Justin and team!"
