topic,review
"Half a roast, half a boiled","Three of us but had an appetite for half a roasted and half a boiled chicken. Good proportions and served together with the rice n veg.

Excellent succulentness with the sauce over the top. He roasted, being roasted not so moist but robust skin was a texture.

Very good for the chicken rice as well as the other excellent dishes they do."
Comfort food for such trying times,"Comfort food for such trying times. The chicken, rice and sauces are very good of course. They have other nice dishes as well - tofu, sweet sour pork, seafood in yam bowl etc."
Chicken Rice!,"Been recommended by my Singapore customer as one of the best Chicken Rice in Singapore. It's tasty, love local street food atmosphere."
Famed for one of Singapore’s best Chicken Rice - you’ll not be disappointed.,"Obviously this outlet has been in this place for a very long time, & this operation accordingly works like a finely tuned machine..rapido table delivery by old hands that’ve been in service for yonks makes not for a relaxed dinner..but it’s how serious Cantonese Chicken Rice lovers like it!
We started with just a half ( generous serve) Chicken, though I personally found the (needing to be separately ordered) Chicken Rice tasty but too richly flavored - so my choice of plain steamed rice a better foil for the succulent meat we certainly enjoyed hugely.
We unwisely added a exotic serve of French beans w Spinach & Prawns in XO sauce - it was a bit over the top at a pricey $24 for a place like this......so stick to basics & traditional value stays in place ...but make no mistake... we ate the lot! Delicious!"
Food are great but Parking is a problem,My 2nd visit to this outlet because the parking is inconvenient. Food is above average however there are better Chicken rice elsewhere.
Overrated restaurant - nothing special anymore,"This restaurant is overrated in all areas - quality, pricing, portion size, etc. This used to serve really good chicken rice. Not anymore!! Now it seems more focused on making a buck than on the quality of their food. The skin of steamed chicken tasted awful ... like it was from an old batch ie probably cooked too early in the morning - we were there at 1pm. The rice portion size was small and pathetic and lacked the fragrance and taste of the traditional/original Boon Tong Kee famous chicken rice. They charged you $5 for a small single portion of chicken. And then charged you separately an additional $1 for a loosely packed triangle of rice. Plain water $1...what a joke. Daylight robbery. I can see that they are now more focused on the China tourists as there were lot of such tourists arriving on SUVs. It is no longer our local Boon Tong Kee chicken rice which used to be frequented by locals and taxi drivers, when it was run by the old owners. Pity the philosophy and skills were not passed onto to the younger generation."
Overpriced tourist trap-not what it was,"I used to live very close to the restaurant and visited often for the famous chicken rice. It is sad to see how far the standard has dropped.
The service was unfriendly. They no longer sell chicken rice sets. They sell chicken as one dish and rice as another, just to charge more.
The food used to get special-now it's only average.
They seem only to cater for foreign tourist groups who will never eat there again.
Well, I won't be eating there again."
Great Chicken and Rice,A quick lunch stop for some of the best chicken and rice in Singapore. Steamed chicken was good and Roasted chicken was even tastier.
Chicken Rice Dinner,"So so at this branch. We were attracted to the Boon Tong Kee chicken rice after having our mother day dinner at their Ang Mo Kio branch. Somehow when we try it out at this branch, it was not so tasty. The ambience is pretty ""haunting""....waitresses NOT friendly at all.
Personally will not be back."
Not like it used to be,"Have not eaten Boon Tong Kee's chicken rice for quite sometime, so decided to try it.

I was disappointed with my meal. Both the chicken meat as well as the chicken rice were not as fragrant nor as tasty as they used to be. And, they no longer give you any accompanying soup with your order.

Good thing is that there are many other food besides chicken rice you could offer. Deep fried tofu was nice, but the greenish mayonnaise sauce was, I feel, not the appropriate sauce or dip for it.

Overall, a disappointing meal."
Good and consistent,"Always reliable for good chicken rice - chicken, rice and chilli. Other good dishes as well, especially for large group. This branch is small, so if there’s 10 of you, balestier main branch is better"
Brilliant dinner,"Recommended by front desk manager, walked 450 mtrs & from moment of the first bite to the last, it was delicious. Chicken rice and pork ribs Zen Jiang sauce. Will be back"
