topic,review
Unique experience!,Tried Russian cuisine for the first time recently at Dumpling.Ru! It was a unique and pleasant experience and was really surprised at how good the dumplings were! They were really juicy and flavourful and super worth it at that price. Would definitely visit again!
Very good food! Worth more than one visit!,"Great service, very friendly staff. Food was great! Very tasty and reasonably priced! The atmosphere and ambience within the place was also very lovely. Will definitely be back again!"
"Great food, cozy atmosphere!","Food was great, and the restaurant had a cozy atmosphere! Especially enjoyed the borscht soup which was mixed with cream, and the seledka that had potatoes, salted herring and rye bread. The dumpling platter was also very tasty, with each dumpling being coloured differently to signal different fillings. It made for a wonderful dining experience!"
A Unique Russian Experience!,"Located at Tanjong Pagar, this place is highly recommended for authentic Russian Food! The 2 main dishes that I thoroughly enjoyed was the Mushroom Chegureki and Oliver (Potato Salad). The Chegureki felt and had the texture of the local curry puff stuffed with mushrooms but it was much more doughy. As a potato salad lover, I really enjoyed this as unlike the conventionally big chunks of potato, it was served in diced potatoes and vegetables which really gave a good crunch. It was a very interesting experience and would definitely come back with a more adventurous friends to try out more items on the menu."
Wonderful first experience with Russia-Ukrainian food,"Would recommend coming for their brilliant food and homely ambience! In particular, the Cheese Chebureki, the multiple flavoured Dumplings Combo Set, Ukrainian Borscht Soup and the Seledka were all really exquisite!"
Great tastes and ambience,"An authentic Russian experience with unique tastes not found anywhere else in Singapore! Visit for a taste of Russia or if you’re just looking to explore new flavours! Must tries: borscht, seledka, chebureki and of course the dumplings!"
Interesting Russian Food in CBD,"For those unacquainted with Russian food, it's a savoury affair when you step into Dumplings.RU. Hot melt-in-your-mouth cheese in every bite - their Cheese Chebureki is definitely a crowd pleaser and a must try for Cheese Lovers. Well-balanced in flavour, their Ukranian Borscht is the perfect comfort food with beetroot that gives it the signature slight sweetness with a hint of sour taste and iconic red appearance.

Kudos to the recommendation from the waiter!"
Traditional mouthwatering russian dumplings!,"The atmosphere was superb and absolutely great for a catch-up session with friends or even dates. The mouth-watering food makes this venue a definite choice for diners looking for good quality food.

Had the combo platter as my main which had an array of different dumpling to try from and had a generous portion. Also got ourself a cherubeki which was very flavourful. They complemented each other very well with the soup too. Staff were super attentive, helpful and friendly. Cant wait to visit here again"
Cool place for russian food,"Wanted to try out Russian food and was excited to come here! We had the combo platter, but my favourites were the potato dumplings as they were super tasty. We also ordered the borscht and cheese chebureki based on the waiters' recommendation. Loved it, as the portions were generous and price was reasonable. The atmosphere is also super cool and felt like we travelled to europe in singapore"
Date Night,"I was amazed by the food, something really different and there's so much fun eating it due to the various colours of the dumpling skin and guessing the flavours. The owner is also very friendly!"
Must Try One-of-a-kind Dumplings!,"Stopped by this quaint little restaurant on a weekday night and was lucky enough that there were seats available! It was my first time trying russian food in general (not just their dumplings) and was extremely pleased with my experience.

Wanted to try as many dishes as possible since it was my first exposure to the cuisine so in addition to the Russian dumplings, I also got the borsch (which is their tomato/cabbage soup), salmon cheese crepe and also their stuffed bell pepper.

Was really impressed by the dumplings - the texture of the skin was amazing, coupled with the tasty and meaty filling. It's definitely very different from your typical Chinese dumplings and you don't even need to dip it in any sauce! The other sides were also rich and flavorful to complement the main star of the show.

Overall a very intriguing and delightful meal and will definitely be back to try out the other dumplings flavors!

PS: The place isn't exactly the biggest so would recommend perhaps making a reservation if you don't want to be disappointed!"
Authentic Russian cafe,First experience with Russian cuisine at this cosy cafe which was memorable and interesting. Opened my palate to a whole new variety of flavours which were rich and savoury. Had their stuffed bell pepper rice together with the borscht soup that complemented one another perfectly
