topic,review
birthday,"A wonderful experience...must visit place.i booked for five.especially my frds liked very much.
I specially thanks to hakim because he gave us a outdoor terrace seating which is very good.
we enjoyed the food as well.
thanks to their staff because they are very friendly. definately we will come back again.."
Divine Dining in Nature,"An absolutely delightful 5-course wine pairing dinner, starting with fried oysters and salmon (Asian style), belly pork in a bun, choice of grilled tenderloin or lamp rump, and perfectly complemented with coconut & ice cream dessert. Also tasted exciting wines from Georgia, Lebanon, Australia, Italy & Hungary!"
"Nice ambience and service, OK food","Had a 5 course dinner with my wife, courtesy of a birthday gift voucher. It is a great location, good ambience and service staff are friendly and efficient.
But first about the reservation. I had made reservation more than a week in advance but on the day of the dinner, received a call telling me that the venue was sold out (which was not true, more on that later) and that we will be seated outside. For one that is something I should be told on the day I make the reservation. It urns out they have a bi-weekly Dinner in the Dark on Wednesdays and that is why the entire inside of the restaurant was booked.
Any case since the outside seating was actually better,I did not bring it up after arrival. But this is something that needs to be handled better.
Now about the food: The courses were brought out promptly, and consisted of bread, beetroot salad, mushroom soup, snapper (for us, since we don't eat beef or pork) and dessert. Bread was a cupcake shaped croissant, and soup was watery and lacked enough taste, I make mushroom soup all the time and that tastes many times better; definitely something that can be improved. Beetroot salad was good, but served on purred goat cheese; I would have preferred a thick slice of the cheese so cutting the salad doesn't make a mess on the plate. The main was the biggest disappointment: snapper was overdone (the edges were actually crispy) and was served with eggplant. Strange choice since not everyone relishes eggplant, and the main did not come with any carb, so the meal overall was short on carbs. Dessert was a chocolate mousse with strong wine flavour and some chocolate crumbs filling. That in my opinion was the best part of the meal, besides the beetroot salad. One more thing: the meal also came with a chef's starter which was a round piece of stiff bread presented nicely
So overall a great venue but the course menu was average. Besides if you check out their menu, ordering 3-4 of these dishes would actually save you money."
Great service !,It was a nice ambience to celebrate birthday lunch for my bff . Thank you Hakim and Annabelle for the extended service which make us feel cosy at the restaurant . Will come back again ! Sheryl
Terrible treatment of guest reservation,"**Review is not about food** Made a reservation for Nov 16 dinner a month in advance (seats are only open to be booked 30d in advance, so that's as early as it gets), and got a call less than 3hrs before the reserved time slot to confirm my reservation and ""ask"" me if I am ok with outdoor seating since indoor was occupied by some paid events. The afternoon already saw heavy rain and we didn't want to risk dining with mosquitos so I refused to be seated outdoors, and the staff who called couldn't offer any other options. LMFAO, next time tell your booked guests earlier if they are gonna be stuck with something they might not want. Fwiw this could be a big night for the booked guests and you guys just screwed it up."
Great place and staffs are friendly,"Great staff, great food and great vibes!!!! Definitely a place I will come again, good venue for business and friend gathering!!!"
Amazing food and service!!,"The food was great, ambience was amazing and staff were extremely helpful. We love our visit so much and will definitely come back again!"
Good service and excellent food,Ambience was perfect and the food was great with the vegetables appetisers being particularly great. Will definitely return for another occasion.
Very friendly staff and great food in a lush environment,"Nestled in a beautiful and lush area of the Botanics garden we were happy to spend our evening out here with our two daughters 5 and 7 years old. Overall good quality food-wise and the cherry on the cake was really the service here. A special thanks to Hakim and the rest of the staff, they were all very professional and friendly and made their outmost to meet our various food allergies and special wishes. Would come back again"
review,Everything is good for the dining.Good service，good food，good attitude. It seems perfect for this dining.
Unconventional & Romantic Set Dinner With Warm Service,"We seldom ordered set menu and always prefer a la carte. Since there was a great promotion for 6-course set dinner with usual combination , we jumped at it .
The set dinner didn't disappoint and in fact rather rewarding and they came in tapas- portion .
The ambience was soothing and the service by Mel was highly personalised and warm. She was in fact an engineer by training.!
Suggest a short walk before or after the meal to partake the beautiful & romantic stroll in the UNESCO Botanic Gardens."
Sugata,Amazing food and excellent ambience. A must for romantic occasions. Pork Belly n Wagyu beef were truly scrumptious. Overall a very memorable experience.
