topic,review
Not up to usual standard,"Over the past 5 years we have enjoyed the restaurant many times. The sole meuniere never disappoints. Lunch always has a nice buzz and service is attentive.
The jazz playing in the background is my favorite. The ambiance is very close to a true Parisienne experience.
We decided to choose what was our favorite restaurant to celebrate Christmas eve.
What we thought was nice was the expanded menu for christmas, one of the drawbacks is that Granpa Henri only seems to have one or two pages in his cook book. maybe lost over time?
However although a limited menu with infrequent changes, the food is always wonderful, freshly cooked with good ingredients.
Unfortunately there were a few problems with our experience this evening.
After looking forward to this for several months we were surprised by the following issues;-
1. Christmas Music was too loud and such pop tunes as Wizzard, Slade and other such nonsense. What happened to Michael Bublé, Franck Sinatra, Harry Connick Jnr? so many Jazz greats singing yuletide romantic cheer.
2. Service was very slow and not personal. Whilst even after 5 years they don't know our names, we do usually get acknowledged and Chef does nod, whilst sharing French conversation with his Chef Neighbour from next door proping up the bar together, which we also visit frequently as excellent fine dining option. Both suffer from lack of ambience with lighting too bright! Fleur de Sel even more since makeover! and too small portions.
Anyway Gavroche Chef was Missing.
The restaurant was not too busy, with staff in numbers so conclusion was thy were new?
My message to both restaurants is don't rest on your laurels, if you want to keep your michelin star or grow, please take care of Ambience, Music and lighting.
Train staff better, change menu more! Food and cooking is already there!"
Lovely place for lunch,"Had the steak tartare with French fries. Lovely flavour to the meat. Service was prompt and efficient. Altogether, a reasonably priced meal in a lovely setting on Tras Street."
One of my favourites,"This restaurant is consistently one of my favourites in Singapore. I visited most recently on a Thursday evening with 2 work colleagues at around 7.30pm. The design, layout and staff all combine to create a fine ambiance whether at lunch or dinner service. The wine and food are excellent and comparable to any established French restaurants in Paris or London. Our group enjoyed oysters, venison and superb steaks. Great attention to detail contributes to an overall feel of class and quality, but in an unpretentious and relaxed way. Certainly not cheap but why should it be?"
Surprisingly good French food in popular & charming Brasserie in Tanjong Pagar,"My family had an excellent meal at the Gavroche. Our mains included Steak, Vegetarian Risotto & seafood Quenelles; which was all very good. We shared a Tarte Tatin which did not disappoint. Prices were surprisingly reasonable (by Singapore standards)"
Good lunch,"Great lunch as always, menu has lots of options and daily specials. Service is prompt and welcoming with genuine service which is nice"
Bistro french done right,"Friendly staff. Excellent food. Bone marrow on toast, steak frites, garlic spinach, tarte tatin all superb. Proper french bistro. Bernaise a tad stiffer than used to. I requested a sauterns with my marrow and they thoughtfully brought a gewurztraminer to try, which might have been better in hindsight. Good ambience. Reasonable price for the location and quality. Would go again. Only misses a 5/5 because the spinach was late. I think the pro move would’ve been to deduct it from the bill as a courtesy. But even so, classic french done right. Will be back."
European feel in a typical Singapore Shophouse,Difficult to secure a table but managed to book a high table for lunch in the front bar area. Pleasant atmosphere and attentive staff. Great food (chicken and steak) in a brasserie that reminds of those in Europe. Would visit again.
If you like authentic French bistro food then definitely check this place out.,Absolutely beautiful authentic French food. We enjoyed it so much we went back again during our visit. The duck confit was the best I have ever had. Highly recommended
Wonderful French fare,"Gorgeous Parisienne bistro . Great part of town as well . Loved the French onion soup followed by beautifully done chateaubriand.

Appreciated being welcomed by the chef when we arrived .

Be great to have more professional servers as the wait staff were quite transactional and pushed wine which was double the price of the ones i selected (for no reason). Other than that: perfect."
"Great Service, Ambience, Decent French Fare","The ambience is simply beautiful - like a real Brasserie you find in Paris. The servers were wonderfully efficient and welcoming. We ordered escargots and the smoked salmon special - both were competently executed. The Onion Soup was a delight - highly recommended. The mains - Welsh Lamb Chops were good but not great - I felt that the crust could have been grilled more crispy- I had better lamb chops elsewhere. The Duck Confit was very better done - crispy on the outside and moist on the inside. They have a very good wine list - all French wine of course. We had the 2013 St Emmilion Grand Cru - it was a light red and went down really well with the food. For the price we paid, it deserved the four stars."
