topic,review
A carnivore’s dream.,This is indeed a different dining experience. Free flow of meat delivered to your table. A carnivore’s dream. It wasn’t terribly busy so we could enjoy the service. The salad bar is self service.
Brazil 🇧🇷 in Singapore 🇸🇬,"First time trying Brazilian here in Singapore! Made a booking quite easily through the linked Apps ! It was my son’s birthday and they included a lava cake for the celebration! The salad bar was free flow and at your own pace … was a great selection including banana fritters , beetroot, coleslaw and many of my favs! The BBQ meats came in fast and furious and the beef (many parts were served like back, shoulder, rump , etc… was excellent 9/10 ! The rest of the meats were also good though the sausages became hard after a few minutes ! Cost 68 per pax buffet , wine is buy one and your own is free corkage , parking also free after 6pm just around the place ! Overall a good experience!"
Not recommended.,"Very bad experience, a very noisy place where the communication between us was nearly impossible. Meat nothing special and salad bar seemed not very fresh…"
Always Great,"I think this was my 5th time here and once again a fantastic evening. Great that now that COVID is over the salad bar was open again and there is a fantastic selection there. These guys do not mess around, they feed you. If you don't come with a hunger then don't go, if your a vegetarian your wish you weren't.

Vicky from Rio is always there and oversees the cooking to ensure its real Brazilian. After living in Rio for 6 years i know good Churrasco (Barbeque) and this is the real deal. Prepare for FOOD COMA :)"
Great dinner,"Went for a family dinner. Craving for meat, basically it became my routine to visit every quarter. Saturday night, the restaurant was quite full. Some of the waiters recognize after some visits and talk some jokes when serving, what makes the experience more pleasant, at home. We asked first for some salad plates and the black beans stew, simple but good as the main is to eat meat. The served portions are good and the types of meat are enough to enjoy a churrascaria experience.
By the time we were leaving, the restaurant became full. I don't enjoy a full time house environment since the meat servings rotation may become slow and undercooked. Just felt a local soda, guarana at 7.5 , overpriced.The meal is at SGD59, up from my previous visit but overall still an enjoyable dinner. I recommend and will come back again."
"First and Last Time, Never Again","PROS:

It's quite a hidden gem, away from the busy bees area.

CONS:

Everything seems so rush, the waiter never explained properly what they are serving us, what kind of meat it was, how it was cooked or seasoned.

It's all like ""Beef Rumps"", ""Chicken Heart"", ""Chicken Thigh"", ""Fish"" etc. All you know is you ended up with five or six different type of meat in one go.

Both of us felt like we're one of those ducks that are being fed with all these meat without knowing what they are. It just kills the entire experience. The meat, some are tough, some are juicy. Very inconsistent. Likewise for the service, somehow our table gets a pass most of the time. Why?

This was our first time and for the kind of price we're paying, it's surely our last.

I really have nothing else to say about this restaurant. It's really that special."
Great barbecue place - trust me I'm a Brazilian,"Went to Brazil Churrasco a couple of weeks ago. I'm a Brazilian and this was my first experience at a Brazilian Churrascaria in Asia. It was above my expectations. The picanha was excellent, caipirinha as well and the Brazilian waiter was extremely friendly."
Excellent Service & 5* for the lady host,"Had an excellent night with my friends!
Restaurant was packed. We were waiting for our turn to be seated and saw the lady host was trying to assist a group of friends infront of us.
Heard the guy saying 'your system is crap' and started to abuse the lady host with words which is terrible just because they are not able to show proof that they are vaccinated.
She looked so calmed and trying to help them out but the guy was sooo rude towards her!
When comes to our turn, she politely apologies for the delay and I told her ""hey u are doing your best and u did well by staying calm!
Dinner was excellent as ever. The lady host came to our table and asked is everything okay which we were very impressed despite her being busy running around helping her colleagues, she went around to make sure customer are all ok.
Dear patrons, if you ever read my comment, please treat the staff and especially the lady doing reservation with respect.

Overall excellent food & service!"
Main hostess had a burr up her hinny! Super off putting,"We have visited this restaurant several times and we invited some friends to go as a sort of celebration to being fully vaccinated. The main female hostess who manages the reservations and seats the guest was flat out rude, full of attitude and totally off putting for absolutely no reason at all. Upon arriving at the restaurant when we were checking in her tone was very short as she directed us to check in and stand in a specific place. After checking in when she informed us we had only 90min of dinning before the table needed to be released for the next reservation, which was totally fine but the way she talked to us you would of thought we just offended her. She had such and attitude and was so harsh with us we were very taken back. It made the start of dinner quite awkward to be honest. We tried to lighten the mood by joking that she would return exactly after 90 min to tell us to go and lo and behold she was back with the same nasty attitude, no greeting, no “how was your dinner”…just nasty/harsh “your 90min is up we need to release the table”…not even a thanks at the end. We were actually all finished, masked up and waiting for the bill. We almost just left because she was so nasty. The crazy thing is is that the rest of the staff was wonderful and the dinner was great but her pissy attitude soured it.

If you are the owner or manager reading this please speak to that lady. We have been several times and the friendly staff is one of the reasons we go back. I know times are stressful with all the COVID restrictions but it’s not the guests fault and with a greeting and exit like that we won’t be back any time soon. We had introduced our friends to this place for celebration dinner but that experience put them off as well so they will not be returning.

Hope someone gives that lady a hug because she needs it.

As for dinner, staff (excluding her), value…all is good!"
Another visit,"Due to the restrictions I was craving for meat and went on a Thursday night with a friend. The salad buffet was not back yet. The meat was good, probably it is the best option in Singapore compared to the other option. The servers came in a timed pace, serving good portions and the meat was well prepared and done. I hate when servers come at a very fast pace before you are able to enjoy the previous portion of meat. It was an enjoyable meal."
Terrible service,"The beef is acceptable and although there's a lot of typical dishes one would expect from a rodizio, considering the distance it's alright. Nevertheless, the service is incredible poor. The waiter rush giving you the beef cuts, without consideration, and being rude. In various occasions the waiter would only ""drop"" the beef cut in the plate (or miss the plate, altogether)"
Good alternative for a churrasco in Singapore,"Good service, frequency of servings. Due to Covid restriction buffet was not available however good portions brought to the table on small plates. Feijoada was good, well prepared. The meat offer , I felt limited but I guess the same of other Brazilian restaurants in Singapore....the meat quality was ok/ good. While the main churrasco course is similar all places around at 50 SGD, drinks and desserts were beyond expected. The traditional quindim, made with egg yoke at 14SGD was not exactly it. Stay with the meat and enjoy the course.Environment is good, you can have business meals and family gatherings."
"Great ambience, excellent","Great ambience, excellent service. We were served by a friendly passador with good sense of humour. The young lady who waited on our table was very cheerful n efficient, filing up our water, asking if we needed more meats, changing our plates. Food was delicious esp the beef hump, beef ribs, lamb, sausage and chicken livers. Even the sides were good, loved the deep fried crispy Kai lan and sweet potato. They serve delicious soup of the day in small little cups, I’ve had the tomato n mushroom - both lip smacking authentic goodness. I had 2 servings of the beef hump - tender, fatty and melt in your mouth goodness. The chicken livers were crispy on the outside n oh so tender on the inside. I think I ate 6 livers! Advise if it’s your first time - go slow, ask for very small shavings of the meats the first time round to taste, then get a bigger portion of only the ones you like the second time round. And just enjoy!!"
Good food,This restaurant is well known among many diners. We drove to this place and reached in time for dinner. The ambience of the restaurant is good. The food we ordered were lamb pieces. They were delicious.
go with an appetite,"great selection of meats and sides - but you need to be hungry to go there and do it justice. not the cheapest place to eat unless you can really ""fill your boots"". friendly staff and nice selection of grilled meats etc - more selection in the evening. we love the chicken hearts hear, but they don't come around often enough for us..........."
No basil churros at Brasil Churrasco,"We first visited Brasil Churrasco 25 years ago, and amazingly the friendly passador from Rio is still there! Homey atmosphere, with a good salad bar that includes heart of palm, feijoada, and you can ask for yummy farofa too. The cuts of meat are not nearly as varied as at the best rodizios in Brasil, but you still find delicious picanha, cupim, chicken hearts, etc. For me, the best time to visit is for brunch on Sunday. You can enjoy a nice siesta afterwards, whereas after a dinner here you might not feel good for a long time! Anyway, you would not want to eat meat for at least a while unless you are a sumo wrestler!"
Family’s Favorite,Been introduced to Brazil Churrasco 20 years ago. We were there as newly weds then and now our 2 boys joins us. It’s our favourite go-to place whenever we crave a good cut of meat and not to mention their extensive choice of salad bar. Great service and excellent food.
