topic,review
Yummy,Magnificent service and a variety of delicious food to try. We really enjoyed dining in and the dessert is superb must try.
Above average quality restaurant,"Delicious food, and beautiful presentation. Too bad they don't serve small portions of Wellington beef"
Worth a visit!,"We ordered quite a few starters and a set of beef wellington. Portion was quite big and was a lot for two pax! Recommended to go empty stomach and take it easy w the starters, just get the Wellington first!"
"Good food, amazing service","The service is exceptional and as good as any fine dinning restaurant.

The food isn't amazing but it is good and reasonably price for upmarket pub food.

The burgers were a bit of a disappointment, lacking seasoning, meat was good but not juicy, average pickle.

Good but not great.

Very good fish and chips.

Fries are more memorable than the burger."
Wedding Anniversary,Spent my 3rd year wedding anniversary at the restaurant. Presentation and Food was great. Very nice place to spend with your loved ones
Fish n chips,"Sometimes the popular fish n chips is sold out. To think most want to try the crispy battered, moist insides fish, and gorgeous chucks of potato. Sadly this dish can sell out midway through lunch service."
Good Grub and Service,"The food here is really good with rather large portions, so those help to justify the price tag. The service is attentive and very friendly, even had a chat with the Manager Daniel. Will have to go back with a larger appetite for the Beef Wellington!"
Another Strike Out in Singapore,"This was a really disappointing experience. I am a fan of Ramsay as a TV personality but had never tried his food. For such a loud, arrogant person you would expect his food would match his attitude. It did not.
Every dining experience starts with the host or hostess, this lady was as miserable as i have seen them. She must have been having a bad day, but her attitude was terrible. We were walk ins and she mumbled 'only bar seats'. We had a look ourselves as she waited impatiently. She needs some serious training in hospitality. That started us off on a sour note, thankfully all the wait staff and bartenders were friendly and pleasant enough. For a place that is going to charge you an arm and a leg to eat there, it does leave much to be desired in terms of the level of service provided, but it was good enough i suppose. Food wise it wasn't good. The wings were chewy and poorly seasoned, the sauce just isn't great. We had some chicken salad that wasn't bad, best dish of the day which is pretty sad. I had the butter chicken, which was awful, it wasn't a curry at all, an embarrassment to Indian cuisine. It was literally chicken in tomatoe sauce, my 5 yo could do better than that. The rice was over cooked and bland. The pork belly itself wasn't too bad but the skin was extremely tough and salty, another failure! Overall, it was just a poor dining experience and i wouldn't eat here again. It is a shame, and i guess Gordon is just more concerned with making money now than he is with serving quality food. I can see management doesn't even bother responding to the reviews which shows their total lack of care and concern as well. Another dismal meal in Singapore, sadly it happens far too often for such a place."
One of the best in Singapore,Superb! I cant complain. It’s reasonably priced and not expensive at all! My goal is too try everything on the menu so I will keep coming back to this restaurant.
Family CNY dinner,We were seated at the main dining hall with great views. Food takes slighly longer to be served but not a big issue. We enjoyed our dinner.
First Class dining at Marina Bay Sands,"Did not disappoint. Delicious, delectable dining which is a must visit if you come to Singapore. It was a hard choice between roasted cod, the burger and Beef Wellington - Gordon R signature dish. None fell short in portion size or taste. The Tuna and Soup starter equally delicious. We finished the meal with the Pineapple and Kiwi carpaccio, cheesecake, sticky toffee pudding and a selection of ice creams and sorbets. A great night out eating for all."
Not a good advert for Gordon,"We booked this for a Chinese New Year dinner and had a booking at 9.15 pm for set menu for CNY. Arrived on time ordered promptly and then we are told restaurant closes at 10.30. Food from set menu Chicken salad was over spiced and not edible.Beef Wellington has a wait time of 45 mins on menu bit difficult when we only have 45 mins before closing. Beef wellington is normally served rare the said. We said we wanted medium please. It was not hot. It had gristle veins running through it. Next table had beef which they were not able to cut. Desert was pineapple with ice cream which was ok but nothing special. Wine Malbec was good as was Meantime beer. Toilets are in the public area of Expo, leave the restaurant on the other side of the shopping mall. Yes we did get a reduction at the time. We have eaten in Heddon Street London which Singapore is based on. Gordon just shut this place down as it doesn’t reflect your high standards. Would we return. Not a chance."
Celebrating my son graduation in his favorite chef restaurant.,"One of my son favorite chefs is Gordon Ramsay, he's so happy that he will eat beef wellington , indeed he was. It's all getting much better from the choices of menu, ambience & the staff service. Please keep the quality up!"
Nice Lunch,Good meal & view in the afternoon. We enjoyed both the main dish but today was informed there was no free flow of bread compared to past.
Not worth the hype,"Booked the restaurant the same day we booked our flight to Singapore but we were so disappointment. The service was slow. I understand that it is the peak period but it really is not that hard to serve the food once it's ready. The fish and chips are really good, I'll give them that. Serving portion matched the price."
NOT Impressed!,"We booked this restaurant looking forward to eating here!
On entering the restaurant we found a stale smell meeting us and sat at the bar having a drink
We then went to our table. Our starter was lovely and we were looking forward to our main.
I went to the toilet amd saw our meal sitting on the bar . I returned and it was still sitting there! We were then served it and it was cold !
The staff changed it without a problem.
We were actually underwhelmed by the whole experience. The waiter said Gordon had only been once since ot opened and never returned!
Wouldn't return as there are much better options in Singapore!"
Wonderful experience at mum's favorite restaurant,"First time to the restaurant and mum finally got to try the highly raved fish & chips. It was huge and fresh, fries was superb. Rest of the food was great but probably a little overpriced for small portion of salad."
"Never fails to,please",The staff are excellent. The atmosphere of the restaurant is great and the food always excellent. Always a good choice of food. The steaks are particularly good and they always try to cook them to your requirements
Worth a visit,"Beef wellington was good. Staff service was excellent.

Seems like the wait for food can be long. The beef wellington has a 45 minute wait time which is expected, but other tables that ordered other food items also had wait times comparable to mine.

Might be a one-off, but an observation nonetheless. Still worth a visit."
Good food and service,"Overall food is very good. Ordered chicken wings, wellington beef and dessert for malt whisky cheese cake with sorbet. The main and appertizer are really well done, though it's a long wait for the wellington beef but all is worth while. The wellington beef portion is a bit too big for 2 of us as we're both small eater. Will bring more friends/family to share if we're to visit again. Dessert is fantastic, the cheese cake is smooth and taste even better when matched with sorbet. The cocktails are smooth and well balanced, we ordered Memoir of Love and it taste so good we couldn't help but ordered a second glass. Staff are friendly and helpful, appreciated that table were cleared and cleaned for every dish served. Overall it's a good experiene and will definitely visit again."
Quality of Food is Going Down,The service is great as the staffs have always been attentive. But the price for the food and its quality. Not worth it anymore. It is not the same food when we started eating in this restaurant. I don’t think I will be dining again. There are other places that charge the same amount and have better food quality.
Thet Wai,"Cocktails are lovely… Foods are fantastic… Bread basket is a must have item. Overall.. we enjoy all the foods, services & ambience."
Great lunch,"Great lunch , food were excellent but prices on the high side . We enjoy ! Staff are great too ! Will return again"
Service is Excellent,"it was a good place the bread is good and presentation, but food it was kinda disappointing for the value of money. esp we got the waffle and it was just soggy and maybe left out for few minutes already at the counter. just sad as we wanted a good experience with Gordon Ramsey's restaurant."
Classic Gordon Rasmey Restaurant but disappointing meal,"We visited Bread Street Kitchen as I love Gordon Ramsey and always have amazing meals at his restaurants. Service was great on arrival. We started with the crispy duck salad which was amazing. We then ordered the beef wellington, the side dishes were great however we ordered it medium but unfortunately out of the 4 pieces we got 2 pieces medium and then 2 pieces that were well done, the staff were condescendingly explaining that this is because that's the way the Wellington works, the ends are a bit more overcooked and that someone has to get the ends. This was extremely disappointing, I would expect at a restaurant of this calibre, paying a lot of money for a meal, for the wellington to arrive exactly as ordered and not have to hope to be lucky to not get the ends.

Overall the restaurant was nice, the salad was great, the sides were nice and the 2 pieces of wellington were perfect however unfortunately that situation soured the experience a little bit."
"Good food, good place","Want to make reservation but it was full, so I try to walk in and got the bar table. It was nice too can see outside view & have dinner.
The food portion was big. Me & my kids cannot finish them all
Taste was very nice"
Olive and Kiana,"These two servers were the absolute best! We were a little fearful of bringing our three young boys to the restaurant but we really wanted to try Gordon Ramsay’s restaurant of beef Wellington! Im so glad we decided to brave it because the restaurant had kid friendly menus and even little activities for them to do. Olive and Kiana made it easy and put our minds at ease by being so welcoming, understanding, and so helpful for a family of 5!

And of course… the food and drinks did not disappoint!"
Celebrate 1 Jan 2023!,Had a great experience for the very first time! Had heard a lot about it and it was unexpected’WOW’. Will definitely come back to have their Signature BEEF WELLINGTON ✨
Enjoyed the delicious food,"My niece from Melbourne visited Singapore in December. She wanted to try out Mr.Ramsey's restaurant at MBS.
We made reservation 2 weeks in advance and only secured lunch slot at 230pm.

On the day, we were served by a friendly waiter Mr.Siva who took care of us very well.

We ordered
: Mac & Chesse
: Roasted cod
: Super food salad

The food was delicious & super food salad is my must ordered dish.
My niece enjoyed her roasted cod

I wish they will bring back the plant base burger.
The other vegetarian options (other than super food salad)
: margherita pizza
: cauliflower steak
: plant base welington

As expected the pricing is at the higher range, i personally find it is acceptable range with the quality food, attentive service & good view.

Will i be back? YES , definately :)

Regards
ML Leong
Singapore"
Good food,Not as good as some of the other Bread Streets but the food is great. Service is average but they are very busy.
You can never have too much Beef Wellington.,"Visited Bread Street Kichen mainly because of how many times we've seen Gordon Ramsey rip on Hell's Kitchen contestants about their Beef Wellingtons. It was our first time trying out this dish, and suffice to say, it won't be our last. The combination of the fluffy pastry and tasty beef was a delight to the senses. Will definitely be back again."
One of the worst meals I've had in a long time,"Avoid this restaurant when in Singapore. The over-priced burger was raw and inedible - in fact, so bad they gave it to me for free. The service was mediocre. They're simply trading on a name. There are plenty of better places."
Company 10th anniversary dinner @ Bread street,"Nice food, good quality! It's a pity, dinning time is constraint. We could hv ordered dessert, but had to skip due to being rushed to leave for next pax to come."
Good experience,"Overall a good experience, food is yummy, staff is helpful and friendly. Value for money, slightly no. 🤣"
Ridiculously good,Overall a great experience - highly recommended Food awesome Good service Well organized A few wines out of stock leaving only really expensive options
Good food with great service!,"Had a wonderful experience at Bread Street. Food was delicious and service was great! Special mention to GM Mr. Navin Raj for making our visit a memorable one. 👏🏼👍🏼. Also, the sticky toffee pudding is a must try!"
yummy,"really enjoy the food over there, althought the ambience is slightly noisy, overall is good and staff are friendly and helpful."
Superb!,We enjoyed our meal. The food is awesome and the ambiance is so relaxing. Servers are friendly and accommodating.
Food was Ok but they served my drink with a fly in it!,"Good food Good ambiance Bad Service
They made us wait for 30 mins even to get drinks,. The food was good but my drink had a fly in it. When I reported that the server took the drink away but still charged us for it. Was expecting better from a Gordon Ramsey restaurant!"
The Beef Wellington!,Been wanting to come and try the famous Beef Wellington for years. Finally managed to snag a table for a birthday lunch. Very delicious dish - more than enough for 3 of us even though the menu states that it is good for 2 persons!
Great experience,The staff were friendly and food was great! But slightly pricey for what it is but I didn’t try the wellington. Gonna do that next time I go.
Lovely visit,Our visit to Bread street kitchen was a lovely affair. Food was delicious and well presented. The staff was also nice and thoughtful. they noticed we were feeling cold and helped to adjust the air conditioning.
