topic,review
5 Star Service,"The ambience is nice. Classy renovated restaurant. 5 Star service! However, the food is just average, lower than my expectations. Hope the food will be better the next time I visit."
Yeehaa,"Wonderful, friendly service with a smile.. En Qi was our bar tender.. I believe she is manager material 😀🤟"
Great place to chill after work,"Besides the beer that is always great, I noticed that this branch serves food that is not very salty. some pub will serve food salty so that more beers can be sold. I ordered most of the starters. highly recommend for anyone to try TRIPLE GARLIC PORK RIBEYE. very yummy"
Sunday Drinks by the Bay,"More of a tourist stop, but the beer was excellent and the food ok for a place like this. Service a little slow, and it closed early Sunday, maybe COVID to blame again. Price of food and drinks very good also."
bad service,"sorry to say but the service is now very poor. Young, inexperienced staff with insufficient training"
Scary incompetent staff,"My wife and I went in for a meal. The waiter came to take the order of drinks, and two meals. After a long while the drinks, and the food for my wife turned up. After 15 minutes of waiting the waiter came and presented the menu. That happened 3 times, one time done by the same waiter who took our order. After an hour and my food didn't turn up, we paid and left.
A guy couldn't get I contact with the staff to pay for his meal, so he left!!
It's such a shame to experience that form of incompetence amongst 3 staff.
Singapore has so many fine restaurants, choose one of them instead!!!"
Ignorant staff,"Ignorant staff and service! Food was somehow okay but when staff never see you, they are standing at their desk looking out over the crowd not seeing you it gets really terrible. I even told the servant and he was kind of not taking me seriously. Never again! Find another place!!"
Bad Restaurant,"A disorderly restaurant, main course came out before the starter, the main had an egg on top that was undercooked. Worst food experience I’ve had in Singapore."
Good but expensive real ale place at the top of Orchard Road,"Great open air bar at the top of Orchard Rd. Staff very attentive and friendly. Microbrewery Beer is good but quite expensive.. If you are tired of lager, this is the place to go"
Good to go,"Went here for a quick dinner. I had the spare ribs which were very good. The drinks menu is extensive. Staff are fine and pay attention. This is very close to the Orchard Rendezvous and a good option if you are staying there.

Outdoor seating is great."
A good go to,Food was good as always but they were out of a number of beers which was disappointing. Always a solid go to when indecisive.
Nice choice of beers with a chillout atmosphere,There's a good choice of beer in the menu to try. The place was spacious and our seats were outside. The restaurant is located in area that is not so busy with foot traffic (because of the pandemic) so we liked the relaxed atmosphere. The restaurant has undergone a renovation so everything looked new.
Great service and excellent food,"We come here every few weeks while waiting for my daughter to finish her drum class at Forum. Top picks for us are the fried sardines, angelhair pasta, sausage platter and the burgers. Plus it’s not very crowded, so it’s a lovely place to chill while waiting.
Definitely worth checking out if you’re in the area."
Great place for people watching,This location is at the start of Orchard Road and is a great place for an afternoon pint and people watching. Food is decent.
"Great service, vegetarian-friendly","The offerings of craft beers on tap in this outlet is smaller than the one at Riverside. That said, we ended up going with a bottle of wine at the recommendation of the friendly young waitress.
The food was good - my dining partner recently decided to cut meat so we ordered a vego nachos and the Impossible Burger. Definitely some vegetarian options on offer.
Outdoor seating was delightful on a cool evening. I was also very appreciative of the friendly waiters who moved our table from the stools to the regular seats because I don't trust my sense of balance to not fall off after a glass of vino.
Overall wonderful dining experience, highly recommend, will like to go back to try the beers!"
Great Service,"There is a great array of beers. Service was great. Will definitely come back here. Thank you Vilynn , Rayvin and Ryan for making my visit so special, looking forward to receiving your service again. Will definitely recommend to all my friends."
Good Kids Meal,"Very filling portions, good pizza, delicious fries and good value. Came with ice cream. I had the Caesar salad with trout, which you don’t find very often in Singapore."
Utilize Happy Hour,There is a mix of beers to sample...American Pale ale is the best...but also most expensive. Make the most of happy hour as you currently you get 15% of..
great double IPA if you like beer with a punch,Really enjoyed the Double IPA - just the right amount of bitterness. Wouldn't drink too many though....
Appreciate good service,"Room service Guan zhen friendly and helpful. Thks you 😘.Help me clean up the room, vaccum the room."
Appreciate good service,"room service ms xiao chen friendly and helpful, when I carry heavy things, appreciate she quickly come and help me, hold the things, and open the door for me."
5 Star Beers,Love the beer selection here. Will definitely come back for another round when the situation gets better!
Great place to have craft beers in the Orchard area,"This is a great place to have craft beers in the Orchard area. At first I thought it was a bit expensive, but then I learned that beers are expensive in Singapore (even for a Norwegian)."
Nice ambience and food,"This restaurant is located at Orchard Rendezvous Hotel, at one end of Orchard Road. There's an outdoor area, and it's quite nice looking at people walking along the streets while you eat. Good selection of beer and my friends loved the baby ribs. My Impossible burger was good too."
Good Caesar Salad,"I had an enjoyable meal with a long-time friend, who stuck me with the bill. Good selection of draft beer. Enjoyed sitting outside on a nice evening. Easy-to-find location on Orchard Road, right next to the Hilton."
"Good beer, nice food","Good beer, nice food, and good service. One of our must visit places when visiting Singapore after arriving as they open late. Recommend for couples and families."
Half Rack Baby Back Ribs,"The restaurant is just by the Orchard Rendezvous Hotel at the end of Orchard Road and the beginning of Tanglin Road. There is plenty of casual outdoor seating and one can order at the table. Service was very friendly, repeating the orders even twice.

Brewerkz is apparently a microbrewery - founded in 1997 - with several branches in Singapore. They have different types of their own beer available, served draft in the sizes 'stem' (330ml), 'pint (500ml) and 'jug' (1.4l). I went for a 'Golden Ale', which was quite good, but not my favourite kind of beer. With the meal I then had wine from Chile.

My choice was a 'Half Rack Baby Back Ribs', which were slow cooked and finished on the grill, glazed with BBQ Sauce and served with Coleslaw and as a side either French Fries, Cheddar Cheese Potato Mash or Salad. It was very good.

Excellent was also their dessert: 'Variations of Apple' (Sour Apple Granite, Apple Cinnamon Ice Cream, Speculoos Crumble, Caramelized Apples). With all this high quality food it is natural that there is also a price for it."
Tried the Impossible Burger,"We were immediately seated for the very reasonably priced lunch special. Ordered the Impossible Burger with mashed potatoes and both were very good. The only draw back was the burger was a little overcooked but for a plant-based burger, it was still good. Lunch and service will keep us coming back."
First time in Singapore,"Just had King Brew burger and sampled a few beers. It's all great , cannot fault anything. Definitely recommend and we will be back for sure. Thanks !"
Craft beers of high class,"The beer range at Brewerkz is very high class, and should be able to satisfy almost any taste - for beer lovers....... The food meny very traditional for accompanying beers"
Great place for a Friday-night hangout!,Had the DIPA and my fiance had the Oktoberfest beer. Great choices! Would definitely come back again.
"Very good food, beers and service","Every time I visit in Singapore I visit in Brewerkz (Orchard) for a a good pizza or a good rib-eye steak. The food is very good, there is a good variety of beers and the service is excellent."
Best burgers,"Love the burgers here – meatiness is on point, patty not overcooked and goes perfectly with the Oktoberfest pint over lunch."
"Good ambience, service and food","First visit to this resturant for a evening birthday celebration. Service was prompt, food served was good, and of large portions, and we'll recommend sharing instead of 1 each for each individual. Ambience was chill and relaxing too"
Best IPAs,"Brewerkz's IPA is by far the best in Singapore. It is strong enough, 5.8% without being overwhelming and leaves a lingering bitter after taste which I much prefer over the sweetness of most fizzy pop lagers."
Awesome drinks and amazing service,Had dinner here last night .Extraordinary location and impeccable service .The staffs were so friendly and very efficient . Will be back definitely:)
best brunch at Brewerkz orchard,have a brunch a couple day back on the orchard road branch.. great food selection and there's kids menu too which is great for me I just need afresh brew of my golden ale :) definitely will be back
Amazing food and service,"We visited Brewerkz in Orchard on a Monday evening. The food choices were limited but it was good, especially the beeramisu !!! However, the cheese sticks were not what I had expected it to me. It was not worth the price. However,the service was great - The staff were attentive and had a smile on them everytime(: Thank you for the service and recommendations on the food!"
Worth a visit,"Great beer, good service and food. A worthy stop for the thirsty in Singapore. I’ve lived here in Singapore for 3 years and it consistently has solid craft beer. Being from Oregon (the land of IPA’s) I consider myself a pretty good judge :-)"
"Love this brewery! Great service, fantastic service, and delicious IPAs","Brewerkz has a fantastic happy hour with 1/2 price brews. I got the IPA and my partner got the West Coast IPA. Both were tasty, smooth, crisp, and so refreshing in this balmy Singaporean climate. Highly recommend Brewerkz for happy hour, appetisers, and full meals. Great service, fantastic service, and delicious IPAs."
Great food and service!,"A group of friends and I went to eat at this place! ordered a cowboy burger, Sausage and Mash etc, Food was awesome, drank wits bier. Service from Shane and Yee Teng was fantastic, engage with us with small conversation and shared and recommended fantastic food that we loved!"
