topic,review
Great happened on place,Came I'm out of a very heavy rain shower staff attentive beer great and food excellent well worth visiting. Great views of the river and nice to cill before seeing more sights.
Great spots for bees and snacks,"The restaurant serves rich Lava cake with mango passion fruit sorbet, very refreshing! They made their own craft beers and Kombucha.. Nice atmosphere and the outdoor seating is actually quite breezy. Friendly staffs and reasonable price… It’s a good place to unwind and relax by the riverside.."
Very nice,"During the corona wreck, there were many beers that were a little dull, but they seemed to be completely revived and all the beers were delicious. Food was good too. The wagyu steak was especially delicious. If it's outside, you can bring your dog too."
Had a nice night here,"Having visited here a good few years ago, my wife and I decided to stop for a drink and something to eat. Service was a little slow as they were quite busy but after ordering our food and drinks turned up reasonably quickly. The pizzas we ordered were great and made in a proper pizza oven judging by the taste and texture of them. I also sampled a few of their craft ales which were all great. Happy we stopped as we both had a nice night there."
nice beer restaurant,"Nice beer restaurant but food is very normal, Good for drinking. Will not come back to again for the dinner."
Fantastic place for team dinner,Love everything about this place! The food is nice and value for money! Beer is nice too! And they have the best staff ever! Very attentive and friendly! We had a great team dinner here! Would be here again!
Rather pricey for what’s on offer,A rather pricey bar and restaurant but based on my view as a member of the campaign for real ale in Great Britain and knowing a bit about beer - in the UK craft beer does not carry the premium it does in the global south. It’s all well done with fine views but there are flaws - the pictures of the super salad don’t link with what is presented which is a bowl of kale (see picture) again a commodity green and not really deserving such prices - it’s okay but average due to the pricing.
Family Visit,We had the most amazing dinner experience. One of the guest are gluten and lactose intolerant and on arrival at the restaurant the Manager had written menu with all the options. That was really so unexpected. They have gone out of their way to ensure that the food was what the guest could eat. Waiter was also very informative and their knowledge of the dishes were impeccable. Lovely view to boot!
Have to ask for everything!,"1) After sitting guests, don’t have the service mindset to come back and take order.
2) Served food with providing plates.
3) Quick to leave after serving without asking whether condiments are required
4) Have to ask for drinking water
5) Served cocktail without proving coaster
6) Serving staff often avoid eye contacts with guests
7) Visited bcoz of Oktoberfest promotion but absolutely zero vibe!"
Nice restaurant with friendly staff,"I really like to come to this restaurant for dinner. The food is good and consistent and most importantly, the staff are friendly! They will remember you order and preferences! I love their nachos and buffalo wings! Highly recommended for family, friends gathering and couple date!"
Amazing service and food,"Visited here onthe last day of a weeks holiday. It opens much earlier than other bars / restaurants in the area.
The food was superb, the pork loin dish was one of the best ever. The service, surroundings and atmosphere was first class. Definitely worth trying."
"Yummy food, plenty of beer selections, staff happy and friendly! No SPORT","I popped in here for a quick dinner meal as i was staying close by, i wanted a simple feed and beer. I ended up getting the $58 beef plate, which is rather overpriced, but it was super tasty, well cooked, and it of course filled me up!
The dish and most dishes are rather high in price, so be prepped, this is a tourist area and prices are inflated!

Plenty of beer choices on the menu, the pale ale was my choice, and it was good!

Friendly place, good service, indoor and outdoor seating available.

I was a little annoyed that this place tthroughout google says they show sports and Australian football, but this is NOT the case. No sport is showing here, so don't expect this is a sport venue."
Brewerkz Experience,Satay took too long to cook. The rest are fine. Waiters are attentive. Food are acceptable. Must learn how to serve appetizer before main course.
Alex,"Finally, good sour beer in Singapore Not much choice for the food but everything is great Good choice of the place for dinner or good beer party"
Good to Be Back,"It's been over 2 decades since I last visited Riverside and Brewertz. The good news is that the the service, the food is still as good. I like the ambience and the human traffic in that area is much lighter than across the river which is excellent! Eric was very helpful catering to our dining needs. I will be back again."
Gluten Free Menu,"Asked if anything was GF and got an entire GF menu, A welcome surprise. Appetisers and Mains came at the same time, but not an issue for us."
Great brewery with a great view,"A great little find. Awesome beers and really nice food. Looks out across the water to Marina Bay Sands hotel. A great way to spend a lazy afternoon. Special mention to Mark, thanks for the glass that made it back to Australia! We will be back."
Amazing beer as always,Brewerkz is now my go to place if I have to have beer. Best part is they are pet friendly so I need not worry about leaving her at home. The chicken pizza is really amazing and so is the Aglo Olio pasta.
Great food and ambience,"Party of three and we had good deink, delicious food and attentive service. Group of ex schoolmates catching up as we do once every few months. Food choice and quality was varied enough, drinks were great and service could not be faulted."
Good time!,had a fantastic time over here . All the service staff were impeccable and prompt! Enjoyed the food and drinks too!
Good meal,Good food and service. Location is river front with indoor and outdoor seating. Good value for money and with good service !
Brewerkz (Riverside Point),Very nice place to chill with my friend who i have not seen for more than 2 years. really great place to go
Brewerkz Riverside Point.,Excellent Ambience and view. Food was good and served hot and timely. We went with family and we had to reserve one day earlier. Staff were very friendly and accommodating.
Super dinner,"Food was surprisingly good for a restaurant that prides itself to be a brewery. The appetisers paired superbly well with beers, and very tasty. The KFC and sardines are winners, tempted for 2nd servings. Wagyu beef was very good; marble and done well. Sat outdoors to a very good windy night. Staffs were friendly and patient. Overall, super dinner experience"
1st and many visits to come,"Increase the variety of finger foods (example, chicken wings) would be great. I was there for beer and finger food but the latter restricts me to only 3 choices."
Very expensive beer !!,"In 1997 I visited Brewerkz and at lunchtime they were selling pints of beer for $1 a pint. Today (in 2021) for the same pint of beer Brewerkz is charging $20. Now I'm not the best mathematician in the world but 20 times in 20 years sounds like some pretty steep price rises ! Yes, I felt gouged paying $20 for one pint of beer. Good, but very expensive beer ! There is plenty of other beer in Singapore available for less than $20 a pint !"
Lovely food,The restaurant is in a great spot and sitting outside was a nice experience. The staff could not find my reservation but thankfully there was room. The satay starter was really tasty and the mains of chicken caesar also good. The Wagu beef bowl was exceptional so i would go back again for this alone
Great brewery and food!,"Award winning brewery, tried the Golden Ale and was good and smooth! Food quality is good too, tried the chicken popcorn, wings and pizza! Surprisingly the pizza was good too! Service staff was attentive!"
Great food,"Ordered 3 appetizers for 2 pax, the lamb ribs were outstanding, sg wings platters were good and Cheese stick was ok. It was my 1 visit in about 2 years, it seems the beers list is shorter than it was 2 years ago. Only downside for me, was the reply provided by the gentleman tending to the bar when I asked for the bill, he sounded rather impatient with his tone."
Beer drinking session,The beer was good and the food was good. The environment was nice and pleasant. The service staff was friendly and helpful.
