topic,review
Fantastic family dinner,"We had a family dinner, about 20 of us at Burlamacco. Was fantastic.

Grace did an amazing job in responding the the various queries from certain guests prior to the event and accommodated most of teh requests.

The set menu provided a great choice and what we had was fantastic, really well presented and a delight to consume.

on the evening the service was first class, prompt, efficient and attentive.

highly recommend."
"Meh, didn't enjoy the food","We were there in conjunction with Restaurant Week. More details on food later.

Paintings were nice to look at.
There are a couple of tables outside as well, which can be nice to sit during their happy hour. I wish this was made known more as lots of us are looking for happy hour places!

Water is not complimentary (FYI)!

The server was friendly, surprisingly anticipating my needs, way to go girl, and kudos to that.

Let's talk food, 4 course meal which includes Carparcio & Burrata as appetizer which were alright. Linguine lobster pasta was good; we both agreed upon that.
Then, after came the main course Pork Chop and Sea Bream Fillet. Personally, the fish smelled extremely fishy, and I couldn't bring myself to have it. It would be great if they had included that the soup was cooked with clam juice, not just with white wine.
The desserts were passable. Undoubtedly, we enjoyed Tiramisu, which was on the house. That's very kind!"
"Great food, excellent service",We had lunch at the East Coast outlet. The food is tasty and prices are reasonable. Excellent service and friendly staffs. Would definitely recommend others to try here if they want Italian food in the east side.
Wonderful!,"A friend and I were looking for somewhere new we'd not tried before and Burlamacco was chosen. As much as we go to venues on Telok Ayer, Amoy St, etc, we often forgot that there are so many great places on Stanley St.

Upon arrival the venue was empty apart from one couple inside. We hesitated - all the others places along Stanley St were heaving - so we decided to grab one of the two tables outside for a drink before making a decision.

One tiny criticism here - they don't offer tap water - only bottled water for $9.... Surely free tap water should be standard, no?

Anyhoo, whilst enjoying our drinks, a few more people arrived to dine inside but it remained quite empty for its size. Despite this, the menu looked good, the atmosphere outside trickling down from other venues was great and our waitress, Brema, was simply lovely.

We are so glad we took the chance as the food was delicious! Brema continued to be lovely, offering advice on our choices and answering our questions. We ended up being the last to leave and feeling absolutely stuffed from all the wonderful food.

We will definitely be going back - not just because of the great service but because there's so much yummy food we still need to try - so don't be put off if it's not busy."
Great food,"I've been to this restaurant a few times before, but the food quality seems to have improved, and I found the food much nicer compared to previous visits."
Burlamacco Ristorante (East Coast),"Burlamacco is at its very essence an Italian boutique restaurant which serves typical Tuscan cuisine in a family setting. A simplistic interior yet elegant, Burlamacco provides a fine dining experience nevertheless with Riedel wine glasses and cutlery you would typically find at a Michelin star restaurant. A recently opened sister branch of the original Stanley Street popular spot, Burlamacco fulfills every Italian food lover’s desire with the creamy burratta starter to awaken/stimulate the palette followed by customizable vegetarian pasta dishes and a perfectly created Italian coffee cheesecake (yes, Tiramisu...)! What really caught my attention was their ability to create an arrabiatta sauce so perfect in consistency and balance of flavours, I barely left any gnocchi for the fellow diners on my table. The truffle cream sauce risotto with porcini mushrooms took the gastronomic journey to a whole new level with the “just right” amount of creaminess to balance the granularity of the carnaroli rice (again..you guessed it : dream like truffle risotto). To complete the meal was a well balanced Tiramisu in a ‘wine cup’( if thats what they call it)...basically, the sweetness of the semi-thick mascarpone cream and the bitter flavour of the Kahlúa balanced each other out extremely well. I shall definitely be paying Burlamacco another visit...hopefully, leaving satisfied yet again!"
Excellent food and Service,"The sesame crusted tuna tartare was well balanced.My husband enjoyed the steak and said it was the best he had had during this restaurant week winners' edition. I enjoyed the pannacotta whilst he ravished the chocolate tart. The coffee included in the set menu was a pleasant way to end the meal. As always we received a warm welcome from Mr Suraj, the restaurant manager. He really went out of his way to make us feel welcome. A lovely way to spend an afternoon. The automated calling system needs addressing. Even though I had informed the restaurant that we'd be there in 5 minutes, I received a further 4 phone calls."
Best Italian in singapore - outstanding five stars!,"Hidden gem - outstanding five stars!!!!
Best Italian in Singapore hands down. We have tried almost every Italian in Singapore including a number on the East Coast and some Michelin starred favourites in Purvis street. Burlamacco is very well priced including the wine list. The BYO on Tuesdays and Thursdays is an added bonus and we will definitely come back for that. Some of the best service in Singapore and the food is five stars. Recommend the T-bone steak if you are lucky enough to get it as the special. It was child-friendly and they made a huge fuss of our children making them feel like princesses. If you are looking for a casual mid-week speedy dinner or a special romantic dinner with excellent wine, you won’t be disappointed. I just wish we had discovered this hidden gem sooner."
Had higher expectations,"Not worth the fame and cost. I’ve eaten much better in other Italian restaurants for the same I payed here. It’s not bad, just not as good as I expected."
One of the best Italian Restaurant in Singapore,"Went for a family dinner in Dec. We ordered Polpo’ , Balsamic Grilled Octopus Tentacles for Appetizer and it was so tender , soft and delicious. I tried the same dish in other Italian restaurant , most other restaurants will get the tip of the tentacle char and burnt but not in Bulamacco, they cook it nicely without buringing the tip which is a plus for me. This is by far the best Polpo I had tried in Singapore. We also order the Linguine’ Boston Lobster Tail and I have to comment that the lobster was so fresh and nicely cooked. The cook did it nicely so that it was not over cook and become very chewy. We really love the dish. The portion is big as they served the whole lobster and is really worth if for the price we paid. My daughter had the ‘Capellini’ Angel Hair with Blue Swimmer Crab Meat and it was another very tasty and delicious dish. I had ‘Tonnarelli’ Pasta with Hokkaido Scallops in Basil ‘Pesto’. I don't like the combination of pairing scallop with spinach , that is just my personal taste. Overall the service was good and we had a very enjoyable evening."
