topic,review
Food to remember,"Great ambiance, and excellent service but it’s the food that makes this place exceptional. Well presented and bursting with flavour. A great lunch for our family of 6."
Dinner,"Super nice Turkish food upon my family trip! Enjoy the food and the ambience here, definitely worth another round of visiting."
Amazing food and good service!,"Amazing food. An authentic Turkish experience. Nice environment, good service and food really good. They don’t sell wine, and they went to the other restaurant to get me one. Good customer experience"
Amazing food experience,The food was very authentic and flavourful. Great balance of spices. The chef and staff were very friendly and accomodating (excellent service and we did not wait a long time for food). The chef definitely cooks from the heart and I would highly recommend this restaurant to anyone.
Great food and atmosphere,The best Middle Eastern food that I have had.. The service and quality was second to none. We were a group from Australia and enjoyed every bite. Highly recommended!
Best Persian food with exceptional quality and service.,"Best Persian food in the Arab St area.
I have been here 3 times in the last 5 years and each time the food quality, service and cleanliness is exceptional.
Always freshly made with top ingredients. I highly recommend to visit located just down from the main Mosque across the first road."
Lebanese and Turkish Cuisine,Best restaurant in singapore and very delicious food try mixed grill and mezza plater this is best and seating place very comfortable totally good place.
Lebanese food,Very delicious food and best service Best lamb chops and the mezza platter is amazing and friendly stuff will go again Recommend
Disappointing meal,"I'm surprised this restaurant is rated as highly as it is.

The service and drinks were fine but the food is massively overpriced for the portion size and taste. The food was presented well but it tasted no where near as good as it looked. Every dish lacked flavour unfortunately. One dish in particular was a bit of a joke, the haloummi starter. They charged $18.50 for 4 tiny slices of halloumi which lacked rhe traditional halloumi flavour.

We wouldn't recommend to others, other than for a drink maybe."
Pretty disappointing place,Service was mediocre and the drinks were pretty awful. The folks at the restaurant also tried to get us to continue ordering drinks late even though they knew we would have to rush to finish up the drinks by 10.30pm. Wouldn’t return to this restaurant.
Guaranteed a good meal!,"Enjoyed the ambiance, the 5 star service and our server Sabrina was super friendly and spunky. I ordered the mezze platter to share, although the portioning could’ve been slightly increased, it was very tasty. My lamb chops were done to perfection as well as hubby’s lamb shawarma. My friends ordered the mixed grill platter and they also said it was very good. Only negative were the prices of the juices n sodas, quite overpriced. But overall we had a lovely dinner. Will be back!"
Best Lamb Chops,"First time visit , was looking for lamb chops ... The best I must said . Enjoyed the meat dishes very much . Good service !!! Will definitely visit again 👍👍👍👍"
Authentic,"Byblos Grill

14 Bussorah St, Singapore 199435

Lebanese

R L

2297 points

 

26 minutes ago

Stepping into Byblos instantly transports you from bustling, metropolitan Singapore to charming Persia complete with colorful artisanal rugs, flowing silky curtains and handcrafted lamps of every shade imaginable. The two male waiters/greeters were cold and both failed to warm up to our banter so we just sheepishly got on with our order; after all, we were here for a good meal and any good service would just have been icing on the cake. Sufficient to fully satisfy two good appetites, the MIXED GRILL ($46.90) offered up hearty servings of grilled chicken, kebabs, kofta, beef and lamb, all accompanied by spiced rice steamed to perfection, some chopped summer salad and three sauce dips (sweet chilli, spicy chilli and garlicky toum). The house special vegetarian Moussaka ($21.90) was a delightful appetizer of moist but not over-cooked aubergine in a rich bed of crushed tomatoes under a crust of baked cheese - the stuff that dreams are made of; the moussaka was served with a moist yet crusty oven hot handmade pita bread ($2.50) which the male server had previously confirmed accompanied the moussaka and was free but we were later charged $2.50 for it. Even though we did not appreciate that sales tactic reminiscent of tourist traps, we did not question this extra item on the bill as it was not a hefty addition. However, we raised an issue when the glass of MINT TEA ($5.50) was surreptitiously charged as a full pot ($12.50); be advised that most drinks are $5+ except for mineral water and juices are $9.50 but these prices are all upfront and not unexpected at tourist areas. The lady waitress we had chatted with earlier was a total delight and she changed the bill for the mint tea without fuss or even taking a second look; we had already been impressed by her warmth and sincerity but this action made Byblos even more endearing. We would have given this place 4.5 stars if it had not been for the billing gaffes which might not have gone down well with some tourists and thus would have given them an imperfect impression of service standards in Singapore. There is no hiding that the regular menu prices at Byblos are hefty and cater to tourists but with promotional reservations in hand, we will certainly return to try other dishes. It was clear that their Turkish chef was very proud of his creations and it showed through the fine food."
Removes LARGE portion of your food when you order it to-go,"I actually enjoyed my experience at this restaurant. The food was good, albeit pricey. My wife and I ordered a dish each, the lamb mandi and lamb chops. Both were delicious, but the lamp chops came in 3 small pieces, which at $32.90 I expected more. The lamb mandi was extremely tender and flavorful, and was easily the star of the show. The rice was fluffy and delicious. Service was friendly enough, if a tad slow.
One really irked me was this: because they gave a lot of rice, my wife and I only ate the rice from one dish and left the other plate untouched to bring home for our family, as well as one lamb chop and some of the lamb. In the restaurant, the rice was a huge heap on a large plate. As you can see from the picture however, there was probably just a spoonful or two left in the takeaway box. I was amazed by this as I have never experienced this before. I even checked if any fell out of the box into the plastic bag but it was completely clean. There was definitely way more rice when we ate in the restaurant which somehow evaporated on our journey home. Did the restaurant really have to take food from a paying customer? And not just some, but MOST of the rice that a customer had paid for? This tainted an otherwise decent experience we had.

I guess I should be thankful they didn't touch any of the meat.

PS: The images uploaded includes one from the restaurant's website for reference on the portion size."
Big Serving great Service!,"We visited Byblos Grill last 7 Nov 2020 the ambience is cozy middle eastern concept. The menu was enticing as the photos help us figure out about the food the are offering. We order the Mixed Grill (its a very very huge plate super giant haha) lamb sharma, samak makli(fried fish ) lemonade mint( refreshing) mango juice and for the dessert its really a divine! A must try KUNAFA!!!!!! WE ARE ONLY 2 PERSON we did not expect a huge serving but its fun and super nice even the customer service of the arab or lebanese owner is one of a kind you can see in the photos how generous their servings are"
Best kanuffeh and lamb ever,My favourite was the lamb mundi it was succulent and for a meat lover it was just right not too oily And the dessert kannafeh was delicious too.
Delivery,Ordered the Turkish pizza tgt with lamb kofta n it was delicious.. the delivery was quick n packed nicely. The lamb kofta came with the mandi rice which was so fluffy.. really enjoyed my lunch. Can’t wait to visit the restaurant!
Visiting Singapore for my first time. Been eating Asian food for 17 days. Needed a change. Love Mediterranean food.,Loved the young sweet Egyptian waiter. He was very cordial and accomodating. Food was delicious and was beautifully presented. I would eat there again.
Byblos grill food is awesome,The food at byblos grill is delicious and fresh shawarma is so delicious and chicken mandi rice was just superb. The staff Mr Ramadan is helpful and friendly. I Highly recommended this restaurant to eat with family and friends.
Nice Lebanese Restaurant,The food was perfect. The staff was very friendly. The manager had offered us a free Lebanese dessert.
"Good food but a bit pricey,",We were all happy with our meals and the service. The koftas were delicious. I think that there are less expensive options in the are.
Very bad experience.. Poor but very expensive food and owners that don’t care,"We were very hungry and decided to sit in this restaurant that got good scores on the sites. Prices are very expensive compared to Arab food - but we were hungry so we decided to eat there. The food was just disgusting, the dishes arrived late and were missing details we ordered. Really not recommended.
We told the waitress that the food was not tasty, he went to consult the manager and returned with the bill without taking anything off even though we did not touch the food. I would have given it 0 stars if it was possible"
Cant understand the good reviews,"We had just two starters and softdrinks for about 30€. The baked potato was just sliced, mashed with cream and baked with a lot of cheese. The lentils soup was the worst we tried during our trips. Service is overwhelmed. Food is not like on the pictures.
Worst experience."
BYBLOS GRILL 👍👍👍,Will visiting friends in. Singapore we visited Arab street . We had lunch at Byblos Grill . A nice Lebanese restaurant . Well priced and very flavoursome . We would go back .
"Nice food, but I wouldn’t return","We can see Bussorah St from our apartment so checked Trip Advisor and noted Byblos had some good reviews. When we got there the tout was so aggressive we walked passed (with difficulty) and I had to convince my partner to give it a try. The tout tried to explain Lebanese food to us and suggested if we were unhappy with our food we didn’t have to pay, I laughed advising him that we were from Melbourne and had excellent Lebanese food at home. We ordered a grilled Halloumi Cheese, a Tabbouleh Salad and a mixed grill with lamb kofta, lahem mashwi, chicken kofta, shish tawouk and lamb chops. The halloumi cheese was average (as it always is if you don’t get halloumi from hot grill to plate instantly), the mixed grill and tabbouleh were nice but outrageously expensive (I can feed my adult family for half the cost and twice the food in Sydney Rd Melbourne). You can get much nicer food in Singapore for a fraction of the cost. I give Byblos 8/10 for atmosphere, 7/10 for food and 3/10 for value for money."
Must be all fake reviews,"For this Restuarant to be rated so highly on trip advisor these reviews must be fake. First off we were harassed to come in and eat here. The man bagged every other Restuarant in the area and said his food was the best and every where else is terrible. If this is the best Lebanese food in Singapore I feel sorry for the a Singaporean who actually think this is good food.
I ordered a chicken wrap with extra pickles. Comes out, the wrap was very thin and their were no pickles. Asked the waiter to bring out the pickles as they must have missed it and he comes back out and says the kitchen has run out. Pickles are a staple in Lebanese cuisine.. how can you run out?! Chips were very undercooked and not appetising.

My partner ordered the lamb shank and was flavourless. Very lemony and had no salt. Salad on the side had no dressing.

When we were there the man at the front did not come and check to see how it was going nor did he thank us as we were leaving. Very rude seeing as he was so friendly when trying to bait us into his restuarant.

Never again will I eat here."
Friendly and tasty,The dishes we ordered were juicy and delicious. The Lebanese spice mix is a nice contrast to the South-East-Asian one. Highlight is the tabletop grill from which some of the dishes are served.
