topic,review
Great food great time!,"Food was good, staff were friendly, we had free 2x kunafe for the family! Definitely recommended family dinner."
Exceptional Hospitality that made the night!,"Booked a large table for my dad's birthday. Out of the car and was immediately attended to already. They were so sincere in making sure we loved their food and culture (which we very much did), and made my dad's birthday celebration a wonderful time. Food was so good. Everything was made fresh and delicious and was lapped up."
Dine in cappadocia,"Wow first time i tried turkish food in sg, so nice ! Really enjoy! U must try it. See nothing left.."
The Food was Amazing !,"We ordered the mix platter and Kunafe. The platter was delicious. The chicken and lamb were very tender and juicy. Can’t wait to try their other dishes, but I’ll def order Kunafe again for dessert."
Birthday event,Great food! Great service! Great for birthday celebrations they sang us Turkish birthday song! It was so lively and the vibes were great!
Turkish food 🥘,The best food ever I had with my family yesterday thank u so much guys all the best confirm I will come again
Scrumptious food & chilly environment,"Had dinner with a bunch of my girl friends during the CNY holiday. Been served with even accommodating staff - Ramzi and the rest of them! Food was scrumptious, friendly service crew, chilly environment, what else’s there to complaints!!! My first and not the last time!!"
Must Try!,A perfect stop in Singapore while visiting Arab street. The staff was very welcoming and attentive! The food was delicious and came out quickly!
"Excellebt food, very kind and friendly staff. Thanks Osama for all the help !!",Had a great time and the staff was fantastic. I asked for a combination plate that was only available for teo but they were kind enough to make it for one.
Amazing Turkish Food in Singapore,"If you are looking for Quality Middle Eastern Food with the ambience of Turkish setting, this is the best place to go. Highly recommended for Middle East food lovers like us. They are so kind and service is very personal. They even gave us free Turkish tea."
First time visit,First time eating at this restaurant.my friend brought me to try turkish food and love it so much.the waiters and the food are excellent.kudos to Mr.Ramsey and Ahmad for the excellent service!
Caqpa,"As an eygptian , I would say this is the best resturant in arabs street. With one of the best customer servce known to the world. With the best tast of shesh kabab"
Super nice and friendly,"Super responsive and nice, the food is okay, the drinks are nice, the overall vibe is magnificent. Love it"
Excellent food,If you really want to enjoy some traditional Turkish food in Singapore this is the right place! Really welcoming service.
Best Turkish food in Singapore,"When l checked in Parkroyal at the Beach Hotel in Singapore and found across the street full of Turkish foods at this area. Luckily l chose Cappadocia after browsing many same Turkish food restaurants, we were so enjoyed every dish including dessert. The waiter was so generous offered us a pot of typical Turkish tea for free. So warm service and treatment. I will come back if l visit Singapore again."
Excellent Moutabal,Walked the street up and down and we decided on this one at the end. Excellent moutabal and the best hummus I've ever had. We will definitely be back! 5 stars!
CAPPADOCIA TURKISH & MEDITERRANEAN RESTAURANT,"What a place to have an authentic Turkish meal. Service was good if a bit slow but the place was full so its was understandable. Meals were fresh, tasty and vast. 5 of us struggled at the end to finish all the dishes.

About a 20 min walk from our hotel next to the Carlton but good to build up an appetite. Street is very colourful as is the restaurant.

Good range of drinks but only a couple of beers so went with the theme. Will go back next time in Singapore in September"
Last night,"We ate here on our last night in Singapore!
The service was excellent along with the food! The restaurant & surrounding area had a lovely atmosphere, we were only sorry that we hadn’t found this restaurant before, definitely will recommend it & return on our next visit to Singapore!"
Fantastic Turkish Restaurant,"Great food and friendly attentive staff, highly recommended, you won't be disappointed. Shared the mixed kebab for two - delicious!"
Value for money authentic turkish food,"Really good authentic Turkish food! Ordered the Meze Tabagi, chicken mandi, tawook sote and kunefe. Portion is good for sharing. Their apple tea is a must-try!"
Best Mediterranean food in all of Singapore,"Eating at Cappadocia Traditional Turkish Cuisine in Singapore was one of the best experiences of my trip. The restaurant is located in the historic Arab streets not too far from Bugis MRT station.

The food was top notch… Delicious and savoring fresh to my taste buds. I enjoyed everything from my appetizer to my main course and afternoon tea. The staff was attentive and respectful, they also gave great suggestions on things to try.

If you’re in Singapore I highly recommended a visit to this establishment."
Delicious authentic food,The food was prepared by authentic Turkish chef and everything tasted so awesome and the drinks were so delicious too and unique. I felt like I was transported to Middle East! And loving the music totally put me in the middle eastern mood and enhanced my experience. Fully enjoyed myself and my family was vegetarian and they too loved the food. I’m not vegetarian but I like the meats there. The lady host Lynette was so warm and welcoming and made our entire enjoyment even more fun. Lovely staffs that were all fine and prompt in their service. Highly recommended
Very good food,"From the starter to the drink at the end, lovely food after craving this sort of food for days. Can’t wait to come back"
Dinner at Cappa,"Came here for dinner with my daughters. Ordered the hummus and meat platter, food is super yummy and services is top notch and personalised. The waiter always check in if everything is alright, apple tea on complimentary, definitely will return again."
Very good,Good service and also delicious food 👌🏻 Definitely will come again. The grills are amazing and they serve coffee and tea after meals
Very authentic,"Really nice grilled chicken! The chicken soup is amazing, a must-try! The atmosphere is nice and cozy too"
Best places for eat turkish cuisine.,The best places for eat turkish cuisine on arabic street. The places is comfy and the food its so delicious
"Great ambience and food, but no alcohol served!","As tourists in Singapore, we visited Haji Lane and wanted to soak up the atmosphere and the food of this famous street food junction. Most of the restaurants here make either Turkish or Lebanese food and this restaurant was quite full inspite of not offering any discounts on food, unlike the rest of the restaurants on the street. With that as the indicator, we decide to have dinner here. We were given a table for 2 on the side of road, which is better than sitting inside which was a bit of furnace. We ordered the hummus, lavash and Adana chicken kebab. We also ordered a lemonade mint drink. The food was definitely tasty, the hummus and the lavash were the specialties which didn't disappoint and the adana chicken kebab was charcoal grilled, which added to the smoky taste and was incredible. The prices are a bit pricey for the amount of food that they give, but being the holiday and tourist season, we couldn't complain."
food is awesome!,food was piping hot n freshly delicious. service is awesome. try the mixed grill & fresh bread with hummus
1st time dinner to check out the new place.,"Wonderful Mediterranean food. The mutton, beef and chicken kebabs were nicely marinated. The flavours tasted just right. The vegetables 🥗 were grilled to perfection. My new favourite Turkish crave 🤩🤩🤩🤩🤩"
Dining with family,Food was superb and awesome. Ambience was nice and cosy. Would recommend to come with friends and family. The staff manager was friendly and have excellent service to our family :)
Amazing food and service,"The food was excellent in every way. Great tasting dishes. The beef was tender as was the lamb and chicken.
The wait staff were not only friendly, they seemed to really enjoy their work. Very attentive, even with a packed house and a birthday party!
The prices were also reasonable and we all felt the experience was good value. We will definitely return!"
Pooja,"Wonderful fiod!!! Scrumptious vegetarian menu!!! Must try Lemonade mint drink!! Also, must say friendly staff!! We will definitely visit again :)"
Visit to Arab street during Dec holidays 2022,"Excellent food… loved it !!! On top of that, the staff is very courteous.. took special care of the food that we prefer …. We loved the food … thanks a lot"
Wonderful food halal - no alcohol or pork.,"With so many Turkish restaurants on Arab street, we happened upon this gem near the end of the road . The staff are friendly and the food is delicious ! Desserts of kunefe and sutlac were excellent !"
Perfect!,"The food was amazing, service was fast and friendly and the atmosphere was relaxed. I'm going back as often as I can. Be sure to try the Baklava!"
Absolutely lovely lunch,"Great food, chill ambience, good vibes and a wonderful service. Surprised with a free dessert tops it all! Highly recommended."
Cappadocia Turkish Singapore,"Great food , Great Service! The food taste superb! Will come again ! And it is Halal ! Very friendly to kids"
Lunch,"Was there for our small Christmas lunch event. It was my first time having Turkish food and i simply love it. We had the mix kebab where the meat was charcoal grilled with the char taste but yet juicy and tenderness was just right!

Since we were in a private room, staff kept coming back into the room to ensure we were well taken care of! Very friendly culture!

Overall a place I will certainly return for more!"
Thank you to the Cappadocia Team,"We had a wonderful late lunch and stayed until 7 pm. This only happened because of the staff at Cappadocia were super attentive and made us feel comfortable. The food was excellent and I’ll definite be going back there again. 5 stars for great food, great atmosphere and awesome staff. Thank you for today."
Super food...must come,Nice turkish food. Good place for dine with friends. Coffee reading is so fun. Lots of laughter. surely will come again.
Food,"My best turkish food experience i had in Singapore, very delicious food and lovely stuff, highly recommended Thanks guys"
TURKISH FOOD,Love the food here!! And the service here is the best!! And desserts are crazy!! Noo doubt is the best turkish food!!
Awesome Food and service,Food and apple tea was delicious ! Ate with my girlfriends and the price is reasonable which makes it better♡ will come again.
Meeting cum Dinner,An authentic Turkish restaurant! The food served was delicious. Rice and meat were flavourful with good texture. A good place to savour turkish crusine.
"Good food, good service, all good.",Was here for a gathering with friends. Overall good service and taste authentic. Brought my memories back when I visited turkey.
Excellent food and venue,Good location. Yummy and authentic Turkish food. Friendly and nice servers. Will definitely come again!
The best,Amazing food and good service highly recommended this place cappadocia Turkish restaurant best Turkish restaurant traditional food
Birthday party,Amazing Food.Good services Spacial birthday party Arranged in Cappadocia Kunafe is very nice Dessert
Yummy Turkish food!,"Such a pleasant experience having Turkish and Mediterranean cuisine for the first time at CAPPAdocia! Food was delicious and bursting with flavour, especially with the smoky charred taste!

The Meze Tabagi sharing platter and mix CAPPA Kebab are must-try’s as the meats were tender and juicy, vegetables were fresh and the dips were interestingly yummy! Kunefe and baklava complimented the apple tea perfectly and was the perfect end of a delicious meal! Definitely a must try!"
