topic,review
Cafe Mosaic Lunch Buffet,The spread was good. The waitresses and staff were professional and polite. They were helpful and very accommodating. The food at the different stations was always replenished.
We will be back!,"Special Thanks to Mr Shan (F&B Manager) for your excellent and most pleasant service! Other than the dessert spread being a little limited, everything else was just lovely! Thanks."
Buffet offer differs after Covid,Used to have exceptional spread across all table counter for 1:1 offers but somehow they have cut down alot probably due to inflation and higher cost
Worth the money,"I book for 6.30 but i was late cos i have to shower my kid after school and there was slow traffic during that busy timing.
I was late. But nevertheless the table was kept for us with a table of 12. I went straight to the sashimi area. Gosh it was so fresh n chewy.. alaksa crab legs too.. . My favorite station is still the oysters! It was plump n juicy. Well as for other food cooked food the variety was more than engf for me and family. The service is good too and before i left at ard 9pm. I still see them refill the cakes where not much customers left. The oni thing i hope to see next time is probably some juices? Cos i dont take coffee nor tea. $118++ 1 for 1 is worth the price. Will visit again."
Great food and great service,"Zee was attentive and very helpful. Food was amazing.
Service was excellent.Wouldd definitely come again."
Zeeshan,Very good service from zeeshan. He is very humble and take care of our table very well. Food was great and ambience was very nice
So So Good ...,"Firstly, we were let into the inner hall. We told the Supervisor or manager that we prefer a table nearer to the main hall as the inner hall have a big group of diners. But was told that the whole hall is fully booked. From 12 pm to 2pm, the inner hall was not fully booked as advised. There are still many tables available at the main hall. The foods range was not great so as the desserts too.The worse was the almond with barley dessert, which was tasteless!"
"have only coffee and tea, surprisingly that no juices, not worth to try at this price!","Very limited choices of food, the taste is just ok, surprisingly they have only got coffee and tea, no juices, not worth at this price, will not visit again"
Above average experience,"As it’s seafood buffet, had high expectations for it. However felt that the variety was not as much as I expected. Would have been better if there was a wider selection of seafood. The oysters were at another side of the dining area. Didn’t know about it until we saw someone with it. The cooked food and dessert selections were okay. We felt that it was still overpriced despite the 1 for 1 promotion. Good for experience and occasional indulgence"
Extravagant Buffet Experience,Loved everything from A-Z. The fresh oysters were so succulent and every other available dishes were prepared to perfection. Was amazed at the culinary skills of the chefs. Enjoy my dining experience with pleasant diners and service staff. Deserved more than 5 stars. Will definitely put this is restaurant on my top list for all future celebrations.
Back Again ... (Terrible),"Regular of Mosaic before Covid cause their oysters were good & fresh. This time round back, the serving style changed and properly carter for the crowd and turn over rate brought down the standard and quality of the food. As oyster lover, I used to take up to 40 but that night I only took 20 or more cause it simply too awful to put into my mouth.

Varies of food also cut down a lot. That was feedback to me from my kids & wife, without me asking them.

My last visit 3-Sep'22 will be my last time patronize them."
Satisfactory dinning but can be better!,"It was about 2.5 years since our last visit here and riding on the extended holidays from national day, we revisited again recently on a weekday instead. (our previous visit was on a weekend)

The cafe has recently reopened for buffet. It has a cosy and nice ambience and think it has been renovated.

The lunch buffet spread was quite limited with International, Asian and local dishes that included seafood on ice (though quite limited variety), stir-fried and deep fried food items, pastries and desserts etc. There were ""hits and misses"" of the food items.

Some of the nice dishes on the day of our visit included the black bean steamed fish, stir fried long beans, stir fried prawns, herbal soup, honey pork ribs, noodles and selfmade salad.

On the other hand, the not so good dishes included the sushi maki (they were generally hard like stone and not fresh), there wasn't salmon sashimi, the mee siam was not cooked well with the rice vermicelli were not thoroughly cooked and were hard and the gravy was not sour enough as it should be. Some cakes were overly sweet.

Coffee and tea were inclusive in the buffet, together with the cut fruits and ice cream. Although there were a few varieties of tea sachets, there was one, the more popular and common one (green tea and related).

Service by staff were generally good and efficient in clearing used plates and utensils to the extent that even one spoon not used, the staff would walk over and cleared it. Then we realized the lady staff who served the area where we were seated was a ""trainee"" and probably that explained why she's so super efficient in clearing the table so often. That's good but if too often and over a fork or spoon, it could be a disturbance. On the kitchen side, food were regularly replenished and that's good.

On value for money would say was fairly reasonable as it was $38++ per pax but there wasn't any credit card or membership discounts though at some places, they were slightly cheaper with more/tastier food. (do check out my earlier reviews)

Overall we had a satisfactory lunch but surely there were areas for improvement. Given this experience, we are unlikely to try it's dinner (though we had previously tried before too) as they are having 1-for-1 promotions.

#foodie #foods #foodoftheday #food #foodpics #foodiegram #foodphoto #lunch #foodstagram #foodshare #instafood #foodporn #igfood #instabuffet #foodgasm #foodgram #foodiegram #instagramfood #sgbuffet #foodinstagram #foodpornshare #foodpic #foodpost #foodaholic #foodlover #buffet #foodpics #sgfoodie #celebration #foodpictures #foodphotography"
Not worth for the money,"Even though it was so-called 1-for-1, the price came up was not cheap, SGD70/person. The food is very disappointed that sashimi is only salmon and octopus; 2 types of buns without any cheese; seafood spread is very common with additional long leg crab(leg only); no dim sum; very few counters serving food."
underwhelmed by the selection and the food,"It was an underwhelming experience. No sashimi (the closest alternative was the smoked salmon). The selection was also very limited. Dessert and Sushi station took some time to ""replenish"" the empty trays. Would have expected more for the amount we were paying. There were a few trainees serving us. They were attentive and cleared our plates in a timely manner."
Choices of seafood is limited,"If you’re here for seafood, it’s very limited. I feel that cooked food has more variety. Dessert was a disappointment. As a sweet tooth person, I skipped that. Yep. Will not visit again."
Not worth the price before 1 for 1 discount,"Not much variety of food can be select, most disappointed part on drinks, only plain cold water and coffee type allow for choose, no juice found on dinner buffet."
Good service,"I am very happy with the good service experience with one of the manager, did not manage to get his name. Thank you for the out of the box experience."
Excellent,Good service and nice foods. The price is reasonable and the foods are very yummy. My family enjoyed it very much. Hope that Carlton will keep the same price til end of the year because we will definitely come again.
