topic,review
Excellent,The food and service was great. The staff is very at tentative to their guests and their kids. Reservation was a breeze and the restaurant even checked up front whether kid’s seat were required. Highly recommend!
Amazing food and excellent service!,Strongly recommend the place - the scallops and mushrooms AND the aglio olio AND the al granchio are to die for. Amazing service too!
Wonderful evening!,"What a pleasant evening we had. Good food and wine, excellent hospitality and service! We didn't catch the name of the gentleman who served us but he certainly made our day! He provided good advice and recommendations on food and was extremely attentive throughout our dinner, making sure we are comfortable and we have everything we need. The boss is also extremely friendly and nice. We were given some Parma, on the house! We will definitely be back again soon!"
Excellent service Amazing food,"Had an opportunity to dine in at Capri second time with friends, it was a busy Sunday lunch but the server Mike was friendly good at giving recommendations and attentive to our table. Food was amazing, tried the Home made pasta in truffle cream sauce...simply delicious. This place has become our favorite restaurant to dine in."
Mysterious positive reviews,"Decor is sad looking. Ingredients were not fresh. Cooking was poor. The only redeeming factor is the friendly, hard working, single server in the restaurant. Are those recent positive reviews genuine?"
Food Amazing,"Good service,food Amazing& delicious I love the pizza tartufata and calzone .Also recommend salad insalata Di Capri,lava cake nice! highly recommend."
Cozy little place with great service,Had family dinner here with my hubby and 6 year old. Food is really nice! Service is really great and the service staff are warm and friendly! Very at ease and feel like having dinner in one’s own home! Cozy place!
Great Pasta n Pizza,Love the place. Great pasta and pizza. It was really good to see them still following the traditional home made pasta and traditional thin crust pizza. Keep up the great job Capri.
Hidden Gem in Bukit Timah,Bit of a hidden gem in Bukit Timah. Had never heard of it before visiting with work colleagues. Amazing and authentic Italian dishes. Wine list is incredible and worth being guided through by the staff to match to meals. Will definitely be back to try more of their dishes.
Italian restaurant at Binjai Park,"Visited Capri Trattoria recently after a long break. It’s a small cosy restaurant off Bukit Timah Road, in a residential area.

We had a spaghetti vongole and a calzone to share for two persons. The calzone was really hot - we could see steam hissing like some escaping gas as I cut the dough. Tasted well with the tomato sauce.

The spaghetti vongole was quite average.

The staff were friendly and overall an enjoyable meal."
Great view,The view is amazing. Nice open feel to the restaraunt. Food comes out quick and is yummy. Service was slow and just ok. But worth going for food and view.
great place for family,"The staff at Capri were attentive yet non-intrusive with refilling our cups with warm water, providing additional napkins and with replacing our plates for the next courses. When we arrived, our reserved table was already set with the high chair, cutlery and utensils that were required. The recommendations were good as well. We enjoyed the garlic tiger prawns and the calamari as starters. Because it is a pizzeria, we went full on and ordered 4. Our favourites were the 4 cheeses and the one with dried beef (which was phenomenal). We enjoyed the special which was the squid ink pasta. It was a well-flavoured but a tad salty. Desserts were a treat of tiramisu and the lava cake which all of us unanimously enjoyed, sans the child. Overall, we were glad we had our meal there!

Thank you to Capri staff and chef for making our meal such an enjoyable one!"
Excellent Italian food and great service,"Real gem, just off of Bukit Timah Rd. Real nice Italian pastas and pizzas. Have tried their vegetarian pizza, lasagna, and pasta, and each dish had its own unique taste. It is obvious they are using authentic ingredients and the chef knows what he is doing. On top of that, the lady who served us both the times (Oct 21 and Jan 22) is real nice. Highly recommended."
Delicious freshly made pasta with great service,We enjoyed the evening with great food and service. Highly recommended! Next time we’ll be back for the lava cake.
One of the best Italians in Singapore,"Returning customers for over 7 years. One of the best pasta in Singapore. A real small gem, very friendly and attentive service and a wonderful atmosphere."
Could have been better,"Pork chops were over cooked and chewy, while the Pasta with Clams was a disappointment. Only pizza bread was delicious."
Best Lava Cake in Singapore!,"Was looking for stress reliever meal within the area and Capri Trattoria & Pizzeria came up and it didn't disappoint.

Had Pizza & Lobster Linguine for main, then we were recommended the Lava Cake for dessert, top that with Gelato Vaniglia, it's an awesome combo! I highly recommend this place."
Best Food Best Service,I went Capri with my family first time. The food was so good and service was excellent. vana was so good her service was excellent. Specially the pizza tartufata is so good. We will come back again
Horrible experience- Arrogant owner,"Terrible service and arrogant owner Ravi, who was violating COVID rules and when questioned said we could leave and yelled at us! Not going back there ever! Italian place run by Indians!"
Cozy place for dinning and friendly staff,Very cozy place for dinning.. the steak was great.. please order medium rare! The staff were very friendly and takes feedback constructively
Antipasto Trap,"If the waitress recommends an antipasti platter to start… ask “how much”. 48$ for pizza bread, few cold cuts, mozzarella seems stiff?"
Wholesome and delicious Italian meal,"My family and I enjoyed our dinner at Capri.
The calamari was nicely done and the taste of the batter accompanying it tasted unique. Bruschetta and the burratta cheese were excellent as well. The pasta dishes were all done al dente; the way it should be. Though it’s a little pricey but it’s worth it. The service staff were also very attentive and food was served rather promptly though about 70%of the tables were filled."
"Amazing food, amazing service.","Pizzas were the best pizzas I’ve ever tasted. The crew were also so friendly and nice. Place is romantic and cozy! Price is just fine too. If you are ever looking for a great pizza, this is the one that sells it."
Excellent tasting Italian food,"Our family enjoyed the experience, the food was great, the portions were great. Price was a bit on the high end though."
Great Pasta & Risotto dishes,"Mainly came here for the fantastic pizzas previously.
The pasta and risotto dishes were very delicious as well.
Nice ambience and impeccable customer service. Such a joy to dine here.
Recommended to make reservations (even on weekdays) - as I was turned away before trying to do a walk-in for dinner"
Highly Recommended !!!!!,"My first visit to this Italian restaurant. The atmosphere was great and their staff are very attentive, service was excellent. We ordered a starter Bufala Caprese, follow by a Scialatielli Pasta and Manzo. Everything we tried was amazing. I would say this is one of the best Italians restaurant in Singapore. Will definitely come back. Highly recommended!!!!"
Birthday,"Excellent food, wine, service and ambience. This was the 2nd time we are celebrating a loved ones birthday here. Highly recommended!"
Great place for Pizza 🍕,"Went here today for lunch at around 1ish pm.

Ambience - very cozy and have the Italian vibes. Love it, though they have only tiny space for outdoor seats. Could’ve been nice

Menu - great variety of dishes from appetiser, to salad, main course, and pizza. Along with drinks and desserts. Don’t have fresh juices though which we’re looking forward to order.

Quality of Food and Portion - we’ve ordered
Pizza Diavola - my husband and I love the Pizza thought that the texture, the size, the thickness of the pizza was just perfect and taste was great. Recommended this one.

Scialatelli Di Capri - I personally didn’t like much the pasta itself. Was a bit disappointed how the pasta stuck together or being clumped. And the seafood didn’t taste fresh for some reason or perhaps it’s the sauce. Though the portion of the seafood I would say pretty generous.

Price - was okay. Above average price. But a great place for Italian place to explore or try. Would like to visit again and order other type of Pizza.

Overall was good experience"
Average quality Italian food. Fairly good service.,We were a group of four. We ordered two starters (both vegetarian) and we each ordered a separate main. The vegetables were well cooked but the olive oil and burrata were both grocery-store quality. My wife's pasta was overcooked. My risotto was well-made of average but not outstanding ingredients. Honestly we have better Italian food at home. For the price the food could have been better.
"A Must Stop By Eatery Outlet, Italian restaurant Base in Singapore.","A great dining place with promising good quality food serves to pleasure the hungry tummy. Welcomed in from the door step to your seat. Food is cooked upon order, eat it when its just out from oven. Pizza is handmade on the spot and freshly baked in the pizza chimney oven, so cool. And A MUST TRY, Flaming Lava Cake, Drizzled with orange liqueur. My all time Must Have when i dine in. A small cozy ambience to chill in. My meat, cooked medium rare, never went wrong. Will definetly come by again. Wen comes to tummy dont think about money."
Tortellini Truffle Burrata Pasta is amazing,"Always a good and satisfying meal here. One of the best Italian places in SG. Good pizza and great homemade pasta. Thank you, Capri and it’s a friendly team for a great dinner. Stay strong and we are looking forward to the dine-in time at your venue soon. Thank you Vana for your recommendation of special of the menu. The tortellini truffle burrata pasta was amazing. See u again next week."
5 STAR Lobster Pasta.,Been craving for the lobster pasta but with CB we are unable to dine at our favorite restaurant so decided to call in for take away. The pasta was so delicious and perfectly cooked to perfection. Thank you Capri Team for the amazing dinner and we can’t wait to be back to dine in very soon once CB is over.
Ordered risotto seafood and,"Ordered risotto seafood and risotto mushroom through grab. Fake Italian food. The seafood risotto became paella and the other one is like a mushroom rice. The rice is not even risotto. Lack of proper risotto was over compensated by too much mushroom. Not even close to basic risotto, let alone the authentic one. Not worth the price. Never ordering again! Yuck!!"
Great Dinner,"While strolling along Binjai Park me n my girl saw this Italian house n decided to have an early dinner...as we enter, the ambience n the welcome that we received was soooo comforting...we both shared a pizza n a wine each and later moved on to Capellini Pasta & Squid Ink Pasta respectively. The food was great coupled with the wonderful friendliness of the staffs is making me wanting to visit again. Our bill was slightly less than SGD100 but it was worth every penny. Keep up the good work guys...will surely make many more returns."
"Overpriced, mediocre food , lousy portion size with an extra large Attitude!",One of the overpriced singapore restaurants serving mediocre food .Not at all authentic. They charge 24 dollars for a portion of Gnocchi which had 5 exact peices (delivered thru deliveroo) and when I called asking about it they instied that they sent 6 pieces! This is an adult portion size and not kids menu.I lodged a complaint with deliveroo who refunded my money but never ever this lousy place again! Oh btw the food is horrible! Had to use the refund to reorder something else.
"Good atmosphere, excellent service and great pizza","I went for lunch with a friend of mine and we really enjoyed the food. We got gnocchi, scialatielli pizza and tiramisu. Everything was well prepared and taste like in Italy.
I really appreciate the kindness and the good service of the manager and the staff working there.
I will be back for sure."
Anniversary,"My husband brought me here after a long thought and YES! It was perfect for our anniversary. Simple yet Delicious! The ambience was right for both of us!
I don't fancy an expensive dinner when the food has no quality BUT this restaurant serves good quality of food which suits my palate! Don't forget their desserts!! An amazing dinner to end the night for us!"
Great romantic dinner,Went to capri last weekend with my fiancée for a romantic dinner. It was great. The food & the ambience is just right. We ordered burrata con prosciutto crudo & vellutata di funghi for starters. Tagliata di manzo & risotto con funghi for main. It's worth the price. The staffs was nice & helpful to reccomend us nice dishes. We enjoyed our night there. Definitely will go there again.
Birthday dinner,"Recently went to capri for dinner as it was my dad's birthday.. Everything is nice.. Authentic italian food.. I personally like the pizza bread,lasagne & ravioli caprese.. My dad liked the carppacio di manzo & calzone pizza.. Oh the spaghetti pesto gamberetti is to die for.. We loved all the food that we ordered.. The ambience at the restaurant was great too.. The staffs are nice & friendly.. For sure me & my family will come again.."
Quality has dropped,"This restaurant used to be our go to casual Italian place. They had a delicious seafood pasta and one of the best mushrooms risottos we've had.

Unfortunately, our dinner here recently was a bit of a disappointment.

Even though there was only one other table dining when we were seated, we waited nearly 40mins for our mains (2 plates of pasta), and the taste and quality has definitely dropped. The service also used to be a highlight with a Filipino gentleman being a lovely host, but the regular staff were no longer there this visit.

Our total bill for a shared starter, two pastas and two non alcoholic drinks was close to $100, which is expensive considering the poor quality."
"Expensive in price, mediocre in food quality!","The place is dated and is in need of a makeover. The lime juice is $6 per glass and taste like what we bought at NTUC drink section.
Vellutata di Funghi(mushroom soup) is freshly made but is on the high end for $15 per serving.
Impepata Di Vongole(clams in wine) $26 is not spectacular, just decent with few clams.
Fettuccine Alla Nocerina $28 and Linguine con Granchio $26 pasta are delicious. But we can get similarly good pasta at half the price elsewhere.
Tagliata Di Manzo(Ribeye steak)$38, i request for medium rare but is serve well done. Can hardly chew the tough meat. The meat taste just like what you paid for in a hawker center.
Overall I will say the place is overly price and serve mediocre food."
Great Service,"The service provided by Ms Verma was excellent. Her recommendations on the choice of food for my family of 5 was excellent. She even recommended the sequence of serving. Throughout our meal, she was very attentive, always a step ahead in anticipating our needs.

The good was exquisite and the portion, especially the T-bone was huge.

It was a little expensive but we came prepared for a good meal before the end of the year.

Forgot to thanks the Chef fur a wonderful meal and beautiful evening. Cheers"
Perfect Xmas lunch!,"Read the many positive reviews and I have to say....""Ditto to that!!"" Service is friendly and impeccable. Food....Yummers!

Who would have thought that turkey, brussel sprouts, roasted pumpkin, pomegranate and drizzle of balsamic vinegar would make the ultimate and tastiest pizza? Well, it absolutely was a slam dunk in my books! The Ravioli Caprese was excellent. My youngest thoroughly enjoyed the pizza bread and margherita pizza.

The star of the lunch....the whopping juicy 1kg T-bone grilled at medium to perfection!! A must order if you have at least 3 to share.

Thanks to all at the restaurant who made this a delightful xmas family lunch!! Cheers to you!"
Great food authentic Italian,"I was surprised to find the owners of Capri had left and worried the food would not be the same but we were not disappointed! The pizza bread to start was delicious as was the sausage pasta according to my son who is very fussy! Mushroom risotto was very flavourful and the red wine perfect, if a little cold! Thank you for bringing a sweet treat with a candle for my son’s 16th- we will be back!"
"Very good food, but pricey",Everything from appetizer to dessert is nice. But the appetizer platter is too ex! The lava cake is a must try!
Excellent service and great pizza,"My wife and I wanted to try out Capri as she had a craving for some traditional oven baked pizza and Capri did outstanding. Ravi, our host, was very attentive and absolutely helpful in helping us pick out food choices based on our preferences, and we saw him equally as helpful with the other guests as well. We had a really good monday evening here, and if I had to be nitpicky, I would say that the negroni I had could do with a touch less sugar. But other than that, a dinner date at Capri really is a good choice."
