topic,review
Buffet at Carousel,"This place has the most excellent buffet spread: seafood, Japanese, chinese, western, and Indian cuisine. The seafood is very fresh, love the Oyster the most, juicy and huge. Their sashimi is awesome too. The cheese spread has a good variety to choose from. They also have a live station to cook your choice of pasta. The Indian station has long grain bryani rice, butter curry chicken and grilled chicken, very tasty. The ice cream are creamy and nice. The only reason I gave 4 stars was the price, it is $98++ for weekend dinner, a bit pricey."
Great service,"I would like to compliment Sherelin Raj and her team for excellent service for our dining at Carousel Restaurant, Royal Plaza on Scotts, Singapore. Great service by Meghala and team, too!"
Can be better to uphold the Carousel name.,Went there for a buffet breakfast at $25++ per person. The selection is not too bad. Egg station can be better. Hot drinks selection n juices adequate. Cooked dishes can be improved. Bread selection is enough.
Great variety of buffet spread,Busy and large crowd of big groups dining in. Huge variety at the buffet spread. Servers Raja and Rajeev were attentive and friendly. Thanks!
Just a meal,"Great Service for our section along the glass panel that has view of Hyatt hotel opposite was excellent, both a young Malay lady and an Indian senior staff service was tip top. Unfortunately my wife dont get used to such type of buffet style, which foods is been serve instead of self service. Raw fish Sashimi is tastless (Frozen), Chefs at Asian foods section was very helpful and friendly."
False advertising,"""Voted best buffet restaurant in Singapore"" by who? The ambience is completely lacking. It is comparable to a Swensen's in appearance. The offerings were an odd collection of low quality budget foods from various regions. The seafood spread was an unusual combination of soggy and over cooked. There were no condiments for them. When we requested cocktail sauce, butter or even soy sauce for our chilled seafood we were handed a single serving packet of mayonnaise for the table. The coffee and tea selection is better at McDonald's."
Local High Tea,"We went for high tea on a weekday and the place is fully booked. Place is big and noisy. Spread of food is mainly local dishes. No WoW effect for the foods. However, service is good. Staff are attentive."
"Food quality compromised, not value for money","Went there for their hi tea buffet. The actual offerings somehow didn’t match the offerings published online for their hi tea menu. It was generally very cheap quality food for the price of the buffet.

Also turned off by the waitstaff, hi tea buffet was indicated to be 3-5pm. At around 4.15pm, one of the staff came to ask to settle the bill, and at 4.45pm we were reminded to leave by 5pm.

There’s better buffets with better food and service out there."
Service degraded,"The services on Carousel has degraded as compared 2 years ago. Bill started to 'pop in' by the waiter in the middle of diners conversation with interruption.

We requested for a small slice of cake for the Birthday celebrant but was rejected by the waiter immediately. Coffee and Tea were not server promptly."
Nice dinner buffet,"Dinner buffet started at 6pm and the queue before entering the restaurant is a breeze. We tap our TraceTogether & show our vaccination status, then present SMS from Carousel stating our table number which we were ushered to.

Staff did a good job in explaining the safe distancing measures in Carousel.

Hot drinks are available free. You just have to scan the QR code available on the table to view the drinks menu. A seperate electronic menu is available for ordering soft drinks, wine etc. at a price.

Food variety is good but abit lesser than before Covid times. For example the dessert choices are not much from the trolly going around; handled by the cheerful staffs. Condiments for icecream such as peanuts, sprinkles are not available. Only chocolate sauce.

Buffet food are served by the ever enthusiastic staffs there. You can just inform them how many servings you need.

The bread & butter pudding are worth trying!

Good customer service with staffs asking how the food was & smile when passing by us. Even Mr Abraham Tan (I frequented RP for years thus I know some of their staffs’ names) lend a helping hand in helping his colleagues when the queue for food is forming.

Overall food & ambience are excellent as always even though things have changed but we understand.

We shall return for our staycation once RP is done with their SHN thingy."
The buffet dinner is fabulous,"This place has an enormous amount of food to eat, plenty of choices to choose from. The ambiance is the perfect setting for any occasion."
Dinner Buffet,"Fresh seafoods! Table will be allocated through sms before you arrive. There will be less contact between guests and staffs which is a very good move. Wanted to change to a bigger table when we arrived and because the crowd have not came in so we got it. The senior staffs are very friendly and hardworking. They will get for you the food at the countet so basically it is not self service. Even the hot drinks will be ordered through the staff and they will bring it to your table. The mini desserts will be serve to your table. They will bring it around for you to choose. Although it was a weekday, it was still packed. Had a great time eating all oysters!"
"Super cozy, Good service, Clean","This restaurant is great, the place super cozy , the food here was amazing, tasty it was delicious .Best service and friendly staff"
Wonderful dinner nite,"Wonderful customer service by mr.Nalan, me n my husband really enjoyed our food .will definitely come back again .kudos for the team 👏🏻👏🏻"
Birthday Celebration for Sister and Sister-In-Law!,"We had to adhere to strict measures due to the pandemic and the hotel/restaurant did great in following protocol making sure safety was not compromise for the guests as well as the employees which was truly commendable.

Nevertheless we had a splendid time at this premise! Since there were 6 of us, we were place in a private room. Ordering through the restaurant app was a breeze indeed. Food ordered was timely and in great portion. Most importantly the quality of food was not compromised and it was delicious. The staff were super friendly, jovial, approachable and warm. Great job there Carousel and keep it going!"
The Best,"As always, the food, service and ambience hits the spot. Still the best. But due to COVID restrictions, couldnt explore the buffet line. butstill worth it."
Service Crew all round is Excellent!!,"Went there with the family seated at table V2. Mr Das explained to us the rules of the buffet slowly and clearly. He was friendly, polite and dedicated. Then we met Lynn who was also kind and polite to my mum especially. I felt the whole team including the chef for Chicken Rice was friendly and committed. Its has been a while I met an entire crew team of an F&B establishment who is consistent and took pride in their work. They are friendly, thoughtful!! I met with a Ms Angkhana who was ever so kind and told my mum to take the lift instead of the stairs. She was very concerned about my mums leg as she has a problem with her knee. Been to the hotel several times and the service this time is just exceptional. Thank you to the team for a memorable dining experience."
So so experience,"While the food was quite nice, I feel the meat section could have been better. There should have been more unusual and posh desserts too. The experience was not anything to shout about. Overall, we did enjoy the food but the whole experience was marred by music of only one type. We would have liked to hear music of a greater variety. We were unfortunately put at the table just below the loud speakers and therefore conversation was almost impossible. Please take note of these pointers and improve in these areas. Otherwise it would have been a waste of my time writing to you."
Great customer experience !,"Excellente buffet : variety and quality ! But more importantly, great service ! Especially Raja who served us like if we were king and Queen ! Thanks. Great customer experience from the entry to the bill. I will be back tomorrow ! Thanks again !"
Good to be back. overall nice food and cosy ambience!,"It has been more than 10 years since our last visit here and with the recent reopening, we decided to come by to try the buffet. It was a weekend and the restaurant was almost full house.

Upon arrival at the main entrance of the hotel, and after doing the temperature check and safe entry, we were told of our table number before heading to the restaurant. This was good, much better than have to queue again to register before heading in.

The restaurant is more cosy and nice, with orange theme, bright and very lovely. Staff were very friendly and efficient and credit must go to everyone which many earlier reviewers have mentioned too!

As for the food, the spread was quite good, at least better than Lime (Parkroyal Pickering), the previous week we went to. It was so pathetic there. The spread here covers local, asian, western dishes and most were nice and yummy. Of course, there were ""hits and misses"" but overall, they were good.

Some of the food that left us deep impression included the herbal chicken soup, seafood, the prawn paste chicken, grilled fish (salmon), stir fried vegetables, pastries (the cakes, macarons, ice cream etc). As for those that were off the mark, they were the chicken rice (cold and the rice was bland), bryani rice and chicken (the rice was not fragrant as it should be and not warm too and chicken too hard), and eu foo noodles, too bland and cold.

For the pastries, they were served by staff pushing trolleys and do not worry, they have a few going around and we won't be missed out! But if you have a sweet tooth, save it for them, you won't be disappointed for sure!

In terms of improvement, since it's a halal restaurant, maybe they should include more halal food or local food like satay, rojak, kembing soup (mutton soup), popiah etc, that would be imperfect.

Service wise, as mentioned, great and lovely service!

Value for money, yes, as now we have 50% discount for senior citizens (60 and above) and so it's quite a good bargain!

And one feedback that I hope the hotel would look into. Due to Covid19, the lobby has been fenced off and for diners who needed to use the washrooms, they are located on the 2nd storey (actually they have on the lobby but was fenced off) and so they will have to walk up/down the winding flight of stairs and making things worst, there's only 1 cubicle for each for the man/woman and 1 for the handicapped. So can you imagine the wait as the buffet proceed into the half and one hour and beyond (considering the restaurant is full house, notwithstanding that the staff and customers of the hair and beauty salon/conference rooms on the 2nd storey are also using the same washroom).

Other than this, I think we have had a wonderful lunch and will return again soon tapping on the promotions, possibly this week again. Hopefully this review will allow the staff and management ample time to look into and improve it's service offerings!"
"Exceptional service, just bad food","The menu is bad, the service was excellent. I am appalled. The discount helped to soothe the pain of having to pay for such an excruciating dining experience with my friends. And the worst part was that I recommended the place. This is actually the first time that I have had to allow myself the liberty to speak my mind for the this establishment to pull up its socks and re-examine it’s hopeless menu. If it weren’t for the excellent waiting and staff, Carousel would’ve gone down in flames. I’ve been here once pre-COVID and this current setting with its menu and pricing pales in comparison to its former glory. I am so upset having to spend an evening with my friends at a place where we could’ve been elsewhere really enjoying our dining experience. Please really look into your menu and the food. It’s salty, just bad, a better experience could be had at the local hawker’s. I am on the overall displeased with my spending and I am sad that with the excellent staff, less than mediocre standard food was being served. I am a foodie, a lover of culinary delights and this just doesn’t cut it. Please don’t take my word for it. Just be prepared when you see the menu and actual dishes served to you. Be positive I say, always but also do not expect anything. My apologies for the rant but I am hopeful that Carousel aims higher and takes care of its offerings before it joins the majority of the food and beverage, as well as retail industry everywhere. Kudos to the exceptional service though!"
Fantastic,"Service was very prompt and the alacarte buffet menu was superb with the variety and the dishes were very tasty. Additionally, I would like to specially compliment this one particular service staff named Mary Lum, she not only answer to all our enquirers quickly, but also had a very friendly and cheerful disposition towards us and asked us if we needed anything. She also provided my child with a special order of mantou as she saw that she was enjoying it a lot. Overall it was an excellent dining experience ."
Disappointing,"We used to visit this place regularly, food was amazing and service top notch. We went for Christmas lunch buffet: what a disappointment ! Limited choice in the menu, main dishes lukewarm and tasteless. The staff didn’t announce last order and we were stuck without having time to order our desserts. A staff lady was nice enough to bring us few pieces of cake. The bread and butter pudding looked old.

On top of that very poor and cheap Christmas decoration, and no ambience"
Generally good experience and service,"In general, the ala carte buffet food is good and the service staff tried their best to be prompt. However, there were some slight problems in using the food order site to track what was ordered at the table in total. Hence, at times, it was difficult to determine if our orders arrived accurately."
"Few years ago, it was my favourite","Few years ago, it was my favourite buffet restaurant. Until there’s 1 year that I heard there are changes to the head chef. Seafood beginning not fresh. Hope they have improved by now."
Our favourite buffet hotel,Our favourite buffet hotel restaurant eversince. We are always satisfied and very happy visiting the restaurant. Kids and adult love the spread and generous.. 🌟🌟🌟🌟🌟
Quality food and good place for gathering,Me and my friends visited Carousel for dinner and this is a great place for having quality food and chitchat with friends after a long day at work. Price is on a higher side but well worth it! The service staff are Excellent as well.
