topic,review
Enjoyable Puglia cuisine,"Friendly and rustic. Good Puglia food and friendly service. Amazing Vitello Tonno. Most delicious Pasta Marinara without tomatoes. Roast lamb was awesome. The chicken, prosciutto and aubergines good. We enjoyed their desserts of Pistachio gelato with Baileys, and Affogato and Tiramisu ."
We scheduled a long layover just to come back!,"This is our favorite Italian restaurant in all of Singapore. Fantastic staff starting with the owner who makes sure every guest gets first-class service. We have always felt welcome and treated very well. The food is authentic and tastes amazing. Easy to get to as it is just a few steps away from the 6th St MRT station. If you love Italian food,this is the place to visit!"
Genuine Service,"Usually when the servers asked if everything is ok, they hope it will be fine and nothing needs to be done. In our case, the Vongole pasta ordered was a bit too salty for our taste. Hence, upon knowing our feedback, the kitchen redo the Vongole pasta and it was just right for our tastebud. Appreciate the extra mile the restaurant took to take pride in their food and ensure the customers are happy."
Great food at Caruso Italian,Had a great lunch session with local team and visiting colleague from US. Food was great and service was prompt. Its true value for money.
Dinner,"My wife and I had a very nice dinner. For starters we ordered “La Burrata” and “Carpaccio Di Salmone” both are amazing! Then as mains we had to share (then both can test all) “Polipo Alla Griglia” (that’s also amazing) and “Gnocchi Al Gorgonzola e Noci” (the gnocchi dough itself is just ok! nothing special on it! but the sauce is what makes it good! The sauce of Gorgonzola cheese white and toasted walnuts is really nice!). Also to mention a small basket with a nice test bread before everything.
The service is good and place is nice!
Will be back to try more things for sure."
Authentic Italian food,"Caruso have a good variety across their appetizer, pasta, mains and pizza. Especially love the dough of the pizza and it’s well fired. Best to inform the staffs to serve the food progressively as they tend to serve everything at one go and the food tends to get cold when servings is not staggered. Staffs are not as attentive (conclusion based on several visits) but they generally do a reasonable job."
Outstanding food,Simply excellent - we had a range of starters and main courses. All were first class. Thoroughly recommended !
Coming back up to speed...,"We'd eaten at Caruso pre-pandemic and had left with fond memories of the same, so we were excited to come back after all this time for another visit. Unfortunately the restaurant feels a little like it's getting back up to speed at this stage - the service was a little rough and a number of the items we ordered weren't great to be honest. However the manager was great and we really appreciated the complimentary desserts to make up for the misses - we would go again, but maybe be a little more careful which dishes to order next time - very much hope they're able to get back to their former glory!"
ALWAYS good!!,Love this place for its great food and awesome service!! Best Italian in Singapore and very seasonable priced!
Family dinner on a weekday,"Caruso never failed me with their food. We have been patronizing the place ever since it had opened. We know their food so well that we will usually call them to prepare and we’ll just go, eat and leave. This recent meal was kind of disappointing as I realized that their shrimp has shrunk! I would think it’s the inflation! Though the shrimp has shrunk, the taste remains the same. Caruso is packed nowadays. Do remember to make your reservation before going."
We Love Caruso,Leonardo is always on the scene which makes a huge difference to us. Seeing the owner involved in all aspects of how the restaurant runs is why the quality of the food and service remains so high and so consistent. ......Veronica & Ken
