topic,review
Surprisingly bad,"With end of year, i decided to treat the family to a truffle dinner at Casa Tartufo. After much debate we settled on scallops with parmigiana and fresh truffles as a starter, porcini mushroom soup with truffles, and tajarin pasta with truffles (signature dish) and ravioli with parmigiana, and truffles. The service was excellent but the cooking was a disappointment. The scallops were overcooked and chewy ($45). The mushroom soup surely could not go wrong but how surprised I was to find it bland and tasteless ($30). I can get a better one from a can. Luckily the tajarin ($60) and ravioli ($65) saved the dinner from a complete disaster. The wines were significantly overpriced with a glass of chianti at $30 per glass.
With 3 glasses of prosecco and a glass of chianti, dinner for 3 (no main courses) came up to $545.
Never again! so be warned the cost far outweighs the quality of the food. You would be better off going elsewhere"
Kinda Sad They Are Closing,"We were looking forward to dining here as it has been a while since the last visit, primarily due to Covid restrictions. There was a slight hiccup with finding our reservation but that was quickly resolved.

We loved the starter of burratina, which was creamy and the salad was fresh, not overly oily and nicely balanced. The bread was average though, surprisingly, and we each had one slice only.

We added the $25 premium for the truffle pasta - I remember it was $12-$15 when we first started to visit. The pasta was tasty, and the truffle taste was not overpowering. The bolognese penne was not as good, and the pasta was a tad undercooked and hard. The meat sauce was generous, but could have ‘matured’ a little and been more robust.

Desserts were fine, and we enjoyed the truffle ice cream, and the chocolate tart, with its slightly bitter richness, which means good chocolate was used.

The lunch sets include still or sparkling water, as well as coffee or tea. Portions were on the generous side, and service was warm and efficient, with staff greeting regular patrons and topping up water frequently. Kinda sad that they are closing at the end of the month, but interested to see their future projects."
Disappointing (but with a lot of potential),"I was very much looking forward to my luncheon at Casa Tartufo.

I tried the following dishes:
Burrata with Black Truffle
Rib Eye Steak (pictured) with Truffle Fries
Lemon Tart (pictured) and
Tiramisu

Ambience: Simple and tastefully done. Service was attentive and friendly.

The burrata portion is truly sharing portion, and probably appropriate for 3 people digging in. The flavour was good, but the texture was a little firmer then I would have liked / expected. 2 of us ate the burrata, and a little less than half was left. We asked for it to be packed for takeaway; and our server politely agreed. However when we left, they forgot to bring it out; and we also realized after we were in taxi. The fact they didn’t bring it out, was disappointing.

The steak was well cooked, excellent flavour and the truffle fries were crunchy. No complaints here.

Lemon tart: Hands down the worst lemon tart I’ve ever had. All 3 of us tried the dish, and all three simultaneously had to spit it out. It tasted like raw and bad egg with a hint of lemon. I’ve tried lemon tarts all over the world.... this is not how it should taste! The server took it back to the kitchen and came back and said the Chef said it was fine. That was really shocking, and makes me question the chef’s tastebuds (for this dish atleast). All the good flavour build up over the course of the meal was u done by this dish. You could also tell that the crust also was not fresh. The server trying to defend this dish is enough for me to not return or recommend this restaurant. Had his approach been different and apologetic; my opinion would have been more open minded that it was a one off bad dish.

The Tiramisu that we had instead as a replacement was outstanding. It’s amongst the lightest I’ve had in a while.

One final gripe... their cloth napkins left tens of lint spots all over the trousers of all 3 of us.

The steak and tiramisu were stand out dishes; but I’d be had pressed to find myself going back here for a long while."
Great food,Food was excellent. Atmosphere was wonderful. Staff was friendly. The Jr chef is a plus point! One side note. The food are not cheap.
Absolutely loved it!,"One of the best services we have ever received in any restaurants.

Awesome service

Place is so cozy and nicely done. Great taste!

My husband and I shared a mushroom soup and the angel hair pasta with uni caviar scallop.

Superb!!

Will definitely return for more!"
Casa Tartufo has just moved and is still as good as ever,"Casa Tartufo has just moved to Mohamed Sultan. It's an intimate and less old world space yet the owners have maintained the charm of it previous incarnations. This is a comfy, homey, chic trattoria that serves delicious food and, as you'd imagine, specializes in truffles. The signature Tajarin egg noodles with fresh truffles is always amazing and is still as good as ever. We also had yummy scrambled eggs with truffles, a satisfying carpaccio, and veal tortellini with porcini mushroom cream sauce. I could eat the tortellini every day (but then I wouldn't be able fit through the door of the restaurant ). Also had kurobuta pork chop with sunny side up egg and truffles and a lively seabass. And, of course, truffle fries. For dessert I recommend the truffle gelato. Mmmmm. This is a great place for romantic dinners, family gatherings and nights out with friends."
We will be back!,"Went out on date night with my wife and ended up in Casa Tartufo almost by accident as we found Club Street too noisy.
Small but high quality menu. The entire staff was very attentive and knowledgeable.

Happy with quality of food and wine.

Will be back for sure!"
Amazing truffle flavoured food,"The food here is mainly centered around truffles, but the dishes certainly hero the ingredient well. We had the truffle pasta which was good as well as a cheese ravioli. The cheese with ham and truffle honey was a good appetiser as was the arancine (rice balls). Their most unique item was the truffle gelato which was very good and interesting with bits of salty truffle inside but not to be overwhelming the sweetness of the ice cream. A good place to go for a nice occasion."
Great,Fantastic food and service. Restaurant had great atmosphere and staff were attentive and efficient. T
Friendly staff and great food,"I would have given 5 stars but because we only had 3 dishes felt that may be over generalising. I had the pasta and truffles dish and my wife had the sea urchin risotto. All in all, great food and not too pricey - 220 SGD with 2 glasses of wine, 2 main courses a starter and 2 desserts."
Wonderful,"Food, ambiance and service were wonderful. My favorite dish was the scallops. Will definitely make a trip back and recommend it to friends."
