topic,review
The Best Chinese Restaurant in Singapore,"Just realized that we have been a customer here for more than 10yrs.
Our reservation has increased to 7pax, including our 2 young boys.
It has been our regular venue for celebrations, e.g. birthdays, anniversaries, Father's Day, Mother's Days, etc. and of course, Chinese New Year.
The place is undoubtedly classy, great for both casual and formal gatherings. And yes, my customers were impressed too, not just by the quality of the food, but also the impeccable service by Bryan and his team.
Their Peking duck is always in our list, together with the variety of dim sum.
Throughout the years, we always meet the familiar faces here including Darren and Abby, who are always attentive to our needs (from the old folks to the young guns) and became more of a butler and friend.
We are grateful to those special arrangement by Bryan. He really made these special moments memorable (by default, the pictures here are already instagrammable). We particularly love the longevity buns and the giant puddings!
With the just begin, and many more celebrations to come, I believe Cassia is going to continue to be part of our memories for a long time."
Fantastic Chinese Fine Dining,Love dining at Cassia for any occasion. Definitely on the pricier end but the food is absolutely delicious. Service is impeccable as well. Their drinks are lovely and especially enjoyed their fruit teas. The setup and ambience of the place is absolutely beautiful as well. I’ve been multiple times and will continue to go!
One of the best Cinese meals ever,"I have had well over 10000 Chinese meals and this would rate in the top 10. We had the best Beijing duck followed by the garlic prawns. Both faultless. Service was excellent.
One tip, if you are walking to the restarant ask them to pick you at the bottom of the drive in their buggy. It is a steep climb"
Outstanding Asian Cuisine,"This restaurant deserves all the accolades it receives. I am not usually a big fan of Asian cuisine, but this place takes it to a whole new level. We were not sure how large the portions would be and so when we added another dish to our order the waitress stepped in and said, you should have enough with what you have already ordered, but if you need more when everything comes I will get it for you straight away, which impressed me. When the food arrived true to her word we had ordered enough.
The quality of the duck and the Wagyu beef were both excellent, and I have no doubt we will return on our next visit to Sentosa."
Excellent service at Cassia,"I dined with my partner at Cassia last week and as usual, always have an amazing time. Food was fantastic and service was on point. The Dim Sum and double boiled soup is the best! Bryan and Darren provided a warm welcome upon my partner's and my arrival. The entire Cassia team was very attentive to us and anticipated our needs. Without having to ask, our tea was always topped up; the moment we are done with our course, plates were cleared. It may seem like a simple task, but the level of attention was top notch. They made the dining experience at Cassia so seamless. Keep up the good work and special mention to Bryan and Darren! Thank you for your excellent service and hospitality!"
Good experience. Try the dim sum!,"The main dining room has Nice ambience. Good for a treat / nice meal out.

We really enjoyed the dim sum and the soup - Interesting flavours.

We had Very good service.

Do note that access to the restaurant requires you to climb and descend stairs. You may want to take note if hv elderly guests."
Spectacular,"Exquisite food served in a warm and cozy environment. Exclusive and well attended by staff who has great attention to details.

Very impressed with our server Abbie, who made excellent recommendations about their lychee oolong tea and other dishes which was refreshing and fragrant.
She is attentive and so hospitable and made the entire experience even more amazing!

Thank you! Will be back again. ❤️"
Dinner,"Special thanks to Bryan and his team(Cassia) for providing excellent service and great food during our visit for dinner. Great place for the locals and international guests. We had a party of 4 and all of my friends loved everything that Bryan help us arranged to order. Beautiful restaurant with a great food, amazing atmosphere and great services. I highly recommended Cassia at any time."
Exquisite Food and Commendable Service at Cassia,"We had a good dining experience at Cassia for our wedding anniversary on 21 March 2022. The food presentation was impressive and the service rendered by Al Maavof Bi was superb. The restaurant even surprised us with a small cake as a kind gesture to end our celebration on a positive note.

We will recommend Cassia if you are looking for a memorable dining experience on Sentosa Island."
Haute chinois,Sleek and haute Chinois styling greets you with posh open arms at Andre Fu’s well designed restaurant. Dim sum skins were so delicate they break at the probe of the chopsticks. Egg yolked soft shell crab was so flavourful and even the bland looking scallop porridge packs an explosion of flavours. Come decked in your designer garbs. This place is for the well-heeled. #eatstylishtravelstylish
