topic,review
Amazing birthday dinner!,Food was beautiful and tasty! Great service and ambiance. will definitely come back and recommend it to friends
Our favourite meal in Singapore,"We were greeted by the waiting staff and made to feel so welcomed and at ease straight away.
We were given a menu of ingredients and asked to let them know what we preferred not to eat.
Our table was near the kitchen so that we could watch the chefs preparing our food. The individual chefs came to our table to serve the food and explain what they had put together for us. Everyone was cheery and polite. So refreshing. The waiting staff were so helpful and attentive.
It was a thoroughly enjoyable experience from start to finish. Thank you."
Best dinner in a long long time,"This is a fantastic place, sadly opened only in the evening for dinner and Friday for lunch. The food is fantastic, really amazing, keen to go back asap"
One of a kind dining experience,"Visited this lovely restaurant with my partner after a friend recommended we try it. Stunning food, every single bite was perfection. Lovely wait staff and cocktails were lovely too!"
Birthday Dinner,"Had a birthday celebration with my family at this restaurant that is tucked away from the Hussle and bussle in Central Singapore (Chinatown and CBD is just nearby). An excellent place to chill out over great food and wonderful people.

Every dish presented is of top quality exquisitely crafted and cooked to perfection. Your taste buds are treated to a fanfare of flavours and textures like the world was celebrating the world cup victory in your mouth.

Highly recommended for people who loves food and who are looking for a chill place to wind down after a long day."
Great hospitality and food,Chefs table never fails to deliver. We had an exceptional time there for a birthday celebration with the new Omakase menu and wine pairing . The restaurant manager is very knowledgeable with his wine selection . Definitely will come back again . Thanks for the warm hospitality.
"Tasty food, good service","Food was nice, though you have to be a fan of fusion food to enjoy it. Great that they offered customer to try the wine even for orders by the glass.

Good service with staff giving clear explanations of dishes and non-intrusive service."
Perfection 🤗,"The food was amazing! Not just tasty, but also very beautifully presented! We will definitely come back again"
Best meal we have ever eaten!!!,This was AMAZING! Our first trip to Chef's Table. We chose the 6 course evening menu with wine pairing. Every course and every glass of wine was sumptuous and a delight to the taste-buds. We were dining with vegan friends who had a totally different menu to us but they were equally impressed. We will return again soon. It was not cheap though :-) so save it for a special occasion!
Will Be Back,"We had enjoyed chef’s dishes at an HSBC event last month, and the entire table decided to try a meal at his restaurant as well.

We opted for the $98 4 course set lunch, and the ingredients were fresh. They will ask you if you have any allergies or food preferences.

The eatery has nice vibes and decor, as well as a glassed in show kitchen, and staff were friendly and efficient, and also took pains to explain the dishes, which were well presented.

The meal was well curated, with balanced flavours and quality ingredients. Our favourite was the beef done in two ways. Dessert was nice, and we thought the weakest dish, if that might be called, was the hamachi starter - it had nice tart and citrus notes, but the fish was slightly “fishy”.

It was a good lunch, and we decided to come back to try the other set lunches."
Great night out! Food and service top notch,One of the best dining experiences we had in Singapore (and that’s saying a lot)! The food was creative and delicious. The service was spot on. While not cheap this restaurant is a true value considering the quality of their product. Will definitely come back next time in town.
Lovely time with some really delectable dishes at Chef's table.,Starting the new year with good mates and a little indulgence at @chefstable_61tras . We had starters that used Egyptian star flowers which apparently is grown all over Singapore as shared by the chef. The prawns from Argentina and cod was beautifully done. The cod literally melts in the mouth. Good recommendation of wine to go with the meal and decent pricing as well for the wines.
A Very Pleasant Experience,"It was the night before the Réveillon and I really wanted something special for my loved ones. And indeed, it WAS special. We were explained what each dish contained and every ingredient was carefully plated in a harmonious and eye catching manner. We had pleasant surprises on each plate and were advised which wine is better for the menu. Crockeries and cutleries had interesting features and were changed after every course.
All was very good, but for me the foie gras stood out.

While I enjoyed thoroughly the experience, I must admit that this might not be for everyone and not on daily basis for a number of reasons.

But for that special night of the year, be it Christmas, New Year’s Eve, a birthday, an anniversary or simply that meal comforting meal taken when you’d like to stop the clock for a while, I would highly recommend Chef’s Table.

Thank you for having us. The European me needed that respite."
Awesomely awesome,"Great atmosphere, lovely food and all things considered for Singapore, not bad value. My only question is why all the staff looked like they’d shopped at Uniqlo, wearing various combos of jeans and checked shirts. Maybe some sort of uniform - at least some consistency Like all black. But service was good…"
So so,"Food was average. Each dish was good but as an overall experience, all the dishes flavour were heavy. Expected a little more…
However, service was excellent - friendly and fun"
V Enjoyable Xmas Dinner at Chef’s Table,"My family had a wonderful dinner at Chef’s Table on Christmas night. Every dish was a beautifully plated surprise & a delightful combination of delicious flavours! Great service from the staff too which added to the warm, unpretentious & cosy atmosphere!

Chef Stephen also catered to rest of the family at home with the takeaway dinners which left them all with very satisfied tummies!

Overall, very worth it for the food quality and price performance. Will return again!"
Yummy Xmas lunch,Loved the food and how the chef come up with some unusual pairing of ingredients. Foie gras is definitely one of the best I’ve had. The burrata and soy sauce was amazing. Love the details for every dish. Absolutely worth it and will definitely come back again to try other dishes.
Anniversary dinner,"Food was great. I ordered the 8 course and my wife the 6 course. Everything was executed well, bar one or two misses. The scallop and hamachi were especially good. The food in general had great depth of flavour, was well balanced and many different textures. One feedback I had was that certain dishes I had such as the wagyu beef and iberico pork were pretty similar in delivery- both were fork tender and perfectly cooked, and finished off in a demi-glace- while delicious, was slightly repetitive on the palette since they came back to back. Another point is that the atmosphere and lighting is more casual, so might have to take that into consideration if you want some place quiet and with a nice ambience. Service was very efficient and friendly, and they even prepared an additional cake to celebrate our anniversary. Very nice touch. Overall, good dining experience!"
Utterly WOW,"First time trying a western style omakase meal and I am totally blown away by the experience. While I was looking forward to the red meats, it was actually the seafood that really stole the show for me. Every sauce was on point, elevating each course to something that was delightful and memorable. Special mention to the staff for being attentive and patiently answering all my questions. My partner and I were taken on a gastronomic journey and we look forward to coming back again. If you're tired on typical restaurant fare, take a chance with the Chef's Table and be wowed."
Awesome meal experience,"The service was very friendly and personalized! Two of my friends have quite a few eating restriction and was worried that she won’t be able to enjoy the meal but it turned out well! My friend was so happy with the 6 course meal she had! The ambiance was chill and lovely, we had a wonderful experience here!"
"One of my favourites, and it's got better","Been many months since I was able to visit, and this restaurant - always one of my favourites - has got better and better. The food is up a notch on the consistent high quality, with really interesting combinations, flavours and tastes. The wine pairing is always exceptional here. I gfo with high expectations, because I've always had great experiences here, and on this occasion, those expectations were exceeded."
To Die For Dining Experience,"The whole experience was to die for.
Food was impeccable.
Service was top notch...everyone was so attentive.
Love the decor - it was so intimate it felt like I was having a private dining experience at a friend's house."
Delicious food,"We went for a birthday dinner. The concept of this restaurant is a western Omakase and you just tell them the ingredients you don’t like and they come up with a meal for you. We went for the 8 course and every single course was beautifully plated, well balanced and very delicious. The staff are warm and unpretentious. We are looking forward to our next visit!"
Amazing Dining Experience,"Amazing atmosphere, service and most importantly; innovative and delicious food at a reasonable price point. Will be back again for sure."
Michelin Dining Experience,"Not the first, neither will it be the last visit...
Always great to be back here at Chef's Table! It's the #1 selection for friends after their 1st visit there!
Michelin-star Food from Chef & team and Personalized Service for returning customers from Manoj & team.."
"Amazing Food, and Great Dining Experience","Celebrated wedding anniversary, and what a great choice of restaurant. Opted for the 6 courses, and the food was amazing, portions were great too! superb value for money for this experience!

looking forward to dining here again soon!"
Amazing Restaurant for Dates and Special Occasions,"Went for my boyfriend's birthday and food was amazing!
Had the 6 course dinner and the passion for gastronomy delight is reflected in every course. Service was great too, love the interaction and attention.
Would definitely be back for more!
Please try it at least once, you won't regret it!"
Amazing Food Awesome Service Great Dinning Experience,"We went there to celebrate my husband’s birthday. It was our first time there and we are in love with the place. Beautiful and delicious dishes cooked with fresh ingredients. Service was exceptional, very warm and friendly staff. Will highly recommend this place for celebrations and dinner to make memories. Thank you gram Chef’s Table!"
