topic,review
Chicken up review,"The chicken up website stated that there were buffet ($25) meal but upon arriving, the manager told us that it was discontinued.

I went along with the ala carte because we and my girlfriend had already travelled all the way down.

The attitude from the manager was extreme my bad when I mentioned that I was going to use chope vouchers.
They talked to me with a pair of judgey eyes.

In addition, the unacceptable part was that my soy fried chicken bucket set was actually UNCOOKED.
There was red blood in it when I was eating it halfway."
The food was nice... love. it..,"Love. the food, portion was good enough, a little pricy to me, but guess its worth it. Too bad the Bingsu is not available. Staff are very friend too. But I think they are under staffs, so need a little patient esp during peak hours."
"Very good service by staff, but poor food quality, atmosphere and the pricing wasn't great.","Oil was stale or overused, hence the chicken, which had a good taste and was well marinated, was ruined. The atmosphere is not impressive. However, the staff was very helpful and friendly, especially the restaurant manager."
"Amazing Food, Confusing T&Cs","We booked a 7pm-slot for Chicken Up and wanted to redeem a 5.30pm - 7.30pm voucher at 7pm, when we arrived. The manager told us we weren't allowed to because we were supposed to dine from 5.30pm and that they will be lenient with us and let us use the voucher. However, I emailed chope and they said we could just use it anytime within the stated hours. We had to rush through our meal, and felt bad throughout the meal for having messed up the T&Cs when we were actually right. Please clarify with Chope before approaching a restaurant. Things can get messy."
Big and tasty chicken wings,"Chicken wing buffet is really good and worth it. But servers might be a bit lost, only the senior ones are more familiar with the menu."
Cozy place for me time,"I have always been visiting this place during my me-time, not only because I like their menu, but because they still try to accommodate me even if I have no reservation. But since I already have Chope, it's easier to make a reservation."
Army stew is a scam,Do not ever order army stew there. Costs 25$ for ingredients that maybe only worth 5$. Portion is so little even the noodle is break into half. Extremely disappointing. Chicken wing was good though so order that instead.
Forced to Finish Meal. Very Dissatisfied!!,"I had just recovered from an operation and I figured I'd celebrate by going to Chicken Up. We made our Chope voucher purchase and headed to the restaurant with my bandage and neck brace still fully intact. I got excited and over ordered although my appetite hasn't fully recovered. When we decided to have the left overs wrapped up and taken away, we were told by the staff that it wasn't possible due to the fact that we were using the Chope vouchers. I pleaded my case with the staff but they were not entertaining and stood their ground. I had checked the T&C's of the voucher and nothing was mentioned on taking left overs back and if this was the case, it ought to be explicitly covered. I did not want to waste food because it was unethical, therefore we sat out over a longer duration and chipped away at the leftovers undesirably. I would never return to this restaurant after this experience"
Best Korean chicken outside of Seoul!,We have been here a few times now and the chicken is so good...amazing! So crispy and so flavorful it’s just unbelievable. If you like spicy they have it and if you want to kick it up a notch (or down) just let the waiter know and they will adjust. Love this place!
Staffs are helpful and good service,"The bulgogi fries were tasty with some beef inside. However the chicken we had is a little dry cause got chicken breast. Should have ordered with some sauces. But we ordered this cause the staff recommend its the most popular and crispy. The cheese corn is sweet, had us feeling rather super full. For 2 pax is really filling like the others mention big portions."
Chicken Ups and Downs,"Came here last weekend with a group of friends. We were put upstairs and by the corner near the window. Before we talk food, I have to talk ambience. The air con was lacking and 2 of the ceiling light bulbs aren't working anymore! (Makes it hard to read the menu at night)

Food wise - the army stew is a bit small compared to other army stews in the area but everything else was quite good. I just wish they improve on the ambience and speed of service."
Best Korean fried chicken in Singapore.,This is the best place for Korean fried chicken if u are looking for Korean fried chicken. We will back again.
Casual dinner,"We were the only table that ordered the watermelon saka, where as all other tables on the non aircon side ordered the pineapple. The watermelon option is not strong in alcohol content.

Pancake is yummy. Chicken is acceptable doe not my preference but seafood pot is not great."
Good food,The food was served very fast. The water melon soju can be better. Waiters are frenly and attentive. Good place to hang out
it was ok,"the quality of the chicken has dropped since my last visit, and there is a male server that was a bit rude."
good customer service,"enjoyed the food, and really good customer service. had a nice table, will definitely go again, thanks chicken up"
One of the better ones,"Tried a few fried chicken joints locally and Chicken Up has an authentic taste, very close to what you can get in Korea. Service is swift and the soya sauce chicken is especially tasty. Comfort food."
Fried in the tradition of Korea,"Probably better than some of the fried wings we had in Korea! Other than the wings which come in 3 different sauce, recommend to try the fried onion, fried gizzard (if you dare) and truffle fries. Will definitely be back."
Read if you are the traveler who loving in K-foods,"I’d like share with my experience dining in here yesterday. Especially if you are traveling in Singapore to check with K-foods, please go somewhere taking care of your appetite. We are two who have ordered pineapple soju at S$30 in promotion coming with fried rotus roots free side. Soju cocktail was served with fancy decorated in the real pineapple on dry iced, but the pineapple soju was having weird bitter at the last taste. It was not normal soju cocktail you are expected. Because straight soju is having very bitter taste originally. That’s why K people made it cocktail drinking better. I had tried two sips of the cocktail and stopped of it. My wife did it too. And I ordered two spicy fried chicken with rice ball on side. Rice ball came on the table first, I smelled sour taste from the rice ball, so I thought it was cook with rice and other ingredients by rice vinegar. Told my wife. We ate one and realized the steamd rice was gone. I told a server check the rice ball. The manager apologized with the situation immediately, and he was serving a new rice ball with new steamed rice-probably- that was okay without any sour taste, but the manager did not admit the rice ball was gone. I couldn’t continue to eat anymore all meals while new rice ball was served. Total bill was around S$80 with Soju cocktail, 2 different fried(each 4pcs) chickens and rice ball. If you are Singapore residents, then it’s up to you taking your own risk losing your appetite. However if you are travelers who are missing K-food vibes, this is definitely not your place dining in expected good quality of K style fried chicken as the price range."
Ok but not fantastic,"Their food wasn’t overly nice, they were generally too sweet, which makes you sick of the food rather quickly.

We tried their fried chicken (Yangnyum), Japchae, Chicken with rice cake and Seafood Pancake.

I do like their Fried Chicken, crispy on the skin and tender on the meat. Seafood pancake was the only dish that gave us a tad saltiness to our overall meal.

But it’s still a good place to check out especially you’re looking for places that opens till late at night, because they’re opened till 3am at night."
Free food with patience,"We waited more than 30 minutes for food due to a “printer error” in the kitchen, around 1130pm. We asked after our order a few times when tables that came in after were being served. To compensate, we got a FREE appetizer (pictures below) called “onion bomb” which was awesome, with truffle whipped cream (not mentioned on the menu, except for “yummy sauces”). I could not stop eating this spicy, amazing thing & it certainly made up for all the wait. Also, chicken wings were tasty in the end."
1st time here,"Everything is perfect! Servicing, foods and how the staff explained the promotion they have on that day."
Unworthy,"Bought voucher from Chope in the end cannot be used on promotion. Not worth to buy voucher from Chope coz in house promotion better and save more than you actually bought the voucher from Chope to use only on ala carte food & drinks. Also troublesome to use Chope Voucher, staff still not familiar , took my phone away for few mins juz to solve on using Chope Voucher. I have to go to the cashier to find out wat happen to my phone. As u see phone nowadays is our top privacy ans sensitive thing, they should advise us follow them to cashier instead took my phone away."
good food,"Was OK. Decent chicken. I ordered the deep fried whole chicken. I had this one year ago and was totally blown away by the seasoning, spices, kick. Today, it was simply just OK tasting fried chicken."
Really rigid system which totally ruined our mood,"4 of us went to Chicken up at Tanjong Pagar to celebrate a birthday. As my friend had the Entertainer app, we used one of the promotions in the app - 1 for 1 mega chicken. After finishing our food, we wanted to order some beer to eat with the cake that we brought. As they had a promo for their Suicide tower $38++, we decided to order that. However, one of the staff (let's call him Staff A) came over to tell us that we are not allowed to order this promo as we had already used the promo on the entertainer app. I felt strange because the two promotions are not linked, and there shouldn't be any problem to use these 2 promotions together. Staff A said that the system does not allow them to key 2 promos in one receipt. We understand that and told him to settle our bill first, then open another bill for the beer. He refused. We even told him, what if we walk out and come back in, are you going to turn us away? He said even then they won't allow us to buy the beer. So we decided to go to the bar next door to drink - Dont Tell Mama, which is also owned by them. My friend wasn't sure where the bar was so she asked one of the Chicken Up staff. Instead of giving us an answer, she told my friend ""oh wait ah!"" and just ran back inside the shop to do her stuff n never come back. Apparently, one staff in the shop told us that Staff A has informed all the Chicken Up staff not to let us buy the beer. This whole experience totally ruined our celebration and our mood.I understand you cannot combine promotions. I don't think this is unreasonable. It's not like I'm using discount vouchers to pay for discounted beer. The 1for1 chicken promo on the entertainer app has nothing to do with the beer discount you are offering. What do you mean you cannot key 2 promos on one receipt? If you shop has 1for1 beer at happy hour, and I come in a group of 20 pax, does that mean I'm only allowed to order 1for1 once?? If I had to order 20 beers, isn't that ten promos in one receipt? Or is that not allowed too? We even wanted to walk out and come back in, but they just turned us away. Is this how you do business? You rather let other business earn our money. And what's with the weird staff who just ran away without answering us?I went to Buangkok outlet previously and I purchased Fave vouchers ($50 value voucher for $30). I also order 1for1 beer promo. I used the voucher for food and paid for the beer separately. There was no issue. Tanjong pagar outlet so rigid and ridiculous."
No need to upsize your 7-Up at Chicken Up,"Not refined, but very satisfying. Portions are generous, especially for the ‘mega’ dishes. The UFO platters easily feed 3 people, even starving teenage boys. The watermelon soju drinks come in half a large fruit, for all to dip their straws in. Chicken wings are yummy; the spicy yangnyum ones are extraordinarily messy, but you are given plastic gloves so it’s ok. The lotus fries are very pretty. Friendly, helpful service. Place to go to with a big group of youngsters in a party mood."
UFO time with friends !,"Tried their UFO due to buy 1 get 1 promo! We ordered the squid and spicy chicken.

Squid tastes good however I find the chicken doesn't taste like Korean at all, more like chicken curry!
Both UFO have cheese, rice, egg and corn on the side."
Tasty Korean chicken,"We were there on a Friday night and the place (2-storeys shophouse) was packed. We did not have to wait long (5mins or less) as we were brought upstairs. Here was quieter and brighter.

We ordered half chicken (4pcs of chicken) too much for us adult though. We were given gloves prior to eating. The sauce was tasty as we ordered the non-spicy version, and crispy eaten fresh.

I like my chocolate latte drink which was not overly strong to make me worry that I will be unable to sleep at night due to caffeine.

Jabchae although with some glass noodles inside was not eaten much by the kid as too much veggie.

There were complimentary water.

The whole meal was mid-price.

This brand good to try."
Yum,"We only had the fried chicken wings in soy sauce and the seafood pancake but both were amazing! Soy chicken wings sounds simple but the sauce had a fragrant, semi sweet drizzle that really elevated the wings. The seafood pancake was probably the best I've ever had- crispy on the outside, soft and fluffy on the inside. And chockful of seafood. Very satisfying."
Great time with chicken and hite!,"Always a good time with family, thanks chicken up for the yummiest soy chicken and cold refreshing hite!"
Belly Up,"I ordered a half chicken- Spicy Yangnyum Up & 4hrs later, I was having diarrhoea, fever, vomiting for 2 days.. doctor believes it's food poisoning from the undercook chicken from the bigger chunks of meat. I'll think twice before ordering a half chicken."
Good food.,Very nice chicken wing. Very nice army stew. Very nice ambience. Very nice staff. I will definitely come back again very very soon
