topic,review
Above Average Chicken Rice,"Arrived around 6:40pm, the restaurant is already full. Managed to get a seat after waiting for 15 minutes. I ordered the steamed chicken and bitter gourd soup. The chicken is juicy and succulent, however the rice still have room for improvement. Overall it is an above average standard for the food and average for the environment!"
Tasty Chcken Rice At Reasonable Prices,"I had not been back here to dine for many years, so was happy that my sister and her husband suggested lunch here. It can get crowded at main meal times. Technically, they open at 11am, but are open earlier for coffee or tea etc.

The roast and steamed chicken rice are still tasty, and good value at @$5. We also ordered prawn paste chicken, pork chop and the Hainanese signature vegetables. The prawn paste chicken was okay. We wished the pork chop was crispier - it was pretty obvious these were pre fried, and the potato and peas were also tad cold, as was the sauce. The vegetables were like the nonya chap chye, but with a stronger taste of dried shrimp.

Prices were reasonable, and a meal for four came to $60."
Rude staff.,"Was yelled at by one of the staff, asking me to get out when I was actually instructed by another staff to get seated."
Good food but spoiled by terrible service,"Been patronizing their stall for a long time during lunch hours due to their good chicken rice, but their service has deteriorated to non-existent.
The lady serving our table was very impatient, to the extent that we were chased out the moment we finished eating. Our group had varied eating speed, so the lady was already eyeing our table for a while when some of us were done. The exact moment our last friend finished, the lady came over to tell us not to occupy the table with the most unfriendly look.
Asking where to make payment was also apparently a wrong question to ask as the angry lady replied, ""Can't you see the sign?""
Well, I understand that it's the lunch crowd but that attitude isn't something I'd give to a stranger, much less a customer.
Also, it's near impossible to hear much there due to ambience noise so it's not a place for chit-chat.
I'm there for lunch and not to be a punching bag so I don't foresee myself going back again regardless of the food."
The best Hainanese chicken rice in Singapore,"I have always visited this restaurant in town when I visit the National Library which is near Purvis St. This old Chinese restaurant serves the best. sambal kangkong, pork chop, Hainanese chicken rice and aromatic aloe vera drinks. The quality is good and the price is reasonable. The waiting time is about 10 min during the peak hours and this place is good for lunch and dinner. Located just about 100m from Raffles Hotel this restaurant attracts locals and tourists from far and near. When my friends from overseas visit me I would bring them to this restaurant because the best chicken rice is found here."
Good homey food at reasonable price,"Went for lunch at Chin Chin after a long time - partly due to the reduce social interaction measures during this covid19 period. Food was as good as before. We have good appetites, so the 5 of us shared 1 entire chicken, fried prawns, pork ribs with bittergourd, fish slice with black bean sauce, hotplate beancurd, hainan mix vegetables, and prawn roll — all for a very decent price of just about S$100! Definitely a safe place to go to for lunch or dinner - it is not michelin star fine dining. But you will not be disappointed by the home-style food."
Quick Lunchtime visit,"Popped in after Purvis Street being recommended for some good restaurants. Cafe style, rapid service. Wasnt hugely hungry so arder a $5 bowl of noodles in soup with greens, mean and prawn, I forget the dishes name but it was one of the cheapest things on the menu. a drop of ginger paste from the condiments on the table and a bit of soy sauce worked well.

Finished the lot. $6 inc a bottle of mineral water. Delicious and just what I needed."
Chicken rice & soya beans,"Another tasty lunch at Chin Chin. Opted again for simplicity with just the chicken rice and the soya beans. Crowded and very busy as usual, but still the service manages to be efficient. Hopefully one day they will take payment forms other than just cash."
Moist and Tender Chicken,"The chicken here is absolutely delusions! It's so moist and juicy. If you want to try Hainanese Chicken Rice, this is the place to come!"
I always take visitors to Chin Chin,"Chicken Rice is a dish that many a few regions in China claim to have created this dish. Within Singapore, many restaurants claim to have the “Best” chicken Rice. While I have not eaten at every restaurant that serves chicken rice to know which deserves the bragging rights, there is one place that I have gone back again and again for its authentic and honest cooking: Chin Chin. Located on Purvis Street, this restaurant has been serving this famous dish since the 1930s. Stepping into this place transport you back to have it must have been when it opened. For starters, there is no air conditioning, just old fashion ceiling fans. Your order is taken by an “Auntie or Uncle” the old fashion way, on a piece of paper. When you pay your bill, there is no cash register, but slips of paper held by a clothespin marked with the number of the table. When you enter, your eyes are greeted with a dozen steamed and roasted chickens tempting you to select either. At around 11:00 am the restaurant is filled with local patrons of multi-generational families, gathering as if this was an extension of their home. If you want to experience a no-nonsense honest home-style chicken rice, come here. And whatever diet you may have do not pass on the chicken rice. There is some food worth getting fat on; this rice is one of them."
No frills eating house but tasty food,We had Hananese chicken rice & fried  beans. Casual place no frills where locals went and food was very tasty. Service was quick. Recommended by Intercontinental hotel staff. We enjoyed this place much more than the expensive Empress restaurant.
Classic delicious Chinese food..,"Classic delicious Chinese food.. Everything is fresh, tasty, fast and exactly as it should be to the point of being comfort food. You really can't go wrong choosing anything on the menu from the chicken rice to fried noodles to Chinese broccoli.."
Hainanese chicken rice and pork chop,"Really great tze char food. We tried the Hainanese chicken rice, hainanese pork chop and sweet potato leaves, and I'd recommend all of them! We paid around $22 for 2 pax - and it was very filling."
Excellent Chicken rice,"Perfect chicken rice Singapore style, fresh and tender chicken with local sauces, available steamed or roasted."
Great authentic food,"We were recommended to try this place by our grab driver as the best Hainanese Chicken and rice in the city. It was delicious.

The place was packed with locals always a great sign. This appears to be a real family business with everyone from the younger to the older generation helping out.

The lady who seated us was very helpful with the menu and we ordered a mutton clay pot, half Hainanese Chicken and oily rice, bok choy and beers and lime juice. All three of us really enjoyed it.

The food was tasty and fresh and our waitress even came and mixed up a dipping sauce from the pots on the table for us to try how she liked to eat it.

Our driver was right we had tried Hainanese Chicken at one of the hawkers but this was wonderfully delicious and so much better. It was juicy and flavoursome and so good. The entire meal for three was under S$45 and so worth it.

Even though english was limited, the staff were very friendly and welcoming and did all they could to make us feel at home. Such a great place to eat."
Delicious hainanese chicken,"Chicken rice is aplenty in Singapore. If you want good roast chicken and you are in the vicinity, try Chin Chin. $14 for half a chicken. Throw in some dishes and you can have a good meal for less than $50 for 5 persons.

I had half a chicken, a big plate of seafood fried rice, seafood hor fun and salted vegetable soup for $37, for five persons. Good find within the city."
Great value tasty food,Arrived from Perth and weary but this reataurant was near our hotel and was a great find. Kong Po chicken was wonderful and Singapore fried bee hoon noodles fantastic.
Back for more,"Another decent chicken rice and bean sprouts experience here recently. Very crowded at lunchtime, but fast service and good quality food. Worth revisiting."
Good choice for chicken rice,I've been back here twice in the last few months for chicken rice and bean sprouts. Both times the food was tasty and inexpensive. Probably explains why this place is always so crowded. On one of the visits I took along an international guest for an authentic local experience - he was also quite pleased. Worth another visit.
