topic,review
Smelly but great variety of food!,"5 for experience. 2 for smell. 2 for cleanliness. 5 for food experience if the fish smell doesn’t overwhelm you from the basement. 2 if it is hot and the smell from the wet market from the basement get up to the second floor food stalls. Dirty stair case as there were many cigarette butts. Tables not cleaned well. Lack of hand washing facilities except at the bathrooms which is hard to find. You definitely have to go here to find the rarer asian sweet treats. The Malasian Masi Lemak is delicious and cheap at $3 a plate, compared to $20 at a sitdown white cloth restaurant. Take for granted that the $20 portion included leg and thigh, and the $3 portion just a wing! But the essential taste is there! That is what I love about street market or little stalls - getting a mouthful of flavors for 1/5 of restaurant price! If you want fresh vegetables and fruits, you have to go to the basement where they also sell fresh meat and fish. Explaining why it is wet and smelly!"
"A complex with huge varieties of many good hawker food, an interesting wet market & many affordable products....worth a visit!","Chinatown complex comprises 3 floors. An interesting wet market at basement ( worth a visit), lots of small shops on ground floor & the biggest hawker centre in Singapore on the 2nd floor. Lots & lots of different & delicious types of local & asian food are found here. Avoid coming at lunch time as the place is usually fully packed with long queues for the popular food & no empty tables. Also avoid coming on Mondays as many stalls ( including the market ) are closed ( rest day ). If not sure what is good, just go to those stalls with the long queues."
Insane maze,This is place is an insane maze of food clothes and all sorts of stuff I can’t explain but its good to have a wonder round and have a look
Contains a good hawker centre,"We visited this complex for the good hawker centre which is busy and popular with locals.

We ate at Hawker Chan which was great and we also had some pineapple fried rice from the Thai store and servings were large. Prices are very good.

It did notice many clothing stores on the ground floor."
The daddy of all hawkers!,"Best selection, best atmosphere, best location…it’s great here. Be prepared to join a queue for the best stalls but I can pretty much guarantee you’ll enjoy what you do order. Since I first came here 11 years ago, a few new craft beer stalls have even opened too, which is a good development to widen the appeal I think. Today I had the best char kway teow I have ever had, anywhere, yum!"
Where most street food in singapore can be found,"This is where most of the street food in singapore comes together in one location. There are many famous local stalls here as well. Though crowded most of the time, this is where originally the food culture in singapore started, at small street stalls and food centers.

Can get hot and humid at times but this is also what makes it nostalgic. You can find your usual street food like chicken rice, Cha kway teow, satay, etc here and many stalls sell good old school coffee. Some of these stalls were here since day one and thus, in itself packed historical value and culture."
Zi char stall,"This is the first time we came here after covid suitation tends to relax more in Singapore. Definitely more ppl. We ate 123 zi char stall with 3 dishes: deep fried prawn paste chicken, salted pork ribs n chilli kang kong. All for 2 pax @ $30. Taste not bad. The lady who takes order is rude."
One of the BEST place for local food!,There are practically NO Ch!na d!$gu$t!ng food. Almost ALL local delicacies at low and affordable price. I'm a Singaporean and frequently visit this place for food. Recommended to visit!
Choke full of traditional food,Love this place as one can find lots of traditional food and some snacks here. It’s usually crowded during lunch time so come before or after.
28 Jan 21 (Thurs),"This is the first time, after Covid started in March last year, we came back here for dinner. Our main purpose is to buy ""lian gao"" & chinese sausage for CNY. We also ate the zhi char for $38 for two. Streets are very much quieter than last year. Much lesser people around 530pm.... Government does not allow the street stalls to open this year. Hence, lesser crowds...

Things"
