topic,review
Juicy garlic soy wings and berry soda! (Recommended!),"Tried the garlic soy wings and paired it with some fries and berry soda and it was really good! The wings were coated with the right amount of sauce and the berry soda was sweet enough without being overbearing :)) the fries were also pretty generous, will definitely drop by again!"
Tasty fried chicken,"There is no place for self control at a place like this.
Sour cream and onion was my main and it was every bit as tasty as the picture looked. Skin was crispy, sauce was generous and I want another one.
For dessert I had the honey butter chicken. Do not doubt the warning that it is sweet and addictive. I'm probably gonna order this every time I come here.
Also had a garlicky chicken, which was 10/10, exactly what it says on the tin. You can't go wrong with garlic.
They even have pretty drinks. We shared a blue toktok, non alcoholic because my friend is weak, but it was refreshing and sweet so no regrets."
My go to Korean fried chicken place in town (and in Jurong too!),We ordered 2 kinds of chicken. The Khan Pung King came with tteokbokki and sweet potatoes. It was flavourful without being too jelak at the end. The soy garlic chicken is a safe option and was decent for its price.
Wonderfully fried chicken with incredible variety,"Ordered Kkan Pung King and Garlicky Soy Chicken, and despite being on the pricier side, the fried chicken certainly has a sizeable portion and tastes incredible. The meat is deliciously tender and juicy, while the skin is crispy enough to be easily separated from the meat.
Kkan Pung King comes with plenty of sweet-and-spicy sauce, which may not be spicy enough for the Singaporean palate, but still pairs well with the chicken tenders and rice cakes.
The Garlicky Soy Chicken is a simple and tasty option for those who wants less sauce, and more of the chicken, in their meal. The photo shows the portion size of ""Whole""."
Amazing variety of Korean food,"Upon arriving at the restaurant, I was amazed by the variety of food they serve. There were so many unique fried chicken flavours and there were also other mains for people who isn't a fan of chicken. Chir Chir is definitely a reliable brand if you're looking to satisfy your Korean food cravings. Great and efficient service as call, highly recommended!"
Superb korean fried chicken :),"One of my favourite Korean fried chicken places in sg! Went for less conventional flavours this time round (curry and sour cream & onion) and they did not disappoint! The cheese topokki is also a must-order, leave some cheese sauce to dip your chicken in"
delicious fried chicken with shakes!,"had a very good dinner experience at chir chir! the spicy fried chicken was mouth watering, had just the right amount of spice. very comforting and satisfying. tobokki was also delicious, and the pineapple shake helped to balance out all the spice with a refreshing sweetness. 10/10!"
Wonderful Experience!,"Looking for a step up from your regular fast food store? Chir Chir delivers with well seasoned, delectable Korean fried chickens! Was pleasantly surprised by this Cheesy Fondue Chicken, which was a good mix of sweet and savory. Highly recommend! 😋"
Cheesy Fondue Chicken - a must have,"We tried the Cheesy Fondue Chicken, and the Soy Jjimdak - both were hearty and yummy! Truly the best of both worlds , the cheesy fondue chicken was savoury while the soy jjimdak was sweet! I loved the cheesy fondue chicken, a must get for me!

Service was impeccable as well - overall a very positive experience :)"
Flavorful Korean Chicken,"We ordered the Garlicky Soy Chicken which was very flavorful and had generous portions. The Chir Chir Mi Chir was surprisingly not as ""jelak"" as I thought it would be and thus, enjoyable! However, i'm someone who likes stronger flavors and felt like the cheese could use a bit more salt. Overall, it was a satisfying meal!"
