topic,review
Food and service was good!,"The reviews are correct. The food was tasty and the service was efficient. Coffee was good as well. The cafe was cozy and family friendly. The only negative thing is there are no toilets inside the premises. Over-all, we had a great brunch after our hike in Pulau Ubin."
Really good portobello Benedict.,Really good portobello Benedict. Good bread but with mushrooms. Nice lunch before trip to Palau Ubin
Great time,Pasta was delicious and I like coffee 3D is very cute. Excellent service staff very friendly. We will come back again!!! ;)
Cute 3D Latte Art,"Came here cos we're around Changi area, hanging around before heading to Pulau Ubin. You've got to mention to the staff that you'd like a 3D foam art (if not they'd assume you won't) and it's applicable only to ice lattes. Rather pricey for the drink but you've got to give it for the barrista's craftsmanship. Hot latte also came in a flat 2D cute design. There's free Wi-Fi available too. Overall, a good cafe experience."
Really good meal,Looking at the row of restaurants/cafes in Changi village we were spoilt for choice. However we came across Chock Full of Beans and thought we would give it a try. Staff were very friendly and helpful. The food was really good and tasty. We finished with a lovely cup of coffee. Would return.
This cafe was just a couple,This cafe was just a couple of minutes walk from our hotel and what a find! We went for a coffee but having watched some people eating lunch we decided to go back for dinner. We were not disappointed. We had two courses plus wine for $89. The food was simple but well cooked and very good. The service was friendly and quick. If you are in Changi Village it is worth a visit.
Nice coffee,Stop over at this cafe if you are in Changi area. We went there on the way to Pulau ubin. The food is very good and the environment is relaxing. Loved it
Nice little cafe,"We wanted a good cup of coffee with an early snack for lunch and that’s what we received. Very good coffee and the bacon and mango on Turkish was delicious. Friendly, efficient service and a pleasant location. Definitely worth visiting!"
Most famous cafe in this small beach town,"Small cafe with maybe about 10 tables both inside and out. Famous for its 3D foam art with numerous cut characters floating on your coffee. Be prepared to wait quite a while (~20 minutes) for a table, and your coffee especially during weekends. Free flow of iced water to help tolerate the hot Singaporean weather. Food at this really small cafe was surprisingly good - especially the hearty breakfast sets with juicy sausages or the always-satisfying rosti. Breads were good and fresh too, probably because they also run the bakery nearby at the adjoining block. Wanted a non-caffeinated option but a little underwhelmed with their rather forgettable S$8 bottled Chai Latte. Coffees with the cute 3D art it is, next time."
Cosy cafe with cute 3D art coffee,"Whenever visiting Changi Village, be it a weekend staycation at Village Hotel Changi or deliberate trips made, we will definitely spend our lazy afternoon chilling out at this little cosy cafe, enjoying nice coffee with cute 3D art and delicious cheesecakes. Feel very relaxed under the cafe’s laid back ambience. Would definitely visit again."
Small and creative coffee,"This place is in a sleepy beach town and has some the best cappuccino I've tasted anywhere in the world. The place might have 7 tables and offers a light menu that looked good but I was just there for the coffee. I went because other reviews had mentioned a 3-D cappuccino. It turns out that this is only available with flavored coffee, so I settled for a regular black cappuccino. What a surprise! It came out with a drawing of a bear face on the top in 3 colors. It made me smile, all the way through my jet lag. Great coffee, soft music, I read there for an hour and ordered a second cappuccino that came out with a cat face on top. Nice people, easy to get to from the beach or main drag."
Not a pet friendly cafe,Claim to be a pet friendly cafe but isn’t. If you do not welcome pets then please put a sign instead of having owner make their orders before telling us that no pets allowed!!!
great coffee,having spent 8 weeks in europe what a delight to have two cups of Australian flat white made very well.
Great customer service,"Had late lunch there on a Monday.

Although it was past the usual lunch hour the place was having a good crowd with most indoor tables occupied and numerous outdoor tables filled.

Service staff managed to get us a table pretty fast. Set lunch menu was extensive and reasonable. We ordered from the set lunch menu and also from the a la carte as well. Portions were generous and food served was very fresh. Saw many patrons enjoying their beverages which come with impressive latte art.

Staffs were hardworking and attentive with very positive attitude and hospitality. They know the menu well and were able to make good recommendations. Midway through our meal, one of them offered us another spoon without us asking when he saw us trying to share a bowl of the carrot soup.

This may be a small joint in a quiet part of Changi Village but it scores big on delighting the customers."
