topic,review
"Ratings of food, services etc","The overall service was excellent, staff was very helpful and food quality is exceptionally superb. Will definitely recommend friends to go there for meals especially for special occasion."
Family Dinner at Chui Huay Lim Teochew Cuisine,"The food menu is comprehensive, and the food are of course fresh and yummy.

But there is a slight roam for improvement for example we order a fish which is about 700g as informed by the waiter then when we order lobester he recommend about 1.2 kg which I think in my opinion for a family of 4 is overkill.

The waiter can consider recommending a balance of both for example if you want a large portion of fish then you have a smaller portion of lobester or vice versa and let the customer to decide

But overall is a good dining experience for me and my family

Thank you"
PRICE IS ON A HIGER SIDE,"The restaurant is clean. However, we were 'shock' to find out the kailan we ordered was SGD32? Overall the menu price is on the higher side."
Great Teochew Food,"Did not realize that menu has been changed, last time I went (before covid), crabs were available, now have to pre-order. Which was a bummer as it was my birthday celebration and I really wanted to eat crabs. So left feeling unsatisfied. Food was ok, decent enough, but still wanted the crabs."
Dishes sold out by second seating,"I was with my family for their second seating at 7.45pm. We wanted to order their cold crab and goose web, but they were all sold out. We were so disappointed and the explanation we received was because we are at the second seating hence the items are sold out. How is that explanation valid when all these are classic dishes when you go to a Teochew restaurant? Food was mediocre, nothing came out that made us wow. Lastly, as this was a birthday occasion celebration, I have asked to place my cake in the fridge, but it seems that it was not done so as the cake did not have any condensation after we asked to take home to eat as we were full after the meal."
Food review,"Overrated restaurant with small portions , not worth value. Environment is not comfortable and food is disappointing"
Service below expectation,"This is supposed to be one of the best Teochew food restaurants in Singapore but sadly, the service is below par. IN the first place, there were 4 of us but the amount of food that was ordered was way too much. We had to pack 2 dishes home. The captain should have alerted us that we could have ordered too much as being too full makes the food less enjoyable. With the cold crab signature dish, the only way to eat this with with hands. Previously, bowls of water with lemon would be provided to wash the hands before drying with the towel. Apparently, this practice has ceased. Finally, when asked for a small plate for chilli sauce, the waiter asked one of the guests to use the cradle of the spoon for it. It is time for the management to wake up and spruce up on the service!"
Good Food,Friendly service staff especially Yan Han. However place is a little crowded. Food is served piping hot
Good as usual,"Food was good & very authentic. Service was great. Love it that there was tea before & after meal. Tea cup was unique & pretty. Made the customer felt important which is true for service industry. Since I am at it, could Jpot be brought back? Miss it so so much."
Superb Teochew cuisine,Tasty authentic Teochew food not always come by....Chui Huay Lim certainly shines in Teochew cuisine and the best I had with my family.....very delicious and a satisfying one...so glad to find it....and the good customer service certainly adds to the wonderful experience.
