topic,review
Put Ciao on your list when visiting Arab Street!,"Singapore is choc full of great dining options literally everywhere. We found Ciao to stand out in this very cool area. Physically on Haji, just off Arab, Ciao sits in the middle of a busy side-street offering up great Italian dishes and wines as well. I had an awesome Fettuccini, my wife a Sea-bass as we split a wonderful light Chianti Classico while we enjoyed watching the endless flow of people and live music on this colorful street. Perfect dinner, vibe and weather to sit outside. Enjoy it!"
Such a great wee place.,"Such a great wee place. Great atmosphere and even better food. We had bruschetta, seafood and pizza and it was all lovely. Amazing flavours."
High rating but failed expectations,"A heavily msg infused dinner, pasta not al dente and tiramisu is too soft mainly cream. Air con is not working, overall a disappointing dinner"
Terrific Italian !,Visited this place with my friend and I was pleasantly surprised by the authentic Italian food here. We tried the Salami Pizza and it was fantastic ! The Sughe D Magre pasta was amazing. I later on learnt that three different kinds of fish went into it and I could not have guessed at all and it could have passed of as a vegetarian dish. The decor is from the 60s but in a funky kinda way. The owner and chef Domenica Cicconi is a wonderful host and a terrific cook. He knows his food and he made me feel at home instantly ! Double thumbs up ! Highly recommended !!!
Great authentic Italian,"We went as a family to celebrate birthday. Food was great, portions are big, and owner was very friendly."
We loved it!,"We had an amazing lunch, super warm service from the owner good food, teasty, fresh and the very best Tiramisu desert we had in Singapore. 100% success"
“Colours” to anyone’s mouth.,"Regardless if you’re a tourist or a local; you shouldn’t miss Ciao Ristorante. The owner of the restaurant (Domenico) always plate up a galore of mouth watering Italian food. It’s a hidden treasure in Haji Lane; in the midst of Muslim heritage and Middle Eastern ornaments.

If you say “Ciao” to Domenico and ask him to dish out what his mum cooking today, you’ll be in for a pleasant surprise, cos it’s usually something that it’s not in the menu and it’s 100% home cooked food.

You will never regret it and you’ll definitely visit him again."
Ravioli a,"I had the Ciao@ Pizza, and my friend had the Ravioli di Ricotta. I was surprised by how good my pizza was. It was high quality with a few surprising tastes. My friend was super surprised by the ravioli. She constantly told me how authentic it tasted as she had spent 2 years in Italy as a child through a foreign exchange program. She said it tasted exactly like her Italian grandma made. She guaranteed me that it was legit so we had to make sure. The Chef is Italian. The Sous-chef was eastern-Asian, the daughter of the chef was our waitress. The other waitresses were from Singapore."
Feels like Italy,"Very good. Food was very good and fast serving. Almost feels like being in Italy, specially with the location and the atmosphere"
Not very impressed,"Had a craving for octopus and went down specifically for it. Unfortunately, some parts in the middle of my dish were still cold, and while the texture of the octopus was tender the taste was quite bland. Pizza was very so-so, and the glass of water that they served me had someone else's lipstick remains on it. Won't be returning."
