topic,review
Clove,Clean environment..very polite service by the staff..and the food was amazing..definitely will visit again.
Family dinner,"Very good chocolate themed buffet and the service staff were very polite and helpful, especially Anand. We will definitely visit again in the near future."
Nice food and nice place,The foods are nice and fresh. I would like to extend my gratitude to Sarah who assisted and very accommodating to our request. Thank you Sarah for your hospitality. We would definitely come back here.
"Overall, not bad at all!","I went for the Clove Buffet twice last year and once last night. It was very crowded the two times last year, and I was mostly forgotten by the service staff. However, it was less crowded yesterday, and the service was very good. Thanks go to Selvan, Amshyar and Ha Phuong. Hope I got the spellings right.

However, to me, the most important thing about a buffet, is of course the food. It was quite a good selection and I could only try about 50% of what was on offer. Most of what I tried was reasonable to good. I particularly liked the drunken prawns, the strip-loin roast, the beef rendang, the cold prawns, cold crab, kueh pie tee, the Yu Sheng salad, beef stew, fried rice, the little cakes, ice cream. The fish maw soup was also particularly delicious.

I didn’t like the crayfish dish. They are often badly done at buffets everywhere. I also found the dhal curry not to my taste. They also had a yellowish veggie that I didn’t like. The usual Broccoli would have been a better choice. The smoked salmon pieces all stuck to each other. Not sure why. I only ate a slice or two as I was a bit wary. Tasted ok.

I didn’t eat the breads, minestrone soup, various salads, cold meats, cheeses, sashimi, sushi, Laksa, oysters, some sort of large fish, cold scallops, some cooked dishes etc as I just didn’t have room for them.

They gave us a little piece of cake with a lighted candle as it was my friend’s birthday. You have to make a request. But it’s Definitely a nice touch.

I prefer this buffet to the chocolate themed one. I find cooked dishes using chocolate a little strange, perhaps pretentious even, especially when the chocolate does little for the dish. . Anyway, I’m going for this buffet again next week to try the dishes I missed yesterday. I hope the service remains good."
Elegant Buffet,"Service was very good, greeted at the door, the managers and staff Shah were very friendly and have a great customer oriented disposition. The buffet is very well laid out, with crispy roasted pork thats bigger than an exercise jotter book, very crispy. Smoked and sashimi salmon, yu sheng and great salads. They have fridges along the buffet line, that keeps food cold. Very good, open layout seating. Very spacious and comfortable"
Find another option within foodie Singapore,"Singapore loves its food, but Clove has no passion for flavour or freshness. Freshness was a problem with the bread, salmon, sushi & seafood in general. Failed flavour hit with the Laksa, & majority of the hot meats. Overall, poor food, impacted more by the equally rude & unhelpful management who could organise proper seating for our large group."
Friday Chocolate-themed buffet dinner,Large variety international buffet (including seafood). Chocolate-themed food options were eye opening :D
🎄🎄🎄,thanks Shah for the awesome service! nice restaurant with yummy food. my friends and I had a great time🤗🤗🤗🎄🎄🎄
Pleasant experience with good food and great service!,"Food selection at the buffet was good. There were fresh oysters which was definitely a plus. The beef carving station was good too.

Service from Selvan and team was great! They patiently listened to our requests and delivered professionally. Also, they surprised us with a small cake as it was someone's birthday at our table. That was very thoughtful of them! Thnx again, Selvan and team!"
Brunch,"I was looking for a brunch place for o celebrate my wife’s birthday. Clove is a very open and bright place, the spread is extremely generous.

Shah was amazing, we were well taken care off. Out of nowhere he even offered to take our pictures.

Great service, amazing food spread!! Must visit."
Shah was great,Visited Clove for my birthday and the food was amazing. Shah also provided great service and was friendly.
Easy Breakfast,"Plenty kind of easy breakfast on the 2 nd floor, many places to take a seat up to your choices. You can make your own noodles or choose a ready menus."
Christmas chocolate. buffet lunch. $98++,v nice spread n fancy chocolate creations. warm service fr Shah. thumbs up. keep it up. $98+++ accor member 50% up to 8pax til 15 Dec 2022
Singapore Break,"A great place to eat, lots of choices and very tasty.
Staff were lovely and friendly, greeted warmly by Elaine and shown to a table each time
Shah was great showing us to the table.
All of the staff are happy and friendly.
Definitely would recommend"
Pre Christmas 🎄 lunch buffet with my bffs,"My first dining at Clove and we love the beautiful ambience
Awesome gathering with my ex colleagues.
Thanks to Jason and his team(Elaine, Selvan and Chian(limping leg waitress) was so nice to reserve the seats for us and thanks Elaine for making extra effort to serve pastry w Christmas choc tag on cake. One of the staff offer to have our group photo taken. This impress us and we enjoy every bits of weekday buffet lunch.
We will be back again.
Great customer service ;)"
Delicious food and awesome service,"Visited Clove and had a wonderful time. Food was great, lots of variety and service was outstanding. Special thanks to Shah for his attentive service."
