topic,review
Best of the Best Buffet in town.,"2nd visit within 3 weeks, Fri & Sat Seafood dinner. Recommend seafood first, beef dish of the night, other meat & veggies selections and lastly dessert in that order. Menu-8 pages so must strategize choice of food bcos I can never ever finish trying all even if I eat a piece of each dish.
Service was excellent throughout. Let me start with Loges who showed us to our seats. Very polite and she had a great smile I felt like I had 2 personal servers (Mr. Abishek and Mr. Rahul). They were so attentive without being intrusive. Mr. Abishek was super observant. He noticed I was struggling to get a wet tissue out of my small purse and immediately brought over wet wipes & serviettes (wow!). Our plates were cleared as soon as we were done (impressed cos I like my plate cleared asap). Even management staff, Mr. Rethish and Mr. Alfian came by to engage with us and offer selections to try. Chef Ye Siong was helpful & accommodating to my request at the sashimi counter. Even Chef Benton came by to say hello because I last met him 3 weeks ago. Colony has the most extensive Quality selections in their buffet in town compared to the other hotels. Most importantly, it is the Service Excellence that enhance an awesome dining experience that finds me coming back time and again. The fact that their Management staff (not 1 but 3) popped by last night to engage guests is something I hardly find in the other establishments. Highly recommended but be warned, you need to make reservations at least 2 to 3 months ahead. Check out the extensive menu from their website. I am not able to upload all 8 pages."
Dinner Buffet,"Well greeted by the staff, Ajay was very polite and helpful to assist us as well mr Raj, Ajay provide above beyond service coming to check on us if we need any drinks. nice ambience and the buffet food 😋👍"
As Good As Ever,"Returned to Singapore and visited Colony after 3 years for its fabulous lunch buffet. The food was just as good if not better- especially the laksa with fresh cockles. Decor was just as I remembered, bright yet warm. Service was outstanding as usual.

Chef Nicolas remembered the Char Kway Teow that I loved, with extra crispy pork fats. Lee Lee and Tessa were just as attentive as before.

This is the place to go to if one misses all the local Singapore food. It is understandable why Colony remains the best buffet restaurant in Singapore after all these years. Kudos to all working at The Ritz-Carlton, Millenia Singapore and Colony."
Delicious and grateful,"Amazing food and amazing service. Serve by Ajay, Danial , Jane and Sundar. They were simple wonderfully , quick and attentive."
Great dinner,"Had our reunion dinner at colony. It was a fantastic experience, food was plentiful and the spread was one of the best I have seen in Singapore. To put the icing on the cake, we were well taken care off during the entire dinner. Never once, do we need to flag for the attention of the service staff despite it being full house.
I strongly recommend anyone to try out their buffet. Not cheap but definitely worth it"
Nice Dinner at Colony with our server Mayank,"We had decided on Colony for a celebration. Food was great, with a fantastic selection, one of the best, if not the best hotel buffet. Mayank was really attentive the whole night, providing us with great service. Would return :)"
Good,"Second time visiting here , food is so good and my friends like it so much , thx for the services and chef , there done the good job!"
Perfectly Wonderful!,"Was celebrating my BFF's birthday and we had an enjoyable lunch with sumptuous food quality, great ambience and great customer service by Hannah!"
Jan 2023,"We would like to complement zi Ling for her excellent service. She was super attentive and efficient, and went above and beyond to make sure we had a pleasant dining experience.
Small details like Making sure the water is always filled.
Appreciate the good service.

Family friendly place, ziling paid special attention to the little one needs. After meals, she prepared colouring books for the little ones to divert the attention, so that the adult can continue dining.

The food was delicious and super fresh, many variety to choose from as well. We will definitely be back in the near future."
Dinner,Wide variety of good quality food. Had to book 4 months in advance but maybe because it’s CNY period. Special mention to Abishek who took great care of us and even served us one of the desserts from the buffet. Wonderful service overall and it was a really enjoyable night! They cleared plates very fast and were very efficient ◡̈
Excellent Service,"We would like complement Abhishek for his excellent service. He was attentive and efficient, and went above and beyond to make sure we had a pleasant dining experience. The food was delicious and presented beautifully. We will definitely be back!"
