topic,review
Excellent Food,We come here every time when we want to eat Indian food and the food is so delicious that everyone enjoys it very much.
Pathetic portions,"Ordered lunch a few times. Takes 1 hour for delivering to my location, which is less than 2 kms away. Food gets cold by that time. And the portions are pathetic. Ordered Indo-chinese platter a couple of times, from Copper chimney express (CBD area), to my office near Raffles place - had to buy more food later on, coz the portion is grossly inadequate."
Had a great time!,"Staff are friendly, the ambience is nice. We had a birthday celebration and is able to enjoy our cake and sing a birthday song."
One of the Best Indian Food in Singapore,"We have seen people waiting in queue to go in.. and its a worth the wait. Food is tasty and hot when its served. They pay attention to details and make sure customers are comfortable.

There was a person who decided to sit next to my bench while waiting for his take away... Manager kindly guided him to waiting area.. I really appreciated this gesture."
Delicious Indo-Chinese food,"One of our top places to go for Indo-Chinese food. Am a vegetarian and they happily cater for me. Gobi manchurian, chilli paneer, cheese chilli garlic naan, they are delicious! Must try."
Excellent service by Mari mam and crew,Good choices in menu..quick ordering ..served red hot 🔥 with smile ..tastes great and thoroughly enjoyed the food with good taste and hospitality...kudos to the entire crew and special thanks to Mari mam for handling our group in the best way possible....
"Good ambience, decent food","We ordered the starters gobi and veg manchurian, which were very well prepared and definitely the highlight of our meal. This was followed up by fried rice, chilli chicken, butter naan, and dal makhani. The chilli chicken was a little subpar as it wasn’t spicy at all, and the chicken pieces were small and did not have much flavour. The rice and naan were very good though, and the dal makhani was decent. The dessert of ice cream brownie was also delicious, and the waiter served the hot chocolate sauce over the ice cream."
Copper chimney,"Fantastic food, aircon too cold tho. We ordered their chicken momo, butter chicken, palak paneer, kera fish curry, naan basket, chicken Bryani"
One of the best authentic Indian food in Singapore,"We have been visiting Copper Chimney since a long time and every single time we are treated with best quality and an authentic taste of Indian cuisine. The menu is elaborate and there is something for everyone. My son and I love the Chicken Lollypop and Chicken Tandoori as these are best served at Copper Chimney Singapore..

The staff is very welcoming and are always there at our service.

Its a must visit for not just Indians but all nationality to try some authentic Indian food."
If you in Singapore and crave for Indian food Copper Chimney is your destination.,"A place to visit if you crave for Indian cuisine
While our visit to Singapore we did crave for some good Indian cuisine especially the mughalai. If you love tikkas, kababs, mutton Rogan Josh, Butter Chicken, fried rice the Indian style etc. This is a place to visit at Little India. My favourite was the Mutton sekh kababs, Malai Chicken kabab and mutton Rogan Josh with butter garlic naan trust me it to die for."
