topic,review
It started with the waiter smashing a wine glass over us and went down from there.....,"Our lunch started with the waiter trying to balance a bottle of wine, bottle of water and 2 glasses without a tray and failing, dropping a glass and smashing it all over our table, floor and my wife who was not impressed.

He tried to blame it on a crack in the glass but my wife saw the whole thing and just said he was trying to balance too much and it slipped and should have used a tray.

The waiter was very apologetic and asked us what complimentary drink we wanted to compensate us. I said Champagne and he said that he didn’t have a bottle open…..which surely wasn’t the point?

It was supposed to make up for smashing a glass on our table which meant we had to move and my wife was still getting glass out of her dress an hour later….!

So we settled for Prosecco although he clearly knew he had done wrong again as when we were about to have dessert he said that a bottle of Champagne had become open and he could now give us a glass. I don’t actually believe him as the Champagne was flat…

The waitress also wasn’t very knowledgeable about anything so between the two of them it was a bit of a joke.

The food was fine if unspectacular apart from the spicey fin which was lovely and the duck with pancakes. The rest wasn’t great including their signature chicken and their desserts were bland.

What a shame, I used to love coming here but it’s gone downhill. It was clearly a sign when the waiter smashed the glass all over our table, we should have left then."
Disappointing experience!,"Globally a bad experience:reservation taken without problem for 9:30 pm.at the arrival we were informed that the kitchen closes at 9:30pm!
One minute to decide what to choose even the drinks which are probably(!)not cooked…
Indian food but the fusion concept is not really perceived.low quality of service and they really wantedd to close at 11pm!disappointing!"
"Great location, great atmosphere, great staff , great menu, great food, great prices.","The title of this review says it all.
-
To which I should add: ‘ great bar, too!’ Good
-
And I would heartily recommend this place to anyone - if it were not for the travesty, the sad and sorry joke, that is the cleanliness and overall appearance of their gentlemens’ toilet.
-
Having said that: a clean entrance would not hurt, either. The used latex glove that was lying there at opening time was still lying there hours later when we left. Shame, really. So easy to solve...."
Fusion Indian food,"We had group dinner here . They serve fusion Indian food which is passable. The jack fruit curry , a special , was very good. The staff are very helpful."
Great food & good service,"Excellent fusion at the heart of Chijmes. Beautiful creations, nice atmosphere. Great hospitality by Ms Malini and her team. Lamb chops is one of my personal favourite and awesome cocktails & drinks. Definitely will return"
Recommended experience,Great and a unique taste experience. Cooks with passion and a attentive service staff. The open kitchen makes the dining to an adventure.
Extensive Menu to suit all tastes,"The menu at Coriander Leaf is quite extensive offering a variety of Asian food. It also has vegetarian options. The plates are for sharing and we ordered the crispy duck pancakes, the Nepalese chicken dumplings and the lamb cutlets. Each dish was beautifully flavoured and the 3 dishes and a small dessert was plenty of food. They also included an “amuse bouche” that provided a pleasantly interesting introduction to the flavours we were going to experience.

The restaurant has a nice feel about it and the tables were full with a buzz of conversation around the room. The staff were attentive without being intrusive.

We had an enjoyable time."
"Decent food, very slow service",Attended a business luncheon and found the service really slow. Asked for coffee 3 times and was told by waiter that he is checking with superior even though it was part of the set!
Delicious Asian Fusion !,"We had a really delicious meal ! The crispy duck pancakes are fantastic but so was the green mango salad, the little curried chicken buns …..& the Pavlovas are very good and possibly big enough for 2!
Service was also excellent, we were given a quieter table with no problem, everything was lovely !"
Nice mix food place @ chimes,"This is a nice place in chimes, spacious and variety of food … just that it doesn’t have open air setup or good outside view .. but inner decor compensates for that

Jackfruit curry, duck red curry and green mango slide was my favourite

Lava cake is awesome"
Good dinner,"First visit, the miso marinated silver cod was above average, portion was rather generous. The stir fried eggplant was good. The steamed white rice at SGD4 each, my most expensive bowl of plain rice in Singapore, didn't taste anything special.

Ambience okay and normal customer service. Probably return to try out other dishes with the different types of naan."
Good comfort food with very nice ambiance.,"Nice and cozy restaurant with Awesome food great hospitality by Mr Clovis and his team. Lamb chops is one of my personal favourite and it was divine, awesome cocktails & drinks by Mr Fred and Ms Kajal definitely will return."
Excellent service,The service was impeccable. The Jack fruit curry is a must-try for all those who plan to head there. I tried their sting ray & wing bean salad yummy
