topic,review
Cny gathering,"Good soup. Quite busy and service slightly slow. Quite dark, can’t see food. Good for family gathering."
Great food,"Arrived here at 6pm with my family, service was great, staff was friendly, and most importantly, the food was amazing."
Good,"Third time visit this place with family. Nice and fresh food. Unfortunately, during CNY period, menu is limited."
wonderful dinner,"The vibe is good, the food is scrumptious, the service is of top quality. Very friendly to kiddos. Strongly recommend!"
Coco gathering,Very yummy! Good place to hand out with friends and families! Highly recommended! Very very very tasty!
Cou cou hotpot visit,Always a great place in Jewel. Cold weather but hot food!! Good environment with nice decorations. Came here a couple of times
Awesome!,"The place is cozy, staff members are friendly and helpful. Food spread is good too. We celebrated my husband birthday and the staff was really accommodating and helped us every step of the way."
CNY gathering,Nice environment….. but limited selection… haven’t taste the food yet… good place for gathering………..
First Visit,"Very good service. We ordered all the recommended items, the soup is pretty okay and taste authentic."
Recommended!,Food is good and worth to visit! A little pricey but atmosphere is good Definitely worth to visit and best for gathering with friends
Mr,Pork with seafood platter look awesome. Many choice and is very full and tasty. Next time can come again
Coucou hotpot,"The food is very nice, please come and eat. The rice is free and the fruits also free which include in the 4.50 charges"
Not bad,Soup base is not bad. Variety of food is limited though but the service generally is not bad. Just a pity there is no duck blood in sg.
Coucou Hot Pot,"The pickle soup one is delicious. I ordered the meat and seafood set, the meat is tender and full of many type of shells. But the scallops are quite fishy. Overall I would recommend my friend to try this restaurant for sure!"
Jan 2023 visit,"Always here when thinking of eating hotpot usually order taiwanese mala hotpot, the menu is slightly different for lunar new year 2023"
2nd visit to coucou,"First visit was at jewel outlet coucou. Very happy that they are open on chu 2 which is a public holiday,. It was also raining great for steamboat. Highly recommended!"
A place to visit,Love the service and recommendations. They helped to handle many different aspects of the meal from start to finish
coucou,excellent service and has great ambience and environment really enjoyed my meal here. food was of high quality and the star of the show was their speciality milk tea.
Cny steamboat,The servers were very prompt and warm. Love the environment and food! Great service amazing vibes loved it!
