topic,review
Lunch at coucou,Nice and lovely food. Good service. Will come again. Visited the different outlet at suntec. Taste feel same
Good food!,Nice MALA soup. Seldom find drinkable MALA soup. The ingredients are fresh too. Value for money! There are also a great variety of beverages to choose from! Overall good quality!
Good hotpot dinner,Date night with my wife. Never disappoints. Price a bot expensive though especially with the Lunar New Year Surcharge.
Awesome Presentation!,"Cozy ambience, great food highly recommended! Amazing range of bubble tea as well! Coconut chicken soup base is a must!"
Chill place nice food and service,Nice food and service!!!! Many food choices and environment is good. Recommend this place to all!!!!
Always good quality and taste,"I’ve came here three times with family. The food materials are fresh and tasty. The soup bases are made with good quality materials like ox bones, chicken meat etc. fairly good value considering how much meat are in the soup base itself."
Food quality,Nice hotpot with nice ambience but service abit messy when it come to peak hour. So advice to go during not peak period
2nd time visit,It's our 2nd time visit. Service is still as good.. We tried some new dishes and I think the beef tongue is quite nice. Things are not cheap here but the quality is good! Can buy ecard from fave to get some discounts!
Invincible hotpot,Yummy food and nice place to dine in super nice service free ice cream and very good soup will come again :D
"Amazing experience, soup and freshness in food",Went to i12 outlet. Staff friendly and service was excellent! Food fresh and quality of soup is the best.
Cou Cou,The design of the restaurant is very unique. The food here was pretty amazing. There was many flavours and varieties of soup selection. The waitress was also very polite and respectful.
Great place,Great place to eat n chat! Lots of good food and much privacy. Nice ambiance. Great service. Place to go !
Good food,Excellent service... Food is fresh and the soup base are full of ingredients... nice ambience and friendly staff
Family dinner,Seems to be a popular hotpot spot. Serving speed is quite fast too. We chose a Taiwanese mala and a mushroom soup base to try.
Steamboat,"Visit on a Saturday late afternoon 330pm .
The price of the steamboat pot is $48 with two flavour .
Order the pig stomach pot with ingredient in it . But the pig stomach ingredient is longer tender after cooking for long . The other flavour is Taiwan Ma La , the spices is not flavourful enough and less spicy .

I was told they are popular for live seafood but did not communicate to us that the combination of meat ( chose beef ) and seafood are not live seafood $108 .
The portion is big.
However I think most of the seafood is frozen seafood .
And the combination of vegetable $18 is worth of vale .

The condiment sources $4.80 for each person , Similar like Hai De Lao .

In between the meal , provide a glass of sorbet .

Lastly desert only serve low quality ice cream .
Hao Di Lao desert is much better.

Services level not so good as Hao De Lao , can be more attentive .

Decor is better than Hao Di Lao .

Personally I will visit Hao Di Lao because taste and price is much better than this outlet."
Yums,Good quality ingredients in comfortable setting. Nice touch with the lu rou fan (mince pork over rice)
Yummy food,Nice rice and fruits soup not so nice. Meat ok and not bad Wont get the soup but no choice so no choice
first visit,their lu rou fan in their appetiser buffet was very addictive! quite limited soup options if you cannot consume beef
Great atmosphere and service,"CouCou has a great selection of appetisers and meats. The price is competitive with other steamboat restaurants. The best is the bubble tea they offer here which complements the steamboat well!

One thing they can improve on is perhaps using fresher lettuce as the base for serving the pork."
Best Steamboat in Town!,"Tasty Steamboat with Mala Hot Soup, surprisingly delicious with good customer service from the team!"
The Excellent Hotpot! !,Ambience and table setting were very inviting. Variety of food is wide with good selection of soups and meat. Excellent
YUMZ THE BEST HOTPOT,"Awesome service, good food. The soup is great, the meat is fresh, the atmosphere is very classy!!!!!"
10/10!,"From the very cosy ambience, to the delicious variety of food, our first experience at Coucou was 10/10"
Nice place to hang with friends,It is a very comfortable environment to hang out with friends. The service is great and the food arrives fast.
Give a yes to life and bbt,The food is good because there is free bbt and the ambience is good and the prawns they help to peel too great service
Great time at Cou Cou,"Food was v good, service was excellent! First time here but certainly won’t be the last time! Recommend to try!"
Great place for hotpot!!,Service and food is great. One of the better hotspots I have eaten in Singapore. Would love to see membership status soon!
HDL should step up its game,Food was excellent in general; meats and greens were presented in a beautiful arrangement that was visually appealing to the eye! Would definitely come back here again.
Pleasant experience,"I’m quite a regular go-er of hotpot restaurants, and would say that even though the variety of ingredients is much lesser here than other places, they are mostly of very good quality and at decent prices. The meat dishes even have their own pool of vegetables which the waitress will kindly remind you. Just felt the soup pot price is a tad too high (though yes it’s chock full of ingredients like pork trotters). Love their side dishes and desserts and Ru Rou fan which is a nice touch. also overall vibes are very elegant and spacious. Nice music played too."
Nice family restaurant,"We enjoyed the food here, especially the hotpot and minced pork rice. Friendly staff and good place for family"
Best hotpot place,This is the best place for us to dinner. The food very fresh and nice. And staff very friendly will come back again. 👍🏻👍🏻👍🏻 👍🏻👍🏻👍🏻
CouCou,"You have a real instinct to understand our customers. Good work! You have the natural ability to understand and feel what your customers are experiencing, and you are able to meet their needs effectively. Well done!"
