topic,review
A worthy eating trip to Crossings,Good service n staff are very efficient n alert to the needs of its customers. The handicapped too are awesome. Kudos to Crossings Cafe.
Heartwarming. Comfort food.,"We should have more cafe to enable the special needs. Reasonable good options with reasonable price but very generous portion. Taste pretty good, though hope it can be less salty. Would strongly suggest them to reduction the portion to reduce food waste as most of us cannot finish, can keep the same price!"
Wonderful place with lovely servers!,"Such a wonderful place with the servers who provide good service to us. Nice environment, bright and welcoming, pretty decent food. Its a cozy environment for friends and family members to gather. Food prices are pretty ok too."
Nice Experience,Food was good and it is advisable to make a reservation. Servers were friendly too. My family ordered 3 shepherd pies and I had the laksa. Food that is close to our hearts. Highly recommended if you have not been there before.
Excellent food and service,"Greatful for supporting crossing cafe social enterprise. Pls come and support them. Great food, great people."
Crossings Cafe,Very pleasant experience and Excellent ambiance with friendly staff. Will visit again. Highly recommended
Crossings Cafe,"Food is good. Price is reasonable. Always happy to see special people being treated as normal. Love the ""pay it forward"" initiative ... heart warming."
"Good food, nice location and helpful staff",Yummy food. Attentive staff. A quiet place in the town area. Artsy vibes all around. Reasonable priced.
Eat with a good cause,A great cafe that serves humble food to employ under privileged staff under their NGO banner. Truly a non profit social enterprise
Great food & atmosphere!,"Crossings Cafe offers a bright, cheerful and cosy atmosphere for a meal. It also has a nice selection of Trappist Ales sure to satisfy the most discerning of palates."
5 stars! Wonderful and warm dining experience,"It was the first time dining here for my wife and I. We really enjoyed our experience! The staff were all so friendly and helpful; it’s refreshing to see this warm atmosphere all-round. Fr Paul happened to be there as well, whom we had a great time connecting with (I liked his pina colada recommendation). 5 stars especially for the chicken satay which was meaty and tasty! We even ordered one more portion of that for takeaway. I loved the truffle mac and cheese as well as the mushroom soup too. The Good Shepherd’s Pie was delicious as well! All profits go to charity here which made our experience even more meaningful. Thank you Crossings Cafe! We will definitely be back again soon."
Great time with friends at Crossings,We went to Crossings because we wanted to support the cafe. The food is good value for money and the staff were very attentive. Drinks especially the beer were good!
